Interaction	rec-Y2H | Table S2	Both eCLIP - HepG2	Both eCLIP - K562
A1CF-EDF1	False	False	False
A1CF-EEF1A1	False	False	False
A1CF-EEF1A2	False	False	False
A1CF-EEF1D	False	False	False
A1CF-EEF1G	False	False	False
A1CF-EEF2	False	False	False
A1CF-EFTUD2	False	False	False
A1CF-EHMT2	False	False	False
A1CF-EIF1A	False	False	False
A1CF-EIF1B	False	False	False
A1CF-EIF2B4	False	False	False
A1CF-EIF2S1	False	False	False
A1CF-EIF2S2	False	False	False
A1CF-EIF3C	False	False	False
A1CF-EIF3D	False	False	False
A1CF-EIF3E	False	False	False
A1CF-EIF3G	False	False	False
A1CF-EIF3H	False	False	False
A1CF-EIF3I	False	False	False
A1CF-EIF3L	False	False	False
A1CF-EIF4A1	False	False	False
A1CF-EIF4A2	False	False	False
A1CF-EIF4A3	False	False	False
A1CF-EIF4B	False	False	False
A1CF-EIF4E	False	False	False
A1CF-EIF4ENIF1	False	False	False
A1CF-EIF4H	False	False	False
A1CF-EIF5	False	False	False
A1CF-EIF5A	False	False	False
A1CF-EIF5A2	False	False	False
A1CF-EIF5B	False	False	False
A1CF-ELAC2	False	False	False
A1CF-ELAVL1	False	False	False
A1CF-ELAVL2	False	False	False
A1CF-ELAVL3	False	False	False
A1CF-ELAVL4	False	False	False
A1CF-EMG1	False	False	False
A1CF-EMIC SRRM3	False	False	False
A1CF-EMIC SRRM3 MUT 2	False	False	False
A1CF-EMIC SRRM3 MUT 25	False	False	False
A1CF-EMIC SRRM3 MUT 5	False	False	False
A1CF-EMIC SRRM4	False	False	False
A1CF-EMIC SRRM4 MUT 2	False	False	False
A1CF-EMIC SRRM4 MUT 25	False	False	False
A1CF-EMIC SRRM4 MUT 5	False	False	False
A1CF-ENO1	False	False	False
A1CF-ERAL1	False	False	False
A1CF-ERCC3	False	False	False
A1CF-ERH	False	False	False
A1CF-ERI3	False	False	False
A1CF-ERP29	False	False	False
A1CF-ESRP1	False	False	False
A1CF-ESRP2_ZEBRAFISH	False	False	False
A1CF-ESS2	False	False	False
A1CF-EWSR1	False	False	False
A1CF-EXOSC1	False	False	False
A1CF-EXOSC3	False	False	False
A1CF-EXOSC3_8023	False	False	False
A1CF-EXOSC4	False	False	False
A1CF-EXOSC5	False	False	False
A1CF-EXOSC7	False	False	False
A1CF-EXOSC8	False	False	False
A1CF-EZH2	False	False	False
A1CF-EZR	False	False	False
A1CF-FAM120A	False	False	False
A1CF-FAM32A	False	False	False
A1CF-FAM50B	False	False	False
A1CF-FAM98A	False	False	False
A1CF-FARSA	False	False	False
A1CF-FARSB	False	False	False
A1CF-FASN	False	False	False
A1CF-FASTKD1	False	False	False
A1CF-FASTKD2	False	False	False
A1CF-FASTKD5	False	False	False
A1CF-FAU_UBIM_RS30	False	False	False
A1CF-FBL	False	False	False
A1CF-FBXW7	False	False	False
