Data Mode	Binding Type	Cell Line	Feature	Zero Cutoff	# Non-Zeros	% Non-Zeros	Num Positive	Sum Positive	Num Negative	Sum Negative	ARBS	NARBS
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_3	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.0	118043	100.0	118043	0.4905253648757934	0	0.0	57903.08564603329	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	1e-05	188	0.1592639970180358	188	0.3992594480514526	0	0.0	75.0607762336731	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.0001	188	0.1592639970180358	188	0.3992594480514526	0	0.0	75.0607762336731	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.001	188	0.1592639970180358	188	0.3992594480514526	0	0.0	75.0607762336731	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_4	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.0	117907	100.0	117907	0.2308618724346161	0	0.0	27220.23079314828	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	1e-05	249	0.211183390299134	249	0.1897281110286712	0	0.0	47.242299646139145	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.0001	249	0.211183390299134	249	0.1897281110286712	0	0.0	47.242299646139145	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.001	110	0.0932938672004206	110	0.1233088374137878	0	0.0	13.563972115516664	1.0
Unique Binding	NOT Bound Only	HepG2	AKAP1_5	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.0	116847	100.0	116645	36.42601013183594	202	-0.1057704091072082	4248890.586205363	0.999989943065215
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	1e-05	116847	100.0	116645	36.42601013183594	202	-0.1057704091072082	4248890.586205363	0.999989943065215
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.0001	26083	22.322353162682827	25888	29.237363815307617	195	-0.1051497533917427	756876.3702487722	0.9999458218228576
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.001	4222	3.613272056621052	4216	22.96445083618164	6	-0.0112378597259521	96818.05729818344	0.9999986071386616
Unique Binding	NOT Bound Only	HepG2	AKAP1_6	0.005	2748	2.3517933708182497	2748	19.328292846679688	0	0.0	53114.14874267578	1.0
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.0	107703	100.0	102564	282.2264099121094	5139	-10.786001205444336	28890840.246030807	0.996177516314392
Unique Binding	NOT Bound Only	HepG2	AQR_1	1e-05	107702	99.99907152075616	102564	282.2264099121094	5138	-10.78600025177002	28890851.03693199	0.9961782590488958
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.0001	107637	99.93872036990614	102518	282.22412109375	5119	-10.784950256347656	28877844.28592682	0.9961909987555736
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.001	106585	98.9619602053796	102118	282.0204772949219	4467	-10.371257781982422	28753038.69189072	0.9967878459718332
Unique Binding	NOT Bound Only	HepG2	AQR_1	0.005	3595	3.337882881628181	3409	26.09980010986328	186	-1.417409896850586	88710.58033370972	0.994091336340366
Unique Binding	NOT Bound Only	HepG2	AQR_2	0.0	100593	100.0	100247	2239.317138671875	346	-1.0806490182876587	224484451.29587916	0.9999966687820684
Unique Binding	NOT Bound Only	HepG2	AQR_2	1e-05	100591	99.9980117900848	100245	2239.317138671875	346	-1.0806490182876587	224479972.66160175	0.9999966687156068
Unique Binding	NOT Bound Only	HepG2	AQR_2	0.0001	100572	99.97912379589036	100238	2239.316650390625	334	-1.079850196838379	224464261.73188967	0.9999967864032884
Unique Binding	NOT Bound Only	HepG2	AQR_2	0.001	100430	99.83796089191095	100178	2239.279296875	252	-1.031941533088684	224326261.3530774	0.9999976815138644
Unique Binding	NOT Bound Only	HepG2	AQR_2	0.005	99572	98.98501883828897	99495	2236.858642578125	77	-0.5947244763374329	222556204.84952587	0.999999588474598
Unique Binding	NOT Bound Only	HepG2	AQR_3	0.0	104501	100.0	484	2.7334506511688232	104017	-3848.345703125	-400292052.011838	-0.999993389919368
Unique Binding	NOT Bound Only	HepG2	AQR_3	1e-05	104499	99.99808614271632	484	2.7334506511688232	104015	-3848.345947265625	-400284380.7147188	-0.999993389792689
Unique Binding	NOT Bound Only	HepG2	AQR_3	0.0001	104492	99.99138764222351	480	2.733242988586426	104012	-3848.34521484375	-400272770.5296936	-0.9999934447300396
Unique Binding	NOT Bound Only	HepG2	AQR_3	0.001	104335	99.84114984545602	409	2.693446636199951	103926	-3848.30224609375	-399937557.60786486	-0.999994491071996
Unique Binding	NOT Bound Only	HepG2	AQR_3	0.005	103706	99.2392417297442	183	2.0864500999450684	103523	-3847.03857421875	-398256592.49847937	-0.9999980825445536
Unique Binding	NOT Bound Only	HepG2	AQR_4	0.0	106578	100.0	4840	45.8322639465332	101738	-1502.5386962890625	-152643453.72555542	-0.9971019355262184
Unique Binding	NOT Bound Only	HepG2	AQR_4	1e-05	106566	99.98874064065755	4833	45.83222961425781	101733	-1502.53857421875	-152636249.6052704	-0.9971059807836904
Unique Binding	NOT Bound Only	HepG2	AQR_4	0.0001	106494	99.92118448460282	4804	45.83078002929688	101690	-1502.5364990234375	-152572765.51843262	-0.9971221933775752
Unique Binding	NOT Bound Only	HepG2	AQR_4	0.001	105615	99.09643641276811	4437	45.606544494628906	101178	-1502.27099609375	-151794418.60485077	-0.9973409015349058
Unique Binding	NOT Bound Only	HepG2	AQR_4	0.005	101733	95.45403366548445	2676	41.49778747558594	99057	-1495.9677734375	-148075031.65411377	-0.9985023569785528
Unique Binding	NOT Bound Only	HepG2	AQR_5	0.0	101539	100.0	99236	1886.4906005859373	2303	-24.133264541625977	187152202.33150676	0.9994064091534464
Unique Binding	NOT Bound Only	HepG2	AQR_5	1e-05	101533	99.99409094042684	99230	1886.49072265625	2303	-24.133264541625977	187140895.50094032	0.9994063733106824
Unique Binding	NOT Bound Only	HepG2	AQR_5	0.0001	101506	99.96750017234756	99217	1886.489990234375	2289	-24.13259506225586	187116637.85098648	0.9994099197699496
Unique Binding	NOT Bound Only	HepG2	AQR_5	0.001	101274	99.73901653551836	99105	1886.4293212890625	2169	-24.076452255249023	186902356.0614109	0.999441498116408
Unique Binding	NOT Bound Only	HepG2	AQR_5	0.005	100581	99.05652015481736	98720	1885.3760986328125	1861	-23.09367561340332	186081351.1267147	0.9995382934706524
Unique Binding	NOT Bound Only	HepG2	AQR_6	0.0	109054	100.0	108694	425.26904296875	360	-0.7196087837219238	46223934.29728317	0.9999887912501456
Unique Binding	NOT Bound Only	HepG2	AQR_6	1e-05	109049	99.9954151154474	108691	425.2690734863281	358	-0.7195956110954285	46222663.25107372	0.9999888534178204
Unique Binding	NOT Bound Only	HepG2	AQR_6	0.0001	108992	99.94314743154769	108664	425.26763916015625	328	-0.7176783084869385	46211047.34321404	0.999989812129328
Unique Binding	NOT Bound Only	HepG2	AQR_6	0.001	108386	99.3874594237717	108188	424.9647216796875	198	-0.6480914354324341	45975954.986977816	0.9999944178913546
Unique Binding	NOT Bound Only	HepG2	AQR_6	0.005	6341	5.814550589616154	6273	112.4593505859375	68	-0.4461490511894226	705427.168090105	0.999913993881756
Unique Binding	NOT Bound Only	HepG2	BCCIP_1	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_1	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_1	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_1	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_1	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_2	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_2	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_2	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_2	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_2	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_3	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_3	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_3	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_3	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_3	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_4	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_4	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_4	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_4	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_4	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_5	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_5	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_5	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_5	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_5	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_6	0.0	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_6	1e-05	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_6	0.0001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_6	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCCIP_6	0.005	0	0.0	0	0.0	0	0.0		
Unique Binding	NOT Bound Only	HepG2	BCLAF1_1	0.0	104311	100.0	16062	59.17841339111328	88249	-136.24203491210938	-11072699.66307068	-0.8534696761390047
Unique Binding	NOT Bound Only	HepG2	BCLAF1_1	1e-05	103806	99.51587080940648	15930	59.17804336547852	87876	-136.239990234375	-11029519.151023865	-0.8540129736515445
Unique Binding	NOT Bound Only	HepG2	BCLAF1_1	0.0001	102614	98.37313418527287	15638	59.16205596923828	86976	-136.18882751464844	-10919983.230667114	-0.8551054171986388
Unique Binding	NOT Bound Only	HepG2	BCLAF1_1	0.001	37481	35.931972658684124	12264	57.516300201416016	25217	-94.51761627197266	-1678070.8238601685	-0.5432705842582536
Unique Binding	NOT Bound Only	HepG2	BCLAF1_1	0.005	8536	8.183221328527193	4936	32.471275329589844	3600	-34.82598876953125	34904.65545654297	0.1221930285774217
Unique Binding	NOT Bound Only	HepG2	BCLAF1_2	0.0	100514	100.0	99949	1080.953857421875	565	-5.494046211242676	108037152.95934965	0.9999425390681302
Unique Binding	NOT Bound Only	HepG2	BCLAF1_2	1e-05	100510	99.996020454862	99948	1080.953857421875	562	-5.4940361976623535	108036088.49325848	0.9999428436940364
Unique Binding	NOT Bound Only	HepG2	BCLAF1_2	0.0001	100399	99.88558807728278	99922	1080.9527587890625	477	-5.489053249359131	108008343.28532076	0.9999515194588724
Unique Binding	NOT Bound Only	HepG2	BCLAF1_2	0.001	100168	99.6557693455638	99738	1080.8663330078125	430	-5.46866512298584	107801094.79553032	0.9999563747766848
Unique Binding	NOT Bound Only	HepG2	BCLAF1_2	0.005	96735	96.24032473088326	96386	1066.326171875	349	-5.251672267913818	102777081.56872223	0.9999643350788784
Unique Binding	NOT Bound Only	HepG2	BCLAF1_3	0.0	105172	100.0	402	4.883437156677246	104770	-6897.9931640625	-722700780.6570911	-0.9999945672368864
Unique Binding	NOT Bound Only	HepG2	BCLAF1_3	1e-05	105172	100.0	402	4.883437156677246	104770	-6897.9931640625	-722700780.6570911	-0.9999945672368864
Unique Binding	NOT Bound Only	HepG2	BCLAF1_3	0.0001	105170	99.99809835317384	402	4.883437156677246	104768	-6897.99267578125	-722686933.514513	-0.9999945671327916
Unique Binding	NOT Bound Only	HepG2	BCLAF1_3	0.001	105133	99.96291788689004	389	4.875185966491699	104744	-6897.97705078125	-722519811.7596903	-0.9999947504902852
Unique Binding	NOT Bound Only	HepG2	BCLAF1_3	0.005	104940	99.77940896816642	284	4.534710884094238	104656	-6897.73779296875	-721888358.6030464	-0.9999964319876318
Unique Binding	NOT Bound Only	HepG2	BCLAF1_4	0.0	101509	100.0	1017	18.09822654724121	100492	-9939.5517578125	-998827029.3496952	-0.9999631463355856
Unique Binding	NOT Bound Only	HepG2	BCLAF1_4	1e-05	101508	99.99901486567694	1017	18.09822654724121	100491	-9939.552734375	-998817187.9336796	-0.9999631459724772
Unique Binding	NOT Bound Only	HepG2	BCLAF1_4	0.0001	101502	99.99310405973854	1013	18.09815788269043	100489	-9939.5517578125	-998797283.1568851	-0.9999632903268162
Unique Binding	NOT Bound Only	HepG2	BCLAF1_4	0.001	101420	99.91232304524722	972	18.077919006347656	100448	-9939.52734375	-998388070.8877258	-0.999964801024212
Unique Binding	NOT Bound Only	HepG2	BCLAF1_4	0.005	100915	99.41483021209942	782	17.51552963256836	100133	-9938.6259765625	-995170737.76696	-0.999972473533196
Unique Binding	NOT Bound Only	HepG2	BCLAF1_5	0.0	101870	100.0	99336	1420.0198974609375	2534	-19.14179801940918	141010591.2179985	0.9993125059806116
Unique Binding	NOT Bound Only	HepG2	BCLAF1_5	1e-05	101866	99.99607342691664	99336	1420.0198974609375	2530	-19.14178466796875	141010667.81896973	0.999313591318048
Unique Binding	NOT Bound Only	HepG2	BCLAF1_5	0.0001	101790	99.92146853833316	99311	1420.0186767578125	2479	-19.138446807861328	140976030.59785843	0.99932737080091
Unique Binding	NOT Bound Only	HepG2	BCLAF1_5	0.001	101240	99.3815647393737	99016	1419.86376953125	2224	-19.02690887451172	140546915.15856934	0.9993982026609964
Unique Binding	NOT Bound Only	HepG2	BCLAF1_5	0.005	97697	95.90360263080396	96450	1410.6416015625	1247	-16.021282196044922	136036403.93180466	0.9997063628281908
Unique Binding	NOT Bound Only	HepG2	BCLAF1_6	0.0	98844	100.0	98159	1770.9580078125	685	-6.538959980010986	173830987.90128088	0.9999484676832656
Unique Binding	NOT Bound Only	HepG2	BCLAF1_6	1e-05	98844	100.0	98159	1770.9580078125	685	-6.538959980010986	173830987.90128088	0.9999484676832656
Unique Binding	NOT Bound Only	HepG2	BCLAF1_6	0.0001	98835	99.99089474323176	98150	1770.95751953125	685	-6.538959980010986	173815001.35440588	0.9999484629438512
Unique Binding	NOT Bound Only	HepG2	BCLAF1_6	0.001	98787	99.94233337380112	98126	1770.9454345703125	661	-6.527493476867676	173771477.03945827	0.999950343301337
Unique Binding	NOT Bound Only	HepG2	BCLAF1_6	0.005	98501	99.65298854761038	97997	1770.52294921875	504	-6.0677900314331055	173502879.288414	0.9999647491916496
Unique Binding	NOT Bound Only	HepG2	BUD13_1	0.0	112777	100.0	1776	0.7809297442436218	111001	-125.8872528076172	-13972224.01767254	-0.9998015124957194
Unique Binding	NOT Bound Only	HepG2	BUD13_1	1e-05	112493	99.7481756031815	1558	0.7792242765426636	110935	-125.88682556152344	-13964040.96224475	-0.9998261505580728
Unique Binding	NOT Bound Only	HepG2	BUD13_1	0.0001	110492	97.9738776523582	1018	0.7539476156234741	109474	-125.79972839355467	-13771031.9474833	-0.9998885438461036
Unique Binding	NOT Bound Only	HepG2	BUD13_1	0.001	63110	55.95999184230828	174	0.3676592409610748	62936	-97.83969116210938	-6157574.830270588	-0.999979221891586
Unique Binding	NOT Bound Only	HepG2	BUD13_1	0.005	14	0.0124138787164049	0	0.0	14	-0.0713801011443138	-0.9993214160203934	-1.0
Unique Binding	NOT Bound Only	HepG2	BUD13_2	0.0	112253	100.0	104004	126.70193481445312	8249	-24.754364013671875	12973309.279693604	0.9694809111948512
Unique Binding	NOT Bound Only	HepG2	BUD13_2	1e-05	112178	99.93318664089156	103961	126.70166778564452	8217	-24.75420188903809	12968626.807741163	0.9695852522166628
Unique Binding	NOT Bound Only	HepG2	BUD13_2	0.0001	110565	98.496253997666	103669	126.68875122070312	6896	-24.67202377319336	12963557.87435913	0.9744226708648178
Unique Binding	NOT Bound Only	HepG2	BUD13_2	0.001	37446	33.35857393566319	35833	79.88087463378906	1613	-20.65293502807617	2829058.1965522766	0.9769911511747624
Unique Binding	NOT Bound Only	HepG2	BUD13_2	0.005	1768	1.5750135853830185	839	4.766657829284668	929	-19.756332397460938	-14354.406878471376	-0.6421732030270253
Unique Binding	NOT Bound Only	HepG2	BUD13_3	0.0	112515	100.0	2367	15.472726821899414	110148	-728.5621337890625	-80213037.96821022	-0.999087666243456
Unique Binding	NOT Bound Only	HepG2	BUD13_3	1e-05	112512	99.99733368884148	2366	15.472721099853516	110146	-728.5620727539062	-80211589.6074295	-0.999088035215942
Unique Binding	NOT Bound Only	HepG2	BUD13_3	0.0001	112479	99.96800426609784	2352	15.47197723388672	110127	-728.5607299804688	-80197817.42010498	-0.9990933145749088
Unique Binding	NOT Bound Only	HepG2	BUD13_3	0.001	112072	99.60627471892636	2207	15.401939392089844	109865	-728.414794921875	-79993299.36385345	-0.9991508484815133
Unique Binding	NOT Bound Only	HepG2	BUD13_3	0.005	103932	92.3716837754966	1437	12.78575325012207	102495	-699.5131225585938	-71678224.36922264	-0.9994876069177596
Unique Binding	NOT Bound Only	HepG2	BUD13_4	0.0	114251	100.0	9653	73.57354736328125	104598	-106.93502807617188	-10474984.614013672	-0.8805915361891172
Unique Binding	NOT Bound Only	HepG2	BUD13_4	1e-05	114234	99.9851204803459	9646	73.57351684570312	104588	-106.9349594116211	-10474423.391448976	-0.8806622065268598
