Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
SND1_3_left	SND1	5	1736.0336677644164	0.0	0.002469112757536072	0.0
SRSF1_center_left	SRSF1	3	1730.7614768526437	0.0	0.0020652650804160243	0.0
IGF2BP1_center_left	IGF2BP1	3	1711.5962119299427	0.0	0.00031436114220178597	0.0
GEMIN5_3_left	GEMIN5	5	1677.9537548738665	0.0	0.004445541891795849	0.0
QKI_center_left	QKI	3	1664.7708342385101	0.0	7.471946405072619e-05	0.0
FXR2_5_left	FXR2	1	1664.1025518522538	0.0	0.00034520198978507384	0.0
GPKOW_center_right	GPKOW	4	1598.0279790200198	0.0	0.006006264310172309	0.0
ZNF800_center_left	ZNF800	3	1596.2999333098512	0.0	0.0009696153572227561	0.0
DGCR8_center_right	DGCR8	4	1583.376211472249	0.0	0.0002715374323582396	0.0
CSTF2T_center_left	CSTF2T	3	1505.8237849911343	0.0	0.0005194472195615591	0.0
RBM15_center_right	RBM15	4	1484.114778485709	0.0	0.00937746737424187	0.0
YBX3_5_right	YBX3	2	1458.9121568811966	0.0	0.004039665554636632	0.0
RPS3_center_left	RPS3	3	1450.9302998696667	0.0	0.00025858930211987847	0.0
ELAVL1_center_right	ELAVL1	4	1448.3447135917363	0.0	0.0045760702138032796	0.0
UCHL5_3_right	UCHL5	6	1438.962790236417	0.0	0.005523866160132095	0.0
RBFOX2_center_right	RBFOX2	4	1402.283144171807	3.148358724728731e-305	0.003102018230659016	2.7880465595653315e-304
ELAVL1_center_left	ELAVL1	3	1383.170986358007	4.448735116117703e-301	0.0018223637665464403	3.8963097665338556e-300
HNRNPK_center_right	HNRNPK	4	1381.2961152803357	1.1359510823336706e-300	0.00403995107341021	9.840793615434081e-300
FMR1_5_left	FMR1	1	1353.6898251603034	1.1219909712991845e-294	0.0027438803951042603	9.61534197984355e-294
METAP2_center_left	METAP2	3	1331.015035628734	9.413634846751809e-290	0.0008973918561024031	7.981560609426799e-289
MATR3_center_right	MATR3	4	1324.9991381849043	1.9058682706019272e-288	0.0011274534108091276	1.5989231701786695e-287
NONO_center_left	NONO	3	1217.8807408697796	3.471820890161245e-265	0.00026831728797617726	2.882334634852617e-264
