Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
IGF2BP3_center_left	IGF2BP3	3	231.59144334248165	5.135196304917158e-51	0.0	1.350202476723908e-50
SF3B4_5_right	SF3B4	2	230.4068404302537	9.285179506456452e-51	0.006632543000143294	2.430883905123792e-50
NKRF_3_right	NKRF	6	224.6886942933404	1.6198319512026336e-49	0.00034626035507800165	4.222638847152164e-49
HLTF_3_left	HLTF	5	223.63413905280146	2.744503077408748e-49	0.0005091849344423059	7.124029264763134e-49
PCBP2_3_left	PCBP2	5	223.2483791766437	3.328360925952479e-49	0.0018638615361292713	8.602966800131406e-49
KHSRP_5_right	KHSRP	2	222.64177298563533	4.507682051663374e-49	0.0021336994905025624	1.1602050850272819e-48
HNRNPM_5_right	HNRNPM	2	222.2929566117794	5.3665822362272795e-49	0.0005350241669726881	1.3754685563439665e-48
NIP7_center_left	NIP7	3	222.14949315565087	5.7656793020763055e-49	3.985268574147344e-06	1.471575051994371e-48
RBFOX2_5_left	RBFOX2	1	219.01516304277212	2.763513679460986e-48	0.004850646236108327	7.02393060196334e-48
SUGP2_5_left	SUGP2	1	215.67991103188814	1.464543888047335e-47	0.0003773304716543306	3.7069368120700184e-47
DDX6_center_left	DDX6	3	214.55069042529132	2.5757845261805544e-47	0.0	6.492680004008835e-47
FTO_center_left	FTO	3	211.00810438543627	1.5141619006648277e-46	0.0	3.8009825489940124e-46
TIA1_center_right	TIA1	4	209.28657296001123	3.580948816073512e-46	0.0012375174784051445	8.95237204018378e-46
FUBP3_5_right	FUBP3	2	209.15754040070348	3.8195937827674946e-46	0.0	9.510009010155803e-46
WDR43_center_right	WDR43	4	209.05009609417536	4.0304024344518685e-46	0.0	9.994087337461951e-46
SFPQ_3_right	SFPQ	6	208.49387897692057	5.322668574123506e-46	0.00030230442031793474	1.3145051944191654e-45
GRWD1_3_right	GRWD1	6	206.67685844301752	1.3203541066333064e-45	0.026777494092137456	3.2476451816383747e-45
UCHL5_3_left	UCHL5	5	206.6272904678785	1.3534866284613636e-45	0.004300367281127899	3.315770455266795e-45
FKBP4_center_right	FKBP4	4	205.2194523946004	2.736289997637168e-45	5.214405556123715e-05	6.67654759423469e-45
NOL12_3_right	NOL12	6	204.39633337251828	4.129525455160034e-45	9.67915559285687e-07	1.0035898516524386e-44
SFPQ_3_left	SFPQ	5	203.48852509292175	6.50171922622673e-45	7.802763732072636e-05	1.573828860316788e-44
EFTUD2_3_left	EFTUD2	5	198.210899322969	9.100182154072507e-44	0.024814291856301723	2.1941150648159007e-43
SUPV3L1_3_right	SUPV3L1	6	198.0416745918152	9.903683868258041e-44	2.982334586771397e-05	2.3784437636367736e-43
SSB_center_left	SSB	3	196.567513970651	2.06969657295308e-43	0.00016728339751558043	4.9510388607897206e-43
FKBP4_center_left	FKBP4	3	195.91789156618762	2.8639827202563482e-43	4.477001751552233e-06	6.82433382561083e-43
UPF1_3_left	UPF1	5	192.19329206039586	1.8439829438489213e-42	0.00026571897779831163	4.376768855049969e-42
CDC40_center_left	CDC40	3	188.19784686939192	1.3594298420524003e-41	0.00022886894078918656	3.214155828108388e-41
SF3A3_3_right	SF3A3	6	185.2933146497356	5.808553008128876e-41	0.005801049028547865	1.368037581065102e-40
HLTF_5_left	HLTF	1	184.1524023501957	1.0275759117048434e-40	0.0015148812286388856	2.4108511774613637e-40
PCBP2_5_right	PCBP2	2	181.0395443992652	4.872618733209372e-40	0.001300705586370746	1.1388112748113858e-39
SRSF7_center_right	SRSF7	4	180.8860224669455	5.261375456982899e-40	1.6435130092250196e-05	1.2249767285341865e-39
LARP4_5_left	LARP4	1	180.71303949659068	5.736699078415168e-40	0.0024031174434112246	1.3305651854879285e-39
U2AF2_center_left	U2AF2	3	180.2219637183801	7.333272436717744e-40	0.00607204503383097	1.6944303736355393e-39
SRSF1_5_left	SRSF1	1	177.14090382229634	3.4224843846711096e-39	0.00013918438715976696	7.87817160245048e-39
BUD13_5_left	BUD13	1	176.3130593566842	5.177327251131927e-39	0.0013015484946235646	1.187281813229502e-38
