Position	AARS	AATF	ABCF1	ADAT1	AGGF1	AKAP1	AKAP8L	APEX1	APOBEC3C	AQR	BUD13	CPEB4	CPSF6	CSTF2T	DDX1	DDX21	DDX24	DDX3X	DDX42	DDX43	DDX47	DDX51	DDX52	DDX55	DDX6	DGCR8	DHX30	DROSHA	EEF2	EFTUD2	EIF3G	EIF4E	EIF4G2	ELAC2	ELAVL1	EWSR1	EXOSC10	EXOSC5	FAM120A	FASTKD2	FMR1	FTO	FUS	FXR1	FXR2	GARS	GEMIN5	GNL3	GPKOW	GRWD1	GTF2F1	HLTF	HNRNPA1	HNRNPC	HNRNPK	HNRNPL	HNRNPM	HNRNPU	HNRNPUL1	IGF2BP1	IGF2BP2	ILF3	KHDRBS1	KHSRP	LARP4	LARP7	LIN28B	LSM11	MATR3	MBNL1	METAP2	METTL1	MORC2	MTPAP	NCBP2	NIPBL	NOLC1	NONO	NPM1	NSUN2	PABPC4	PCBP1	PHF6	PPIL4	PRPF8	PTBP1	PUM1	PUM2	PUS1	QKI	RBFOX2	RBM15	RBM22	RNF187	RPS10	RPS11	RPS3	RPS6	RYBP	SAFB	SAFB2	SBDS	SDAD1	SERBP1	SF3B1	SF3B4	SLBP	SLTM	SMNDC1	SND1	SRSF1	SRSF7	SRSF9	SSB	SUPV3L1	TAF15	TARDBP	TBRG4	TIA1	TRA2A	TROVE2	U2AF1	U2AF2	UCHL5	UPF1	UTP18	UTP3	WDR3	WDR43	WRN	XRCC6	XRN2	YBX3	YWHAG	ZC3H11A	ZC3H8	ZNF622	ZNF800	ZRANB2
1	0.0019587039184663303	0.0014458648230508955	0.0	0.0002713323181303419	3.3138302941749276e-05	0.006142071790257352	0.00024731317551072323	0.0	0.00027741911185186246	0.0009506142062480074	0.009600049035122028	0.0	0.002801437254662749	0.001091590553260971	8.414910979934342e-06	0.0	0.0009519396916081776	0.021653046431705278	0.007814543001241816	0.0030996944037750707	0.0	0.0030460086783686497	0.004342554485374301	0.0005437587383973231	0.00024244862369405043	0.0	0.0012886533069296911	0.00036713934160737715	0.0	0.000351202862947122	0.010401799977525331	0.007132309273975991	0.0029118511228831763	0.002058439402196961	0.006696802630787607	0.0017980048455650867	0.0005832976200319415	0.0	0.001557091761511662	0.0	0.0001809822981175369	0.014717416119952557	0.0016742585042274494	0.0011488607538645361	0.0011157633797412923	0.0020628568407182087	0.0004752001253888276		0.0025474303851036454	0.0028781343326076563	0.00017077657505217865	0.012939298148987933	0.0	0.0	0.0008305509073436827	0.0038238649994841913	3.0067673898180052e-05	0.0	6.611540785533291e-05	0.0026195130583521326	0.005441944267338289	0.00040576627251781285	0.0	0.0010417253838283795	0.0009245322981331289	0.0	0.0027998666522705885	1.0119907926448988e-05	0.00011020839825439193	0.0010262873028088657	0.0006208685252625011	0.0	0.0004883326157385867	0.0022782281382071608	0.007822418875153862	0.0	0.0011693115718019993	0.002855665041624699	0.016993253988947694	0.011009785626520023	0.010091821977403218	0.0004958199114292176	0.0006754647019712824	0.0	0.005291030085506066	0.009575055376204218	0.00111178606420767	0.004143607452558092	0.0	0.0114529258252519	0.0002855257917242075	0.006528609414492705	0.0013150087480096606	0.00032148215293676833	0.0	0.0	0.000892093096350539	3.879094354315284e-05		0.0	0.0		0.0	0.0	0.0	0.0008504508813082537	0.0	0.009000883043028155	0.0008645318596065491	0.004693634523260678	0.008749196676645365	0.0003729972815531959	0.01316317404944641	0.0		0.0	0.01786349216679207	9.735521917527733e-05	0.0005831147942331105	0.00040734305095781203	0.0033357573229478737	0.0029970810683695014	0.00461605622426938	0.002368165998751938	0.00022593854880306928	0.000668709730095919		0.0	0.0049447225894299505	0.0	0.00016290173056800544	0.003208845040232052	0.0013596437454079003	0.0006594385763838888	0.0	0.003121340757394697	0.005244912964836005	0.0008286518485996187	0.0
2	0.0	0.00027002233062792117	0.0	0.0015716234493760573	0.0011502514616126924	0.0	0.0021606508483764443	0.002729778887262214	7.030092962136497e-06	0.01300976006489868	0.007092972645921541	0.03853043363909931	0.0003227273066641111	0.0004270122700607267	0.00015234225964456046	0.0	0.004195071562644521	0.008386514378754744	0.0009458660529848576	0.0068164614410862155	0.0	0.002426842288561478	0.00044859697268777196	0.0033120125944728672	0.0014732926991436774	0.0002651157699605606	0.0004094624221688548	0.0034972506755828053	0.0	0.0050950637415065	0.0003304129139504024	0.0007927909699377511	0.00404885563468873	0.0016314996962878432	0.0004247710023892583	0.0016157965307817225	0.00022681583800215256	0.0009355532271481662	0.00011280737900789058	0.00036611315223886333	0.0006515128181787788	0.0007187781148745356	0.006406385547887468	0.00022786507828240446	0.004529934044271827	0.0	0.0002851537469127001		0.007905785071947124	0.001100984205921874	0.0002409964030139642	0.01898789127296409	0.0	0.004855527017087514	0.0007696551409676329	0.0014722780993690827	0.002751803339151353	0.0	0.0	0.012339079667683512	0.00648444746066309	0.0010821783944590714	0.13569850604084982	0.0028793023352518647	0.0	0.0	0.002195282161756105	0.0004104830878986117	0.02426220280674593	0.006957018352367215	0.0022282914491805815	0.0	0.000910811903476629	0.0018429866723486147	0.0006623084743635571	9.885237151209008e-05	0.001311833529016107	0.0047787404854633085	0.0018243288280533551	0.0	0.01564026351349907	0.0049453633273036845	0.0002032956351694001	0.0	0.009035220438718537	0.0014187828122383497	0.0008196245902044188	9.196341061139793e-06		0.0008813947621401412	0.001387646222473903	0.0011591794501258413	0.02703165075696066	0.0	0.002354058001376883	0.0	0.001203509246738763	0.0006785205724952097	0.0	0.0015890308718851894	0.0		0.0	0.007399088788051799	0.0	0.013432009898118573	0.0	0.0004382265508817548	0.00806402179684799	0.005895126020651466	0.01484013574724882	0.01512124987742051	7.844365012019678e-05	0.0	0.0	0.02734526015539625	0.0016487528397034108	0.002721881622731608	0.014512194332564687	0.010550174270110546	0.024347222382092693	0.0010225938398448358	0.0003945969568591445	0.009832802490746213	0.0016235083414118112	0.000424934657239293			0.0	0.0013656119178425598	0.0010354454199798429	0.020189463071937194	0.009092830414534521	0.00021673217009631504	0.0	0.0	0.0018594532917373277	0.004489899904317767	0.0005741693775436563
3	0.00023573592432468135	0.0006887119536415163	1.9424196020187274e-05	8.150009205018838e-05	0.007254052308301836	0.0	0.00013315919083418221	0.0009772770816244352	0.007718566605669454	0.025567495390735367	0.029762716066176628	0.0027144394504118184	3.065946261444105e-06	0.0070461802355867055	4.549060484032708e-06	0.0	0.03276613114955654	0.04343229756094794	0.00410024147320191	0.03344175142415594	0.005248154919200045	0.0	0.00031976240340242027	0.00025872011078506677	0.0008077128599980446	0.000946186563504442	0.0011875501712427477	0.0008697069745041821	1.364338973939967e-06	0.002185261912374985	0.0	0.0007841055216585947	0.013367697420377762	0.004483124652190106	0.03808055807532607	0.008380108986788044	0.00034724728739331576	0.0037638249703968673	0.02162549342035503	0.0	0.027626693330341033	0.0009215839796466578	0.011284729542841928	0.020916563155743965	0.007110902890386733	1.9572613425487054e-05	0.000325017815187477	0.0	0.015290394372410848	0.018337365116525065	0.0014440809364023933	0.0	0.0	0.0005808556033211724	0.009757694662276991	0.04994564684637186	0.027971100129107373	0.0	0.0011385982342940217	0.028790219198542587	0.023634301396012542	0.034942498306843026	0.005816063206089024	0.009611927368914305	0.0	0.0	0.037194887360663724	0.0024084632086446914	0.01666344782701674	0.001976963876150426	0.017052964562014113	0.0	1.630350497073129e-05	0.0002671117391884138	8.991706285905389e-05	0.00023970779766377428	0.0017252574219605132	0.04231419551906984	0.0	0.0	0.02072594060628278	0.008780193159216111	0.00018846675044196617	0.0028464749650285964	0.03005990930900069	0.044144210312929186	0.008217068329620747	0.02476240379757009		0.026979184824846247	0.007262753281542936	0.0025925461896386228	0.0015587191112863697	4.740924443199931e-06			0.033144754301137884	0.0009336428260103336		0.2100445069282059	0.11940591740046372		0.0	0.0009430962446749713	0.0	0.0438069460367201		0.018538954782708398	0.0010712809088494236	0.037244686692988756	0.014928039115327802	3.4307291742226706e-05	1.4446234005995901e-06	0.0	9.259699709956546e-05	0.00014148873718374376	0.0005497965542829043	0.0	0.008331694686586783	0.009853954041897194	0.0006185318239376418	0.007296611682828883	0.00766920072559299	0.03499624941730077	0.025980466832244167	0.0004226671130503464	0.0	0.0	0.0	0.0	0.007640188426139715	0.0022997003451894404	0.041056072393199264	0.01993806213209426	0.01819200073814691	0.0003907519249934005	0.03205762349096995	0.01703245495928504	0.0036735227984845673
4	0.0	0.06973793528826322	0.0	0.023604652162892977	0.0067128523755986755	0.0	0.00018095316023974842	0.0	1.287083072796932e-05	0.03908343695436496	0.019886116585520513	0.0	0.0006181269473386534	0.0018682521258806407	0.00045215329126758634	0.0	0.037904423600013615	0.029710897222463444	0.0002029282896715906	0.030431566866815935	0.0024488161844411294	1.4641890215638416e-06	0.0	0.004377988272463925	0.00032576262215757356	0.0025310519554480907	0.0	0.0019599346151694588	0.0	0.024361737705303775	0.0	0.0036573141151276804	0.0006910602213321295	0.0006441699059152109	0.0014462429930284532	0.021982111222713367	0.004719888400773954	0.022345713621769923	0.0009914519531347059	0.00039711382908828006	0.01637578107904258	0.011352546041419168	0.0011305199239159418	0.03430996450199501	0.014625483169326653	3.157872773364531e-05	0.0017548622369484615		0.01481871724992722	0.024371510505361477	0.0007706827284098667	0.00837694212246282	0.0	0.0	0.037908463697624205	0.050184060680312025	0.046594939972306806		0.01333465149332286	0.029195138335010987	0.023188700548879886	0.003439345453479331	0.0	0.009050882568013268	0.0	0.0	0.03781032688068677	0.00020486817526221634	0.0009718948121436604	0.0008235795386135373	0.012604510296296615		0.0	0.001670616501304868	1.436349471060665e-06	5.409512544944867e-06	0.13636649997328426	0.057496072330506166	0.0	0.0	0.024252271577514212	0.0013606631595306825	0.0	0.0	0.035831221384324985	0.0010388516438291722	0.004979506667315415	0.03485441374884287		0.00035092175686832753	0.014119868444894252	0.013181896646310896	0.0245334100777804	0.0	0.0		0.022283256134850306	0.00031215745959117396	0.0	0.0007123658473944671	0.00121005408164629		0.0	0.00016700133070376622		0.0029053440697142437		0.0014513684638184545	0.020607027346827848	0.03881419227225292	0.03353326850851237	0.004736752505526046	0.008374356922190816	0.0		0.010717107917779667	0.0002426490495607095	0.0	0.003742735815717778	0.0007189854778654228	0.041249339299718135	0.0022223854063458666	0.0009189465194161631	0.036710047159579665	0.000737759278332963	1.3509658589611424e-06			0.0	0.0	0.0	0.0031954573532062876	0.04638850483048733	0.0	0.0005892434168926466	2.1616970912948673e-05	0.034430580784851665	0.017508446411238818	0.0017040956921666223
5	0.0	0.0022923202182799653	0.0	0.0	0.0010108233560001427	0.0	1.0859058397426938e-05	0.0	0.000545239437595871	0.01892233140300384	0.003512917701460602	0.0	0.002277995543343368	0.001667437510429788	0.0	2.2514295511356398e-05	0.0010127160500983008	0.14990040333899482	0.004056753226150463	0.005901476137810455	0.0	0.0010962007018173667	0.0007708411217193026	0.0012569293661336919	0.00031735863724220215	0.0010344627201210924	0.04503555220656102	0.07009468215691098	0.0	0.02032619033625452	0.0	0.009378542477532316	0.005652874061787762	0.0014789517097090618	0.001354535388706118	0.0037077385291290773	4.549498100654499e-05	0.0	0.013802383758741151	0.006033037029029841	0.0055165938291621775	0.05924079607875495	0.005163599870691207	0.00016971836527500332	0.0004196047867424805	4.7927562405263525e-05	0.019064050783154818	0.0	0.004017597357706869	0.0020754027030307747	0.0003974218203463901	0.0006154499399693982	0.0	7.423116138692882e-05	0.0027404045138432025	0.00014878805314136288	0.0030152610613455835		0.00511457696862293	0.0020511102448756585	0.0009349876956107512	0.00016298170081736768	0.0	0.0032942324346389076	0.0		0.0012277771279697325	0.0021941636720185704	0.0	0.0	0.0019305140250204676	0.0	0.0	0.0010566132013566422	0.002210696345407499	0.0020968867766290437	0.012027152669484776	0.0023277724006940466	0.0	0.0	0.013919668332342596	0.0005394194165792432	0.0	3.0173081647574763e-05	0.006661912688958493	3.254358860634428e-05	0.002191320458323102	0.0014508240406220698		0.0008032627659282002	0.0016418315851270487	0.0014857105428635522	0.0	0.0			0.0013564649051589228	8.514787852232761e-07	0.0	0.0	0.027050580028533958		0.0	0.013559741652648852	0.01675196459973771	0.00943169776283459		0.00298842142525003	0.000520615435341357	0.0016577530169084888	0.0022479205227774915	0.0016197887151958446	0.0	0.0	0.0	0.0	0.007166228482252814	0.0	0.0005382706225548977	0.0006665309151677308	0.0029077753460619066	0.013097086439231033	0.004089029497178097	0.008983835465765071	0.0007609968754873555	3.9681959180149066e-05			4.741742264269476e-05	0.0	0.0006866053949325245	0.0013702132390595555	0.004103278950008719	0.0	0.017215705660092583	0.0006874639386689204	0.008551424957645368	0.0017298721621075495	0.0
6		0.0007223551152330398	0.0	0.02183363400182564	0.0005236159044193498	0.0251750859845971	0.0	0.0	0.0003558009964366632	0.0010892543070246527	0.0008494728818331417	0.006439172105257875	0.004743530817641485	0.0006296546252264272	0.002001328175750988	1.803642979162274e-05	0.0005698205726081884	0.09973763329794165	0.0	0.0021529838536849004		0.0	0.0	0.0029161070053244625	0.003415930663883181	1.0293141850458976e-05	0.0022679663847311373	0.0007382427138481095	0.0	0.001483534487029045	0.001356538861241116	0.02957184079011932	0.0	0.003275735611560338	0.0057350114012148	0.0	0.002660950440989552	0.0	0.002899504329105684	0.0	0.001213517843127495	0.0004954761131925114	0.0018555475532428321	0.0006375480313616698	0.0005529764768210204	0.002951107373342307	0.0014879349892376935	0.0	0.008369528636796407	0.010454652225056496	0.0009687458131575208	0.0	0.0	0.0006257237950636316	0.0021186930120517516	0.01820690137385629	0.013952596061247616		0.0	0.011156520598419319	0.0008231343979172145	0.016254283361028937	0.0019473228328241868	0.002872755347869562	8.850914074080233e-05	0.0	0.0015774393853015707	0.004814996198909326	0.0	0.01605340449426913	0.0037367131971940046	0.0024997388880671533	0.0031771298748678326	0.0014628744692876858	0.0	0.0004767162636541504	0.00055001969477115	0.003804665859198596	0.0	0.0	0.0008978932953546103	0.040896468175714455	0.0	0.0	0.0007200339432472351	0.00234298092258668	0.011167850466371226	0.0030608373472230128		0.00044929927720735295	0.00011655232122585473	0.012593615569614197	0.0005234363415566243	0.002380654803814622	0.0		0.021850218633173216	0.002581318850100728	0.0	0.00021539103992131137	3.622546682746809e-06		0.0	2.6198660659972163e-05		0.0009023631119538431	0.0	0.0008269988881124222	0.000563430969863478	0.0008126182224191292	0.0012035078811842106	0.0040353009155270885	0.0	0.0	0.0	0.0	0.0015572727055420531	0.0	0.005903525464255987	0.01646065758837145	0.0015252540179053425	0.0010013176874184028	0.0038433527058955455	0.005841225975805857	0.0030046209411178633	0.0001143321202205807			0.0	0.012281626406113485	0.00048160002570763307	0.0024017404161304533	0.01367127578078231	0.0	0.009756603130340455	0.0	0.001104818330091376	0.002321010707333269	0.0
