Feature	RBP	Position	Global SHAP	Chi-Square Statistic	Chi-Square P-Val	Chi-Square FDR P-Val	Kruskal-Wallis Statistic	Kruskal-Wallis P-Val	Kruskal-Wallis FDR P-Val	ANOVA Statistic	ANOVA P-Val	ANOVA FDR P-Val	Linear Regression beta	Linear Regression pvalue	Linear Regression adj_pvalue	Chi-Square Rank	ANOVA Rank	Kruskal-Wallis Rank	Global SHAP Rank	Beta Coefficient Rank
EFTUD2_center_right	EFTUD2	4	0.00435736013830315	2232.699153454564	0.0	0.0	9724.60025258676	0.0	0.0	4833.238855686212	0.0	0.0	0.0063918366302645	0.0014237290149598	0.0018589300238995	38.0	29.0	258.0	77.0	293.0
EFTUD2_3_left	EFTUD2	5	0.024814291838059457	198.210899322969	9.10018215407251e-44	2.1941150648159007e-43	2224.6618856535088	0.0	0.0	2515.3607537912203	0.0	0.0	-0.050236129759355	7.104378290365344e-217	1.847138355494989e-215	253.0	71.0	355.0	19.0	449.0
EFTUD2_3_right	EFTUD2	6	0.0009090585600094506	140.67980262605508	2.8298864007956993e-31	5.95251967063923e-31	134.03130967005106	7.860875246795874e-30	7.93074969343406e-30	228.3096078694908	7.198854717587967e-100	1.0213375130577928e-99	0.0179385849395105	3.859856667285536e-22	1.0444318040890274e-21	290.0	320.0	450.0	201.0	246.0
EIF3D_5_left	EIF3D	1	0.0016176902523724246	171.97792216807966	4.523438567895639e-38	1.0181909691573209e-37	244786.67722393613	0.0	0.0	443.68000623814606	2.255550507749734e-193	3.9537449054763676e-193	0.1602701073420996	1.2526700080080831e-44	5.548864183620991e-44	271.0	259.0	20.0	147.0	54.0
EIF3D_5_right	EIF3D	2	0.00013193358370239286	11.60754939583144	0.0030161481824969	0.0034261646020915	39761.39088759045	0.0	0.0	129.3051864246374	7.030023345029859e-57	8.792370795161311e-57	0.0365267598303724	1.0808731090364215e-09	1.9888065206270162e-09	537.0	363.0	126.0	351.0	185.0
EIF3D_center_left	EIF3D	3	0.0	95.03150672106356	2.3129727277949386e-21	4.125477672382784e-21							-0.022034779816829	0.0157899088722287	0.0189605733044031	342.0			542.5	374.0
EIF3D_center_right	EIF3D	4	0.001177603688780143	458.7680929841642	2.397586981791707e-100	9.084025210515164e-100	146149.05326162657	0.0	0.0	1013.137051090566	0.0	0.0	0.0300702420566937	5.297614321009097e-05	7.615320586450577e-05	161.0	159.0	36.0	173.0	205.0
EIF3D_3_left	EIF3D	5	1.8344570295338835e-05	57.73583501938279	2.902837477739321e-13	4.31885575956338e-13	30264.581492934554	0.0	0.0	509.1576022454155	8.505422038746934e-222	1.5956452915665734e-221	0.0468719894007237	5.116590964488654e-07	8.247227484539662e-07	410.0	242.0	149.0	424.0	162.0
EIF3D_3_right	EIF3D	6	0.0012134331660802146	71.34833887080178	3.212958142497833e-16	5.051300172483707e-16	163640.298374141	0.0	0.0	325.42690144026466	4.9087172998277714e-142	7.765009247811178e-142	-0.1531828724147942	7.177314764023923e-108	7.036121686698862e-107	388.0	287.0	31.0	172.0	556.0
EIF3H_5_left	EIF3H	1	0.0025063090129227757	515.8476550379202	9.662843753934335e-113	4.180379212694996e-112	62897.42590221879	0.0	0.0	1358.557712353792	0.0	0.0	0.1134383229514597	1.5518588029384238e-56	8.513867561075019e-56	141.0	129.0	90.0	116.0	77.0
EIF3H_5_right	EIF3H	2	9.158264406922164e-05	925.2799198295456	1.1967909627487862e-201	7.449413135477139e-201	6575.520840040193	0.0	0.0	63.71564203981804	2.135475731843908e-28	2.417720654007816e-28	0.0077129834793269	0.0762631146597532	0.0883824468343652	98.0	401.0	294.0	368.0	287.0
EIF3H_center_left	EIF3H	3	0.0	500.8138027160798	1.7769062286534354e-109	7.323735131612132e-109							0.0101063356051113	0.13977655335467	0.1573209078987981	148.0			542.5	277.0
EIF3H_center_right	EIF3H	4	0.004089652198597425	1943.860886782916	0.0	0.0	349015.9672537899	0.0	0.0	4616.868862653834	0.0	0.0	0.0700283563425093	5.366156302832929e-44	2.308605373448987e-43	46.0	31.0	13.0	83.0	134.0
EIF3H_3_left	EIF3H	5	1.4331688089284915e-05	170.1197858972883	1.1454017996056945e-37	2.568731977056888e-37	61474.403802274486	0.0	0.0	26.888429568610047	2.102103755088548e-12	2.209155335208798e-12	-0.0347930998137701	5.388903150497601e-10	1.010208176801745e-09	272.0	432.0	91.0	429.0	410.0
EIF3H_3_right	EIF3H	6	0.0002496888689680192	504.6506770705643	2.6091426846542198e-110	1.0976393363028097e-109	2207.4163572222305	0.0	0.0	478.6598517533016	1.4737452933830464e-208	2.623844561552561e-208	-0.0343770080625637	3.281337234822209e-16	7.489464375662906e-16	145.0	255.0	356.0	314.0	408.0
EXOSC5_5_left	EXOSC5	1	0.0	8.261735939241216	0.0160689254287954	0.0177252161149461							0.5710811392267482	2.4147641100730907e-19	5.991821318770574e-19	553.0			542.5	2.0
EXOSC5_5_right	EXOSC5	2	0.0	75.27247534687385	4.516371506743827e-17	7.269093981830434e-17							-0.0191616451966181	0.2418148470596504	0.2667994069034519	379.0			542.5	364.0
EXOSC5_center_left	EXOSC5	3	1.3734515661097455e-06	336.7108962548311	7.658749763238255e-74	2.5669436019644702e-73	123.69796032484076	1.3782538176629566e-27	1.3874218031463023e-27	7.942035134772588	0.0003554930518858	0.0003634996521534982	0.2094842548658927	7.554472349566863e-11	1.4763315245231978e-10	182.0	444.0	451.0	453.0	30.0
EXOSC5_center_right	EXOSC5	4	0.0	82.40391468976375	1.2770775826102365e-18	2.14015748734133e-18							-0.0168617881636169	0.404029501000226	0.4314457885680985	364.0			542.5	355.0
EXOSC5_3_left	EXOSC5	5	0.0	150.17149341339945	2.458524472605916e-33	5.3370104209594605e-33							-0.0470864668523653	0.0536691347551728	0.0630533253115783	281.0			542.5	443.0
EXOSC5_3_right	EXOSC5	6	0.0	10.088426170214916	0.0064465312398528	0.0072021686013008							0.0252724460910975	0.1921749115292272	0.2144040990568617	546.0			542.5	222.0
FAM120A_5_left	FAM120A	1	0.00013132734349889053	136.14057213711243	2.7381067687458604e-30	5.6427200301857255e-30	939.291883976214	1.0848231547328697e-204	1.219083446160205e-204	69.73818344047727	5.177328314610911e-31	5.965753946277548e-31	0.1045403967309128	5.971238047127413e-43	2.497063183344191e-42	296.0	394.0	404.0	352.0	87.0
FAM120A_5_right	FAM120A	2	0.0031015824323550553	1018.7573469974384	6.020781968344909e-222	4.221467816885511e-221	16466.71424152237	0.0	0.0	1137.3838875697013	0.0	0.0	-0.0847434704859012	1.8974214757551985e-69	1.2200624112920524e-68	87.0	147.0	203.0	98.0	503.0
FAM120A_center_left	FAM120A	3	0.00044662469352576764	1195.9450556700644	2.0129400069760078e-260	1.6820457592539246e-259	17807.177517963686	0.0	0.0	927.1066588081684	0.0	0.0	-0.0721065218189908	1.3609525145003955e-46	6.4591238386606085e-46	73.0	171.0	196.0	268.0	489.0
FAM120A_center_right	FAM120A	4	0.0013898711814659005	157.22470320816998	7.229187498752311e-35	1.580575044530075e-34	1550.8305014167447	0.0	0.0	41.60207709898629	8.566596663421699e-19	9.260083059984409e-19	0.1701865859177942	1.457115289291987e-142	2.420430397212801e-141	279.0	420.0	377.0	161.0	45.0
FAM120A_3_left	FAM120A	5	0.0006762848764018455	271.4017087540899	1.1637715993941632e-59	3.3804794077639983e-59	30403.295374476587	0.0	0.0	1162.437907566415	0.0	0.0	0.0367414472473158	8.936196805103914e-17	2.0874397224422427e-16	210.0	145.0	148.0	219.0	184.0
FAM120A_3_right	FAM120A	6	0.0	75.5644074556688	3.9029897150851423e-17	6.29847546614269e-17							-0.0633944132100287	4.573393676328711e-20	1.1687561617284485e-19	378.0			542.5	478.0
FASTKD2_5_left	FASTKD2	1	0.00021229260248321918	130.8844158905912	3.7914925397491115e-29	7.735152004170428e-29	29913.557079512488	0.0	0.0	192.4781866814257	2.603208648048573e-84	3.5174307327799174e-84	-0.114359826553425	3.773804243048976e-20	9.685557671001236e-20	299.0	336.0	153.0	324.0	539.0
FASTKD2_5_right	FASTKD2	2	0.0001923163921661013	122.4508788279662	2.571162411529176e-27	5.0593841001057976e-27	76269.82389955588	0.0	0.0	483.3254045158801	1.390381386781325e-210	2.5048934507885777e-210	-0.0522870266956312	1.0509384293849252e-09	1.939695002383288e-09	310.0	252.0	81.0	330.0	456.0
FASTKD2_center_left	FASTKD2	3	0.00010917873811682908	44.22422363493048	2.4936290830369466e-10	3.4728624215811365e-10	91222.2921025228	0.0	0.0	214.9173624954548	4.7011526467811477e-94	6.507083236703174e-94	0.2132500421315394	9.42416354723024e-73	6.404147501413277e-72	438.0	328.0	62.0	359.0	26.0
FASTKD2_center_right	FASTKD2	4	2.721118914429938e-06	422.080038815393	2.220670434369087e-92	8.160294969669537e-92	122200.49154149	0.0	0.0	36.268792622655006	1.7739352019985842e-16	1.8949801922526053e-16	-0.0409973709796782	8.002130159260483e-06	1.1815490951204368e-05	166.0	425.0	47.0	448.0	427.0
FASTKD2_3_left	FASTKD2	5	0.00219501310176745	86.75070886369302	1.4531917366566588e-19	2.5111811879902603e-19	130111.37879861164	0.0	0.0	996.7345689948166	0.0	0.0	-0.2559212271360505	8.094442737196475e-164	1.6691299161529282e-162	353.0	161.0	44.0	124.0	581.0
FASTKD2_3_right	FASTKD2	6	1.971633256454708e-05	0.5009397567095962	0.7784349274013013	0.7822822169930705	99581.2339936392	0.0	0.0	267.94816337104584	4.431571882683675e-117	6.596503720453733e-117	0.1122005267725699	1.755213103824725e-44	7.717775265346954e-44	607.0	305.0	57.0	423.0	78.0
FKBP4_5_left	FKBP4	1	0.0	7.971944310664805	0.01857437836173	0.0204150825237032							-0.4602770848494161	1.9746666806516863e-26	5.874878980247305e-26	555.0			542.5	596.0
FKBP4_5_right	FKBP4	2	7.066551763761616e-05	73.14463414087179	1.3087132694863662e-16	2.0789455582986543e-16	1163.6712659331436	2.051139640589912e-253	2.3634959310350765e-253	479.21367856806	8.472450818330188e-209	1.514367193512561e-208	0.10744781363587	2.442954058305227e-25	7.1262757408123205e-25	384.0	254.0	394.0	382.0	83.0
FKBP4_center_left	FKBP4	3	4.477001751552232e-06	195.9178915661876	2.8639827202563482e-43	6.82433382561083e-43	37308.21863895193	0.0	0.0	25.9459699429751	5.394469988341512e-12	5.65609555359595e-12	-0.0440806002063253	0.0086621534152195	0.0105713627393903	256.0	433.0	129.0	445.0	434.0
FKBP4_center_right	FKBP4	4	5.214405556123715e-05	205.2194523946004	2.736289997637168e-45	6.67654759423469e-45	930.033616156451	1.1111335456863576e-202	1.245566987016312e-202	81.43908670766167	4.2937501162688585e-36	5.063279357885874e-36	0.0888219108816158	4.319008110163394e-10	8.147529494882365e-10	250.0	385.0	405.0	395.0	104.0
FKBP4_3_left	FKBP4	5	0.0	87.92030046792043	8.097469665666716e-20	1.407252562979116e-19							0.0860761597948802	9.727701559010824e-07	1.5553918535530676e-06	351.0			542.5	108.0
FKBP4_3_right	FKBP4	6	1.3252376946910036e-05	91.43816928610796	1.3946133617575232e-20	2.4516257944440612e-20	495.8818366268453	2.0923163002756466e-108	2.2246173309722332e-108	242.6145088951216	4.42718880152124e-106	6.442127294521292e-106	-0.251861409264219	2.121665949606398e-29	6.748703392896945e-29	347.0	312.0	427.0	431.0	580.0
