Feature-Feature Interaction	Cell Line	interaction_shap	f1_main_effect	f2_main_effect	abs_difference_interaction_vs_main1	abs_difference_interaction_vs_main2	avg_of_abs_differences	avg_multiplicative_difference	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
DDX3X_1-TRA2A_5-interaction-shap	HepG2	-0.2914459705352783	-0.11173701286315918	-0.05796019732952118	0.17970895767211914	0.23348577320575714	0.20659736543893814	3.818351014949605	1.5759993835772258e-97	8.059209384694503e-154	true	False	False	False	False
DDX3X_1-SRSF9_1-interaction-shap	HepG2	-0.33479344844818115	-0.11173701286315918	-0.16324535012245178	0.22305643558502197	0.17154809832572937	0.19730226695537567	2.5235616452978054	1.2354598443211231e-143	1.187812995314864e-213	true	False	False	False	False
U2AF2_3-KHSRP_4-interaction-shap	HepG2	-0.2548348605632782	0.09508994966745377	-0.021527668461203575	0.15974491089582443	0.23330719210207462	0.19652605149894953	7.25874257908729	5.70825946914961e-205	7.813024564772177e-193	true	None	False	False	False
SUB1_2-PPIG_6-interaction-shap	HepG2	0.290140837430954	-0.18349111080169678	0.02143123187124729	0.1066497266292572	0.2687096055597067	0.18767966609448195	7.559725249228448	1.0	1.0	false	False	None	None	False
EFTUD2_2-HNRNPC_4-interaction-shap	HepG2	0.30849364399909973	-0.1441425085067749	-0.10450964421033859	0.16435113549232483	0.20398399978876114	0.18416756764054298	2.5460094034368232	1.924256367845416e-9	2.5907169619329826e-76	true	False	False	False	False
U2AF2_3-SUB1_6-interaction-shap	HepG2	-0.24110642075538635	0.09508994966745377	-0.023231124505400658	0.1460164710879326	0.2178752962499857	0.18194588366895914	6.457078022379936	3.3154155091402777e-143	2.7190630468011404e-185	true	False	False	False	False
KHSRP_2-PRPF8_5-interaction-shap	HepG2	0.29169419407844543	-0.23931440711021423	-0.0016077853506430984	0.0523797869682312	0.29008640872780234	0.17123309784801677	91.32247731215688	6.654031424376031e-162	2.128070963365709e-74	true	None	False	False	False
DDX59_3-HNRNPK_3-interaction-shap	HepG2	0.44088438153266907	-0.19163724780082703	-0.35798153281211853	0.24924713373184204	0.08290284872055054	0.1660749912261963	1.766101804571937	1.3773374376879962e-39	9.752397958147276e-43	true	None	None	None	None
AKAP8L_1-PRPF8_1-interaction-shap	K562	-0.2628065347671509	-0.004776835907250643	0.19428347051143646	0.25802969885990024	0.06852306425571442	0.16327638155780733	28.18478050407779	2.633950290118527e-29	3.9706446719930504e-66	true	None	False	False	False
PUM2_1-IGF2BP1_6-interaction-shap	K562	-0.38751155138015747	-0.22497674822807312	-0.22630161046981812	0.16253480315208435	0.16120994091033936	0.16187237203121185	1.717409593736853	2.404531005114791e-83	2.2020885461065186e-72	true	False	False	False	False
SF3B4_1-XPO5_3-interaction-shap	HepG2	0.24932445585727692	0.0023197485134005547	-0.17550241947174072	0.24700470734387636	0.0738220363855362	0.16041337186470628	54.44986056144156	1.0	1.0	false	False	False	False	False
QKI_1-KHSRP_2-interaction-shap	K562	-0.2959761619567871	-0.12953729927539825	-0.14459437131881714	0.16643886268138885	0.15138179063796997	0.1589103266596794	2.165906605246322	0.004088846639763754	0.04772969723036462	true	None	None	None	None
EFTUD2_2-FKBP4_2-interaction-shap	HepG2	-0.24383856356143951	-0.1441425085067749	-0.03717195242643356	0.09969605505466461	0.20666661113500595	0.15318133309483528	4.1256975790744495	0.0	1.5564564440926e-229	true	False	None	None	False
U2AF2_3-ZNF800_5-interaction-shap	HepG2	-0.2145439088344574	0.09508994966745377	-0.028561793267726898	0.11945395916700363	0.1859821155667305	0.15271803736686707	4.883895318257996	0.001943712009353951	1.3265751700027144e-55	true	None	False	False	False
FUBP3_6-TIAL1_6-interaction-shap	HepG2	-0.2511662244796753	0.16682122647762299	-0.03276895731687546	0.08434499800205231	0.21839726716279984	0.15137113258242607	4.585181033161087	0.9999999989737315	1.0	false	False	None	None	False
AQR_1-FXR1_5-interaction-shap	K562	-0.20596832036972046	-0.0025427292566746473	0.11457481235265732	0.2034255911130458	0.09139350801706314	0.14740954956505448	41.40026344188246	0.029241954952604916	9.806603100698842e-88	true	None	None	None	None
PRPF8_1-BCLAF1_6-interaction-shap	HepG2	-0.25877609848976135	-0.13666246831417084	-0.09208220988512039	0.12211363017559052	0.16669388860464096	0.14440375939011574	2.3519071381818564	2.2372197032159006e-135	3.054029404572379e-209	true	None	False	False	False
LARP4_6-LIN28B_6-interaction-shap	HepG2	-0.1648302972316742	-0.0026405691169202328	0.04329080134630203	0.16218972811475396	0.12153949588537216	0.14186461200006306	33.114887593535904	0.4240805615573657	2.0143095999772878e-53	false	False	False	False	False
GTF2F1_2-PCBP2_2-interaction-shap	HepG2	0.2625763416290283	-0.007730825804173946	-0.2353159487247467	0.2548455158248544	0.027260392904281616	0.141052954364568	17.540348142715946	1.1592663499633625e-42	4.412810100452656e-60	true	False	None	None	False
DDX3X_2-TRA2A_5-interaction-shap	HepG2	-0.23191410303115845	-0.1320383995771408	-0.05796019732952118	0.09987570345401764	0.17395390570163727	0.13691480457782745	2.8788394846722554	1.641314397616039e-10	7.628036545972112e-42	true	False	False	False	False
GARS_1-YBX3_2-interaction-shap	K562	-0.20047615468502045	-0.016777144744992256	-0.12133116275072098	0.1836990099400282	0.07914499193429947	0.13142200093716383	6.800833147676572	9.637696141458424e-91	2.213112078157273e-135	true	None	None	None	None
