Position,AGGF1,AKAP1,AQR,BCCIP,BCLAF1,BUD13,CDC40,CSTF2,CSTF2T,DDX3X,DDX52,DDX55,DDX59,DDX6,DGCR8,DHX30,DKC1,DROSHA,EFTUD2,EIF3D,EIF3H,EXOSC5,FAM120A,FASTKD2,FKBP4,FTO,FUBP3,FUS,FXR2,G3BP1,GRSF1,GRWD1,GTF2F1,HLTF,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1,IGF2BP1,IGF2BP3,ILF3,KHSRP,LARP4,LARP7,LIN28B,LSM11,MATR3,NCBP2,NIP7,NKRF,NOL12,NOLC1,NSUN2,PABPN1,PCBP1,PCBP2,POLR2G,PPIG,PRPF4,PRPF8,PTBP1,QKI,RBFOX2,RBM15,RBM22,RBM5,RPS3,SAFB,SDAD1,SF3A3,SF3B4,SFPQ,SLTM,SMNDC1,SND1,SRSF1,SRSF7,SRSF9,SSB,STAU2,SUB1,SUGP2,SUPV3L1,TAF15,TARDBP,TBRG4,TIA1,TIAL1,TRA2A,TROVE2,U2AF1,U2AF2,UCHL5,UPF1,UTP18,WDR43,XPO5,XRCC6,XRN2,YBX3,ZC3H11A,ZNF800
1,0.0,0.403092815842427,-0.06848996581329327,0.0,-0.024509654163886754,-0.000354534578267184,-0.09885289671635905,0.0,0.00672430110410571,-0.11027128446914101,0.0,-0.41224489609400433,-0.0323174678672008,0.0,0.5563788697164805,0.0,0.0,0.10775908396246867,0.002917761592583115,0.0,0.0,0.0,0.004848459626404935,0.0,0.0,-0.04202384740848168,0.0,0.0,-0.0018358140494869927,0.006530727280429114,0.07260137840681914,-0.1062642277238226,0.09226205413285483,-0.07487615213740147,,0.0,-0.06694624753855996,0.0,0.0,0.0,0.0,-0.3266464278925474,0.00244291413537916,0.0,-0.03610934436145751,-0.17623196566976898,0.0,-0.005626003610280227,0.0,0.0,-0.06858837362923383,0.0,0.0,0.0,-0.004445072728205661,0.0,0.0038553998699989637,0.3804266020532482,-0.000606882527069208,0.0,-0.010337469282631708,0.014659764413633111,-0.12938955901221139,0.12147083935598212,0.8017820621126532,-0.011738591553621799,0.0,-0.584217021972435,-0.005644773701505707,0.02634589368015876,0.0,0.03234920581355257,-0.021696741192857628,-0.0033945527700426272,0.0,0.0,0.12878668599350507,-0.029359629050650517,-0.09718708682652152,0.0,-0.14921117549942386,0.0,0.0,0.004907815515088181,0.0,0.0,0.0,0.1744742902285523,,0.0,0.0,-0.13603263468094612,0.0,-0.011092046279247954,-0.0018546280424921859,0.004526472141938373,0.0,0.0,0.4794727705773853,0.0,0.0,-0.39936184039980377,-0.38957439331958693,-0.18869040811818744,-0.09541423790402333
2,0.0,0.0,-0.17702699556813217,0.0,-0.11299844380869302,-0.0021659522357454462,0.0,0.0,0.011538568647388335,-0.09813055136032665,0.0,-0.5646834690650508,-0.0021850879494321627,0.0,0.06629100111837419,0.0,0.0,0.0,-0.15988000152748363,0.0,-0.036019325026696795,0.0,-0.060452530458880105,0.019286989201323167,-0.11918060544978928,0.0,0.0,0.0,-0.01915935526541335,-0.0024624584568881643,0.0,-0.08721312593868383,-0.006984811408281988,0.6256391272961515,0.0,0.0,-0.04276723918528893,0.0,-0.024914176046769036,0.0,0.0,-0.06493756051427138,0.1362280181977395,0.0,-0.2258413854346938,-0.3629320982205617,0.0,-0.14842075036488636,0.0,0.0,-0.29049937538858317,0.07925285792058231,-0.1472831487942167,0.0,0.06153742737870233,0.0,0.004145660448238653,-0.267819833849113,-0.16203465616493018,,-0.1393693081043386,-0.15339029112358946,-0.14982125711349079,-0.10976131981930014,0.0,0.01204126389942771,-0.22453615615986997,-0.365153846853919,0.0,-0.130855817091778,0.0,0.0,0.0,0.13791235024020784,0.0,-0.050132012736101295,0.0,-0.15947103579229518,-0.26419202091114463,0.0,0.0,0.0,0.0,-0.20561559763686224,0.0,0.0,0.0,0.0,,-0.238703136912966,-0.05981210709846922,-0.17197329374464182,-0.04955429555848241,-0.3730543143040425,-0.21395764435347042,-0.4158963896522212,0.0,0.0,0.0,0.0,0.0,-0.28405928510023887,-0.01309794665822277,0.0,-0.04090040256895219
3,-0.5804436772644936,0.0,0.912755211176452,0.0,1.1958039377726455,0.6812607716347711,0.0,0.0,-0.23711133636534215,0.998556550464883,0.0,0.0,-0.0886720284102005,-0.5017086684703826,-0.6345993252659616,,0.0034317066762643766,0.023345707105331064,-0.05671257376565914,0.0,0.05737294942292871,0.0,0.0022668001661456756,0.0,-0.4211916064222654,0.0,0.0,0.0,0.4908521256855459,1.554102104471703,0.0,1.1111948765265554,-0.02071434028872422,0.0,,-1.4731048998171397,-0.260329115283952,-0.10021888438546867,-0.7929999096640226,0.0,0.0,0.8597439356104453,0.15358118449380112,-1.5153233591391115,-0.1716258095477273,0.971176111089808,0.0,0.9806712504450699,-0.009497057770191589,-0.5042465166612105,0.947358745499514,0.0,-1.057706284625777,0.0,-0.016737103485369356,0.0,0.6054323208877134,-0.012629947657045056,0.0031926557578002444,,0.7628342412092607,-0.030492855880687494,0.2458134827643297,-0.4379754066956382,-0.441306562409248,-0.01692564703874002,0.041849808006064734,-0.6435788577916671,0.4885937508271665,0.57730466297125,0.0,0.0,0.4835982661321347,0.8102473075559132,-0.5659679969151815,0.0,0.0,1.088642879307084,-0.16064911151405356,0.0,0.0,0.0,0.0,0.4309198476466895,-1.3688989559809366,0.0,0.0,-0.44953308829655475,,-0.006566777568629109,0.0,0.011546765838747754,0.0,-0.1382081297363515,0.04661141454959308,0.10234017779377742,0.0,0.0,0.0,-0.16090518468897977,0.0,-0.015680704659515,1.0335500620676008,0.0,0.27485753470254387
4,0.0,0.0,0.5869931206167334,0.0,1.2499012653314057,0.036881563178328775,0.6837205655898425,0.0,-0.018563943150568484,0.4594515556837303,0.0,0.0,0.003127069849657643,0.0,-0.006761405742659384,,-0.06466959098863423,0.003550574495225841,0.2847550241990168,0.0,0.13888097903890992,0.0,-0.0031824310450733998,0.0,0.0,0.0,0.0,-0.14971465370871803,0.593787085151292,1.372571260118601,0.0,1.0158684864157408,-0.09451395151808575,-0.1076863109896895,,-0.10702719491779465,-0.08806132106482321,0.0,-0.7865978496830638,0.0,0.0,1.148103077511851,0.887169546236181,-1.377697568673354,-0.04779701965605843,1.5594355106466276,0.0,1.3907859384950905,0.0,0.0,-0.007601216494993761,0.0,-0.23405571968842906,0.0,-0.13334912900943213,0.0,0.6488365652490587,-0.005292934413875229,0.026641962961589556,,1.044047928691028,-0.033822121018871526,1.0995897425831629,-0.2341511780168952,-0.9196330877499278,-0.40695622527141817,0.0,0.587773087848174,-0.013898467503114758,0.6561394006900879,,-0.004844211967823965,0.0,-0.504098024885386,0.0,0.0,0.0,1.4132669263203488,-0.0613511616266522,0.12543380353258643,-0.026520171649984003,0.0,0.0,0.9680053434781068,-1.5595238715410233,0.0,0.0,-0.017081859194499782,,-0.16490139114619956,-0.02625153776309834,-0.04900610547848724,0.00540238408474008,-0.45778229289604,-0.305159688462573,0.05490548424509141,0.18400435523478845,0.0,0.0,0.0,0.0,-0.4199895393557665,1.3961228686255833,0.0,0.23047162825105924
5,0.03603889387251669,0.0,-0.15067441382635802,0.0,-0.08279812337332801,-0.16227119557528488,0.0,0.0,0.0008033707536685103,-1.2013146649371642,0.0,0.23607705042140031,0.0,0.0,0.0,,-0.035976099147906,-0.004672626547456365,0.0705240923284672,-0.6652326793737815,0.0035566084522890597,0.0,-0.013564900116646196,0.0,0.0,0.0,0.0,-0.3210249294023045,-0.0018394652706967146,-0.0954791684896828,0.0,-0.2744189100205242,0.016857666007872103,0.0,0.0,0.0,0.011378806729366019,0.0,0.0,0.0,0.0,-0.17652001242653792,-0.2937223626870543,0.0,-0.36550101429274273,-0.17859482551254394,0.0,-0.02135435975047235,-0.000805574505037143,0.0,-1.4932751394154733,0.0,0.0,-0.056949799626119554,0.00016977364276078382,0.0,-0.02354973547144742,-0.004493835720693435,0.0055705078421934475,0.0,-0.025497472418978005,0.049606692433805465,-0.023749302736783308,-0.00693425255587905,-0.22177284799527142,-0.05898380702428008,-0.028139629581041648,0.0,-0.01831395105009385,-0.23148334448143443,,-0.08001410821120596,-0.41966623038671536,-0.24822532759250113,0.0,0.0,-0.008048034188937968,0.03421398863816584,0.05964573660610169,0.0,0.0,0.0,0.0,-0.12417929468731291,0.0,0.0,0.0,-0.16420157678044453,,0.0,0.0,-0.032700102726242346,0.0054615509025632706,-0.15962496488302239,-0.15678461149647588,-0.02381582147031772,0.0006232459049686996,0.0,0.0,0.05008676403558979,0.0,-0.049692206858749685,-0.07376794892743296,0.0,-0.01781792990898966
6,-0.006862325767087896,-0.044941537661483504,-0.10367128458974191,0.0,-0.0841444294882393,-0.06876208716434845,-0.004801296784426086,-0.013997103430018795,-0.08643001625624189,-0.6443455676279307,0.0,-0.006238035480530302,0.08681063707275637,0.0,0.0,0.0,0.0,0.0,-0.022582159240000246,-0.26711345725301383,0.04666225196407938,0.0,0.0,0.0,0.0,0.0,0.14139919632203352,-0.08773036004192587,-0.004131432820090223,-0.05486201942978268,-0.017430607894517853,-0.22068004141978667,0.0,-0.24203701192049482,0.0,0.01767368657318385,-0.06387612718049766,0.2584605586766465,0.0,0.0,0.0,-0.022755199004685193,-0.01193427858396723,0.0,-0.030014136148768314,-0.028513466483626706,0.0,0.025424864084254678,0.0026667155652036526,0.0,-0.45124568391327907,0.0,0.0,0.0,0.0,0.0,-0.022768002507954563,-0.5536637778160373,-0.007364509469499031,,0.022749750052939523,0.021050065058957124,-0.034990140001433134,-0.03896102811348565,-0.2350963988950943,-0.0020641772511632954,-0.20644444545952853,-0.043746557363572434,0.0,-0.26650622461111945,0.0,-0.03539045126370022,0.01995655390246104,0.0,0.0,0.0,0.0,-0.0026741720385312327,-0.006898595963970017,0.0018972140369231366,0.0271227359109936,0.0,0.0,-0.02740177856584473,0.0,0.012774440762921098,0.0,0.0,,0.004948973163128152,-0.06179844809885628,-0.008107264457221397,0.0,0.03275844591710439,-0.04885848480903957,-0.1944328430324324,-0.009192861603959136,0.0,0.0,0.0431464939190521,0.0,0.0,0.0,-0.139281906947263,-0.18674889582106227
