Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	UCHL5_4-AKAP1_6-interaction-shap	interaction	AKAP1-UCHL5	UCHL5	4	AKAP1	6	42	0.012421445921063423	false	0.012421445921063423
K562	DDX3X_4-KHDRBS1_6-interaction-shap	interaction	DDX3X-KHDRBS1	DDX3X	4	KHDRBS1	6	2	0.012420833110809326	false	0.012420833110809326
K562	ELAC2_2-RBM15_6-interaction-shap	interaction	ELAC2-RBM15	ELAC2	2	RBM15	6	38	0.012413831427693367	false	0.012413831427693367
K562	ELAC2_4-FUS_5-interaction-shap	interaction	ELAC2-FUS	ELAC2	4	FUS	5	71	0.012401803396642208	false	0.012401803396642208
K562	ILF3_1-BUD13_2-interaction-shap	interaction	BUD13-ILF3	ILF3	1	BUD13	2	21	0.01220620609819889	false	0.01220620609819889
K562	FASTKD2_1-FXR2_3-interaction-shap	interaction	FASTKD2-FXR2	FASTKD2	1	FXR2	3	1	0.012196548283100128	false	0.012196548283100128
K562	NOLC1_1-SF3B4_5-interaction-shap	interaction	NOLC1-SF3B4	NOLC1	1	SF3B4	5	148	0.012189610861241817	false	0.012189610861241817
K562	ELAC2_2-FAM120A_5-interaction-shap	interaction	ELAC2-FAM120A	ELAC2	2	FAM120A	5	11	0.012188432738184929	false	0.012188432738184929
K562	FXR2_4-KHDRBS1_6-interaction-shap	interaction	FXR2-KHDRBS1	FXR2	4	KHDRBS1	6	9	0.01217060536146164	false	0.01217060536146164
K562	SRSF9_1-HNRNPK_4-interaction-shap	interaction	HNRNPK-SRSF9	SRSF9	1	HNRNPK	4	6	0.012165593914687634	false	0.012165593914687634
K562	IGF2BP1_3-CSTF2T_4-interaction-shap	interaction	CSTF2T-IGF2BP1	IGF2BP1	3	CSTF2T	4	35	0.012133474461734295	false	0.012133474461734295
K562	NOLC1_1-ELAVL1_6-interaction-shap	interaction	ELAVL1-NOLC1	NOLC1	1	ELAVL1	6	12	0.012106399983167648	false	0.012106399983167648
K562	IGF2BP2_4-U2AF1_5-interaction-shap	interaction	IGF2BP2-U2AF1	IGF2BP2	4	U2AF1	5	79	0.012042885646224022	false	0.012042885646224022
K562	XRN2_2-FAM120A_6-interaction-shap	interaction	FAM120A-XRN2	XRN2	2	FAM120A	6	14	0.012026913464069366	false	0.012026913464069366
K562	NOLC1_1-XRN2_2-interaction-shap	interaction	NOLC1-XRN2	NOLC1	1	XRN2	2	1	0.01197156310081482	false	0.01197156310081482
K562	ILF3_3-ELAVL1_5-interaction-shap	interaction	ELAVL1-ILF3	ILF3	3	ELAVL1	5	9	0.011797555722296238	false	0.011797555722296238
K562	BUD13_1-SRSF7_2-interaction-shap	interaction	BUD13-SRSF7	BUD13	1	SRSF7	2	10	0.01155583281069994	false	0.01155583281069994
K562	RBM15_1-SRSF7_5-interaction-shap	interaction	RBM15-SRSF7	RBM15	1	SRSF7	5	8	0.011526456102728844	false	0.011526456102728844
K562	RBFOX2_3-GTF2F1_5-interaction-shap	interaction	GTF2F1-RBFOX2	RBFOX2	3	GTF2F1	5	55	0.011462255381047726	false	0.011462255381047726
K562	FMR1_5-RPS6_6-interaction-shap	interaction	FMR1-RPS6	FMR1	5	RPS6	6	13	0.011442008428275585	false	0.011442008428275585
K562	NONO_3-RBM22_4-interaction-shap	interaction	NONO-RBM22	NONO	3	RBM22	4	18	0.011411581188440323	false	0.011411581188440323
K562	FXR1_4-EFTUD2_5-interaction-shap	interaction	EFTUD2-FXR1	FXR1	4	EFTUD2	5	132	0.01140989176928997	false	0.01140989176928997
K562	FMR1_1-EXOSC5_5-interaction-shap	interaction	EXOSC5-FMR1	FMR1	1	EXOSC5	5	4	0.011408329010009766	false	0.011408329010009766
K562	SMNDC1_2-XRN2_6-interaction-shap	interaction	SMNDC1-XRN2	SMNDC1	2	XRN2	6	43	0.01129391323775053	false	0.01129391323775053
