Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
HepG2	FUBP3_6-TIAL1_6-interaction-shap	interaction	FUBP3-TIAL1	FUBP3	6	TIAL1	6	209	0.2511662244796753	false	0.2511662244796753
HepG2	EFTUD2_2-FKBP4_2-interaction-shap	interaction	EFTUD2-FKBP4	EFTUD2	2	FKBP4	2	376	0.24383856356143951	false	0.24383856356143951
HepG2	PPIG_4-RBFOX2_4-interaction-shap	interaction	PPIG-RBFOX2	PPIG	4	RBFOX2	4	467	0.23773698508739471	false	0.23773698508739471
HepG2	BUD13_3-PRPF4_3-interaction-shap	interaction	BUD13-PRPF4	BUD13	3	PRPF4	3	755	0.23461109399795532	false	0.23461109399795532
HepG2	FXR2_4-LARP4_4-interaction-shap	interaction	FXR2-LARP4	FXR2	4	LARP4	4	23	0.2261579930782318	false	0.2261579930782318
HepG2	BUD13_3-PPIG_3-interaction-shap	interaction	BUD13-PPIG	BUD13	3	PPIG	3	1807	0.22302617132663727	false	0.22302617132663727
HepG2	ILF3_4-RBM22_4-interaction-shap	interaction	ILF3-RBM22	ILF3	4	RBM22	4	21	0.22238227725028992	false	0.22238227725028992
HepG2	G3BP1_1-IGF2BP1_1-interaction-shap	interaction	G3BP1-IGF2BP1	G3BP1	1	IGF2BP1	1	52	0.2163778692483902	false	0.2163778692483902
HepG2	CSTF2T_3-RBFOX2_3-interaction-shap	interaction	CSTF2T-RBFOX2	CSTF2T	3	RBFOX2	3	169	0.20763638615608215	false	0.20763638615608215
HepG2	RPS3_4-SUB1_4-interaction-shap	interaction	RPS3-SUB1	RPS3	4	SUB1	4	132	0.20718233287334442	false	0.20718233287334442
HepG2	PPIG_3-U2AF2_3-interaction-shap	interaction	PPIG-U2AF2	PPIG	3	U2AF2	3	980	0.20658724009990692	false	0.20658724009990692
HepG2	IGF2BP1_5-U2AF2_5-interaction-shap	interaction	IGF2BP1-U2AF2	IGF2BP1	5	U2AF2	5	124	0.20578478276729584	false	0.20578478276729584
HepG2	RBM5_3-U2AF1_3-interaction-shap	interaction	RBM5-U2AF1	RBM5	3	U2AF1	3	145	0.19262045621871948	false	0.19262045621871948
HepG2	IGF2BP1_3-TARDBP_3-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	3	TARDBP	3	21	0.19223929941654205	false	0.19223929941654205
HepG2	IGF2BP1_4-LIN28B_4-interaction-shap	interaction	IGF2BP1-LIN28B	IGF2BP1	4	LIN28B	4	58	0.19167757034301758	false	0.19167757034301758
HepG2	PPIG_4-RBM22_4-interaction-shap	interaction	PPIG-RBM22	PPIG	4	RBM22	4	1074	0.19066090881824493	false	0.19066090881824493
HepG2	BUD13_3-EFTUD2_3-interaction-shap	interaction	BUD13-EFTUD2	BUD13	3	EFTUD2	3	1301	0.18656712770462036	false	0.18656712770462036
HepG2	DDX3X_3-EFTUD2_3-interaction-shap	interaction	DDX3X-EFTUD2	DDX3X	3	EFTUD2	3	370	0.18305416405200958	false	0.18305416405200958
HepG2	EFTUD2_4-SF3B4_4-interaction-shap	interaction	EFTUD2-SF3B4	EFTUD2	4	SF3B4	4	247	0.18185308575630188	false	0.18185308575630188
HepG2	G3BP1_3-PPIG_3-interaction-shap	interaction	G3BP1-PPIG	G3BP1	3	PPIG	3	540	0.17654207348823547	false	0.17654207348823547
HepG2	DDX3X_6-LIN28B_6-interaction-shap	interaction	DDX3X-LIN28B	DDX3X	6	LIN28B	6	78	0.16582557559013367	false	0.16582557559013367
HepG2	LARP4_6-LIN28B_6-interaction-shap	interaction	LARP4-LIN28B	LARP4	6	LIN28B	6	454	0.1648302972316742	false	0.1648302972316742
HepG2	DDX3X_5-SF3B4_5-interaction-shap	interaction	DDX3X-SF3B4	DDX3X	5	SF3B4	5	303	0.16268810629844666	false	0.16268810629844666
HepG2	DDX3X_3-G3BP1_3-interaction-shap	interaction	DDX3X-G3BP1	DDX3X	3	G3BP1	3	105	0.16051699221134186	false	0.16051699221134186
HepG2	DDX3X_3-LARP4_3-interaction-shap	interaction	DDX3X-LARP4	DDX3X	3	LARP4	3	445	0.1594213992357254	false	0.1594213992357254
HepG2	BUD13_5-GTF2F1_5-interaction-shap	interaction	BUD13-GTF2F1	BUD13	5	GTF2F1	5	64	0.14969301223754883	false	0.14969301223754883
HepG2	LIN28B_3-SUGP2_3-interaction-shap	interaction	LIN28B-SUGP2	LIN28B	3	SUGP2	3	1	0.14967858791351318	false	0.14967858791351318
HepG2	CSTF2T_6-EFTUD2_6-interaction-shap	interaction	CSTF2T-EFTUD2	CSTF2T	6	EFTUD2	6	93	0.14798830449581146	false	0.14798830449581146
HepG2	FUBP3_6-ZC3H11A_6-interaction-shap	interaction	FUBP3-ZC3H11A	FUBP3	6	ZC3H11A	6	71	0.14554160833358765	false	0.14554160833358765
HepG2	SF3B4_3-TIA1_3-interaction-shap	interaction	SF3B4-TIA1	SF3B4	3	TIA1	3	159	0.14451827108860016	false	0.14451827108860016
HepG2	PCBP1_2-U2AF2_2-interaction-shap	interaction	PCBP1-U2AF2	PCBP1	2	U2AF2	2	21	0.14382298290729523	false	0.14382298290729523
HepG2	PCBP2_4-RBFOX2_4-interaction-shap	interaction	PCBP2-RBFOX2	PCBP2	4	RBFOX2	4	188	0.14251534640789032	true	0.14251534640789032
HepG2	PPIG_3-SF3B4_3-interaction-shap	interaction	PPIG-SF3B4	PPIG	3	SF3B4	3	2366	0.14125663042068481	false	0.14125663042068481
