Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	SERBP1_5-ELAC2_6-interaction-shap	interaction	ELAC2-SERBP1	SERBP1	5	ELAC2	6	2	0.00011096918024122715	false	0.00011096918024122715
K562	ZRANB2_3-FUS_4-interaction-shap	interaction	FUS-ZRANB2	ZRANB2	3	FUS	4	6	0.0001105586052290164	true	0.0001105586052290164
K562	GPKOW_3-ZC3H8_4-interaction-shap	interaction	GPKOW-ZC3H8	GPKOW	3	ZC3H8	4	116	0.00010912123252637684	false	0.00010912123252637684
K562	SRSF9_1-APOBEC3C_5-interaction-shap	interaction	APOBEC3C-SRSF9	SRSF9	1	APOBEC3C	5	12	0.00010830698738573119	false	0.00010830698738573119
K562	U2AF2_3-APOBEC3C_6-interaction-shap	interaction	APOBEC3C-U2AF2	U2AF2	3	APOBEC3C	6	95	0.0001077117703971453	false	0.0001077117703971453
K562	ELAC2_2-ZRANB2_3-interaction-shap	interaction	ELAC2-ZRANB2	ELAC2	2	ZRANB2	3	139	0.00010765885963337496	false	0.00010765885963337496
K562	AATF_4-SRSF1_5-interaction-shap	interaction	AATF-SRSF1	AATF	4	SRSF1	5	49	0.00010725978791015223	false	0.00010725978791015223
K562	XRCC6_2-U2AF1_5-interaction-shap	interaction	U2AF1-XRCC6	XRCC6	2	U2AF1	5	8	0.00010442128404974937	false	0.00010442128404974937
K562	NCBP2_2-LIN28B_6-interaction-shap	interaction	LIN28B-NCBP2	NCBP2	2	LIN28B	6	110	0.00010339007712900639	false	0.00010339007712900639
K562	GTF2F1_2-IGF2BP2_4-interaction-shap	interaction	GTF2F1-IGF2BP2	GTF2F1	2	IGF2BP2	4	11	0.0000988507890724577	false	0.0000988507890724577
K562	EIF3G_1-NONO_3-interaction-shap	interaction	EIF3G-NONO	EIF3G	1	NONO	3	2	0.00009774405043572187	false	0.00009774405043572187
K562	IGF2BP2_2-MATR3_3-interaction-shap	interaction	IGF2BP2-MATR3	IGF2BP2	2	MATR3	3	1	0.00009728223085403442	false	0.00009728223085403442
K562	RPS6_2-SRSF1_6-interaction-shap	interaction	RPS6-SRSF1	RPS6	2	SRSF1	6	15	0.00009669209975982085	false	0.00009669209975982085
K562	SMNDC1_5-AKAP1_6-interaction-shap	interaction	AKAP1-SMNDC1	SMNDC1	5	AKAP1	6	9	0.00009665721154306084	false	0.00009665721154306084
K562	DDX51_1-LIN28B_6-interaction-shap	interaction	DDX51-LIN28B	DDX51	1	LIN28B	6	6	0.0000964924693107605	false	0.0000964924693107605
K562	RBM15_1-EIF3G_2-interaction-shap	interaction	EIF3G-RBM15	RBM15	1	EIF3G	2	1	0.00009430304635316133	false	0.00009430304635316133
K562	EIF3G_1-XRN2_5-interaction-shap	interaction	EIF3G-XRN2	EIF3G	1	XRN2	5	18	0.00009359788236906752	false	0.00009359788236906752
K562	ZC3H11A_5-PCBP1_6-interaction-shap	interaction	PCBP1-ZC3H11A	ZC3H11A	5	PCBP1	6	2	0.00009265542030334473	false	0.00009265542030334473
K562	SMNDC1_1-ZC3H11A_5-interaction-shap	interaction	SMNDC1-ZC3H11A	SMNDC1	1	ZC3H11A	5	3	0.00009156189480563626	false	0.00009156189480563626
K562	DDX55_2-RBM22_4-interaction-shap	interaction	DDX55-RBM22	DDX55	2	RBM22	4	9	0.00008877708023646846	false	0.00008877708023646846
K562	EXOSC10_5-UPF1_6-interaction-shap	interaction	EXOSC10-UPF1	EXOSC10	5	UPF1	6	26	0.000088701635831967	false	0.000088701635831967
K562	HNRNPL_2-GTF2F1_4-interaction-shap	interaction	GTF2F1-HNRNPL	HNRNPL	2	GTF2F1	4	5	0.00008608224015915766	false	0.00008608224015915766
K562	APOBEC3C_3-PCBP1_6-interaction-shap	interaction	APOBEC3C-PCBP1	APOBEC3C	3	PCBP1	6	21	0.0000849956923048012	true	0.0000849956923048012
K562	EIF4E_1-PCBP1_6-interaction-shap	interaction	EIF4E-PCBP1	EIF4E	1	PCBP1	6	118	0.00008467811858281493	false	0.00008467811858281493
K562	SMNDC1_3-EXOSC5_5-interaction-shap	interaction	EXOSC5-SMNDC1	SMNDC1	3	EXOSC5	5	7	0.00008401554077863693	false	0.00008401554077863693
K562	DDX6_5-DGCR8_6-interaction-shap	interaction	DDX6-DGCR8	DDX6	5	DGCR8	6	14	0.00008272093691630289	false	0.00008272093691630289
K562	EIF3G_1-FXR2_5-interaction-shap	interaction	EIF3G-FXR2	EIF3G	1	FXR2	5	8	0.00008097112731775269	false	0.00008097112731775269
K562	EWSR1_2-SRSF7_5-interaction-shap	interaction	EWSR1-SRSF7	EWSR1	2	SRSF7	5	1	0.00007912889122962952	false	0.00007912889122962952
K562	AKAP8L_1-HNRNPL_2-interaction-shap	interaction	AKAP8L-HNRNPL	AKAP8L	1	HNRNPL	2	18	0.00007707991608185694	false	0.00007707991608185694
K562	XRCC6_5-FUS_6-interaction-shap	interaction	FUS-XRCC6	XRCC6	5	FUS	6	7	0.00007699321577092633	false	0.00007699321577092633
K562	EWSR1_1-PUM2_6-interaction-shap	interaction	EWSR1-PUM2	EWSR1	1	PUM2	6	12	0.00007689633639529347	false	0.00007689633639529347
K562	AATF_4-U2AF2_5-interaction-shap	interaction	AATF-U2AF2	AATF	4	U2AF2	5	12	0.00007601053221151233	false	0.00007601053221151233
K562	QKI_3-FAM120A_6-interaction-shap	interaction	FAM120A-QKI	QKI	3	FAM120A	6	13	0.0000725343415979296	false	0.0000725343415979296
K562	AKAP8L_2-LIN28B_6-interaction-shap	interaction	AKAP8L-LIN28B	AKAP8L	2	LIN28B	6	86	0.00007069518323987722	false	0.00007069518323987722
K562	EIF4E_2-MTPAP_4-interaction-shap	interaction	EIF4E-MTPAP	EIF4E	2	MTPAP	4	16	0.0000698669464327395	false	0.0000698669464327395
K562	FXR1_2-EIF4G2_3-interaction-shap	interaction	EIF4G2-FXR1	FXR1	2	EIF4G2	3	2	0.00006810436025261879	false	0.00006810436025261879
K562	EXOSC10_4-FAM120A_6-interaction-shap	interaction	EXOSC10-FAM120A	EXOSC10	4	FAM120A	6	26	0.0000656780757708475	false	0.0000656780757708475
K562	NOLC1_3-SMNDC1_5-interaction-shap	interaction	NOLC1-SMNDC1	NOLC1	3	SMNDC1	5	25	0.00006379199476214126	false	0.00006379199476214126
K562	QKI_3-PUM2_5-interaction-shap	interaction	PUM2-QKI	QKI	3	PUM2	5	1	0.0000636521726846695	true	0.0000636521726846695
K562	LARP4_1-BUD13_6-interaction-shap	interaction	BUD13-LARP4	LARP4	1	BUD13	6	2	0.00006235635373741388	false	0.00006235635373741388
K562	TIA1_2-HNRNPUL1_5-interaction-shap	interaction	HNRNPUL1-TIA1	TIA1	2	HNRNPUL1	5	24	0.00006152627611299977	false	0.00006152627611299977
K562	FXR1_2-HNRNPL_4-interaction-shap	interaction	FXR1-HNRNPL	FXR1	2	HNRNPL	4	1	0.00005972245708107948	false	0.00005972245708107948
K562	DDX52_2-U2AF1_4-interaction-shap	interaction	DDX52-U2AF1	DDX52	2	U2AF1	4	10	0.000059413257986307144	false	0.000059413257986307144
