Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
HepG2	SUB1_2-IGF2BP1_5-interaction-shap	interaction	IGF2BP1-SUB1	SUB1	2	IGF2BP1	5	18	0.1562250852584839	false	0.1562250852584839
HepG2	DDX3X_1-SUB1_2-interaction-shap	interaction	DDX3X-SUB1	DDX3X	1	SUB1	2	128	0.1557076871395111	false	0.1557076871395111
HepG2	SF3B4_2-HNRNPK_3-interaction-shap	interaction	HNRNPK-SF3B4	SF3B4	2	HNRNPK	3	35	0.15470434725284576	false	0.15470434725284576
HepG2	SF3B4_1-NKRF_3-interaction-shap	interaction	NKRF-SF3B4	SF3B4	1	NKRF	3	78	0.15372024476528168	false	0.15372024476528168
HepG2	G3BP1_2-SUB1_5-interaction-shap	interaction	G3BP1-SUB1	G3BP1	2	SUB1	5	83	0.1531956046819687	false	0.1531956046819687
HepG2	G3BP1_4-RPS3_6-interaction-shap	interaction	G3BP1-RPS3	G3BP1	4	RPS3	6	395	0.1500043123960495	false	0.1500043123960495
HepG2	LIN28B_3-SUGP2_3-interaction-shap	interaction	LIN28B-SUGP2	LIN28B	3	SUGP2	3	1	0.14967858791351318	false	0.14967858791351318
HepG2	CSTF2T_6-EFTUD2_6-interaction-shap	interaction	CSTF2T-EFTUD2	CSTF2T	6	EFTUD2	6	93	0.14798830449581146	false	0.14798830449581146
HepG2	FUBP3_6-ZC3H11A_6-interaction-shap	interaction	FUBP3-ZC3H11A	FUBP3	6	ZC3H11A	6	71	0.14554160833358765	false	0.14554160833358765
HepG2	RBM22_2-PCBP1_6-interaction-shap	interaction	PCBP1-RBM22	RBM22	2	PCBP1	6	103	0.14445482194423676	false	0.14445482194423676
HepG2	HNRNPK_3-XRN2_4-interaction-shap	interaction	HNRNPK-XRN2	HNRNPK	3	XRN2	4	2	0.14442841708660126	false	0.14442841708660126
HepG2	PCBP2_2-XRN2_4-interaction-shap	interaction	PCBP2-XRN2	PCBP2	2	XRN2	4	50	0.14413969218730927	false	0.14413969218730927
HepG2	HNRNPK_1-EFTUD2_5-interaction-shap	interaction	EFTUD2-HNRNPK	HNRNPK	1	EFTUD2	5	143	0.14313223958015442	false	0.14313223958015442
HepG2	PCBP2_4-RBFOX2_4-interaction-shap	interaction	PCBP2-RBFOX2	PCBP2	4	RBFOX2	4	188	0.14251534640789032	true	0.14251534640789032
HepG2	CSTF2T_2-BUD13_5-interaction-shap	interaction	BUD13-CSTF2T	CSTF2T	2	BUD13	5	161	0.1414262354373932	false	0.1414262354373932
HepG2	XRN2_2-SF3B4_5-interaction-shap	interaction	SF3B4-XRN2	XRN2	2	SF3B4	5	314	0.14132285118103027	false	0.14132285118103027
HepG2	G3BP1_4-SF3A3_5-interaction-shap	interaction	G3BP1-SF3A3	G3BP1	4	SF3A3	5	307	0.14122162759304047	false	0.14122162759304047
HepG2	RBM22_4-SF3B4_5-interaction-shap	interaction	RBM22-SF3B4	RBM22	4	SF3B4	5	1137	0.14105308055877686	false	0.14105308055877686
HepG2	LARP4_4-RBM22_4-interaction-shap	interaction	LARP4-RBM22	LARP4	4	RBM22	4	96	0.13749897480010986	false	0.13749897480010986
HepG2	PCBP2_3-HNRNPK_4-interaction-shap	interaction	HNRNPK-PCBP2	PCBP2	3	HNRNPK	4	117	0.13544875383377075	false	0.13544875383377075
HepG2	FUS_4-SF3A3_5-interaction-shap	interaction	FUS-SF3A3	FUS	4	SF3A3	5	87	0.1353132575750351	false	0.1353132575750351
HepG2	DDX3X_1-PCBP2_2-interaction-shap	interaction	DDX3X-PCBP2	DDX3X	1	PCBP2	2	158	0.1346738487482071	false	0.1346738487482071
HepG2	DDX3X_3-PTBP1_3-interaction-shap	interaction	DDX3X-PTBP1	DDX3X	3	PTBP1	3	75	0.1328282505273819	false	0.1328282505273819
HepG2	BUD13_3-LARP4_4-interaction-shap	interaction	BUD13-LARP4	BUD13	3	LARP4	4	122	0.13192078471183777	false	0.13192078471183777
HepG2	BUD13_5-ZC3H11A_6-interaction-shap	interaction	BUD13-ZC3H11A	BUD13	5	ZC3H11A	6	61	0.13163238763809204	false	0.13163238763809204
HepG2	CSTF2T_3-IGF2BP1_4-interaction-shap	interaction	CSTF2T-IGF2BP1	CSTF2T	3	IGF2BP1	4	17	0.13133661448955536	false	0.13133661448955536
HepG2	LIN28B_4-SUB1_4-interaction-shap	interaction	LIN28B-SUB1	LIN28B	4	SUB1	4	27	0.12988106906414032	false	0.12988106906414032
HepG2	NKRF_4-XRN2_4-interaction-shap	interaction	NKRF-XRN2	NKRF	4	XRN2	4	98	0.12919682264328003	false	0.12919682264328003
HepG2	DKC1_4-SF3A3_5-interaction-shap	interaction	DKC1-SF3A3	DKC1	4	SF3A3	5	96	0.128472238779068	false	0.128472238779068
HepG2	RBM22_4-TIAL1_4-interaction-shap	interaction	RBM22-TIAL1	RBM22	4	TIAL1	4	401	0.1280720829963684	false	0.1280720829963684
HepG2	LARP4_1-SF3B4_5-interaction-shap	interaction	LARP4-SF3B4	LARP4	1	SF3B4	5	210	0.12679822742938995	false	0.12679822742938995
HepG2	BUD13_3-LIN28B_3-interaction-shap	interaction	BUD13-LIN28B	BUD13	3	LIN28B	3	82	0.1258089393377304	false	0.1258089393377304
HepG2	RPS3_4-SF3A3_5-interaction-shap	interaction	RPS3-SF3A3	RPS3	4	SF3A3	5	897	0.12451021373271942	false	0.12451021373271942
HepG2	DDX6_3-RBM5_3-interaction-shap	interaction	DDX6-RBM5	DDX6	3	RBM5	3	32	0.12327615171670914	false	0.12327615171670914
HepG2	PPIG_4-SRSF9_4-interaction-shap	interaction	PPIG-SRSF9	PPIG	4	SRSF9	4	248	0.1225215494632721	false	0.1225215494632721
HepG2	U2AF2_1-UCHL5_6-interaction-shap	interaction	U2AF2-UCHL5	U2AF2	1	UCHL5	6	173	0.12241417169570923	false	0.12241417169570923
HepG2	PPIG_1-PTBP1_3-interaction-shap	interaction	PPIG-PTBP1	PPIG	1	PTBP1	3	61	0.12185931205749512	false	0.12185931205749512
HepG2	TRA2A_1-UCHL5_6-interaction-shap	interaction	TRA2A-UCHL5	TRA2A	1	UCHL5	6	134	0.12157293409109116	false	0.12157293409109116
HepG2	RBM22_1-RBFOX2_5-interaction-shap	interaction	RBFOX2-RBM22	RBM22	1	RBFOX2	5	1	0.12046990543603897	false	0.12046990543603897
HepG2	QKI_1-IGF2BP1_3-interaction-shap	interaction	IGF2BP1-QKI	QKI	1	IGF2BP1	3	2	0.12032823264598846	false	0.12032823264598846
HepG2	HNRNPK_3-SF3A3_5-interaction-shap	interaction	HNRNPK-SF3A3	HNRNPK	3	SF3A3	5	257	0.11987656354904175	false	0.11987656354904175
HepG2	DDX3X_1-HNRNPK_2-interaction-shap	interaction	DDX3X-HNRNPK	DDX3X	1	HNRNPK	2	108	0.11977128684520721	false	0.11977128684520721
HepG2	NKRF_3-RBFOX2_3-interaction-shap	interaction	NKRF-RBFOX2	NKRF	3	RBFOX2	3	86	0.1191888079047203	false	0.1191888079047203
HepG2	PCBP2_3-PTBP1_3-interaction-shap	interaction	PCBP2-PTBP1	PCBP2	3	PTBP1	3	128	0.11747574061155319	false	0.11747574061155319
HepG2	RBM5_3-QKI_4-interaction-shap	interaction	QKI-RBM5	RBM5	3	QKI	4	10	0.11686819791793823	false	0.11686819791793823
HepG2	ILF3_3-IGF2BP1_4-interaction-shap	interaction	IGF2BP1-ILF3	ILF3	3	IGF2BP1	4	8	0.11617407947778702	false	0.11617407947778702
HepG2	IGF2BP1_1-U2AF1_4-interaction-shap	interaction	IGF2BP1-U2AF1	IGF2BP1	1	U2AF1	4	22	0.11527202278375626	false	0.11527202278375626
HepG2	GTF2F1_1-XRN2_1-interaction-shap	interaction	GTF2F1-XRN2	GTF2F1	1	XRN2	1	185	0.11519243568181992	false	0.11519243568181992
HepG2	FAM120A_2-FKBP4_3-interaction-shap	interaction	FAM120A-FKBP4	FAM120A	2	FKBP4	3	47	0.11227221041917801	false	0.11227221041917801
HepG2	U2AF1_4-TRA2A_5-interaction-shap	interaction	TRA2A-U2AF1	U2AF1	4	TRA2A	5	18	0.11164508014917374	false	0.11164508014917374
HepG2	U2AF2_2-SF3B4_4-interaction-shap	interaction	SF3B4-U2AF2	U2AF2	2	SF3B4	4	10	0.11091719567775726	false	0.11091719567775726
HepG2	IGF2BP1_3-LARP4_3-interaction-shap	interaction	IGF2BP1-LARP4	IGF2BP1	3	LARP4	3	8	0.11001381278038025	false	0.11001381278038025
