Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
AARS-WRN	AARS	WRN				true	false
AARS-XRCC6	AARS	XRCC6				true	false
AARS-XRN2	AARS	XRN2				true	false
AARS-YBX3	AARS	YBX3				true	false
AARS-YWHAG	AARS	YWHAG				true	false
AARS-ZC3H11A	AARS	ZC3H11A				true	false
AARS-ZC3H8	AARS	ZC3H8				true	false
AARS-ZNF622	AARS	ZNF622				true	false
AARS-ZNF800	AARS	ZNF800				true	false
AARS-ZRANB2	AARS	ZRANB2				true	false
AATF-ABCF1	AATF	ABCF1				true	false
AATF-ADAT1	AATF	ADAT1				true	false
AATF-AGGF1	AATF	AGGF1				true	false
AATF-AKAP1	AATF	AKAP1				true	false
AATF-AKAP8L	AATF	AKAP8L				true	false
AATF-APEX1	AATF	APEX1				true	false
AATF-APOBEC3C	AATF	APOBEC3C				true	false
AATF-AQR	AATF	AQR				true	false
AATF-BUD13	AATF	BUD13		false	false	true	false
AATF-CPEB4	AATF	CPEB4				true	false
AATF-CPSF6	AATF	CPSF6				true	false
AATF-CSTF2T	AATF	CSTF2T		false	false	true	false
AATF-DDX1	AATF	DDX1				true	false
AATF-DDX21	AATF	DDX21				true	false
AATF-DDX24	AATF	DDX24				true	false
AATF-DDX3X	AATF	DDX3X		false	false	true	false
AATF-DDX42	AATF	DDX42				true	false
AATF-DDX43	AATF	DDX43				true	false
AATF-DDX47	AATF	DDX47				true	false
AATF-DDX51	AATF	DDX51				true	false
AATF-DDX52	AATF	DDX52				true	false
AATF-DDX55	AATF	DDX55				true	false
AATF-DDX6	AATF	DDX6				true	false
AATF-DGCR8	AATF	DGCR8		false	false	true	false
AATF-DHX30	AATF	DHX30				true	false
AATF-DROSHA	AATF	DROSHA				true	false
AATF-EEF2	AATF	EEF2				true	false
AATF-EFTUD2	AATF	EFTUD2				true	false
AATF-EIF3G	AATF	EIF3G				true	false
AATF-EIF4E	AATF	EIF4E		false	false	true	false
AATF-EIF4G2	AATF	EIF4G2		false	false	true	false
AATF-ELAC2	AATF	ELAC2				true	false
AATF-ELAVL1	AATF	ELAVL1				true	false
AATF-EWSR1	AATF	EWSR1		false	false	true	false
AATF-EXOSC10	AATF	EXOSC10		false	false	true	false
AATF-EXOSC5	AATF	EXOSC5				true	false
AATF-FAM120A	AATF	FAM120A				true	false
AATF-FASTKD2	AATF	FASTKD2				true	false
AATF-FMR1	AATF	FMR1				true	false
AATF-FTO	AATF	FTO				true	false
AATF-FUS	AATF	FUS		false	false	true	false
AATF-FXR1	AATF	FXR1				true	false
AATF-FXR2	AATF	FXR2				true	false
AATF-GARS	AATF	GARS				true	false
AATF-GEMIN5	AATF	GEMIN5				true	false
AATF-GNL3	AATF	GNL3				true	false
AATF-GPKOW	AATF	GPKOW		false	false	true	false
AATF-GRWD1	AATF	GRWD1				true	false
AATF-GTF2F1	AATF	GTF2F1				true	false
AATF-HLTF	AATF	HLTF				true	false
AATF-HNRNPA1	AATF	HNRNPA1				true	false
AATF-HNRNPC	AATF	HNRNPC		false	false	true	false
AATF-HNRNPK	AATF	HNRNPK				true	false
AATF-HNRNPL	AATF	HNRNPL		false	false	true	false
AATF-HNRNPM	AATF	HNRNPM				true	false
AATF-HNRNPU	AATF	HNRNPU				true	false
AATF-HNRNPUL1	AATF	HNRNPUL1				true	false
AATF-IGF2BP1	AATF	IGF2BP1		false	false	true	false
AATF-IGF2BP2	AATF	IGF2BP2		false	false	true	false
AATF-ILF3	AATF	ILF3				true	false
AATF-KHDRBS1	AATF	KHDRBS1				true	false
AATF-KHSRP	AATF	KHSRP				true	false
AATF-LARP4	AATF	LARP4				true	false
AATF-LARP7	AATF	LARP7		false	false	true	false
AATF-LIN28B	AATF	LIN28B		false	false	true	false
AATF-LSM11	AATF	LSM11				true	false
AATF-MATR3	AATF	MATR3				true	false
AATF-MBNL1	AATF	MBNL1				true	false
AATF-METAP2	AATF	METAP2				true	false
AATF-METTL1	AATF	METTL1				true	false
AATF-MORC2	AATF	MORC2				true	false
AATF-MTPAP	AATF	MTPAP				true	false
AATF-NCBP2	AATF	NCBP2				true	false
AATF-NIPBL	AATF	NIPBL				true	false
AATF-NOLC1	AATF	NOLC1				true	false
AATF-NONO	AATF	NONO				true	false
AATF-NPM1	AATF	NPM1				true	false
AATF-NSUN2	AATF	NSUN2				true	false
AATF-PABPC4	AATF	PABPC4				true	false
AATF-PCBP1	AATF	PCBP1				true	false
AATF-PHF6	AATF	PHF6				true	false
AATF-PPIL4	AATF	PPIL4				true	false
AATF-PRPF8	AATF	PRPF8		false	false	true	false
AATF-PTBP1	AATF	PTBP1		false	false	true	false
AATF-PUM1	AATF	PUM1				true	false
AATF-PUM2	AATF	PUM2		false	false	true	false
AATF-PUS1	AATF	PUS1				true	false
AATF-QKI	AATF	QKI				true	false
AATF-RBFOX2	AATF	RBFOX2		false	false	true	false
AATF-RBM15	AATF	RBM15				true	false
AATF-RBM22	AATF	RBM22		false	false	true	false
AATF-RNF187	AATF	RNF187				true	false
AATF-RPS10	AATF	RPS10				true	false
AATF-RPS11	AATF	RPS11				true	false
AATF-RPS3	AATF	RPS3		false	false	true	false
AATF-RPS6	AATF	RPS6		false	false	true	false
AATF-RYBP	AATF	RYBP				true	false
AATF-SAFB	AATF	SAFB				true	false
AATF-SAFB2	AATF	SAFB2				true	false
AATF-SBDS	AATF	SBDS				true	false
AATF-SDAD1	AATF	SDAD1				true	false
AATF-SERBP1	AATF	SERBP1				true	false
AATF-SF3B1	AATF	SF3B1				true	false
AATF-SF3B4	AATF	SF3B4		false	false	true	false
AATF-SLBP	AATF	SLBP				true	false
AATF-SLTM	AATF	SLTM				true	false
AATF-SMNDC1	AATF	SMNDC1				true	false
AATF-SND1	AATF	SND1				true	false
AATF-SRSF1	AATF	SRSF1		false	false	true	false
AATF-SRSF7	AATF	SRSF7				true	false
AATF-SRSF9	AATF	SRSF9				true	false
AATF-SSB	AATF	SSB				true	false
AATF-SUPV3L1	AATF	SUPV3L1				true	false
AATF-TAF15	AATF	TAF15		false	false	true	false
AATF-TARDBP	AATF	TARDBP				true	false
AATF-TBRG4	AATF	TBRG4				true	false
AATF-TIA1	AATF	TIA1		false	false	true	false
AATF-TRA2A	AATF	TRA2A				true	false
AATF-TROVE2	AATF	TROVE2				true	false
AATF-U2AF1	AATF	U2AF1				true	false
AATF-U2AF2	AATF	U2AF2		false	false	true	false
AATF-UCHL5	AATF	UCHL5				true	false
AATF-UPF1	AATF	UPF1				true	false
AATF-UTP18	AATF	UTP18				true	false
AATF-UTP3	AATF	UTP3				true	false
AATF-WDR3	AATF	WDR3				true	false
AATF-WDR43	AATF	WDR43				true	false
AATF-WRN	AATF	WRN				true	false
AATF-XRCC6	AATF	XRCC6				true	false
AATF-XRN2	AATF	XRN2				true	false
AATF-YBX3	AATF	YBX3				true	false
AATF-YWHAG	AATF	YWHAG				true	false
AATF-ZC3H11A	AATF	ZC3H11A				true	false
AATF-ZC3H8	AATF	ZC3H8				true	false
AATF-ZNF622	AATF	ZNF622				true	false
