Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
CDC40-TAF15	CDC40	TAF15		false	false	false	true
CDC40-TARDBP	CDC40	TARDBP				false	true
CDC40-TBRG4	CDC40	TBRG4				false	true
CDC40-TIA1	CDC40	TIA1		false	false	false	true
CDC40-TIAL1	CDC40	TIAL1				false	true
CDC40-TRA2A	CDC40	TRA2A				false	true
CDC40-TROVE2	CDC40	TROVE2				false	true
CDC40-U2AF1	CDC40	U2AF1				false	true
CDC40-U2AF2	CDC40	U2AF2		false	false	false	true
CDC40-UCHL5	CDC40	UCHL5				false	true
CDC40-UPF1	CDC40	UPF1				false	true
CDC40-UTP18	CDC40	UTP18				false	true
CDC40-WDR43	CDC40	WDR43				false	true
CDC40-XPO5	CDC40	XPO5		false	false	false	true
CDC40-XRCC6	CDC40	XRCC6				false	true
CDC40-XRN2	CDC40	XRN2				false	true
CDC40-YBX3	CDC40	YBX3				false	true
CDC40-ZC3H11A	CDC40	ZC3H11A				false	true
CDC40-ZNF800	CDC40	ZNF800				false	true
CPEB4-CPSF6	CPEB4	CPSF6	false			true	false
CPEB4-CSTF2T	CPEB4	CSTF2T	true	false	false	true	false
CPEB4-DDX1	CPEB4	DDX1	false			true	false
CPEB4-DDX21	CPEB4	DDX21	false			true	false
CPEB4-DDX24	CPEB4	DDX24				true	false
CPEB4-DDX3X	CPEB4	DDX3X	false	false	false	true	false
CPEB4-DDX42	CPEB4	DDX42	false			true	false
CPEB4-DDX43	CPEB4	DDX43				true	false
CPEB4-DDX47	CPEB4	DDX47	false			true	false
CPEB4-DDX51	CPEB4	DDX51				true	false
CPEB4-DDX52	CPEB4	DDX52	false			true	false
CPEB4-DDX55	CPEB4	DDX55				true	false
CPEB4-DDX6	CPEB4	DDX6	false			true	false
CPEB4-DGCR8	CPEB4	DGCR8		false	false	true	false
CPEB4-DHX30	CPEB4	DHX30	false			true	false
CPEB4-DROSHA	CPEB4	DROSHA				true	false
CPEB4-EEF2	CPEB4	EEF2	false			true	false
CPEB4-EFTUD2	CPEB4	EFTUD2	false			true	false
CPEB4-EIF3G	CPEB4	EIF3G	false			true	false
CPEB4-EIF4E	CPEB4	EIF4E	false	false	false	true	false
CPEB4-EIF4G2	CPEB4	EIF4G2		false	false	true	false
CPEB4-ELAC2	CPEB4	ELAC2	false			true	false
CPEB4-ELAVL1	CPEB4	ELAVL1	false			true	false
CPEB4-EWSR1	CPEB4	EWSR1	false	false	false	true	false
CPEB4-EXOSC10	CPEB4	EXOSC10		false	false	true	false
CPEB4-EXOSC5	CPEB4	EXOSC5	false			true	false
CPEB4-FAM120A	CPEB4	FAM120A	false			true	false
CPEB4-FASTKD2	CPEB4	FASTKD2	false			true	false
CPEB4-FMR1	CPEB4	FMR1	false			true	false
CPEB4-FTO	CPEB4	FTO				true	false
CPEB4-FUS	CPEB4	FUS	false	false	false	true	false
CPEB4-FXR1	CPEB4	FXR1	false			true	false
CPEB4-FXR2	CPEB4	FXR2	false			true	false
CPEB4-GARS	CPEB4	GARS				true	false
CPEB4-GEMIN5	CPEB4	GEMIN5				true	false
CPEB4-GNL3	CPEB4	GNL3	false			true	false
CPEB4-GPKOW	CPEB4	GPKOW		false	false	true	false
CPEB4-GRWD1	CPEB4	GRWD1				true	false
CPEB4-GTF2F1	CPEB4	GTF2F1	false			true	false
CPEB4-HLTF	CPEB4	HLTF				true	false
CPEB4-HNRNPA1	CPEB4	HNRNPA1	false			true	false
CPEB4-HNRNPC	CPEB4	HNRNPC	false	false	false	true	false
CPEB4-HNRNPK	CPEB4	HNRNPK	false			true	false
CPEB4-HNRNPL	CPEB4	HNRNPL		false	false	true	false
CPEB4-HNRNPM	CPEB4	HNRNPM				true	false
CPEB4-HNRNPU	CPEB4	HNRNPU	false			true	false
CPEB4-HNRNPUL1	CPEB4	HNRNPUL1				true	false
CPEB4-IGF2BP1	CPEB4	IGF2BP1	false	false	false	true	false
CPEB4-IGF2BP2	CPEB4	IGF2BP2	false	false	false	true	false
CPEB4-ILF3	CPEB4	ILF3	false			true	false
CPEB4-KHDRBS1	CPEB4	KHDRBS1	false			true	false
CPEB4-KHSRP	CPEB4	KHSRP				true	false
CPEB4-LARP4	CPEB4	LARP4	false			true	false
CPEB4-LARP7	CPEB4	LARP7	false	false	false	true	false
CPEB4-LIN28B	CPEB4	LIN28B	false	false	false	true	false
CPEB4-LSM11	CPEB4	LSM11				true	false
CPEB4-MATR3	CPEB4	MATR3				true	false
CPEB4-MBNL1	CPEB4	MBNL1	false			true	false
CPEB4-METAP2	CPEB4	METAP2				true	false
CPEB4-METTL1	CPEB4	METTL1				true	false
CPEB4-MORC2	CPEB4	MORC2				true	false
CPEB4-MTPAP	CPEB4	MTPAP	false			true	false
CPEB4-NCBP2	CPEB4	NCBP2				true	false
CPEB4-NIPBL	CPEB4	NIPBL				true	false
CPEB4-NOLC1	CPEB4	NOLC1	false			true	false
CPEB4-NONO	CPEB4	NONO	false			true	false
CPEB4-NPM1	CPEB4	NPM1	false			true	false
CPEB4-NSUN2	CPEB4	NSUN2	false			true	false
CPEB4-PABPC4	CPEB4	PABPC4				true	false
CPEB4-PCBP1	CPEB4	PCBP1	false			true	false
CPEB4-PHF6	CPEB4	PHF6				true	false
CPEB4-PPIL4	CPEB4	PPIL4	false			true	false
CPEB4-PRPF8	CPEB4	PRPF8		false	false	true	false
CPEB4-PTBP1	CPEB4	PTBP1	false	false	false	true	false
CPEB4-PUM1	CPEB4	PUM1				true	false
CPEB4-PUM2	CPEB4	PUM2	false	false	false	true	false
CPEB4-PUS1	CPEB4	PUS1				true	false
CPEB4-QKI	CPEB4	QKI	false			true	false
CPEB4-RBFOX2	CPEB4	RBFOX2	false	false	false	true	false
CPEB4-RBM15	CPEB4	RBM15	false			true	false
CPEB4-RBM22	CPEB4	RBM22	false	false	false	true	false
CPEB4-RNF187	CPEB4	RNF187				true	false
CPEB4-RPS10	CPEB4	RPS10	false			true	false
CPEB4-RPS11	CPEB4	RPS11	false			true	false
CPEB4-RPS3	CPEB4	RPS3	false	false	false	true	false
CPEB4-RPS6	CPEB4	RPS6	false	false	false	true	false
CPEB4-RYBP	CPEB4	RYBP	false			true	false
CPEB4-SAFB	CPEB4	SAFB				true	false
CPEB4-SAFB2	CPEB4	SAFB2	false			true	false
CPEB4-SBDS	CPEB4	SBDS	false			true	false
CPEB4-SDAD1	CPEB4	SDAD1				true	false
CPEB4-SERBP1	CPEB4	SERBP1	false			true	false
CPEB4-SF3B1	CPEB4	SF3B1				true	false
CPEB4-SF3B4	CPEB4	SF3B4	false	false	false	true	false
CPEB4-SLBP	CPEB4	SLBP				true	false
CPEB4-SLTM	CPEB4	SLTM				true	false
CPEB4-SMNDC1	CPEB4	SMNDC1	false			true	false
CPEB4-SND1	CPEB4	SND1				true	false
CPEB4-SRSF1	CPEB4	SRSF1	false	false	false	true	false
CPEB4-SRSF7	CPEB4	SRSF7	false			true	false
CPEB4-SRSF9	CPEB4	SRSF9	false			true	false
CPEB4-SSB	CPEB4	SSB				true	false
CPEB4-SUPV3L1	CPEB4	SUPV3L1	false			true	false
CPEB4-TAF15	CPEB4	TAF15	false	false	false	true	false
CPEB4-TARDBP	CPEB4	TARDBP	false			true	false
CPEB4-TBRG4	CPEB4	TBRG4	false			true	false
CPEB4-TIA1	CPEB4	TIA1	false	false	false	true	false
CPEB4-TRA2A	CPEB4	TRA2A	false			true	false
CPEB4-TROVE2	CPEB4	TROVE2				true	false
CPEB4-U2AF1	CPEB4	U2AF1	false			true	false
CPEB4-U2AF2	CPEB4	U2AF2	false	false	false	true	false
CPEB4-UCHL5	CPEB4	UCHL5	false			true	false
CPEB4-UPF1	CPEB4	UPF1				true	false
CPEB4-UTP18	CPEB4	UTP18	false			true	false
CPEB4-UTP3	CPEB4	UTP3	false			true	false
CPEB4-WDR3	CPEB4	WDR3	false			true	false
CPEB4-WDR43	CPEB4	WDR43				true	false
CPEB4-WRN	CPEB4	WRN				true	false
CPEB4-XRCC6	CPEB4	XRCC6	false			true	false
CPEB4-XRN2	CPEB4	XRN2	false			true	false
CPEB4-YBX3	CPEB4	YBX3				true	false
CPEB4-YWHAG	CPEB4	YWHAG	false			true	false
CPEB4-ZC3H11A	CPEB4	ZC3H11A	false			true	false
CPEB4-ZC3H8	CPEB4	ZC3H8	false			true	false
CPEB4-ZNF622	CPEB4	ZNF622				true	false
CPEB4-ZNF800	CPEB4	ZNF800				true	false
CPEB4-ZRANB2	CPEB4	ZRANB2	false			true	false
CPSF6-CSTF2T	CPSF6	CSTF2T	false	false	false	true	false
CPSF6-DDX1	CPSF6	DDX1	false			true	false
CPSF6-DDX21	CPSF6	DDX21	false			true	false
CPSF6-DDX24	CPSF6	DDX24				true	false
CPSF6-DDX3X	CPSF6	DDX3X	false	false	false	true	false
CPSF6-DDX42	CPSF6	DDX42	false			true	false
CPSF6-DDX43	CPSF6	DDX43				true	false
CPSF6-DDX47	CPSF6	DDX47	false			true	false
CPSF6-DDX51	CPSF6	DDX51				true	false
CPSF6-DDX52	CPSF6	DDX52	false			true	false
CPSF6-DDX55	CPSF6	DDX55				true	false
CPSF6-DDX6	CPSF6	DDX6	false			true	false
CPSF6-DGCR8	CPSF6	DGCR8		false	false	true	false
CPSF6-DHX30	CPSF6	DHX30	false			true	false
CPSF6-DROSHA	CPSF6	DROSHA				true	false
CPSF6-EEF2	CPSF6	EEF2	false			true	false
CPSF6-EFTUD2	CPSF6	EFTUD2	false			true	false
CPSF6-EIF3G	CPSF6	EIF3G	false			true	false
CPSF6-EIF4E	CPSF6	EIF4E	false	false	false	true	false
CPSF6-EIF4G2	CPSF6	EIF4G2		false	false	true	false
CPSF6-ELAC2	CPSF6	ELAC2	false			true	false
CPSF6-ELAVL1	CPSF6	ELAVL1	false			true	false
CPSF6-EWSR1	CPSF6	EWSR1	false	false	false	true	false
CPSF6-EXOSC10	CPSF6	EXOSC10		false	false	true	false
CPSF6-EXOSC5	CPSF6	EXOSC5	false			true	false
CPSF6-FAM120A	CPSF6	FAM120A	false			true	false
CPSF6-FASTKD2	CPSF6	FASTKD2	false			true	false
CPSF6-FMR1	CPSF6	FMR1	false			true	false
CPSF6-FTO	CPSF6	FTO				true	false
CPSF6-FUS	CPSF6	FUS	false	false	false	true	false
CPSF6-FXR1	CPSF6	FXR1	false			true	false
CPSF6-FXR2	CPSF6	FXR2	false			true	false
CPSF6-GARS	CPSF6	GARS				true	false
CPSF6-GEMIN5	CPSF6	GEMIN5				true	false
CPSF6-GNL3	CPSF6	GNL3	false			true	false
CPSF6-GPKOW	CPSF6	GPKOW		false	false	true	false
CPSF6-GRWD1	CPSF6	GRWD1				true	false
CPSF6-GTF2F1	CPSF6	GTF2F1	false			true	false
CPSF6-HLTF	CPSF6	HLTF				true	false
CPSF6-HNRNPA1	CPSF6	HNRNPA1	false			true	false
CPSF6-HNRNPC	CPSF6	HNRNPC	false	false	false	true	false
CPSF6-HNRNPK	CPSF6	HNRNPK	false			true	false
CPSF6-HNRNPL	CPSF6	HNRNPL		false	false	true	false
CPSF6-HNRNPM	CPSF6	HNRNPM				true	false
CPSF6-HNRNPU	CPSF6	HNRNPU	false			true	false
CPSF6-HNRNPUL1	CPSF6	HNRNPUL1				true	false
CPSF6-IGF2BP1	CPSF6	IGF2BP1	false	false	false	true	false
CPSF6-IGF2BP2	CPSF6	IGF2BP2	false	false	false	true	false
CPSF6-ILF3	CPSF6	ILF3	true			true	false
CPSF6-KHDRBS1	CPSF6	KHDRBS1	false			true	false
CPSF6-KHSRP	CPSF6	KHSRP				true	false
CPSF6-LARP4	CPSF6	LARP4	false			true	false
CPSF6-LARP7	CPSF6	LARP7	false	false	false	true	false
CPSF6-LIN28B	CPSF6	LIN28B	false	false	false	true	false
CPSF6-LSM11	CPSF6	LSM11				true	false
CPSF6-MATR3	CPSF6	MATR3				true	false
CPSF6-MBNL1	CPSF6	MBNL1	false			true	false
CPSF6-METAP2	CPSF6	METAP2				true	false
CPSF6-METTL1	CPSF6	METTL1				true	false
CPSF6-MORC2	CPSF6	MORC2				true	false
CPSF6-MTPAP	CPSF6	MTPAP	false			true	false
CPSF6-NCBP2	CPSF6	NCBP2				true	false
CPSF6-NIPBL	CPSF6	NIPBL				true	false
CPSF6-NOLC1	CPSF6	NOLC1	false			true	false
CPSF6-NONO	CPSF6	NONO	true			true	false
CPSF6-NPM1	CPSF6	NPM1	false			true	false
CPSF6-NSUN2	CPSF6	NSUN2	false			true	false
CPSF6-PABPC4	CPSF6	PABPC4				true	false
CPSF6-PCBP1	CPSF6	PCBP1	false			true	false
CPSF6-PHF6	CPSF6	PHF6				true	false
CPSF6-PPIL4	CPSF6	PPIL4	false			true	false
CPSF6-PRPF8	CPSF6	PRPF8		false	false	true	false
CPSF6-PTBP1	CPSF6	PTBP1	false	false	false	true	false
CPSF6-PUM1	CPSF6	PUM1				true	false
CPSF6-PUM2	CPSF6	PUM2	false	false	false	true	false
CPSF6-PUS1	CPSF6	PUS1				true	false
CPSF6-QKI	CPSF6	QKI	false			true	false
CPSF6-RBFOX2	CPSF6	RBFOX2	false	false	false	true	false
CPSF6-RBM15	CPSF6	RBM15	true			true	false
CPSF6-RBM22	CPSF6	RBM22	false	false	false	true	false
CPSF6-RNF187	CPSF6	RNF187				true	false
CPSF6-RPS10	CPSF6	RPS10	false			true	false
CPSF6-RPS11	CPSF6	RPS11	false			true	false
CPSF6-RPS3	CPSF6	RPS3	false	false	false	true	false
CPSF6-RPS6	CPSF6	RPS6	false	false	false	true	false
CPSF6-RYBP	CPSF6	RYBP	false			true	false
CPSF6-SAFB	CPSF6	SAFB				true	false
CPSF6-SAFB2	CPSF6	SAFB2	false			true	false
CPSF6-SBDS	CPSF6	SBDS	false			true	false
CPSF6-SDAD1	CPSF6	SDAD1				true	false
CPSF6-SERBP1	CPSF6	SERBP1	false			true	false
CPSF6-SF3B1	CPSF6	SF3B1				true	false
CPSF6-SF3B4	CPSF6	SF3B4	false	false	false	true	false
CPSF6-SLBP	CPSF6	SLBP				true	false
CPSF6-SLTM	CPSF6	SLTM				true	false
CPSF6-SMNDC1	CPSF6	SMNDC1	false			true	false
CPSF6-SND1	CPSF6	SND1				true	false
CPSF6-SRSF1	CPSF6	SRSF1	false	false	false	true	false
CPSF6-SRSF7	CPSF6	SRSF7	false			true	false
CPSF6-SRSF9	CPSF6	SRSF9	false			true	false
CPSF6-SSB	CPSF6	SSB				true	false
CPSF6-SUPV3L1	CPSF6	SUPV3L1	false			true	false
CPSF6-TAF15	CPSF6	TAF15	true	false	false	true	false
CPSF6-TARDBP	CPSF6	TARDBP	false			true	false
CPSF6-TBRG4	CPSF6	TBRG4	false			true	false
CPSF6-TIA1	CPSF6	TIA1	false	false	false	true	false
CPSF6-TRA2A	CPSF6	TRA2A	false			true	false
CPSF6-TROVE2	CPSF6	TROVE2				true	false
CPSF6-U2AF1	CPSF6	U2AF1	false			true	false
CPSF6-U2AF2	CPSF6	U2AF2	false	false	false	true	false
CPSF6-UCHL5	CPSF6	UCHL5	false			true	false
CPSF6-UPF1	CPSF6	UPF1				true	false
CPSF6-UTP18	CPSF6	UTP18	false			true	false
CPSF6-UTP3	CPSF6	UTP3	false			true	false
CPSF6-WDR3	CPSF6	WDR3	false			true	false
CPSF6-WDR43	CPSF6	WDR43				true	false
CPSF6-WRN	CPSF6	WRN				true	false
CPSF6-XRCC6	CPSF6	XRCC6	false			true	false
CPSF6-XRN2	CPSF6	XRN2	false			true	false
CPSF6-YBX3	CPSF6	YBX3				true	false
CPSF6-YWHAG	CPSF6	YWHAG	false			true	false
CPSF6-ZC3H11A	CPSF6	ZC3H11A	false			true	false
CPSF6-ZC3H8	CPSF6	ZC3H8	false			true	false
CPSF6-ZNF622	CPSF6	ZNF622				true	false
CPSF6-ZNF800	CPSF6	ZNF800				true	false
CPSF6-ZRANB2	CPSF6	ZRANB2	false			true	false
CSTF2-CSTF2T	CSTF2	CSTF2T		true	false	false	true
CSTF2-DDX3X	CSTF2	DDX3X		false	false	false	true
CSTF2-DDX52	CSTF2	DDX52		false	false	false	true
CSTF2-DDX55	CSTF2	DDX55		false	false	false	true
CSTF2-DDX59	CSTF2	DDX59		false	false	false	true
CSTF2-DDX6	CSTF2	DDX6		false	false	false	true
CSTF2-DGCR8	CSTF2	DGCR8		false	false	false	true
CSTF2-DHX30	CSTF2	DHX30		false	false	false	true
CSTF2-DKC1	CSTF2	DKC1		false	false	false	true
CSTF2-DROSHA	CSTF2	DROSHA		false	false	false	true
CSTF2-EFTUD2	CSTF2	EFTUD2		false	false	false	true
CSTF2-EIF3D	CSTF2	EIF3D		false	false	false	true
CSTF2-EIF3H	CSTF2	EIF3H		false	false	false	true
CSTF2-EXOSC5	CSTF2	EXOSC5		false	false	false	true
CSTF2-FAM120A	CSTF2	FAM120A		false	false	false	true
CSTF2-FASTKD2	CSTF2	FASTKD2		false	false	false	true
CSTF2-FKBP4	CSTF2	FKBP4		false	false	false	true
CSTF2-FTO	CSTF2	FTO		false	false	false	true
CSTF2-FUBP3	CSTF2	FUBP3		false	false	false	true
CSTF2-FUS	CSTF2	FUS		true	false	false	true
CSTF2-FXR2	CSTF2	FXR2		false	false	false	true
CSTF2-G3BP1	CSTF2	G3BP1		false	false	false	true
CSTF2-GRSF1	CSTF2	GRSF1		false	false	false	true
CSTF2-GRWD1	CSTF2	GRWD1		false	false	false	true
CSTF2-GTF2F1	CSTF2	GTF2F1		false	false	false	true
CSTF2-HLTF	CSTF2	HLTF		false	false	false	true
CSTF2-HNRNPA1	CSTF2	HNRNPA1		false	false	false	true
CSTF2-HNRNPC	CSTF2	HNRNPC		false	false	false	true
CSTF2-HNRNPK	CSTF2	HNRNPK		false	false	false	true
CSTF2-HNRNPL	CSTF2	HNRNPL		true	false	false	true
CSTF2-HNRNPM	CSTF2	HNRNPM		false	false	false	true
CSTF2-HNRNPU	CSTF2	HNRNPU		false	false	false	true
CSTF2-HNRNPUL1	CSTF2	HNRNPUL1		false	false	false	true
CSTF2-IGF2BP1	CSTF2	IGF2BP1		false	false	false	true
CSTF2-IGF2BP3	CSTF2	IGF2BP3		false	false	false	true
CSTF2-ILF3	CSTF2	ILF3		false	false	false	true
CSTF2-KHSRP	CSTF2	KHSRP		false	false	false	true
CSTF2-LARP4	CSTF2	LARP4		false	false	false	true
CSTF2-LARP7	CSTF2	LARP7		false	false	false	true
CSTF2-LIN28B	CSTF2	LIN28B		false	false	false	true
CSTF2-LSM11	CSTF2	LSM11		false	false	false	true
CSTF2-MATR3	CSTF2	MATR3		false	false	false	true
CSTF2-NCBP2	CSTF2	NCBP2		false	false	false	true
CSTF2-NIP7	CSTF2	NIP7		false	false	false	true
CSTF2-NKRF	CSTF2	NKRF		false	false	false	true
CSTF2-NOL12	CSTF2	NOL12		false	false	false	true
CSTF2-NOLC1	CSTF2	NOLC1		false	false	false	true
CSTF2-NSUN2	CSTF2	NSUN2		false	false	false	true
CSTF2-PABPN1	CSTF2	PABPN1		false	false	false	true
CSTF2-PCBP1	CSTF2	PCBP1		false	false	false	true
CSTF2-PCBP2	CSTF2	PCBP2		false	false	false	true
CSTF2-POLR2G	CSTF2	POLR2G		false	false	false	true
CSTF2-PPIG	CSTF2	PPIG		true	false	false	true
CSTF2-PRPF4	CSTF2	PRPF4		false	false	false	true
CSTF2-PRPF8	CSTF2	PRPF8		true	false	false	true
CSTF2-PTBP1	CSTF2	PTBP1		false	false	false	true
CSTF2-QKI	CSTF2	QKI		false	false	false	true
CSTF2-RBFOX2	CSTF2	RBFOX2		false	false	false	true
CSTF2-RBM15	CSTF2	RBM15		false	false	false	true
CSTF2-RBM22	CSTF2	RBM22		false	false	false	true
CSTF2-RBM5	CSTF2	RBM5		false	false	false	true
CSTF2-RPS3	CSTF2	RPS3		false	false	false	true
CSTF2-SAFB	CSTF2	SAFB		false	false	false	true
CSTF2-SDAD1	CSTF2	SDAD1		false	false	false	true
CSTF2-SF3A3	CSTF2	SF3A3		false	false	false	true
CSTF2-SF3B4	CSTF2	SF3B4		false	false	false	true
CSTF2-SFPQ	CSTF2	SFPQ		true	false	false	true
CSTF2-SLTM	CSTF2	SLTM		false	false	false	true
CSTF2-SMNDC1	CSTF2	SMNDC1		false	false	false	true
CSTF2-SND1	CSTF2	SND1		false	false	false	true
CSTF2-SRSF1	CSTF2	SRSF1		false	false	false	true
CSTF2-SRSF7	CSTF2	SRSF7		true	false	false	true
CSTF2-SRSF9	CSTF2	SRSF9		true	false	false	true
CSTF2-SSB	CSTF2	SSB		false	false	false	true
CSTF2-STAU2	CSTF2	STAU2		false	false	false	true
CSTF2-SUB1	CSTF2	SUB1		false	false	false	true
CSTF2-SUGP2	CSTF2	SUGP2		false	false	false	true
CSTF2-SUPV3L1	CSTF2	SUPV3L1		false	false	false	true
CSTF2-TAF15	CSTF2	TAF15		false	false	false	true
CSTF2-TARDBP	CSTF2	TARDBP		false	false	false	true
CSTF2-TBRG4	CSTF2	TBRG4		false	false	false	true
CSTF2-TIA1	CSTF2	TIA1		false	false	false	true
CSTF2-TIAL1	CSTF2	TIAL1		false	false	false	true
CSTF2-TRA2A	CSTF2	TRA2A		true	false	false	true
CSTF2-TROVE2	CSTF2	TROVE2		false	false	false	true
CSTF2-U2AF1	CSTF2	U2AF1		false	false	false	true
CSTF2-U2AF2	CSTF2	U2AF2		false	false	false	true
CSTF2-UCHL5	CSTF2	UCHL5		false	false	false	true
CSTF2-UPF1	CSTF2	UPF1		false	false	false	true
CSTF2-UTP18	CSTF2	UTP18		false	false	false	true
CSTF2-WDR43	CSTF2	WDR43		false	false	false	true
CSTF2-XPO5	CSTF2	XPO5		false	false	false	true
CSTF2-XRCC6	CSTF2	XRCC6		false	false	false	true
CSTF2-XRN2	CSTF2	XRN2		false	false	false	true
CSTF2-YBX3	CSTF2	YBX3		false	false	false	true
CSTF2-ZC3H11A	CSTF2	ZC3H11A		false	false	false	true
CSTF2-ZNF800	CSTF2	ZNF800		false	false	false	true
CSTF2T-DDX1	CSTF2T	DDX1	false	false	false	true	false
CSTF2T-DDX21	CSTF2T	DDX21	false	false	false	true	false
CSTF2T-DDX24	CSTF2T	DDX24		false	false	true	false
CSTF2T-DDX3X	CSTF2T	DDX3X	false	false	false	true	true
CSTF2T-DDX42	CSTF2T	DDX42	false	false	false	true	false
CSTF2T-DDX43	CSTF2T	DDX43		false	false	true	false
CSTF2T-DDX47	CSTF2T	DDX47	false	false	false	true	false
CSTF2T-DDX51	CSTF2T	DDX51		false	false	true	false
CSTF2T-DDX52	CSTF2T	DDX52	false	false	false	true	true
CSTF2T-DDX55	CSTF2T	DDX55		false	false	true	true
CSTF2T-DDX59	CSTF2T	DDX59		false	false	false	true
CSTF2T-DDX6	CSTF2T	DDX6	false	false	false	true	true
CSTF2T-DGCR8	CSTF2T	DGCR8		false	false	true	true
CSTF2T-DHX30	CSTF2T	DHX30	false	false	false	true	true
CSTF2T-DKC1	CSTF2T	DKC1	false	false	false	false	true
CSTF2T-DROSHA	CSTF2T	DROSHA		false	false	true	true
CSTF2T-EEF2	CSTF2T	EEF2	false	false	false	true	false
CSTF2T-EFTUD2	CSTF2T	EFTUD2	false	false	false	true	true
CSTF2T-EIF3D	CSTF2T	EIF3D	false	false	false	false	true
CSTF2T-EIF3G	CSTF2T	EIF3G	false	false	false	true	false
CSTF2T-EIF3H	CSTF2T	EIF3H	false	false	false	false	true
CSTF2T-EIF4E	CSTF2T	EIF4E	false	false	false	true	false
CSTF2T-EIF4G2	CSTF2T	EIF4G2		false	false	true	false
CSTF2T-ELAC2	CSTF2T	ELAC2	false	false	false	true	false
CSTF2T-ELAVL1	CSTF2T	ELAVL1	false	false	false	true	false
CSTF2T-EWSR1	CSTF2T	EWSR1	true	false	false	true	false
CSTF2T-EXOSC10	CSTF2T	EXOSC10		false	false	true	false
CSTF2T-EXOSC5	CSTF2T	EXOSC5	false	false	false	true	true
CSTF2T-FAM120A	CSTF2T	FAM120A	false	false	false	true	true
CSTF2T-FASTKD2	CSTF2T	FASTKD2	false	false	false	true	true
CSTF2T-FKBP4	CSTF2T	FKBP4	false	false	false	false	true
CSTF2T-FMR1	CSTF2T	FMR1	false	false	false	true	false
CSTF2T-FTO	CSTF2T	FTO		false	false	true	true
CSTF2T-FUBP3	CSTF2T	FUBP3	false	false	false	false	true
CSTF2T-FUS	CSTF2T	FUS	false	false	false	true	true
CSTF2T-FXR1	CSTF2T	FXR1	false	false	false	true	false
CSTF2T-FXR2	CSTF2T	FXR2	false	false	false	true	true
CSTF2T-G3BP1	CSTF2T	G3BP1	false	false	false	false	true
CSTF2T-GARS	CSTF2T	GARS		false	false	true	false
CSTF2T-GEMIN5	CSTF2T	GEMIN5		false	false	true	false
CSTF2T-GNL3	CSTF2T	GNL3	false	false	false	true	false
CSTF2T-GPKOW	CSTF2T	GPKOW		false	false	true	false
CSTF2T-GRSF1	CSTF2T	GRSF1		false	false	false	true
CSTF2T-GRWD1	CSTF2T	GRWD1		false	false	true	true
CSTF2T-GTF2F1	CSTF2T	GTF2F1	false	false	false	true	true
CSTF2T-HLTF	CSTF2T	HLTF		false	false	true	true
CSTF2T-HNRNPA1	CSTF2T	HNRNPA1	false	false	false	true	true
CSTF2T-HNRNPC	CSTF2T	HNRNPC	false	false	false	true	true
CSTF2T-HNRNPK	CSTF2T	HNRNPK	false	false	false	true	true
CSTF2T-HNRNPL	CSTF2T	HNRNPL		true	false	true	true
CSTF2T-HNRNPM	CSTF2T	HNRNPM		false	false	true	true
CSTF2T-HNRNPU	CSTF2T	HNRNPU	false	false	false	true	true
CSTF2T-HNRNPUL1	CSTF2T	HNRNPUL1		false	false	true	true
CSTF2T-IGF2BP1	CSTF2T	IGF2BP1	false	false	false	true	true
CSTF2T-IGF2BP2	CSTF2T	IGF2BP2	false	false	false	true	false
CSTF2T-IGF2BP3	CSTF2T	IGF2BP3	false	false	false	false	true
CSTF2T-ILF3	CSTF2T	ILF3	false	false	false	true	true
CSTF2T-KHDRBS1	CSTF2T	KHDRBS1	false	false	false	true	false
CSTF2T-KHSRP	CSTF2T	KHSRP		false	false	true	true
CSTF2T-LARP4	CSTF2T	LARP4	false	false	false	true	true
CSTF2T-LARP7	CSTF2T	LARP7	false	false	false	true	true
CSTF2T-LIN28B	CSTF2T	LIN28B	false	false	false	true	true
CSTF2T-LSM11	CSTF2T	LSM11		false	false	true	true
CSTF2T-MATR3	CSTF2T	MATR3		false	false	true	true
CSTF2T-MBNL1	CSTF2T	MBNL1	false	false	false	true	false
CSTF2T-METAP2	CSTF2T	METAP2		false	false	true	false
CSTF2T-METTL1	CSTF2T	METTL1		false	false	true	false
CSTF2T-MORC2	CSTF2T	MORC2		false	false	true	false
CSTF2T-MTPAP	CSTF2T	MTPAP	false	false	false	true	false
CSTF2T-NCBP2	CSTF2T	NCBP2		false	false	true	true
CSTF2T-NIP7	CSTF2T	NIP7	true	false	false	false	true
CSTF2T-NIPBL	CSTF2T	NIPBL		false	false	true	false
CSTF2T-NKRF	CSTF2T	NKRF	false	false	false	false	true
CSTF2T-NOL12	CSTF2T	NOL12		false	false	false	true
CSTF2T-NOLC1	CSTF2T	NOLC1	false	false	false	true	true
CSTF2T-NONO	CSTF2T	NONO	true	false	false	true	false
CSTF2T-NPM1	CSTF2T	NPM1	false	false	false	true	false
CSTF2T-NSUN2	CSTF2T	NSUN2	false	false	false	true	true
CSTF2T-PABPC4	CSTF2T	PABPC4		false	false	true	false
CSTF2T-PABPN1	CSTF2T	PABPN1		false	false	false	true
CSTF2T-PCBP1	CSTF2T	PCBP1	false	false	false	true	true
