Parameter Name	Beta_K562	Beta_HepG2	Raw_P_K562	Raw_P_HepG2	FDR_K562	FDR_HepG2
HNRNPK-PCBP1_5_interaction	-0.1336848755377126	0.177267067512075	2.350275097563163e-51	7.85947003201243e-23	7.200388253443509e-51	1.5955671089085473e-22
HNRNPK-PCBP1_6_interaction	-0.015389715870233871	0.17603856076447244	0.09504167456993462	1.070782837430919e-16	0.10467007951002603	1.899230611653788e-16
HNRNPK-QKI_3_interaction	0.2879875093166092	0.16246401217524328	0.00031791003127013603	1.6533669301469917e-09	0.0003953346145314976	2.555892914952001e-09
HNRNPK-U2AF2_1_interaction	0.20068532868635464	0.21011850429132606	2.8532843583656553e-08	7.511697674892478e-24	4.25467623349215e-08	1.543562266121198e-23
HNRNPK-U2AF2_2_interaction		0.25160216178021655		1.2333455462855564e-16		2.1761122989436255e-16
HNRNPK-U2AF2_3_interaction		-0.025642175063722565		0.006765232781337924		0.00805612525551548
HNRNPK-U2AF2_5_interaction	0.23023881061052612	0.08768688889618995	2.234431291770545e-25	9.267367344517487e-12	4.70627090829171e-25	1.480143504787864e-11
HNRNPK_1	0.008128691532699073	-0.03832516015950042	0.02949432383224263	1.262273850354914e-22	0.033242766325972464	2.517078624672225e-22
HNRNPK_2	0.019151447828180103	0.02944502148035148	1.7213263499854723e-07	4.245405971903512e-14	2.47900418779959e-07	7.117919465330764e-14
HNRNPK_3	-0.033879309117884865	-0.021208920441479064	4.929937453008308e-38	2.679799846472236e-14	1.2398424788535819e-37	4.515462741305718e-14
HNRNPK_4	-0.13213918836864508	-0.08774346432963696	0.0	5.426973782885676e-162	0.0	4.812868854822298e-161
HNRNPK_5	0.05375041546315175	0.07791905008183135	5.749634143223172e-69	1.2891624064446229e-141	2.3344900075496494e-68	9.050994395246623e-141
HNRNPK_6	0.05441843951715634	0.01635261580597795	1.9769830771184676e-44	7.49073461657877e-05	5.46101063105675e-44	9.598393786262531e-05
IGF2BP2-PCBP1_1_interaction	0.1022082369915429		6.623177558919796e-16		1.1564822991481716e-15	
IGF2BP2-PCBP1_2_interaction	0.06328333313556685		1.4419138541407852e-17		2.6266214532186196e-17	
IGF2BP2-PCBP1_3_interaction	-0.1144931904538686		2.1412458303399134e-26		4.567087625471841e-26	
IGF2BP2-PCBP1_4_interaction	-0.04981221033240018		5.7779412318374315e-09		8.810706765290563e-09	
IGF2BP2-PCBP1_5_interaction	-0.05160313302283431		2.5945619295033417e-05		3.4423912214276615e-05	
IGF2BP2-PCBP1_6_interaction	0.11485097461391003		6.15213007760623e-48		1.834750297480796e-47	
IGF2BP2_1	-0.05048029621913432		1.594708245304965e-45		4.516106543426666e-45	
IGF2BP2_2	-0.009264568009320786		4.1870188331491885e-05		5.469090491361537e-05	
IGF2BP2_3	0.06576600210137727		7.314768285781884e-60		2.6794314264222773e-59	
IGF2BP2_4	0.1998300443861927		0.0		0.0	
IGF2BP2_5	-0.09061333157000201		9.099732490570213e-153		7.301452022195623e-152	
IGF2BP2_6	-0.00455317440348479		0.05907796132861459		0.065491029499155	
IGF2BP3_3		0.09260382121582061		1.0961186392797367e-26		2.3528151683902627e-26
IGF2BP3_4		0.14333538916710345		2.453350071121995e-148		1.8372866088180273e-147
IGF2BP3_6		-0.009771154893560553		0.015957226649281443		0.018672171461138354
LARP4_2	0.11702852581673069		6.252636503241894e-53		2.0067985729452555e-52	
LARP4_3		0.05143782113532161		1.5471736236618344e-31		3.62081604981971e-31
LARP4_4		0.2216854780591		0.0		0.0
LARP4_5		-0.0357706537588665		6.571608633458272e-23		1.3422012784699623e-22
LARP4_6		-0.03826900791462868		2.0063618217053431e-56		6.9705560197391815e-56
MBNL1-RBFOX2_1_interaction	-0.6007380877386096		1.9902539241210786e-30		4.5318619758702936e-30	
MBNL1-RBFOX2_2_interaction	0.41691897512105175		1.128403329029213e-49		3.425873170115719e-49	
MBNL1-RBFOX2_3_interaction	-0.06259374510086507		0.0002666675099030816		0.0003328405586568093	
MBNL1-RBFOX2_4_interaction	0.207495203896694		3.51789088297089e-26		7.456158663906855e-26	
MBNL1-RBFOX2_5_interaction	0.1706304212186947		1.680367606623179e-15		2.9040199150359557e-15	
MBNL1_1	-0.025207437702351333		0.02348109168828105		0.02682416236932445	
MBNL1_2	-0.1774015073989886		2.79164476603367e-72		1.1759803576916836e-71	
MBNL1_3	0.004136261551163494		0.5679010589883429		0.5834837099971694	
MBNL1_4	-0.1007790133045627		7.619346870243562e-28		1.6892894047842636e-27	
MBNL1_5	-0.13387174093885568		1.1049225379477159e-54		3.686721735528517e-54	
NONO_1	0.033039083457934056		4.7739241603438573e-11		7.588737934131509e-11	
NONO_2	-0.09817006566798664		3.0410062951752585e-149		2.3291343669865048e-148	
NONO_3	-0.00567049711234113		0.16208181170369781		0.17395404631893682	
NONO_4	-0.21283375148483255		0.0		0.0	
NONO_5	-0.023882942411345864		3.447051066369504e-10		5.378038006326495e-10	
NONO_6	-0.04845818949660695		3.0850891917765857e-24		6.417747269313021e-24	
PCBP1-PTBP1_3_interaction		-0.0010184425955144262		0.9638076355714025		0.9638076355714025
PCBP1-QKI_3_interaction	0.07142655338996179		0.41135161966933276		0.4278564686066825	
PCBP1-RBFOX2_2_interaction		0.12290027863402912		7.146795896493084e-08		1.051733719265576e-07
PCBP1-RBFOX2_3_interaction	0.1630774719953928	-0.05542533306598807	3.3942807075587716e-15	0.0004874681689297489	5.806459890595462e-15	0.0005995502661654211
PCBP1-RBFOX2_4_interaction	-0.11883150504848776		1.019600832654607e-13		1.701017230715854e-13	
PCBP1-RBFOX2_6_interaction	0.3133472568370817	0.17198156220181215	1.9991928961722197e-22	6.567717005374724e-17	3.963105917706106e-22	1.171069116831366e-16
PCBP1_1	0.0381240965457763	0.17850071200510514	6.4459849373052e-13	2.2292020644697222e-85	1.0648514332705157e-12	1.0732015653232804e-84
PCBP1_2	-0.09521576124100334	-0.06291116007540219	3.00144852588548e-154	7.854336331961358e-25	2.528720383058517e-153	1.6440443129633401e-24
PCBP1_3	-0.11088302702220786	0.024259312990739655	1.0759937645170802e-98	0.007999798375614223	5.944424567905836e-98	0.009492718495007017
PCBP1_4	0.0963994104228318	0.028847113676579793	1.85497588020678e-90	5.295621590315715e-05	9.471619267116437e-90	6.863940292063061e-05
PCBP1_5	0.06058405892605425	-0.051974510559133054	1.7655602658779593e-27	8.491710279531639e-09	3.86359616623943e-27	1.2890569208117847e-08
PCBP1_6	-0.07523296352517324	-0.013954512854202267	8.706829583913015e-84	0.03565580347330157	4.0752799580259526e-83	0.039788098577823276
PCBP2-QKI_3_interaction		-0.22601528823391015		3.088317969850084e-17		5.595500837846658e-17
PCBP2-QKI_5_interaction		0.25795155334832504		4.806875098862872e-19		8.900642353388944e-19
PCBP2-RBFOX2_1_interaction		-0.08402489422264538		2.3457188150388773e-09		3.6096221035073133e-09
PCBP2-RBFOX2_3_interaction		0.08958567595575274		5.8051400819908796e-27		1.2540591074557221e-26
PCBP2-RBFOX2_5_interaction		0.03437411485877056		7.712014790278376e-05		9.844503728499292e-05
PCBP2_1		0.0031289804996201937		0.39344883879066506		0.4117772008461308
PCBP2_3		-0.0295369431295679		9.890159334368454e-31		2.267335847402836e-30
PCBP2_5		-0.0672039289825814		5.6886614594706954e-120		3.617130022342688e-119
PTBP1-QKI_4_interaction		0.40077572869823086		1.766666421885533e-108		1.0631546145989726e-107
PTBP1-ZC3H8_3_interaction	-0.04823949496956386		0.00014582126485637		0.0001847434821676567	
PTBP1-ZC3H8_5_interaction	0.09125267342287798		1.4019071684571765e-06		1.94420870687271e-06	
PTBP1-ZC3H8_6_interaction	0.24432150496644645		4.779156522186249e-05		6.218439181377474e-05	
PTBP1_3	-0.12433771534069397	-0.05865051410699868	0.0	5.79791801926328e-63	0.0	2.1953914297659835e-62
PTBP1_4		-0.15466162151475016		8.250893347469829e-272		9.93053949320476e-271
PTBP1_5	-0.05486008190241799		4.039263845796307e-38		1.0234826436341017e-37	
PTBP1_6	-0.08942742557973524		1.3684417358046495e-67		5.425468999601963e-67	
PUM2-QKI_6_interaction	0.12379015855931308		1.676482592491932e-07		2.4247838354926227e-07	
PUM2_6	0.03295467500605809		1.1536473503939553e-42		3.110233256662104e-42	
QKI-RBFOX2_1_interaction	0.17722400224004822	0.10842146350527096	3.7254785066175235e-05	4.339522239842165e-07	4.885160532023756e-05	6.170544281969661e-07
QKI-RBFOX2_3_interaction	-0.5851497258239254	-0.015363635524688812	1.0874814620383929e-41	0.11280194369576808	2.9085813706899875e-41	0.12342290592686313
QKI-RBFOX2_4_interaction		-0.04614643801142323		3.4858083107210496e-05		4.5887398465351314e-05
QKI-RBFOX2_5_interaction		0.0511493529623069		0.00014167807533036243		0.00018017174108049864
QKI_1	-0.024163131655888685	-0.052288584160116426	6.0399470653888965e-05	1.730051534414846e-40	7.798705597839303e-05	4.554901305451587e-40
QKI_3	-0.10073764711524062	-0.08986996325545457	1.170140597153875e-160	2.17832899009986e-261	1.0111214903611688e-159	2.531368516081561e-260
QKI_4		-0.16135336563786065		0.0		0.0
