RBP	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Sum	# RBP Differential Events
DGCR8	HepG2	DGCR8_1	0.0003509873	0.0	5189	
DGCR8	HepG2	DGCR8_2	0.00016263462	0.0	15598	
DGCR8	HepG2	DGCR8_3	0.0022478777	-0.044880703883646754	4105	
DGCR8	HepG2	DGCR8_4	3.1448722e-05	-0.0	3856	
DGCR8	HepG2	DGCR8_5	0.0	-0.0	1759	
DGCR8	HepG2	DGCR8_6	0.00024039182	0.0	2311	
DHX30	HepG2	DHX30_1	0.0	0.0	71	199.0
DHX30	HepG2	DHX30_2	0.0	0.0	106	199.0
DHX30	HepG2	DHX30_3	0.0	0.0	0	199.0
DHX30	HepG2	DHX30_4	0.0	0.0	0	199.0
DHX30	HepG2	DHX30_5	0.0	0.0	0	199.0
DHX30	HepG2	DHX30_6	0.0	-0.0	22	199.0
DKC1	HepG2	DKC1_1	0.000113797105	0.0	5189	390.0
DKC1	HepG2	DKC1_2	1.5184903e-06	-0.0	7597	390.0
DKC1	HepG2	DKC1_3	0.0002787319	0.0	8780	390.0
DKC1	HepG2	DKC1_4	0.00027538365	0.0	8664	390.0
DKC1	HepG2	DKC1_5	0.00031731147	-0.0	8325	390.0
DKC1	HepG2	DKC1_6	0.0	0.0	5387	390.0
DROSHA	HepG2	DROSHA_1	0.00023308126	0.0	7667	
DROSHA	HepG2	DROSHA_2	1.6997214e-05	-0.0	6772	
DROSHA	HepG2	DROSHA_3	7.901155e-05	-0.022641260491434667	7933	
DROSHA	HepG2	DROSHA_4	0.00014213052	-0.0	3786	
DROSHA	HepG2	DROSHA_5	3.3659904e-05	-0.0	3780	
DROSHA	HepG2	DROSHA_6	1.8291887e-06	-0.0	2738	
EFTUD2	HepG2	EFTUD2_1	0.001651586	0.0010585255224838898	96690	358.0
EFTUD2	HepG2	EFTUD2_2	0.02060457	-0.012613285287687041	362120	358.0
EFTUD2	HepG2	EFTUD2_3	0.0028820233	-0.011095294126807263	122667	358.0
EFTUD2	HepG2	EFTUD2_4	0.010461882	0.021920079077487806	153474	358.0
EFTUD2	HepG2	EFTUD2_5	0.004666272	0.024473851880138984	109501	358.0
EFTUD2	HepG2	EFTUD2_6	0.00042649033	-0.007330306145471992	130262	358.0
EIF3D	HepG2	EIF3D_1	0.0	0.0	7708	466.0
EIF3D	HepG2	EIF3D_2	0.0	0.0	10646	466.0
EIF3D	HepG2	EIF3D_3	0.00034982595	0.0	8456	466.0
EIF3D	HepG2	EIF3D_4	7.3622585e-05	0.0	5158	466.0
EIF3D	HepG2	EIF3D_5	0.0022895199	-0.09587208412235254	6761	466.0
EIF3D	HepG2	EIF3D_6	0.0016476965	-0.01619385421736625	7103	466.0
EIF3H	HepG2	EIF3H_1	0.00010100252	-0.0	24481	
EIF3H	HepG2	EIF3H_2	5.5783043e-05	-0.0	26613	
EIF3H	HepG2	EIF3H_3	0.001934796	-0.0	21984	
EIF3H	HepG2	EIF3H_4	0.0017846971	0.0	19012	
EIF3H	HepG2	EIF3H_5	6.840678e-05	-0.0	23633	
EIF3H	HepG2	EIF3H_6	0.0006176067	0.0025883891582756608	24495	
EXOSC5	HepG2	EXOSC5_1	0.0	0.0	1421	
EXOSC5	HepG2	EXOSC5_2	3.3606714e-06	-0.0	4905	
EXOSC5	HepG2	EXOSC5_3	0.0	0.0	1586	
EXOSC5	HepG2	EXOSC5_4	0.0	-0.0	734	
EXOSC5	HepG2	EXOSC5_5	5.893729e-05	0.0	1065	
EXOSC5	HepG2	EXOSC5_6	0.0	-0.0	1433	
FAM120A	HepG2	FAM120A_1	0.0	0.0	15022	185.0
FAM120A	HepG2	FAM120A_2	0.0033368724	-0.028732635983735533	44511	185.0
FAM120A	HepG2	FAM120A_3	7.416301e-06	-0.0	10937	185.0
FAM120A	HepG2	FAM120A_4	0.00016272935	-0.0	10887	185.0
