Feature	Statistic	P-Val	RBP	Position	FDR P-Val
PABPN1_5_right_shap	2146.027061421141	0.0	PABPN1	2	0.0
RBM22_center_right_shap	2129.114330715847	0.0	RBM22	4	0.0
RBFOX2_center_right_shap	2111.645945547635	0.0	RBFOX2	4	0.0
SF3A3_center_left_shap	2110.7702534519394	0.0	SF3A3	3	0.0
SDAD1_center_right_shap	2082.8930368540055	0.0	SDAD1	4	0.0
CDC40_center_right_shap	2065.352632770111	0.0	CDC40	4	0.0
BUD13_5_right_shap	2061.3410706069585	0.0	BUD13	2	0.0
EFTUD2_5_right_shap	2051.719544647918	0.0	EFTUD2	2	0.0
PABPN1_3_left_shap	1949.327216717213	0.0	PABPN1	5	0.0
IGF2BP1_center_left_shap	1936.7692006443262	0.0	IGF2BP1	3	0.0
BCLAF1_5_right_shap	1927.8092524087401	0.0	BCLAF1	2	0.0
BCLAF1_5_left_shap	1909.1467014256807	0.0	BCLAF1	1	0.0
RBFOX2_3_left_shap	1894.4102483630759	0.0	RBFOX2	5	0.0
YBX3_center_right_shap	1857.1218457483296	0.0	YBX3	4	0.0
GTF2F1_center_left_shap	1847.012876690166	0.0	GTF2F1	3	0.0
TIAL1_3_left_shap	1838.7845602596276	0.0	TIAL1	5	0.0
SF3B4_3_right_shap	1832.6678304230884	0.0	SF3B4	6	0.0
KHSRP_center_right_shap	1827.7597787587888	0.0	KHSRP	4	0.0
GRSF1_center_left_shap	1810.2071813516789	0.0	GRSF1	3	0.0
U2AF1_center_left_shap	1807.3953066881868	0.0	U2AF1	3	0.0
FUS_center_left_shap	1757.6315174825486	0.0	FUS	3	0.0
SUGP2_center_right_shap	1719.6789268682032	0.0	SUGP2	4	0.0
AQR_3_right_shap	1712.9668226440058	0.0	AQR	6	0.0
TARDBP_center_right_shap	1682.441969170976	0.0	TARDBP	4	0.0
RPS3_3_right_shap	1679.667581050084	0.0	RPS3	6	0.0
BUD13_3_left_shap	1651.1361428838875	0.0	BUD13	5	0.0
NKRF_center_left_shap	1648.6841485255645	0.0	NKRF	3	0.0
PRPF4_center_left_shap	1632.5125604203413	0.0	PRPF4	3	0.0
NOLC1_center_left_shap	1606.4676070677283	0.0	NOLC1	3	0.0
RBM22_3_right_shap	1597.0727783443847	0.0	RBM22	6	0.0
ZC3H11A_center_left_shap	1594.7388657785446	0.0	ZC3H11A	3	0.0
SND1_5_right_shap	1592.8321265920142	0.0	SND1	2	0.0
PRPF8_3_right_shap	1564.22100592761	0.0	PRPF8	6	0.0
G3BP1_5_right_shap	1540.541112978931	0.0	G3BP1	2	0.0
XRN2_center_left_shap	1530.9505460097994	0.0	XRN2	3	0.0
XPO5_3_left_shap	1526.5684057555309	0.0	XPO5	5	0.0
LARP4_5_right_shap	1473.582988218564	0.0	LARP4	2	0.0
HNRNPK_3_left_shap	1468.936443122766	0.0	HNRNPK	5	0.0
TRA2A_5_right_shap	1467.5661953600227	0.0	TRA2A	2	0.0
DDX3X_center_left_shap	1396.477607851239	0.0	DDX3X	3	0.0
DDX59_3_left_shap	1390.2587981295896	0.0	DDX59	5	0.0
DROSHA_center_left_shap	1376.592097691316	0.0	DROSHA	3	0.0
EIF3H_5_left_shap	1358.557707130799	0.0	EIF3H	1	0.0
AGGF1_center_left_shap	1344.8921712146957	0.0	AGGF1	3	0.0
HNRNPK_center_left_shap	1343.8430928331006	0.0	HNRNPK	3	0.0
BUD13_center_left_shap	1337.4087467694274	0.0	BUD13	3	0.0
NKRF_5_right_shap	1298.8598116810574	0.0	NKRF	2	0.0
SUGP2_center_left_shap	1287.3773713881278	0.0	SUGP2	3	0.0
PRPF4_3_left_shap	1284.4902094570004	0.0	PRPF4	5	0.0
PRPF4_5_left_shap	1283.0666506302944	0.0	PRPF4	1	0.0
DGCR8_center_right_shap	1273.3797406635363	0.0	DGCR8	4	0.0
UCHL5_5_left_shap	1234.9303929803452	0.0	UCHL5	1	0.0
CDC40_3_left_shap	1232.165499527291	0.0	CDC40	5	0.0
HLTF_3_left_shap	1223.6423947691903	0.0	HLTF	5	0.0
HNRNPM_center_right_shap	1214.5561032323155	0.0	HNRNPM	4	0.0
SUPV3L1_3_right_shap	1186.670736063	0.0	SUPV3L1	6	0.0
LSM11_center_right_shap	1185.2459323665953	0.0	LSM11	4	0.0
RBM5_3_left_shap	1182.5855498205767	0.0	RBM5	5	0.0
FAM120A_3_left_shap	1162.437907566415	0.0	FAM120A	5	0.0
ZNF800_5_left_shap	1141.7314729617146	0.0	ZNF800	1	0.0
FAM120A_5_right_shap	1137.3838877724834	0.0	FAM120A	2	0.0
EFTUD2_5_left_shap	1114.654853469659	0.0	EFTUD2	1	0.0
CSTF2T_center_left_shap	1073.801740934997	0.0	CSTF2T	3	0.0
SLTM_center_right_shap	1066.0523818827676	0.0	SLTM	4	0.0
