Feature	Statistic	P-Val	RBP	Position	FDR P-Val
LIN28B_3_left_shap	2627.1849529830138	0.0	LIN28B	5	0.0
DDX24_3_right_shap	2622.3965644924288	0.0	DDX24	6	0.0
RPS3_5_right_shap	2593.2170665039666	0.0	RPS3	2	0.0
FXR1_5_right_shap	2573.7674584082147	0.0	FXR1	2	0.0
PUM2_center_right_shap	2527.7831916487767	0.0	PUM2	4	0.0
DDX3X_center_left_shap	2494.2588024710153	0.0	DDX3X	3	0.0
U2AF2_center_left_shap	2460.124736427766	0.0	U2AF2	3	0.0
UCHL5_5_right_shap	2403.1411967368817	0.0	UCHL5	2	0.0
LIN28B_5_right_shap	2357.617484432862	0.0	LIN28B	2	0.0
GTF2F1_3_left_shap	2352.216300858189	0.0	GTF2F1	5	0.0
PABPC4_5_right_shap	2294.2893378754725	0.0	PABPC4	2	0.0
SMNDC1_5_right_shap	2280.1387580490605	0.0	SMNDC1	2	0.0
PABPC4_3_right_shap	2269.813374045387	0.0	PABPC4	6	0.0
TIA1_center_left_shap	2200.0825887013148	0.0	TIA1	3	0.0
TIA1_5_right_shap	2183.5923391734873	0.0	TIA1	2	0.0
U2AF2_5_left_shap	2097.1002948494447	0.0	U2AF2	1	0.0
XRN2_3_left_shap	2083.3121349376374	0.0	XRN2	5	0.0
GTF2F1_center_right_shap	2080.362351405625	0.0	GTF2F1	4	0.0
U2AF2_5_right_shap	2077.9825828473877	0.0	U2AF2	2	0.0
PUM1_center_right_shap	2023.3853200365475	0.0	PUM1	4	0.0
AATF_3_left_shap	1992.738398766329	0.0	AATF	5	0.0
GTF2F1_center_left_shap	1974.5010794835996	0.0	GTF2F1	3	0.0
RBM22_center_right_shap	1958.7254073806541	0.0	RBM22	4	0.0
EWSR1_center_left_shap	1957.3771865101112	0.0	EWSR1	3	0.0
GPKOW_5_left_shap	1914.3914977500651	0.0	GPKOW	1	0.0
KHSRP_5_right_shap	1913.9285704481567	0.0	KHSRP	2	0.0
U2AF1_3_left_shap	1892.0157706477678	0.0	U2AF1	5	0.0
RPS3_5_left_shap	1877.603291775552	0.0	RPS3	1	0.0
BUD13_center_left_shap	1873.3577163062726	0.0	BUD13	3	0.0
ZNF622_3_left_shap	1854.2951056133986	0.0	ZNF622	5	0.0
EXOSC10_center_right_shap	1851.9362313327508	0.0	EXOSC10	4	0.0
EIF3G_5_right_shap	1850.9935766195015	0.0	EIF3G	2	0.0
NCBP2_5_right_shap	1822.6138510193796	0.0	NCBP2	2	0.0
QKI_center_right_shap	1822.4121301007613	0.0	QKI	4	0.0
EIF4G2_center_right_shap	1813.2885760303345	0.0	EIF4G2	4	0.0
GEMIN5_3_left_shap	1796.9549568951795	0.0	GEMIN5	5	0.0
TRA2A_center_right_shap	1793.159458310144	0.0	TRA2A	4	0.0
RBFOX2_3_left_shap	1776.4723739372896	0.0	RBFOX2	5	0.0
KHSRP_5_left_shap	1772.4283413590338	0.0	KHSRP	1	0.0
HNRNPM_5_right_shap	1765.7296076433292	0.0	HNRNPM	2	0.0
U2AF1_3_right_shap	1743.8397840765977	0.0	U2AF1	6	0.0
BUD13_3_left_shap	1740.5674446752282	0.0	BUD13	5	0.0
ELAC2_center_left_shap	1730.8121323570858	0.0	ELAC2	3	0.0
U2AF2_3_right_shap	1728.482959045451	0.0	U2AF2	6	0.0
PABPC4_center_left_shap	1724.0286181813024	0.0	PABPC4	3	0.0
ELAVL1_center_right_shap	1695.1756724761358	0.0	ELAVL1	4	0.0
TIA1_3_left_shap	1693.236774621268	0.0	TIA1	5	0.0
PTBP1_center_right_shap	1689.1611619363791	0.0	PTBP1	4	0.0
TIA1_5_left_shap	1675.2966358737472	0.0	TIA1	1	0.0
DDX3X_5_left_shap	1671.7885829921454	0.0	DDX3X	1	0.0
TIA1_center_right_shap	1665.8390537218704	0.0	TIA1	4	0.0
YBX3_3_left_shap	1665.526890852328	0.0	YBX3	5	0.0
MTPAP_3_right_shap	1622.4297702070016	0.0	MTPAP	6	0.0
PUM2_5_right_shap	1616.748080314297	0.0	PUM2	2	0.0
ZNF622_5_left_shap	1611.5666297539688	0.0	ZNF622	1	0.0
DROSHA_center_left_shap	1603.7293217166402	0.0	DROSHA	3	0.0
BUD13_5_left_shap	1595.375481541587	0.0	BUD13	1	0.0
FTO_3_right_shap	1583.3570578557576	0.0	FTO	6	0.0
MTPAP_5_left_shap	1569.0490753553336	0.0	MTPAP	1	0.0
CSTF2T_center_left_shap	1565.8426166101012	0.0	CSTF2T	3	0.0
UCHL5_5_left_shap	1550.332321640466	0.0	UCHL5	1	0.0
HNRNPUL1_center_right_shap	1549.789449747298	0.0	HNRNPUL1	4	0.0
SRSF7_5_right_shap	1533.1376021758842	0.0	SRSF7	2	0.0
UPF1_3_right_shap	1518.3286148890195	0.0	UPF1	6	0.0
DDX24_3_left_shap	1516.4294634532089	0.0	DDX24	5	0.0
HNRNPM_center_right_shap	1493.5420320500928	0.0	HNRNPM	4	0.0
DDX43_3_left_shap	1491.5391931532101	0.0	DDX43	5	0.0
ZNF800_3_left_shap	1491.387040294095	0.0	ZNF800	5	0.0
MATR3_center_right_shap	1473.0887091864656	0.0	MATR3	4	0.0
PTBP1_center_left_shap	1449.5750710776747	0.0	PTBP1	3	0.0
GPKOW_3_left_shap	1439.4017490083627	0.0	GPKOW	5	0.0
SND1_5_right_shap	1430.23376547871	0.0	SND1	2	0.0
DROSHA_3_right_shap	1422.2978516478677	0.0	DROSHA	6	0.0
HNRNPK_3_left_shap	1407.1406930464	0.0	HNRNPK	5	0.0
HNRNPC_5_left_shap	1401.397040116222	0.0	HNRNPC	1	0.0
U2AF1_center_right_shap	1379.6898841546786	0.0	U2AF1	4	0.0
