Decile	Global SHAP Mean	Global SHAP Variance
min	-2.6129791736602783	0.0
10th	-0.0005061557749286294	0.0
20th	-2.1565527276834473e-05	0.0
30th	0.0	4.046801956036905e-12
40th	0.0	1.3139625498759244e-10
50th	0.0	8.146345820136958e-10
60th	5.6647595556569286e-06	2.9472599916147146e-09
70th	6.231250881683081e-05	6.619369052884849e-09
80th	0.0003271269961260259	1.9353063152038885e-08
90th	0.001641538692638278	1.3086685157759348e-07
max	2.186086654663086	0.45210081338882446
