Position	AARS	AATF	ABCF1	ADAT1	AGGF1	AKAP1	AKAP8L	APEX1	APOBEC3C	AQR	BUD13	CPEB4	CPSF6	CSTF2T	DDX1	DDX21	DDX24	DDX3X	DDX42	DDX43	DDX47	DDX51	DDX52	DDX55	DDX6	DGCR8	DHX30	DROSHA	EEF2	EFTUD2	EIF3G	EIF4E	EIF4G2	ELAC2	ELAVL1	EWSR1	EXOSC10	EXOSC5	FAM120A	FASTKD2	FMR1	FTO	FUS	FXR1	FXR2	GARS	GEMIN5	GNL3	GPKOW	GRWD1	GTF2F1	HLTF	HNRNPA1	HNRNPC	HNRNPK	HNRNPL	HNRNPM	HNRNPU	HNRNPUL1	IGF2BP1	IGF2BP2	ILF3	KHDRBS1	KHSRP	LARP4	LARP7	LIN28B	LSM11	MATR3	MBNL1	METAP2	METTL1	MORC2	MTPAP	NCBP2	NIPBL	NOLC1	NONO	NPM1	NSUN2	PABPC4	PCBP1	PHF6	PPIL4	PRPF8	PTBP1	PUM1	PUM2	PUS1	QKI	RBFOX2	RBM15	RBM22	RNF187	RPS10	RPS11	RPS3	RPS6	RYBP	SAFB	SAFB2	SBDS	SDAD1	SERBP1	SF3B1	SF3B4	SLBP	SLTM	SMNDC1	SND1	SRSF1	SRSF7	SRSF9	SSB	SUPV3L1	TAF15	TARDBP	TBRG4	TIA1	TRA2A	TROVE2	U2AF1	U2AF2	UCHL5	UPF1	UTP18	UTP3	WDR3	WDR43	WRN	XRCC6	XRN2	YBX3	YWHAG	ZC3H11A	ZC3H8	ZNF622	ZNF800	ZRANB2
1	0.0	0.0008888360564218817	-0.002754921954829305	0.0	-0.00326493744804472	0.006266622294552127	-0.0006552375406189467	5.6145902155223707e-05	-0.0014475496769204893	-0.0014500572266583451	0.01288150281670312	0.0	-0.005651217163856378	0.0001424670325303206	-0.00029327394552911695	0.0	-0.001560027025832083	-0.030058002431926342	-0.0034621939169776537	-0.004872914658978987	0.00031042986772900793	0.013567158120527247	-0.00733230632454125	-0.0037494514148229854	0.0006168572978098526	-0.0003320043870385385	-0.0008299028695339087	0.0002836433745531131	0.0	8.104043790447985e-05	0.025679707709845873	-0.011481404013691802	-0.003569260203260042	-0.0013539063900482678	-0.010002462863228418	0.00041366376713648236	-0.0008460777727601815	3.4790830264881414e-05	-0.002203027479759622	-0.00020807952349139087	0.0021757313308182627	-0.024019197921792843	-0.00025556735670353216	-0.0029467685191540936	-0.0005618473534932259	-0.001979189185277808	0.0005842775455864146		-0.0030299563392968717	-0.004945559441682483	-0.00033827616228360993	0.031278062373865136	0.0	0.0	-0.0017520820954399277	-0.004116300403261836	0.00044076195354323956	0.0	0.0018380663981992418	-0.005424716643815661	-0.00951579095791437	-0.00013585619473258862	0.0	0.0024591251827788055	0.008617462963528255	0.0	0.005350411084187579	-0.0002665620773837562	0.0001925046413577579	6.869923814899684e-06	-0.0007301332688025916	0.0	-0.005519374561832455	-0.0020535737200460535	-0.012348028596244804	6.80948246411543e-05	0.0036808699503202086	-0.001522013349390842	-0.02036492271504449	-0.05017867804631957	-0.017791030159432224	-0.00010150339851958342	-0.0007594167549351783	0.0	0.006182478746162793	-0.013072624984106962	-0.0023225132580963117	-0.018668851044180056	0.0	-0.022855462072881243	-0.0001698319758946301	-0.012727259269370225	-0.0008561200138682603	0.0	0.0	0.0	-0.0003897390004537407	6.689160803755782e-06		0.0	0.0014258221219367701		0.0	-1.2177486877584097e-05	0.0	0.0011759960753392404	0.0	0.018138242804849682	-0.0005366509461573705	-0.00966759238403411	-0.01294348510918061	-0.00037872218862757196	-0.04638242098978952	0.0		-0.00033188756686286996	0.026771728074022092	-4.203625008434877e-05	-0.00030967672216746406	-0.0009103768841503398	0.015670686581741856	-0.0011440111649490567	0.007308129032154303	-0.0035623371843518663	-0.001555408414896877	0.0		0.0	-0.006642160483092978	0.0	-0.0003266505094154321	-0.012041313603259177	0.0018770845303510393	0.0005405615583538185	0.0	-0.004033824705807398	-0.007846782183357305	-0.0004183972710744514	0.0
2	0.0	-0.0005384927837588394	0.0	0.0	0.003161240077699276	-7.620052501870296e-05	0.0022866155860689816	-0.013373106075007654	-0.0010085371387641346	-0.01735074974432736	-0.010440478468365728	-0.038528723568398864	-0.00016936611274398014	-0.00030665177553617317	-0.00021160013897545	0.0	-0.00588403123893792	-0.013127589538163481	-0.0013608276351914732	-0.009228466699714258	-3.261126363917665e-05	-0.0015825031109303347	-0.0011782985000763475	-0.004470313153550614	0.001995389143032235	-0.00015334178473614998	-0.0017657330478985272	-0.0045077875840474	0.0	-0.0060135166664666406	-0.0006484149646731204	-0.00029255944908990856	0.0033178697756431987	0.0005768971840564229	-0.00018345680295675886	0.0008865677502795526	-0.0001375499252516638	-0.0012663786562239114	0.008158364651130358	-0.0010063494693284042	0.0007976319152742961	-0.00027490353141539515	-0.008588844504285063	-7.675103361336561e-05	-0.005963986813625017	0.00019471605034651894	0.0006657840215924149		-0.012111860878607767	-0.0001869096837749608	-0.00020944621082344655	-0.02609977469817192	0.0	0.020102757614241375	-0.0011516211260828438	0.00858558624468437	-0.00017667743920801306	0.0	0.0	-0.024539463720534685	-0.009515368418385677	-0.0038725102607254304	-0.17701819083670636	-0.005427443059773555	5.871624730873558e-05	0.0	-0.0016836988182059684	-0.0007464772283287231	-0.058435666206434256	0.014931998864784498	-0.0036270361608478126	0.0	0.00332008573745776	-0.0018941755399414912	-0.0006031477808920063	-4.048350324185977e-05	-0.0014168523480586638	0.00600072845741237	-0.00164920837850356	0.0	-0.0241184902434104	-0.008111083481208736	0.0017660786650464725	0.0	-0.01358921561384153	-0.0004137221347722966	-0.0016657599772952085	0.001727091837865425		-0.0020126919995586525	-0.0005134860246610435	-0.0015151797799014192	-0.044474545527321795	0.0	-0.0009644093694962645	0.0	-0.0005215387200090283	-0.0015772674457149142	0.0	-0.004559196768640123	0.0		0.0	0.011224719426817607	0.0	-0.01972373577232959	0.0	-0.0004756018840060054	0.013105896748880496	-0.010096163587972553	-0.019613095396030913	-0.02239388644420396	0.00113639083752882	0.005406995718788803	0.0	-0.06151095623331963	-0.0005266899068920798	-0.005868303250145807	-0.019742841366988596	-0.020495432317150265	-0.057130400076152534	-0.002593091522945257	-0.0011132035952671458	-0.014582087400192064	-0.00315685917656694	-0.00010831523366982067			0.0	-0.0007616447869588555	-0.0016925322641897496	-0.030382267395323043	-0.012544309952387027	-0.003228499379428502	0.0	-2.6060123197008633e-05	-0.0023880321259272205	-0.01027250681890813	-0.00019059631668355147
3	-0.001504766907921766	-0.00019615008113238648	-0.006252843392525627	0.0	-0.015057524340448365	-0.00025226164543044833	-0.00045062067599222817	-0.00014210638223491283	0.014837449596688614	0.033340490311574815	0.03881637761173869	-0.0007134110997987326	8.483221423960104e-05	-0.007652953590983781	-0.00012545717143510414	0.0	0.0401018450821746	0.0594667182167291	-0.003628056946629578	0.042141241190322414	-0.008361690060018544	8.658017821903741e-07	2.6374554219159615e-05	-0.0002972839484186033	-0.0008866090732331341	-0.006226489186499142	-0.0049121181911724425	-5.824666688124488e-05	0.0	0.003692513953655541	2.0544376233461247e-05	-0.0014369810060765743	-0.020129327796943184	-0.0048929995609276866	-0.06282211569836395	-0.01151833086355528	-0.00032070047495558847	0.0023144524654084625	-0.024139913477804864	-4.2252911877326945e-05	0.03759868211997621	0.0015620376368047808	-0.01736512382188729	0.03211533190040065	0.011037516816850567	0.0	-9.18771497585505e-05	0.0	0.018484929594919323	0.023577544862436888	-0.0023348656455412543	3.1953599587168656e-05	0.00031222044103150005	0.0003237039467623805	-0.013694236326475326	-0.05905335120601215	-0.04281437405515676	0.0	-0.0006230043037694352	0.047406629925743855	0.03687574170143586	-0.04986063668148183	-0.007933323517753119	0.013972643068964266	-2.914503043619025e-05	0.0	0.05104978092887944	0.0014792189443918026	-0.03296183695768981	-0.00585244619286125	0.026044793851398518	0.0	-0.005117039906248117	0.0018029048288214836	-4.582503890200882e-06	0.0002932196061530503	-0.00259793892707166	-0.05642844240012579	0.0	0.0	0.02857559141315846	0.017549095842126848	-0.0001316764569270533	-0.0018602652660570324	-0.04114986344219533	-0.06878950663125998	0.015096662156111232	0.04045088885856875		-0.03823081874339633	-0.007834424049855668	0.005291496953717794	-0.0012082556302261927	0.0001357503718306123			0.04604296543654379	-0.0005650669383478275		-0.21704453232249832	-0.13421442033293898		0.0	-0.0013602717186755302	0.0	0.05259791235171826		-0.039690742150949074	0.0007965260606811361	0.052871610028364574	0.02179258545323346	-8.220150965785485e-05	-2.5637948699426623e-05	0.0	-0.006925018479498537	-0.00013715204379104228	0.004831636918959782	-0.0005619317045875421	-0.011175196124293497	0.015451727169373188	0.007768662358118808	0.013527522560989207	0.011545006856866498	0.04427892342079017	0.034611781934954414	0.0	0.0	0.0	-0.0003119194946511788	0.0	-0.009488825141958243	-0.0016833385828416581	0.05189598368069997	-0.055363222374433904	-0.020494211945050377	-0.00061254776739111	0.04124716041746345	0.025727793770596946	-0.0016189252304032173
4	0.0	-0.07703108567048066	0.0	-0.030881473824974533	3.536571801460921e-05	0.0	2.5480024842037552e-05	0.0	-0.00012238557774296404	0.04902573512165851	0.029176555584528453	0.0	-0.00039959602662608036	-0.008194945475216054	-0.000140616066402989	0.0	0.04614336980430623	0.04553460603746558	-0.0048791506492042985	0.03841799509532331	-0.0006905707404248828	0.0	-0.0007250094008139959	0.006233655908634395	-0.0002994858470585758	-0.0024664498591632053	7.524791611960572e-05	-0.0008885196794448381	-0.0008866690088277017	0.030417335141636727	-1.6774138768288526e-05	0.0005523763305513032	-0.0009767560375266398	-0.00171810266746731	-0.003017833226512229	-0.027428022549726986	0.009621740307765407	-0.06194923794623388	-0.0012978720911444028	-0.0014211231993148821	0.02080655593226005	0.020798157664747813	0.004604880268167848	0.046241307956383905	0.020690587468799693	0.001062825527296311	0.0019591238249199255		0.020998308096608933	0.031808382632626094	-0.00027069928305216374	0.018404444464687527	0.0	-0.0004638639557556361	-0.045219727558472075	-0.08073985349818916	-0.07533680480174446		-0.01293704722643661	0.051287672220313045	0.03745676542185806	-0.010749359988715053	0.008822960798434224	0.01384303429212948	1.410796970090518e-05	0.0	0.05239243169595513	7.688795927435926e-05	-0.00015380963051826393	-0.012017574519509947	0.01894794125039402		0.0025349417362382715	-0.001338183375629976	0.0	-0.0004505245915637753	0.0015997888620484127	-0.06260453172944974	0.0	0.0	0.03811044761409093	-0.001623566761768354	-6.220144183983095e-05	0.0	0.04685620857557355	-0.006699452583211321	0.00784182578942916	0.05767893840395354		-0.0022760075388208595	-0.024573749903863858	0.016725753552386934	0.035179693115459224	0.0	0.0		0.03612640119271031	-0.0005149856557138743	0.0	0.0008839057712284111	-0.00022920064965944762		0.0	0.0		-0.003590544386213594		-0.0006923431920837034	-0.02972621255656061	0.050218893927025623	0.04233611171576018	-0.005754506439850245	-0.017194623658382088	-0.00015087328945172346		-0.025585848904612653	-0.0007584510900251918	0.0	-0.005330252307872943	9.312504213765633e-05	0.05641198609558204	-0.003304256531632416	-0.0013514043547556071	0.046034901561854316	-0.0012596509113639506	0.0			0.0	6.281903498252296e-05	0.0	-0.004516785836990576	0.05784806044926839	-0.000633577413043978	0.0013336378934042826	-0.0005842762829466554	0.04425097185173496	0.028176795003243996	-0.0008101377811121423
5	0.0	0.0009161171666259302	0.0	0.006312027791016431	-0.0020840839861956282	0.0	0.00015509415844770533	0.0	-0.0014725910006343924	-0.03010572636262742	-0.004771411845965495	0.0	0.008839285520103905	-0.0009082099822404137	-8.585322286487156e-05	0.0	-0.0017727156850345432	-0.22420720351672013	-0.004174391662616559	-0.00877633261210068	0.0	-0.00042103417334001523	0.0005359991123462164	-0.0005868149315374243	8.07239534958414e-05	-0.0018209122474546762	-0.059223475137194774	-0.09396968294770473	0.0	0.03177856798114707	-0.0038663044251766748	-0.022125161523955227	-0.006723207490493863	0.000968881473506861	-0.002408583007912048	0.0040501734336681194	1.6437775692403432e-05	0.020227722466905067	0.01909499311670843	0.0018169195244855177	-0.008696229232486074	-0.08183627694583194	-0.005783440892054583	2.6714877102668255e-05	-0.0004833775267926254	-7.093143682322276e-05	-0.03783295403994025	0.0	-0.006584145467135403	-0.002920286220551193	8.07670138360713e-06	-0.0005673521206100719	0.0	-0.004170264548747556	0.0003832725321334434	-0.0008586544155058659	-0.004684132644604807		-0.011249174597258792	-0.00196053274347433	-0.0015061395766928607	-0.00167651633923322	0.0	-0.0031598482260209626	1.5080711378364186e-05		-0.0004890641420872125	-0.003220321725549338	0.0	0.0	-0.002796181966866481	2.2972820735703297e-05	0.0	-0.0012628050639572257	-0.0018066460532335565	-0.0016608218992802536	0.02016109787175148	-0.0019198510353471622	0.0	0.0	-0.024122229169027305	-0.0013015520818924888	-6.840087383797928e-05	0.0	0.006941802597788052	-0.00026581947718869604	-0.00039205330623186746	0.004537249976642019		-0.01952196463925201	-0.0029544071720983044	9.169886624293005e-05	0.0	0.0			-0.0016940875067422761	-0.002559380322210268	0.0	0.00017857886333275802	-0.04172641190792076		0.0	-0.011927727513485363	-0.013056370732378078	-0.011421748466947825		0.008720289380678262	0.0009016991631611556	0.0022940487255127713	-0.004662199872372399	-0.0024489173459179693	0.0	0.0	0.0	0.0	-0.006792693633229225	-1.614038664453109e-05	-0.0014238285036742497	0.00035298296808098186	0.004321340236887799	-0.018737772380288828	-0.006102312105279773	-0.012849044962433139	-0.001410720621456102	-2.7767356149549776e-05			0.0	-0.0009548679605613308	-0.0014538480599956291	-0.0010862267005270908	-0.0056575331075131964	-2.590493667830464e-05	0.02525337338471186	-0.0005560196290929137	-0.011003543764452004	-0.0020542564894460466	0.0
6		0.0005563531467404242	0.0	0.03442952790787371	9.091024548701656e-05	-0.03094534492604272	-3.698781602671159e-05	0.0	-0.0003097094019559322	-0.001290154263427408	0.0009076231817206105	-0.00593099657822202	-0.007256388889585543	-0.0018505621597254547	0.005746226007524462	0.0	0.0010248516731282407	-0.17618993430577107	0.0	-0.0031325443054664496		0.0	0.0	-0.002777108155719512	-0.009719711548109498	-0.00015602061916751138	0.003715137648912306	0.00046148157537263183	0.0	-0.0021258011665641115	-0.0004971933503640607	-0.04626290971948792	-3.427318347603593e-05	0.006817984171153637	0.008777629327357941	1.404582188387014e-05	0.0010078974436341398	0.0	-0.002401297690529087	0.0	0.00025649982628422576	-0.0025103994297128213	0.005528217296378148	-0.001026686481481561	-0.0008398041255083318	-0.005470397267777053	-0.001970656786507932	0.0	-0.01198973628567113	-0.015854533911286696	-0.00018296677834689316	0.00033031259889434626	0.0	0.00019273092748465907	0.001478043055340934	-0.017140437402011436	-0.01670853042867976		0.0	-0.01802077882745166	-0.0019385338773004808	-0.010270020730251544	-0.009174532312849773	-0.00581285311000387	-0.000288014188985626	0.0	-0.00253161141987344	-0.00477184624106085	0.0	-0.021278623196306867	-0.004882270668654686	-0.0027124343105075	-0.0009400513557971344	-0.00027756987624612543	0.0	0.003885363664487312	-0.000950190933481712	-0.002416878961516118	0.0	0.0	-0.00011224612532573557	-0.0658566846798672	-4.508764901808329e-05	0.0038924758227452307	2.2381697448719273e-05	-0.0007939347321530473	-0.01562773995120602	-0.001401161107078812		-0.001638047713150038	0.00232130200674044	-0.020734654231771565	-0.0005128926657318782	-0.001101105720814235	0.0		-0.028932851584514828	-0.005000046199977543	0.0	-0.00016439091727276945	0.0031205213363330966		0.0	-4.938506291596314e-05		-0.0013294276211008491	0.0	-0.00037816099518021726	3.376654135798591e-05	0.00017767862852935442	-0.001076752905242141	-0.0024484464421557365	0.0	0.0	0.0	0.0	-0.004290978423076639	0.0	-0.00908484529360531	-0.023252816728231346	0.000554043711245197	0.0002322160313450738	-0.008663589773131999	-0.006874893465756919	0.00027071054360474674	0.000323222515713497			0.0	-0.03149677089807095	-0.0004567148213114834	-0.0014244918538406264	-0.01949145760029122	0.0	0.011945448121417032	-4.986244906031049e-06	-0.0013380129188585448	-0.0037029561952737575	0.0
