Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	APOBEC3C_6-TRA2A_6-interaction-shap	interaction	APOBEC3C	6	TRA2A	6	19	0.0	false	0.0
K562	APOBEC3C_6-U2AF2_6-interaction-shap	interaction	APOBEC3C	6	U2AF2	6	12	0.0	false	0.0
K562	CSTF2T_1-DDX1_1-interaction-shap	interaction	CSTF2T	1	DDX1	1	161	0.0	false	0.0
K562	APOBEC3C_6-UTP18_6-interaction-shap	interaction	APOBEC3C	6	UTP18	6	5	0.0	false	0.0
K562	APOBEC3C_6-XRCC6_6-interaction-shap	interaction	APOBEC3C	6	XRCC6	6	11	0.0	false	0.0
K562	APOBEC3C_6-XRN2_6-interaction-shap	interaction	APOBEC3C	6	XRN2	6	8	0.0	false	0.0
K562	CPSF6_1-U2AF2_1-interaction-shap	interaction	CPSF6	1	U2AF2	1	1	0.0	false	0.0
K562	APOBEC3C_6-ZC3H8_6-interaction-shap	interaction	APOBEC3C	6	ZC3H8	6	2	0.0	false	0.0
K562	APOBEC3C_6-ZRANB2_6-interaction-shap	interaction	APOBEC3C	6	ZRANB2	6	9	0.0	false	0.0
K562	BUD13_6-CPSF6_6-interaction-shap	interaction	BUD13	6	CPSF6	6	107	0.0	false	0.0
K562	BUD13_6-CSTF2T_6-interaction-shap	interaction	BUD13	6	CSTF2T	6	59	0.0	false	0.0
K562	BUD13_6-DDX1_6-interaction-shap	interaction	BUD13	6	DDX1	6	13	0.0	false	0.0
K562	BUD13_6-DDX21_6-interaction-shap	interaction	BUD13	6	DDX21	6	47	0.0	false	0.0
K562	BUD13_6-DDX3X_6-interaction-shap	interaction	BUD13	6	DDX3X	6	39	0.0	false	0.0
K562	BUD13_6-DDX42_6-interaction-shap	interaction	BUD13	6	DDX42	6	18	0.0	false	0.0
K562	BUD13_6-DDX52_6-interaction-shap	interaction	BUD13	6	DDX52	6	65	0.0	false	0.0
K562	BUD13_6-DDX6_6-interaction-shap	interaction	BUD13	6	DDX6	6	51	0.0	false	0.0
K562	BUD13_6-DHX30_6-interaction-shap	interaction	BUD13	6	DHX30	6	1	0.0	false	0.0
K562	CPSF6_1-TRA2A_1-interaction-shap	interaction	CPSF6	1	TRA2A	1	183	0.0	false	0.0
K562	BUD13_6-ELAC2_6-interaction-shap	interaction	BUD13	6	ELAC2	6	66	0.0	false	0.0
K562	BUD13_6-ELAVL1_6-interaction-shap	interaction	BUD13	6	ELAVL1	6	40	0.0	false	0.0
K562	BUD13_6-EWSR1_6-interaction-shap	interaction	BUD13	6	EWSR1	6	133	0.0	false	0.0
K562	BUD13_6-FAM120A_6-interaction-shap	interaction	BUD13	6	FAM120A	6	1	0.0	false	0.0
K562	BUD13_6-FASTKD2_6-interaction-shap	interaction	BUD13	6	FASTKD2	6	101	0.0	false	0.0
