Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	IGF2BP1_1-G3BP1_5-interaction-shap	interaction	IGF2BP1	1	G3BP1	5	15	0.6211414337158203	false	0.6211414337158203	G3BP1-IGF2BP1
HepG2	AQR_4-LIN28B_4-interaction-shap	interaction	AQR	4	LIN28B	4	347	-0.6173035502433777	false	0.6173035502433777	AQR-LIN28B
HepG2	PRPF8_1-SF3B4_6-interaction-shap	interaction	PRPF8	1	SF3B4	6	15	-0.6096775531768799	true	0.6096775531768799	PRPF8-SF3B4
HepG2	G3BP1_3-PRPF8_4-interaction-shap	interaction	G3BP1	3	PRPF8	4	1594	-0.6038746237754822	false	0.6038746237754822	G3BP1-PRPF8
HepG2	BUD13_2-RBM15_2-interaction-shap	interaction	BUD13	2	RBM15	2	84	0.598983883857727	false	0.598983883857727	BUD13-RBM15
HepG2	SND1_2-IGF2BP1_4-interaction-shap	interaction	SND1	2	IGF2BP1	4	172	-0.5959022045135498	false	0.5959022045135498	IGF2BP1-SND1
HepG2	LIN28B_3-BCLAF1_5-interaction-shap	interaction	LIN28B	3	BCLAF1	5	248	-0.5953110456466675	false	0.5953110456466675	BCLAF1-LIN28B
HepG2	YBX3_1-SF3B4_5-interaction-shap	interaction	YBX3	1	SF3B4	5	106	0.5864257216453552	false	0.5864257216453552	SF3B4-YBX3
HepG2	LIN28B_3-BUD13_6-interaction-shap	interaction	LIN28B	3	BUD13	6	33	-0.5852803587913513	false	0.5852803587913513	BUD13-LIN28B
HepG2	DDX3X_3-AQR_4-interaction-shap	interaction	DDX3X	3	AQR	4	800	-0.5846643447875977	false	0.5846643447875977	AQR-DDX3X
HepG2	U2AF2_3-HNRNPM_4-interaction-shap	interaction	U2AF2	3	HNRNPM	4	11	-0.5782430171966553	false	0.5782430171966553	HNRNPM-U2AF2
HepG2	PPIG_4-RBM22_4-interaction-shap	interaction	PPIG	4	RBM22	4	1080	-0.5595126152038574	false	0.5595126152038574	PPIG-RBM22
HepG2	LIN28B_3-SUGP2_3-interaction-shap	interaction	LIN28B	3	SUGP2	3	1	0.5518361330032349	false	0.5518361330032349	LIN28B-SUGP2
HepG2	PTBP1_3-U2AF2_4-interaction-shap	interaction	PTBP1	3	U2AF2	4	20	0.5517473816871643	false	0.5517473816871643	PTBP1-U2AF2
HepG2	PCBP1_2-SF3B4_3-interaction-shap	interaction	PCBP1	2	SF3B4	3	100	-0.5503346920013428	false	0.5503346920013428	PCBP1-SF3B4
HepG2	BUD13_3-PABPN1_4-interaction-shap	interaction	BUD13	3	PABPN1	4	408	-0.5424906611442566	false	0.5424906611442566	BUD13-PABPN1
HepG2	SF3B4_3-UPF1_3-interaction-shap	interaction	SF3B4	3	UPF1	3	52	-0.5251674652099609	false	0.5251674652099609	SF3B4-UPF1
HepG2	LIN28B_1-U2AF2_5-interaction-shap	interaction	LIN28B	1	U2AF2	5	142	-0.5180404782295227	false	0.5180404782295227	LIN28B-U2AF2
HepG2	BCLAF1_1-HNRNPL_6-interaction-shap	interaction	BCLAF1	1	HNRNPL	6	38	-0.5091449618339539	false	0.5091449618339539	BCLAF1-HNRNPL
