Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	DROSHA_1-SF3B4_2-interaction-shap	interaction	DROSHA-SF3B4	DROSHA	1	SF3B4	2	118	0.13893380761146545	false	0.13893380761146545	DROSHA-SF3B4
K562	IGF2BP1_3-FXR1_4-interaction-shap	interaction	FXR1-IGF2BP1	IGF2BP1	3	FXR1	4	33	-0.13857504725456238	false	0.13857504725456238	FXR1-IGF2BP1
K562	SF3B4_4-EFTUD2_5-interaction-shap	interaction	EFTUD2-SF3B4	SF3B4	4	EFTUD2	5	524	-0.13754697144031525	true	0.13754697144031525	EFTUD2-SF3B4
K562	AQR_1-SRSF1_1-interaction-shap	interaction	AQR-SRSF1	AQR	1	SRSF1	1	216	0.13722898066043854	false	0.13722898066043854	AQR-SRSF1
K562	SMNDC1_1-BUD13_3-interaction-shap	interaction	BUD13-SMNDC1	SMNDC1	1	BUD13	3	307	-0.13692902028560638	false	0.13692902028560638	BUD13-SMNDC1
K562	QKI_3-TIA1_6-interaction-shap	interaction	QKI-TIA1	QKI	3	TIA1	6	34	-0.13683314621448517	false	0.13683314621448517	QKI-TIA1
K562	PUM2_1-RBFOX2_5-interaction-shap	interaction	PUM2-RBFOX2	PUM2	1	RBFOX2	5	6	-0.13667511940002441	false	0.13667511940002441	PUM2-RBFOX2
K562	FXR2_4-SRSF1_6-interaction-shap	interaction	FXR2-SRSF1	FXR2	4	SRSF1	6	141	-0.13613075017929077	false	0.13613075017929077	FXR2-SRSF1
K562	RBM22_2-BUD13_3-interaction-shap	interaction	BUD13-RBM22	RBM22	2	BUD13	3	548	0.13607056438922882	true	0.13607056438922882	BUD13-RBM22
K562	GEMIN5_1-IGF2BP2_4-interaction-shap	interaction	GEMIN5-IGF2BP2	GEMIN5	1	IGF2BP2	4	89	-0.13580532371997833	false	0.13580532371997833	GEMIN5-IGF2BP2
K562	LIN28B_4-METAP2_4-interaction-shap	interaction	LIN28B-METAP2	LIN28B	4	METAP2	4	345	-0.13521860539913177	false	0.13521860539913177	LIN28B-METAP2
K562	TAF15_2-ELAVL1_6-interaction-shap	interaction	ELAVL1-TAF15	TAF15	2	ELAVL1	6	3	0.1340455859899521	false	0.1340455859899521	ELAVL1-TAF15
K562	EIF4E_1-RPS3_1-interaction-shap	interaction	EIF4E-RPS3	EIF4E	1	RPS3	1	453	0.13376431167125702	false	0.13376431167125702	EIF4E-RPS3
K562	EFTUD2_5-PRPF8_6-interaction-shap	interaction	EFTUD2-PRPF8	EFTUD2	5	PRPF8	6	1225	0.1336250901222229	true	0.1336250901222229	EFTUD2-PRPF8
K562	ZNF800_3-TIA1_6-interaction-shap	interaction	TIA1-ZNF800	ZNF800	3	TIA1	6	140	-0.1333233267068863	false	0.1333233267068863	TIA1-ZNF800
K562	KHSRP_3-LIN28B_6-interaction-shap	interaction	KHSRP-LIN28B	KHSRP	3	LIN28B	6	384	0.1331295520067215	false	0.1331295520067215	KHSRP-LIN28B
K562	TAF15_2-UCHL5_6-interaction-shap	interaction	TAF15-UCHL5	TAF15	2	UCHL5	6	2	0.13278868794441223	false	0.13278868794441223	TAF15-UCHL5
K562	RBM22_4-TIA1_5-interaction-shap	interaction	RBM22-TIA1	RBM22	4	TIA1	5	99	-0.13233307003974915	false	0.13233307003974915	RBM22-TIA1
K562	EIF4E_1-DDX24_6-interaction-shap	interaction	DDX24-EIF4E	EIF4E	1	DDX24	6	215	0.1313403993844986	false	0.1313403993844986	DDX24-EIF4E
K562	IGF2BP2_3-SF3B4_5-interaction-shap	interaction	IGF2BP2-SF3B4	IGF2BP2	3	SF3B4	5	481	-0.13117150962352753	false	0.13117150962352753	IGF2BP2-SF3B4
K562	DDX3X_2-DDX43_4-interaction-shap	interaction	DDX3X-DDX43	DDX3X	2	DDX43	4	542	-0.1309666633605957	false	0.1309666633605957	DDX3X-DDX43
K562	UPF1_5-DDX3X_6-interaction-shap	interaction	DDX3X-UPF1	UPF1	5	DDX3X	6	10	0.1306690275669098	false	0.1306690275669098	DDX3X-UPF1
K562	RBM22_4-DDX6_5-interaction-shap	interaction	DDX6-RBM22	RBM22	4	DDX6	5	30	-0.1306271255016327	false	0.1306271255016327	DDX6-RBM22
K562	AQR_4-EWSR1_4-interaction-shap	interaction	AQR-EWSR1	AQR	4	EWSR1	4	493	0.13061484694480896	false	0.13061484694480896	AQR-EWSR1
K562	AGGF1_3-SRSF1_6-interaction-shap	interaction	AGGF1-SRSF1	AGGF1	3	SRSF1	6	14	0.1305176317691803	false	0.1305176317691803	AGGF1-SRSF1
K562	RPS3_4-SRSF9_4-interaction-shap	interaction	RPS3-SRSF9	RPS3	4	SRSF9	4	21	0.13041771948337555	false	0.13041771948337555	RPS3-SRSF9
K562	EFTUD2_5-RPS6_6-interaction-shap	interaction	EFTUD2-RPS6	EFTUD2	5	RPS6	6	31	-0.12988469004631042	false	0.12988469004631042	EFTUD2-RPS6
K562	FUS_2-GRWD1_3-interaction-shap	interaction	FUS-GRWD1	FUS	2	GRWD1	3	18	-0.12968869507312775	false	0.12968869507312775	FUS-GRWD1
K562	RBFOX2_3-BUD13_4-interaction-shap	interaction	BUD13-RBFOX2	RBFOX2	3	BUD13	4	171	-0.1282472312450409	false	0.1282472312450409	BUD13-RBFOX2
K562	IGF2BP1_2-U2AF1_4-interaction-shap	interaction	IGF2BP1-U2AF1	IGF2BP1	2	U2AF1	4	2	-0.12777139246463776	false	0.12777139246463776	IGF2BP1-U2AF1
K562	SF3B4_3-SRSF1_4-interaction-shap	interaction	SF3B4-SRSF1	SF3B4	3	SRSF1	4	545	-0.12770897150039673	false	0.12770897150039673	SF3B4-SRSF1
K562	GPKOW_3-HNRNPL_5-interaction-shap	interaction	GPKOW-HNRNPL	GPKOW	3	HNRNPL	5	9	-0.12761908769607544	false	0.12761908769607544	GPKOW-HNRNPL
K562	PABPC4_3-LIN28B_6-interaction-shap	interaction	LIN28B-PABPC4	PABPC4	3	LIN28B	6	457	-0.12737326323986053	true	0.12737326323986053	LIN28B-PABPC4
K562	EIF4E_1-PABPC4_1-interaction-shap	interaction	EIF4E-PABPC4	EIF4E	1	PABPC4	1	407	0.1271122843027115	true	0.1271122843027115	EIF4E-PABPC4
K562	RBM22_2-SND1_6-interaction-shap	interaction	RBM22-SND1	RBM22	2	SND1	6	188	-0.1270916759967804	false	0.1270916759967804	RBM22-SND1
K562	FMR1_3-RPS6_3-interaction-shap	interaction	FMR1-RPS6	FMR1	3	RPS6	3	51	-0.12700174748897552	false	0.12700174748897552	FMR1-RPS6
K562	U2AF2_1-RBM15_6-interaction-shap	interaction	RBM15-U2AF2	U2AF2	1	RBM15	6	177	-0.12687481939792633	false	0.12687481939792633	RBM15-U2AF2
K562	TRA2A_3-SF3B4_6-interaction-shap	interaction	SF3B4-TRA2A	TRA2A	3	SF3B4	6	28	-0.12654966115951538	false	0.12654966115951538	SF3B4-TRA2A
K562	SRSF1_4-TIA1_6-interaction-shap	interaction	SRSF1-TIA1	SRSF1	4	TIA1	6	106	-0.12638893723487854	false	0.12638893723487854	SRSF1-TIA1
K562	RBM22_2-LIN28B_3-interaction-shap	interaction	LIN28B-RBM22	RBM22	2	LIN28B	3	289	0.12612730264663696	false	0.12612730264663696	LIN28B-RBM22
K562	EFTUD2_2-RBM22_2-interaction-shap	interaction	EFTUD2-RBM22	EFTUD2	2	RBM22	2	1704	0.12607356905937195	false	0.12607356905937195	EFTUD2-RBM22
K562	METAP2_2-RPS6_5-interaction-shap	interaction	METAP2-RPS6	METAP2	2	RPS6	5	104	0.12562195956707	false	0.12562195956707	METAP2-RPS6
K562	RBFOX2_2-XRN2_2-interaction-shap	interaction	RBFOX2-XRN2	RBFOX2	2	XRN2	2	433	0.12500549852848053	false	0.12500549852848053	RBFOX2-XRN2
K562	SF3B4_3-YWHAG_3-interaction-shap	interaction	SF3B4-YWHAG	SF3B4	3	YWHAG	3	56	0.12489490956068039	false	0.12489490956068039	SF3B4-YWHAG
K562	SRSF1_2-CSTF2T_6-interaction-shap	interaction	CSTF2T-SRSF1	SRSF1	2	CSTF2T	6	79	-0.12432341277599335	false	0.12432341277599335	CSTF2T-SRSF1
K562	FUS_2-GPKOW_5-interaction-shap	interaction	FUS-GPKOW	FUS	2	GPKOW	5	37	-0.12432172149419785	false	0.12432172149419785	FUS-GPKOW
K562	SRSF7_1-RPS3_3-interaction-shap	interaction	RPS3-SRSF7	SRSF7	1	RPS3	3	25	-0.12402330338954926	false	0.12402330338954926	RPS3-SRSF7
K562	IGF2BP1_6-TIA1_6-interaction-shap	interaction	IGF2BP1-TIA1	IGF2BP1	6	TIA1	6	319	-0.12306740880012512	false	0.12306740880012512	IGF2BP1-TIA1
K562	BUD13_3-SND1_4-interaction-shap	interaction	BUD13-SND1	BUD13	3	SND1	4	462	-0.12304972112178802	false	0.12304972112178802	BUD13-SND1
K562	RBM22_4-NCBP2_5-interaction-shap	interaction	NCBP2-RBM22	RBM22	4	NCBP2	5	56	-0.12271952629089355	false	0.12271952629089355	NCBP2-RBM22
K562	TIA1_1-U2AF1_3-interaction-shap	interaction	TIA1-U2AF1	TIA1	1	U2AF1	3	37	-0.12233509123325348	false	0.12233509123325348	TIA1-U2AF1
K562	FMR1_3-SRSF1_4-interaction-shap	interaction	FMR1-SRSF1	FMR1	3	SRSF1	4	100	-0.12231627106666565	false	0.12231627106666565	FMR1-SRSF1
K562	AKAP1_2-GPKOW_4-interaction-shap	interaction	AKAP1-GPKOW	AKAP1	2	GPKOW	4	2	-0.12198086082935333	false	0.12198086082935333	AKAP1-GPKOW
K562	U2AF2_1-UPF1_3-interaction-shap	interaction	U2AF2-UPF1	U2AF2	1	UPF1	3	19	-0.12143092602491379	false	0.12143092602491379	U2AF2-UPF1
K562	IGF2BP2_4-RPS3_4-interaction-shap	interaction	IGF2BP2-RPS3	IGF2BP2	4	RPS3	4	166	-0.12123389542102814	false	0.12123389542102814	IGF2BP2-RPS3
K562	SERBP1_2-CSTF2T_6-interaction-shap	interaction	CSTF2T-SERBP1	SERBP1	2	CSTF2T	6	2	-0.12118767201900482	false	0.12118767201900482	CSTF2T-SERBP1
K562	NIPBL_3-LIN28B_5-interaction-shap	interaction	LIN28B-NIPBL	NIPBL	3	LIN28B	5	45	0.12053486704826355	false	0.12053486704826355	LIN28B-NIPBL
