Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	DHX30_2-TRA2A_6-interaction-shap	interaction	DHX30	2	TRA2A	6	1	0.0	false	0.0
K562	DHX30_2-UCHL5_6-interaction-shap	interaction	DHX30	2	UCHL5	6	46	0.0	false	0.0
K562	DHX30_2-XRN2_6-interaction-shap	interaction	DHX30	2	XRN2	6	66	0.0	false	0.0
K562	DHX30_2-ZC3H11A_6-interaction-shap	interaction	DHX30	2	ZC3H11A	6	1	0.0	false	0.0
K562	PCBP1_1-IGF2BP1_3-interaction-shap	interaction	PCBP1	1	IGF2BP1	3	99	0.0	false	0.0
K562	DROSHA_2-CSTF2T_6-interaction-shap	interaction	DROSHA	2	CSTF2T	6	90	0.0	false	0.0
K562	PCBP1_1-RBM15_3-interaction-shap	interaction	PCBP1	1	RBM15	3	29	0.0	false	0.0
K562	DROSHA_2-EIF4G2_6-interaction-shap	interaction	DROSHA	2	EIF4G2	6	5	0.0	false	0.0
K562	DROSHA_2-EWSR1_6-interaction-shap	interaction	DROSHA	2	EWSR1	6	56	0.0	false	0.0
K562	DROSHA_2-EXOSC10_6-interaction-shap	interaction	DROSHA	2	EXOSC10	6	54	0.0	false	0.0
K562	DROSHA_2-FUS_6-interaction-shap	interaction	DROSHA	2	FUS	6	25	0.0	false	0.0
K562	DROSHA_2-GPKOW_6-interaction-shap	interaction	DROSHA	2	GPKOW	6	47	0.0	false	0.0
K562	DROSHA_2-HNRNPC_6-interaction-shap	interaction	DROSHA	2	HNRNPC	6	7	0.0	false	0.0
K562	DROSHA_2-HNRNPL_6-interaction-shap	interaction	DROSHA	2	HNRNPL	6	4	0.0	false	0.0
K562	DROSHA_2-IGF2BP1_6-interaction-shap	interaction	DROSHA	2	IGF2BP1	6	65	0.0	false	0.0
K562	DROSHA_2-IGF2BP2_6-interaction-shap	interaction	DROSHA	2	IGF2BP2	6	41	0.0	false	0.0
K562	DROSHA_2-LARP7_6-interaction-shap	interaction	DROSHA	2	LARP7	6	1	0.0	false	0.0
K562	PCBP1_1-PRPF8_3-interaction-shap	interaction	PCBP1	1	PRPF8	3	15	0.0	false	0.0
K562	PCBP1_1-NONO_3-interaction-shap	interaction	PCBP1	1	NONO	3	7	0.0	false	0.0
K562	DROSHA_2-PTBP1_6-interaction-shap	interaction	DROSHA	2	PTBP1	6	36	0.0	false	0.0
K562	PCBP1_1-NOLC1_3-interaction-shap	interaction	PCBP1	1	NOLC1	3	15	0.0	false	0.0
K562	DROSHA_2-RBFOX2_6-interaction-shap	interaction	DROSHA	2	RBFOX2	6	32	0.0	false	0.0
K562	DROSHA_2-RBM22_6-interaction-shap	interaction	DROSHA	2	RBM22	6	103	0.0	false	0.0
K562	DROSHA_2-RPS3_6-interaction-shap	interaction	DROSHA	2	RPS3	6	390	0.0	false	0.0
K562	DROSHA_2-RPS6_6-interaction-shap	interaction	DROSHA	2	RPS6	6	54	0.0	false	0.0
K562	DROSHA_2-SF3B4_6-interaction-shap	interaction	DROSHA	2	SF3B4	6	232	0.0	false	0.0
K562	DROSHA_2-SRSF1_6-interaction-shap	interaction	DROSHA	2	SRSF1	6	85	0.0	false	0.0
K562	DROSHA_2-TIA1_6-interaction-shap	interaction	DROSHA	2	TIA1	6	126	0.0	false	0.0
K562	DROSHA_2-U2AF2_6-interaction-shap	interaction	DROSHA	2	U2AF2	6	34	0.0	false	0.0
K562	EEF2_2-APOBEC3C_6-interaction-shap	interaction	EEF2	2	APOBEC3C	6	1	0.0	false	0.0
K562	EEF2_2-ELAC2_6-interaction-shap	interaction	EEF2	2	ELAC2	6	3	0.0	false	0.0
K562	EEF2_2-FMR1_6-interaction-shap	interaction	EEF2	2	FMR1	6	1	0.0	false	0.0
K562	EEF2_2-FXR1_6-interaction-shap	interaction	EEF2	2	FXR1	6	1	0.0	false	0.0
K562	EEF2_2-IGF2BP1_6-interaction-shap	interaction	EEF2	2	IGF2BP1	6	7	0.0	false	0.0
K562	EEF2_2-IGF2BP2_6-interaction-shap	interaction	EEF2	2	IGF2BP2	6	8	0.0	false	0.0
K562	EEF2_2-LIN28B_6-interaction-shap	interaction	EEF2	2	LIN28B	6	3	0.0	false	0.0
K562	EEF2_2-NOLC1_6-interaction-shap	interaction	EEF2	2	NOLC1	6	19	0.0	false	0.0
K562	EEF2_2-PRPF8_6-interaction-shap	interaction	EEF2	2	PRPF8	6	6	0.0	false	0.0
K562	EEF2_2-PUM2_6-interaction-shap	interaction	EEF2	2	PUM2	6	3	0.0	false	0.0
K562	EEF2_2-RBFOX2_6-interaction-shap	interaction	EEF2	2	RBFOX2	6	1	0.0	false	0.0
K562	EEF2_2-RBM15_6-interaction-shap	interaction	EEF2	2	RBM15	6	18	0.0	false	0.0
K562	EEF2_2-RBM22_6-interaction-shap	interaction	EEF2	2	RBM22	6	3	0.0	false	0.0
K562	EEF2_2-RPS3_6-interaction-shap	interaction	EEF2	2	RPS3	6	4	0.0	false	0.0
K562	EEF2_2-SRSF7_6-interaction-shap	interaction	EEF2	2	SRSF7	6	13	0.0	false	0.0
K562	EEF2_2-TRA2A_6-interaction-shap	interaction	EEF2	2	TRA2A	6	1	0.0	false	0.0
K562	EEF2_2-UCHL5_6-interaction-shap	interaction	EEF2	2	UCHL5	6	2	0.0	false	0.0
K562	EEF2_2-ZC3H11A_6-interaction-shap	interaction	EEF2	2	ZC3H11A	6	5	0.0	false	0.0
K562	EFTUD2_2-AKAP1_6-interaction-shap	interaction	EFTUD2	2	AKAP1	6	20	0.0	false	0.0
K562	EFTUD2_2-APOBEC3C_6-interaction-shap	interaction	EFTUD2	2	APOBEC3C	6	199	0.0	false	0.0
K562	PCBP1_1-MBNL1_3-interaction-shap	interaction	PCBP1	1	MBNL1	3	15	0.0	false	0.0
K562	EFTUD2_2-CPEB4_6-interaction-shap	interaction	EFTUD2	2	CPEB4	6	7	0.0	false	0.0
K562	EFTUD2_2-CPSF6_6-interaction-shap	interaction	EFTUD2	2	CPSF6	6	165	0.0	false	0.0
K562	EFTUD2_2-CSTF2T_6-interaction-shap	interaction	EFTUD2	2	CSTF2T	6	158	0.0	false	0.0
K562	PCBP1_1-LIN28B_3-interaction-shap	interaction	PCBP1	1	LIN28B	3	29	0.0	false	0.0
K562	EFTUD2_2-DDX21_6-interaction-shap	interaction	EFTUD2	2	DDX21	6	30	0.0	false	0.0
K562	PCBP1_1-LARP4_3-interaction-shap	interaction	PCBP1	1	LARP4	3	10	0.0	false	0.0
K562	EFTUD2_2-DDX52_6-interaction-shap	interaction	EFTUD2	2	DDX52	6	34	0.0	false	0.0
K562	EFTUD2_2-DDX6_6-interaction-shap	interaction	EFTUD2	2	DDX6	6	186	0.0	false	0.0
K562	EFTUD2_2-DGCR8_6-interaction-shap	interaction	EFTUD2	2	DGCR8	6	52	0.0	false	0.0
K562	EFTUD2_2-EIF3G_6-interaction-shap	interaction	EFTUD2	2	EIF3G	6	11	0.0	false	0.0
K562	EFTUD2_2-EIF4E_6-interaction-shap	interaction	EFTUD2	2	EIF4E	6	14	0.0	false	0.0
K562	EFTUD2_2-EIF4G2_6-interaction-shap	interaction	EFTUD2	2	EIF4G2	6	32	0.0	false	0.0
K562	EFTUD2_2-ELAC2_6-interaction-shap	interaction	EFTUD2	2	ELAC2	6	131	0.0	false	0.0
K562	EFTUD2_2-ELAVL1_6-interaction-shap	interaction	EFTUD2	2	ELAVL1	6	149	0.0	false	0.0
K562	EFTUD2_2-EWSR1_6-interaction-shap	interaction	EFTUD2	2	EWSR1	6	108	0.0	false	0.0
K562	EFTUD2_2-EXOSC10_6-interaction-shap	interaction	EFTUD2	2	EXOSC10	6	110	0.0	false	0.0
K562	EFTUD2_2-EXOSC5_6-interaction-shap	interaction	EFTUD2	2	EXOSC5	6	6	0.0	false	0.0
K562	PCBP1_1-ILF3_3-interaction-shap	interaction	PCBP1	1	ILF3	3	10	0.0	false	0.0
K562	EFTUD2_2-FASTKD2_6-interaction-shap	interaction	EFTUD2	2	FASTKD2	6	58	0.0	false	0.0
K562	PABPC4_1-EXOSC10_3-interaction-shap	interaction	PABPC4	1	EXOSC10	3	27	0.0	false	0.0
K562	EFTUD2_2-FUS_6-interaction-shap	interaction	EFTUD2	2	FUS	6	86	0.0	false	0.0
K562	EFTUD2_2-FXR1_6-interaction-shap	interaction	EFTUD2	2	FXR1	6	245	0.0	false	0.0
K562	PCBP1_1-HNRNPL_3-interaction-shap	interaction	PCBP1	1	HNRNPL	3	3	0.0	false	0.0
K562	EFTUD2_2-GNL3_6-interaction-shap	interaction	EFTUD2	2	GNL3	6	20	0.0	false	0.0
K562	EFTUD2_2-GPKOW_6-interaction-shap	interaction	EFTUD2	2	GPKOW	6	418	0.0	false	0.0
K562	PCBP1_1-HNRNPA1_3-interaction-shap	interaction	PCBP1	1	HNRNPA1	3	9	0.0	false	0.0
K562	EFTUD2_2-HNRNPA1_6-interaction-shap	interaction	EFTUD2	2	HNRNPA1	6	2	0.0	false	0.0
K562	EFTUD2_2-HNRNPC_6-interaction-shap	interaction	EFTUD2	2	HNRNPC	6	27	0.0	false	0.0
K562	EFTUD2_2-HNRNPK_6-interaction-shap	interaction	EFTUD2	2	HNRNPK	6	62	0.0	false	0.0
K562	PCBP1_1-GPKOW_3-interaction-shap	interaction	PCBP1	1	GPKOW	3	12	0.0	false	0.0
K562	EFTUD2_2-IGF2BP1_6-interaction-shap	interaction	EFTUD2	2	IGF2BP1	6	404	0.0	false	0.0
K562	PCBP1_1-FXR2_3-interaction-shap	interaction	PCBP1	1	FXR2	3	37	0.0	false	0.0
K562	PCBP1_1-FXR1_3-interaction-shap	interaction	PCBP1	1	FXR1	3	13	0.0	false	0.0
K562	PCBP1_1-FMR1_3-interaction-shap	interaction	PCBP1	1	FMR1	3	26	0.0	false	0.0
K562	EFTUD2_2-LARP4_6-interaction-shap	interaction	EFTUD2	2	LARP4	6	113	0.0	false	0.0
K562	EFTUD2_2-LARP7_6-interaction-shap	interaction	EFTUD2	2	LARP7	6	1	0.0	false	0.0
K562	PCBP1_1-ELAC2_3-interaction-shap	interaction	PCBP1	1	ELAC2	3	11	0.0	false	0.0
K562	EFTUD2_2-MBNL1_6-interaction-shap	interaction	EFTUD2	2	MBNL1	6	75	0.0	false	0.0
K562	PCBP1_1-EIF4G2_3-interaction-shap	interaction	PCBP1	1	EIF4G2	3	13	0.0	false	0.0
K562	PCBP1_1-EIF4E_3-interaction-shap	interaction	PCBP1	1	EIF4E	3	12	0.0	false	0.0
