Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	FXR1_4-TIA1_4-interaction-shap	interaction	FXR1-TIA1	FXR1	4	TIA1	4	55	-2.8777317311323714e-6	false	2.8777317311323714e-6
K562	GRWD1_6-RPS6_6-interaction-shap	interaction	GRWD1-RPS6	GRWD1	6	RPS6	6	33	2.87050556835311e-6	false	2.87050556835311e-6
K562	EWSR1_3-YWHAG_3-interaction-shap	interaction	EWSR1-YWHAG	EWSR1	3	YWHAG	3	4	2.7614421469479566e-6	false	2.7614421469479566e-6
K562	QKI_3-SMNDC1_3-interaction-shap	interaction	QKI-SMNDC1	QKI	3	SMNDC1	3	1	2.677319571375847e-6	false	2.677319571375847e-6
K562	PTBP1_4-RBM22_4-interaction-shap	interaction	PTBP1-RBM22	PTBP1	4	RBM22	4	8	-2.4987239157781005e-6	false	2.4987239157781005e-6
K562	DDX6_6-TIA1_6-interaction-shap	interaction	DDX6-TIA1	DDX6	6	TIA1	6	166	2.4767514332779683e-6	false	2.4767514332779683e-6
K562	LIN28B_5-MTPAP_5-interaction-shap	interaction	LIN28B-MTPAP	LIN28B	5	MTPAP	5	29	-2.4405539988947567e-6	false	2.4405539988947567e-6
K562	AATF_5-DDX3X_5-interaction-shap	interaction	AATF-DDX3X	AATF	5	DDX3X	5	6	-2.331430323465611e-6	false	2.331430323465611e-6
K562	DDX3X_1-FASTKD2_1-interaction-shap	interaction	DDX3X-FASTKD2	DDX3X	1	FASTKD2	1	30	2.2860865556140197e-6	false	2.2860865556140197e-6
K562	DDX3X_1-DDX51_1-interaction-shap	interaction	DDX3X-DDX51	DDX3X	1	DDX51	1	18	2.284430820509442e-6	false	2.284430820509442e-6
K562	DDX47_2-GTF2F1_2-interaction-shap	interaction	DDX47-GTF2F1	DDX47	2	GTF2F1	2	99	2.1556929823418614e-6	false	2.1556929823418614e-6
K562	AATF_5-EIF4G2_5-interaction-shap	interaction	AATF-EIF4G2	AATF	5	EIF4G2	5	2	-2.0372681319713593e-6	false	2.0372681319713593e-6
K562	IGF2BP1_6-MBNL1_6-interaction-shap	interaction	IGF2BP1-MBNL1	IGF2BP1	6	MBNL1	6	5	1.934170768436161e-6	false	1.934170768436161e-6
K562	PUM2_6-ZC3H11A_6-interaction-shap	interaction	PUM2-ZC3H11A	PUM2	6	ZC3H11A	6	287	-1.924965772559517e-6	false	1.924965772559517e-6
K562	PTBP1_2-XRN2_2-interaction-shap	interaction	PTBP1-XRN2	PTBP1	2	XRN2	2	121	1.894123215606669e-6	false	1.894123215606669e-6
K562	EIF4E_2-TBRG4_2-interaction-shap	interaction	EIF4E-TBRG4	EIF4E	2	TBRG4	2	49	1.8644888086782885e-6	false	1.8644888086782885e-6
K562	ELAC2_4-EXOSC10_4-interaction-shap	interaction	ELAC2-EXOSC10	ELAC2	4	EXOSC10	4	21	1.683476398284256e-6	false	1.683476398284256e-6
K562	AKAP8L_3-HNRNPL_3-interaction-shap	interaction	AKAP8L-HNRNPL	AKAP8L	3	HNRNPL	3	19	1.5015738199508633e-6	false	1.5015738199508633e-6
K562	DDX47_2-UCHL5_2-interaction-shap	interaction	DDX47-UCHL5	DDX47	2	UCHL5	2	14	-1.4214643897503265e-6	false	1.4214643897503265e-6
K562	EXOSC5_2-GTF2F1_2-interaction-shap	interaction	EXOSC5-GTF2F1	EXOSC5	2	GTF2F1	2	149	1.2816913113056216e-6	false	1.2816913113056216e-6
K562	EXOSC5_4-TARDBP_4-interaction-shap	interaction	EXOSC5-TARDBP	EXOSC5	4	TARDBP	4	7	-1.2628734111785889e-6	false	1.2628734111785889e-6
K562	NONO_2-PCBP1_2-interaction-shap	interaction	NONO-PCBP1	NONO	2	PCBP1	2	252	1.0467996389706968e-6	false	1.0467996389706968e-6
