Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	AQR_4-HNRNPL_4-interaction-shap	interaction	AQR-HNRNPL	AQR	4	HNRNPL	4	34	-0.7512881755828857	false	0.7512881755828857
K562	DDX3X_4-RBM22_4-interaction-shap	interaction	DDX3X-RBM22	DDX3X	4	RBM22	4	69	-0.6021908521652222	false	0.6021908521652222
K562	HNRNPM_4-LIN28B_4-interaction-shap	interaction	HNRNPM-LIN28B	HNRNPM	4	LIN28B	4	36	-0.5642389059066772	false	0.5642389059066772
K562	GPKOW_3-PRPF8_3-interaction-shap	interaction	GPKOW-PRPF8	GPKOW	3	PRPF8	3	131	-0.548067569732666	true	0.548067569732666
K562	LIN28B_4-UCHL5_4-interaction-shap	interaction	LIN28B-UCHL5	LIN28B	4	UCHL5	4	538	-0.47798964381217957	false	0.47798964381217957
K562	RBM22_4-ZNF622_4-interaction-shap	interaction	RBM22-ZNF622	RBM22	4	ZNF622	4	467	-0.4269399046897888	false	0.4269399046897888
K562	DDX3X_5-RBFOX2_5-interaction-shap	interaction	DDX3X-RBFOX2	DDX3X	5	RBFOX2	5	11	0.3880149722099304	false	0.3880149722099304
K562	IGF2BP1_4-PUM2_4-interaction-shap	interaction	IGF2BP1-PUM2	IGF2BP1	4	PUM2	4	23	-0.3702961504459381	false	0.3702961504459381
K562	DDX24_4-PRPF8_4-interaction-shap	interaction	DDX24-PRPF8	DDX24	4	PRPF8	4	1547	-0.3654482662677765	false	0.3654482662677765
K562	DDX43_3-IGF2BP1_3-interaction-shap	interaction	DDX43-IGF2BP1	DDX43	3	IGF2BP1	3	85	-0.36495789885520935	false	0.36495789885520935
K562	GRWD1_4-LIN28B_4-interaction-shap	interaction	GRWD1-LIN28B	GRWD1	4	LIN28B	4	448	-0.3493552505970001	false	0.3493552505970001
K562	DDX3X_4-TIA1_4-interaction-shap	interaction	DDX3X-TIA1	DDX3X	4	TIA1	4	43	-0.34886905550956726	false	0.34886905550956726
K562	DDX3X_4-PABPC4_4-interaction-shap	interaction	DDX3X-PABPC4	DDX3X	4	PABPC4	4	167	-0.34052222967147827	false	0.34052222967147827
K562	AQR_4-PRPF8_4-interaction-shap	interaction	AQR-PRPF8	AQR	4	PRPF8	4	9906	-0.33840212225914	false	0.33840212225914
K562	AQR_3-BUD13_3-interaction-shap	interaction	AQR-BUD13	AQR	3	BUD13	3	3222	-0.3370213210582733	false	0.3370213210582733
K562	BUD13_3-EWSR1_3-interaction-shap	interaction	BUD13-EWSR1	BUD13	3	EWSR1	3	240	-0.32610219717025757	false	0.32610219717025757
K562	LIN28B_4-ZNF622_4-interaction-shap	interaction	LIN28B-ZNF622	LIN28B	4	ZNF622	4	502	-0.31861600279808044	false	0.31861600279808044
K562	SF3B4_4-YBX3_4-interaction-shap	interaction	SF3B4-YBX3	SF3B4	4	YBX3	4	235	-0.31775137782096863	false	0.31775137782096863
K562	LIN28B_3-YBX3_3-interaction-shap	interaction	LIN28B-YBX3	LIN28B	3	YBX3	3	709	-0.3157299757003784	false	0.3157299757003784
K562	MATR3_3-PTBP1_3-interaction-shap	interaction	MATR3-PTBP1	MATR3	3	PTBP1	3	46	0.313902884721756	true	0.313902884721756
K562	BUD13_3-SF3B4_3-interaction-shap	interaction	BUD13-SF3B4	BUD13	3	SF3B4	3	4475	-0.3122318387031555	true	0.3122318387031555
K562	DDX43_3-TIA1_3-interaction-shap	interaction	DDX43-TIA1	DDX43	3	TIA1	3	107	-0.2977500855922699	false	0.2977500855922699
K562	PRPF8_3-QKI_3-interaction-shap	interaction	PRPF8-QKI	PRPF8	3	QKI	3	21	-0.29058852791786194	false	0.29058852791786194
K562	IGF2BP1_4-IGF2BP2_4-interaction-shap	interaction	IGF2BP1-IGF2BP2	IGF2BP1	4	IGF2BP2	4	738	-0.2868444621562958	false	0.2868444621562958
K562	RBM22_3-SF3B4_3-interaction-shap	interaction	RBM22-SF3B4	RBM22	3	SF3B4	3	100	-0.2797267436981201	false	0.2797267436981201
K562	DDX43_3-LIN28B_3-interaction-shap	interaction	DDX43-LIN28B	DDX43	3	LIN28B	3	280	-0.2754102349281311	false	0.2754102349281311
K562	SF3B4_3-ZNF800_3-interaction-shap	interaction	SF3B4-ZNF800	SF3B4	3	ZNF800	3	663	-0.26600831747055054	false	0.26600831747055054
K562	DDX3X_3-METAP2_3-interaction-shap	interaction	DDX3X-METAP2	DDX3X	3	METAP2	3	175	-0.2652174234390259	false	0.2652174234390259
K562	DDX43_4-IGF2BP1_4-interaction-shap	interaction	DDX43-IGF2BP1	DDX43	4	IGF2BP1	4	150	-0.26520639657974243	false	0.26520639657974243
K562	DDX24_3-SF3B4_3-interaction-shap	interaction	DDX24-SF3B4	DDX24	3	SF3B4	3	2939	-0.2637239694595337	false	0.2637239694595337
K562	AKAP8L_1-PRPF8_1-interaction-shap	interaction	AKAP8L-PRPF8	AKAP8L	1	PRPF8	1	48	-0.2628065347671509	false	0.2628065347671509
