Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	ELAVL1_3-LIN28B_3-interaction-shap	interaction	ELAVL1	3	LIN28B	3	45	0.010244273580610752	false	0.010244273580610752
K562	BUD13_6-RBM15_6-interaction-shap	interaction	BUD13	6	RBM15	6	304	-0.010229544714093208	false	0.010229544714093208
K562	DDX3X_2-PRPF8_2-interaction-shap	interaction	DDX3X	2	PRPF8	2	2241	-0.010216385126113892	false	0.010216385126113892
K562	HLTF_1-U2AF2_1-interaction-shap	interaction	HLTF	1	U2AF2	1	50	-0.010141205973923206	false	0.010141205973923206
K562	PUM2_4-TIA1_4-interaction-shap	interaction	PUM2	4	TIA1	4	67	0.010115375742316246	false	0.010115375742316246
K562	HNRNPC_2-RBM22_2-interaction-shap	interaction	HNRNPC	2	RBM22	2	7	0.010114163160324097	false	0.010114163160324097
K562	IGF2BP1_2-PABPC4_2-interaction-shap	interaction	IGF2BP1	2	PABPC4	2	180	0.010081489570438862	false	0.010081489570438862
K562	PRPF8_6-YBX3_6-interaction-shap	interaction	PRPF8	6	YBX3	6	1625	0.010038378648459911	false	0.010038378648459911
K562	AATF_4-TIA1_4-interaction-shap	interaction	AATF	4	TIA1	4	40	0.010026838630437851	false	0.010026838630437851
K562	EWSR1_3-UCHL5_3-interaction-shap	interaction	EWSR1	3	UCHL5	3	100	0.01002108957618475	false	0.01002108957618475
K562	SF3B4_5-UCHL5_5-interaction-shap	interaction	SF3B4	5	UCHL5	5	3338	0.010004059411585331	false	0.010004059411585331
K562	LIN28B_5-U2AF1_5-interaction-shap	interaction	LIN28B	5	U2AF1	5	136	0.009984188713133335	false	0.009984188713133335
K562	FAM120A_6-PUM2_6-interaction-shap	interaction	FAM120A	6	PUM2	6	87	0.009961402043700218	false	0.009961402043700218
K562	EIF4E_1-RBM15_1-interaction-shap	interaction	EIF4E	1	RBM15	1	388	0.00995524600148201	true	0.00995524600148201
K562	EFTUD2_3-PRPF8_3-interaction-shap	interaction	EFTUD2	3	PRPF8	3	987	-0.009924836456775665	true	0.009924836456775665
K562	SND1_3-SRSF1_3-interaction-shap	interaction	SND1	3	SRSF1	3	85	-0.00987293291836977	false	0.00987293291836977
K562	DDX43_3-IGF2BP2_3-interaction-shap	interaction	DDX43	3	IGF2BP2	3	52	-0.00985621102154255	false	0.00985621102154255
K562	TIA1_3-ZNF622_3-interaction-shap	interaction	TIA1	3	ZNF622	3	33	0.009790514595806599	false	0.009790514595806599
K562	LIN28B_4-RBM22_4-interaction-shap	interaction	LIN28B	4	RBM22	4	279	-0.009778367355465889	false	0.009778367355465889
K562	GPKOW_1-IGF2BP1_1-interaction-shap	interaction	GPKOW	1	IGF2BP1	1	34	-0.009734082967042923	false	0.009734082967042923
K562	LIN28B_1-YBX3_1-interaction-shap	interaction	LIN28B	1	YBX3	1	511	-0.009670197032392025	false	0.009670197032392025
K562	SRSF1_1-U2AF2_1-interaction-shap	interaction	SRSF1	1	U2AF2	1	56	-0.009659791365265846	false	0.009659791365265846
K562	ILF3_3-U2AF2_3-interaction-shap	interaction	ILF3	3	U2AF2	3	3	-0.009655055589973927	false	0.009655055589973927
K562	EFTUD2_2-XRN2_2-interaction-shap	interaction	EFTUD2	2	XRN2	2	1652	0.009619927033782005	false	0.009619927033782005
K562	PABPC4_6-RPS3_6-interaction-shap	interaction	PABPC4	6	RPS3	6	646	0.009604060091078281	false	0.009604060091078281
K562	PCBP1_2-XRN2_2-interaction-shap	interaction	PCBP1	2	XRN2	2	324	0.009588229469954967	false	0.009588229469954967
K562	FXR2_4-UCHL5_4-interaction-shap	interaction	FXR2	4	UCHL5	4	248	0.009579233825206757	false	0.009579233825206757
K562	EIF4G2_3-SF3B4_3-interaction-shap	interaction	EIF4G2	3	SF3B4	3	115	0.009564056992530823	false	0.009564056992530823
K562	CSTF2T_3-PCBP1_3-interaction-shap	interaction	CSTF2T	3	PCBP1	3	54	-0.009552529081702232	false	0.009552529081702232
K562	CSTF2T_5-IGF2BP1_5-interaction-shap	interaction	CSTF2T	5	IGF2BP1	5	51	0.009543394669890404	false	0.009543394669890404
K562	LIN28B_1-SRSF1_1-interaction-shap	interaction	LIN28B	1	SRSF1	1	199	-0.009506604634225368	false	0.009506604634225368
K562	DDX3X_5-PCBP1_5-interaction-shap	interaction	DDX3X	5	PCBP1	5	22	-0.009506448172032833	false	0.009506448172032833
K562	KHSRP_4-TIA1_4-interaction-shap	interaction	KHSRP	4	TIA1	4	729	0.009502626024186611	false	0.009502626024186611
K562	U2AF2_5-ZNF622_5-interaction-shap	interaction	U2AF2	5	ZNF622	5	901	0.009460448287427425	false	0.009460448287427425
K562	DDX3X_2-FXR2_2-interaction-shap	interaction	DDX3X	2	FXR2	2	445	-0.009400604292750359	false	0.009400604292750359
K562	RPS3_6-ZNF800_6-interaction-shap	interaction	RPS3	6	ZNF800	6	397	0.009399328380823135	false	0.009399328380823135
K562	HNRNPL_6-IGF2BP1_6-interaction-shap	interaction	HNRNPL	6	IGF2BP1	6	10	0.009331457316875458	true	0.009331457316875458
K562	DDX3X_3-PRPF8_3-interaction-shap	interaction	DDX3X	3	PRPF8	3	167	0.009326445870101452	false	0.009326445870101452
K562	FXR1_1-SRSF1_1-interaction-shap	interaction	FXR1	1	SRSF1	1	99	0.00931977853178978	false	0.00931977853178978
K562	EWSR1_3-SF3B4_3-interaction-shap	interaction	EWSR1	3	SF3B4	3	484	0.009294871240854263	false	0.009294871240854263
K562	RBM22_3-UCHL5_3-interaction-shap	interaction	RBM22	3	UCHL5	3	2	0.009290589950978756	false	0.009290589950978756
K562	EXOSC10_4-PRPF8_4-interaction-shap	interaction	EXOSC10	4	PRPF8	4	150	0.009289261884987354	false	0.009289261884987354
K562	EFTUD2_1-FMR1_1-interaction-shap	interaction	EFTUD2	1	FMR1	1	138	0.009287738241255283	false	0.009287738241255283
K562	RBFOX2_3-SF3B4_3-interaction-shap	interaction	RBFOX2	3	SF3B4	3	643	0.009267112240195274	true	0.009267112240195274
