Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	BUD13_2-RBM15_2-interaction-shap	interaction	BUD13-RBM15	BUD13	2	RBM15	2	84	0.598983883857727	false	0.598983883857727
HepG2	LIN28B_3-BUD13_6-interaction-shap	interaction	BUD13-LIN28B	LIN28B	3	BUD13	6	33	-0.5852803587913513	false	0.5852803587913513
HepG2	PPIG_4-RBM22_4-interaction-shap	interaction	PPIG-RBM22	PPIG	4	RBM22	4	1080	-0.5595126152038574	false	0.5595126152038574
HepG2	LIN28B_3-SUGP2_3-interaction-shap	interaction	LIN28B-SUGP2	LIN28B	3	SUGP2	3	1	0.5518361330032349	false	0.5518361330032349
HepG2	PTBP1_3-U2AF2_4-interaction-shap	interaction	PTBP1-U2AF2	PTBP1	3	U2AF2	4	20	0.5517473816871643	false	0.5517473816871643
HepG2	PCBP1_2-SF3B4_3-interaction-shap	interaction	PCBP1-SF3B4	PCBP1	2	SF3B4	3	100	-0.5503346920013428	false	0.5503346920013428
HepG2	G3BP1_3-PPIG_4-interaction-shap	interaction	G3BP1-PPIG	G3BP1	3	PPIG	4	600	-0.5449012517929077	false	0.5449012517929077
HepG2	LIN28B_1-U2AF2_5-interaction-shap	interaction	LIN28B-U2AF2	LIN28B	1	U2AF2	5	142	-0.5180404782295227	false	0.5180404782295227
HepG2	NOLC1_2-UCHL5_2-interaction-shap	interaction	NOLC1-UCHL5	NOLC1	2	UCHL5	2	37	0.5156654119491577	false	0.5156654119491577
HepG2	FUBP3_1-PPIG_3-interaction-shap	interaction	FUBP3-PPIG	FUBP3	1	PPIG	3	19	-0.5095484256744385	false	0.5095484256744385
HepG2	SF3B4_2-PTBP1_3-interaction-shap	interaction	PTBP1-SF3B4	SF3B4	2	PTBP1	3	9	-0.5053510665893555	false	0.5053510665893555
HepG2	PPIG_3-SF3B4_4-interaction-shap	interaction	PPIG-SF3B4	PPIG	3	SF3B4	4	161	-0.5003467202186584	false	0.5003467202186584
HepG2	RBFOX2_3-UCHL5_4-interaction-shap	interaction	RBFOX2-UCHL5	RBFOX2	3	UCHL5	4	89	-0.49578866362571716	false	0.49578866362571716
HepG2	DDX3X_3-PTBP1_3-interaction-shap	interaction	DDX3X-PTBP1	DDX3X	3	PTBP1	3	75	0.49194297194480896	false	0.49194297194480896
HepG2	FUBP3_1-PPIG_4-interaction-shap	interaction	FUBP3-PPIG	FUBP3	1	PPIG	4	18	-0.4782482087612152	false	0.4782482087612152
HepG2	SUB1_1-FUBP3_6-interaction-shap	interaction	FUBP3-SUB1	SUB1	1	FUBP3	6	2	-0.46699246764183044	false	0.46699246764183044
HepG2	RBM22_2-QKI_3-interaction-shap	interaction	QKI-RBM22	RBM22	2	QKI	3	63	0.46641701459884644	false	0.46641701459884644
HepG2	NKRF_2-DDX3X_3-interaction-shap	interaction	DDX3X-NKRF	NKRF	2	DDX3X	3	74	-0.46346181631088257	false	0.46346181631088257
HepG2	IGF2BP1_3-TIAL1_4-interaction-shap	interaction	IGF2BP1-TIAL1	IGF2BP1	3	TIAL1	4	98	-0.4553413689136505	false	0.4553413689136505
HepG2	NKRF_2-DDX6_3-interaction-shap	interaction	DDX6-NKRF	NKRF	2	DDX6	3	15	0.44095703959465027	false	0.44095703959465027
HepG2	SRSF1_3-QKI_4-interaction-shap	interaction	QKI-SRSF1	SRSF1	3	QKI	4	33	0.4360436201095581	false	0.4360436201095581
HepG2	GTF2F1_4-IGF2BP1_4-interaction-shap	interaction	GTF2F1-IGF2BP1	GTF2F1	4	IGF2BP1	4	23	-0.43437787890434265	false	0.43437787890434265
HepG2	DDX3X_3-TIA1_6-interaction-shap	interaction	DDX3X-TIA1	DDX3X	3	TIA1	6	32	-0.42889294028282166	false	0.42889294028282166
HepG2	BUD13_2-G3BP1_3-interaction-shap	interaction	BUD13-G3BP1	BUD13	2	G3BP1	3	228	-0.4285966157913208	false	0.4285966157913208
HepG2	PTBP1_2-UCHL5_2-interaction-shap	interaction	PTBP1-UCHL5	PTBP1	2	UCHL5	2	56	0.4198358654975891	false	0.4198358654975891
HepG2	NKRF_2-PPIG_5-interaction-shap	interaction	NKRF-PPIG	NKRF	2	PPIG	5	154	0.40870511531829834	false	0.40870511531829834
HepG2	PRPF4_3-IGF2BP1_4-interaction-shap	interaction	IGF2BP1-PRPF4	PRPF4	3	IGF2BP1	4	47	-0.40452003479003906	false	0.40452003479003906
HepG2	QKI_3-PTBP1_4-interaction-shap	interaction	PTBP1-QKI	QKI	3	PTBP1	4	5	0.40141719579696655	true	0.40141719579696655
HepG2	CSTF2T_3-ILF3_3-interaction-shap	interaction	CSTF2T-ILF3	CSTF2T	3	ILF3	3	34	0.3982766568660736	false	0.3982766568660736
HepG2	NKRF_3-RBFOX2_3-interaction-shap	interaction	NKRF-RBFOX2	NKRF	3	RBFOX2	3	90	0.3965793251991272	false	0.3965793251991272
HepG2	PCBP2_1-HNRNPK_3-interaction-shap	interaction	HNRNPK-PCBP2	PCBP2	1	HNRNPK	3	33	0.3956810534000397	false	0.3956810534000397
HepG2	SRSF9_1-RBFOX2_4-interaction-shap	interaction	RBFOX2-SRSF9	SRSF9	1	RBFOX2	4	51	0.3846665024757385	false	0.3846665024757385
HepG2	TIAL1_4-U2AF1_4-interaction-shap	interaction	TIAL1-U2AF1	TIAL1	4	U2AF1	4	83	0.38232260942459106	false	0.38232260942459106
HepG2	IGF2BP3_4-SF3A3_5-interaction-shap	interaction	IGF2BP3-SF3A3	IGF2BP3	4	SF3A3	5	77	-0.37145209312438965	false	0.37145209312438965
