Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	KHSRP_5-SF3B4_5-interaction-shap	interaction	KHSRP-SF3B4	KHSRP	5	SF3B4	5	82	0.007219226099550724	false	0.007219226099550724	KHSRP-SF3B4
HepG2	EIF3D_5-SF3B4_5-interaction-shap	interaction	EIF3D-SF3B4	EIF3D	5	SF3B4	5	47	0.006810834631323814	false	0.006810834631323814	EIF3D-SF3B4
HepG2	PPIG_2-XPO5_2-interaction-shap	interaction	PPIG-XPO5	PPIG	2	XPO5	2	122	0.00639869412407279	false	0.00639869412407279	PPIG-XPO5
HepG2	GRWD1_4-IGF2BP1_4-interaction-shap	interaction	GRWD1-IGF2BP1	GRWD1	4	IGF2BP1	4	118	0.006351073272526264	false	0.006351073272526264	GRWD1-IGF2BP1
HepG2	NKRF_2-TAF15_2-interaction-shap	interaction	NKRF-TAF15	NKRF	2	TAF15	2	5	0.006350549403578043	false	0.006350549403578043	NKRF-TAF15
HepG2	DDX3X_4-EIF3H_4-interaction-shap	interaction	DDX3X-EIF3H	DDX3X	4	EIF3H	4	3	-0.006266146898269653	false	0.006266146898269653	DDX3X-EIF3H
HepG2	LIN28B_3-U2AF2_3-interaction-shap	interaction	LIN28B-U2AF2	LIN28B	3	U2AF2	3	99	-0.006221236661076546	false	0.006221236661076546	LIN28B-U2AF2
HepG2	RPS3_5-TROVE2_5-interaction-shap	interaction	RPS3-TROVE2	RPS3	5	TROVE2	5	44	0.005675748456269503	false	0.005675748456269503	RPS3-TROVE2
HepG2	CSTF2T_2-NKRF_2-interaction-shap	interaction	CSTF2T-NKRF	CSTF2T	2	NKRF	2	257	-0.005021051969379187	false	0.005021051969379187	CSTF2T-NKRF
HepG2	FKBP4_3-U2AF2_3-interaction-shap	interaction	FKBP4-U2AF2	FKBP4	3	U2AF2	3	2	-0.004966892302036285	false	0.004966892302036285	FKBP4-U2AF2
HepG2	DDX3X_2-NCBP2_2-interaction-shap	interaction	DDX3X-NCBP2	DDX3X	2	NCBP2	2	836	0.004428178071975708	false	0.004428178071975708	DDX3X-NCBP2
