Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	DROSHA_5-EWSR1_5-interaction-shap	interaction	DROSHA	5	EWSR1	5	208	-0.007937448099255562	false	0.007937448099255562	DROSHA-EWSR1
K562	ELAC2_4-EXOSC5_4-interaction-shap	interaction	ELAC2	4	EXOSC5	4	8	-0.007933985441923141	false	0.007933985441923141	ELAC2-EXOSC5
K562	PABPC4_4-PUM2_4-interaction-shap	interaction	PABPC4	4	PUM2	4	82	-0.007901545614004135	false	0.007901545614004135	PABPC4-PUM2
K562	EWSR1_2-LSM11_2-interaction-shap	interaction	EWSR1	2	LSM11	2	414	-0.007853660732507706	false	0.007853660732507706	EWSR1-LSM11
K562	EIF4E_1-PHF6_1-interaction-shap	interaction	EIF4E	1	PHF6	1	9	0.007758120074868202	false	0.007758120074868202	EIF4E-PHF6
K562	EFTUD2_4-HNRNPL_4-interaction-shap	interaction	EFTUD2	4	HNRNPL	4	5	-0.007696819491684437	false	0.007696819491684437	EFTUD2-HNRNPL
K562	DDX43_3-EIF4G2_3-interaction-shap	interaction	DDX43	3	EIF4G2	3	24	0.007618428207933903	false	0.007618428207933903	DDX43-EIF4G2
K562	AGGF1_2-EXOSC10_2-interaction-shap	interaction	AGGF1	2	EXOSC10	2	58	0.007576285861432552	false	0.007576285861432552	AGGF1-EXOSC10
K562	NOLC1_1-U2AF2_1-interaction-shap	interaction	NOLC1	1	U2AF2	1	3	-0.0075066834688186646	false	0.0075066834688186646	NOLC1-U2AF2
K562	DDX3X_2-GEMIN5_2-interaction-shap	interaction	DDX3X	2	GEMIN5	2	2329	0.007466808892786503	false	0.007466808892786503	DDX3X-GEMIN5
K562	CPEB4_6-MBNL1_6-interaction-shap	interaction	CPEB4	6	MBNL1	6	1	0.007446119096130133	false	0.007446119096130133	CPEB4-MBNL1
K562	TRA2A_6-U2AF2_6-interaction-shap	interaction	TRA2A	6	U2AF2	6	27	-0.00739790964871645	false	0.00739790964871645	TRA2A-U2AF2
K562	LIN28B_4-ZC3H11A_4-interaction-shap	interaction	LIN28B	4	ZC3H11A	4	59	0.007394831627607346	false	0.007394831627607346	LIN28B-ZC3H11A
K562	DROSHA_5-FUS_5-interaction-shap	interaction	DROSHA	5	FUS	5	118	0.00730386795476079	false	0.00730386795476079	DROSHA-FUS
K562	LIN28B_6-TIA1_6-interaction-shap	interaction	LIN28B	6	TIA1	6	241	0.0072858394123613834	false	0.0072858394123613834	LIN28B-TIA1
K562	U2AF2_3-YBX3_3-interaction-shap	interaction	U2AF2	3	YBX3	3	140	-0.0072798472829163074	false	0.0072798472829163074	U2AF2-YBX3
K562	EIF4G2_3-HNRNPUL1_3-interaction-shap	interaction	EIF4G2	3	HNRNPUL1	3	17	0.007186303846538067	true	0.007186303846538067	EIF4G2-HNRNPUL1
K562	RPS3_4-XRN2_4-interaction-shap	interaction	RPS3	4	XRN2	4	55	0.0071832421235740185	false	0.0071832421235740185	RPS3-XRN2
K562	EFTUD2_5-RBFOX2_5-interaction-shap	interaction	EFTUD2	5	RBFOX2	5	302	-0.007158632390201092	false	0.007158632390201092	EFTUD2-RBFOX2
K562	SF3B4_1-SRSF1_1-interaction-shap	interaction	SF3B4	1	SRSF1	1	476	-0.007152044679969549	false	0.007152044679969549	SF3B4-SRSF1
K562	RBM22_4-ZNF800_4-interaction-shap	interaction	RBM22	4	ZNF800	4	311	-0.007077598478645086	false	0.007077598478645086	RBM22-ZNF800
K562	LARP4_6-TIA1_6-interaction-shap	interaction	LARP4	6	TIA1	6	59	0.007053234148770571	false	0.007053234148770571	LARP4-TIA1
K562	DDX3X_5-LSM11_5-interaction-shap	interaction	DDX3X	5	LSM11	5	38	0.006982554215937853	false	0.006982554215937853	DDX3X-LSM11
K562	BUD13_5-U2AF1_5-interaction-shap	interaction	BUD13	5	U2AF1	5	430	-0.0069745201617479324	false	0.0069745201617479324	BUD13-U2AF1
K562	GTF2F1_2-SRSF1_2-interaction-shap	interaction	GTF2F1	2	SRSF1	2	63	-0.0068814195692539215	false	0.0068814195692539215	GTF2F1-SRSF1
K562	PRPF8_3-SAFB2_3-interaction-shap	interaction	PRPF8	3	SAFB2	3	6	0.006800636649131775	false	0.006800636649131775	PRPF8-SAFB2
K562	DDX3X_4-ZNF800_4-interaction-shap	interaction	DDX3X	4	ZNF800	4	15	-0.006720826495438814	false	0.006720826495438814	DDX3X-ZNF800
K562	PCBP1_4-RBFOX2_4-interaction-shap	interaction	PCBP1	4	RBFOX2	4	20	-0.006700160913169384	true	0.006700160913169384	PCBP1-RBFOX2
K562	EIF3G_1-LIN28B_1-interaction-shap	interaction	EIF3G	1	LIN28B	1	43	-0.006693694740533829	false	0.006693694740533829	EIF3G-LIN28B
K562	BUD13_5-GTF2F1_5-interaction-shap	interaction	BUD13	5	GTF2F1	5	123	0.00668297428637743	false	0.00668297428637743	BUD13-GTF2F1
K562	DDX24_2-FUS_2-interaction-shap	interaction	DDX24	2	FUS	2	235	0.006679217331111431	false	0.006679217331111431	DDX24-FUS
K562	EIF4E_1-SRSF9_1-interaction-shap	interaction	EIF4E	1	SRSF9	1	304	0.0066163260489702225	true	0.0066163260489702225	EIF4E-SRSF9
K562	PUM2_3-U2AF2_3-interaction-shap	interaction	PUM2	3	U2AF2	3	23	0.0066079492680728436	false	0.0066079492680728436	PUM2-U2AF2
K562	HNRNPK_1-IGF2BP2_1-interaction-shap	interaction	HNRNPK	1	IGF2BP2	1	82	0.006495378911495209	false	0.006495378911495209	HNRNPK-IGF2BP2
K562	MTPAP_2-TIA1_2-interaction-shap	interaction	MTPAP	2	TIA1	2	79	-0.006494188215583563	false	0.006494188215583563	MTPAP-TIA1
K562	EXOSC5_2-UCHL5_2-interaction-shap	interaction	EXOSC5	2	UCHL5	2	149	-0.006447800435125828	false	0.006447800435125828	EXOSC5-UCHL5
K562	EWSR1_3-NONO_3-interaction-shap	interaction	EWSR1	3	NONO	3	625	0.006410025525838137	true	0.006410025525838137	EWSR1-NONO
K562	APOBEC3C_1-RPS3_1-interaction-shap	interaction	APOBEC3C	1	RPS3	1	130	-0.006385315675288439	false	0.006385315675288439	APOBEC3C-RPS3
K562	GEMIN5_3-RPS3_3-interaction-shap	interaction	GEMIN5	3	RPS3	3	311	-0.00630613649263978	false	0.00630613649263978	GEMIN5-RPS3
K562	LIN28B_4-UPF1_4-interaction-shap	interaction	LIN28B	4	UPF1	4	89	0.006300997920334339	false	0.006300997920334339	LIN28B-UPF1
K562	FUS_2-XRN2_2-interaction-shap	interaction	FUS	2	XRN2	2	520	0.006199305411428213	false	0.006199305411428213	FUS-XRN2
K562	DDX3X_5-HNRNPM_5-interaction-shap	interaction	DDX3X	5	HNRNPM	5	17	0.005992507562041283	false	0.005992507562041283	DDX3X-HNRNPM
