Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	PUM2_4-ELAC2_5-interaction-shap	interaction	ELAC2-PUM2	PUM2	4	ELAC2	5	10	-0.000059397658333182335	false	0.000059397658333182335	ELAC2-PUM2
K562	EIF4E_1-TRA2A_3-interaction-shap	interaction	EIF4E-TRA2A	EIF4E	1	TRA2A	3	9	0.00005859178054379299	false	0.00005859178054379299	EIF4E-TRA2A
K562	FXR1_3-PUM2_6-interaction-shap	interaction	FXR1-PUM2	FXR1	3	PUM2	6	15	0.00005689716635970399	false	0.00005689716635970399	FXR1-PUM2
K562	DDX3X_2-SAFB2_3-interaction-shap	interaction	DDX3X-SAFB2	DDX3X	2	SAFB2	3	5	0.00005580484867095947	false	0.00005580484867095947	DDX3X-SAFB2
K562	IGF2BP2_4-CPSF6_6-interaction-shap	interaction	CPSF6-IGF2BP2	IGF2BP2	4	CPSF6	6	4	0.000055777374655008316	false	0.000055777374655008316	CPSF6-IGF2BP2
K562	RBM22_4-PCBP1_5-interaction-shap	interaction	PCBP1-RBM22	RBM22	4	PCBP1	5	38	0.000054612413805443794	false	0.000054612413805443794	PCBP1-RBM22
K562	XRN2_2-TRA2A_3-interaction-shap	interaction	TRA2A-XRN2	XRN2	2	TRA2A	3	49	0.00005452882396639325	false	0.00005452882396639325	TRA2A-XRN2
K562	CSTF2T_4-TIA1_6-interaction-shap	interaction	CSTF2T-TIA1	CSTF2T	4	TIA1	6	61	0.000044498654460767284	false	0.000044498654460767284	CSTF2T-TIA1
K562	EIF3G_1-SRSF9_2-interaction-shap	interaction	EIF3G-SRSF9	EIF3G	1	SRSF9	2	12	-0.00004420144614414312	false	0.00004420144614414312	EIF3G-SRSF9
K562	EXOSC5_3-PUM2_4-interaction-shap	interaction	EXOSC5-PUM2	EXOSC5	3	PUM2	4	17	-0.00004408179665915668	false	0.00004408179665915668	EXOSC5-PUM2
K562	CPEB4_2-U2AF2_6-interaction-shap	interaction	CPEB4-U2AF2	CPEB4	2	U2AF2	6	4	0.00004382617771625519	false	0.00004382617771625519	CPEB4-U2AF2
K562	BUD13_1-YWHAG_3-interaction-shap	interaction	BUD13-YWHAG	BUD13	1	YWHAG	3	26	0.000042657440644688904	false	0.000042657440644688904	BUD13-YWHAG
K562	NPM1_1-BUD13_3-interaction-shap	interaction	BUD13-NPM1	NPM1	1	BUD13	3	5	0.00004240501584718004	false	0.00004240501584718004	BUD13-NPM1
K562	YWHAG_3-SF3B4_5-interaction-shap	interaction	SF3B4-YWHAG	YWHAG	3	SF3B4	5	85	0.00004080525104654953	false	0.00004080525104654953	SF3B4-YWHAG
K562	FXR1_4-XRCC6_5-interaction-shap	interaction	FXR1-XRCC6	FXR1	4	XRCC6	5	9	0.00003953518535126932	false	0.00003953518535126932	FXR1-XRCC6
K562	TIA1_2-XRCC6_6-interaction-shap	interaction	TIA1-XRCC6	TIA1	2	XRCC6	6	6	0.000038070749724283814	false	0.000038070749724283814	TIA1-XRCC6
K562	RPS6_5-FXR2_6-interaction-shap	interaction	FXR2-RPS6	RPS6	5	FXR2	6	10	-0.000037916539440630004	false	0.000037916539440630004	FXR2-RPS6
K562	APOBEC3C_3-CSTF2T_6-interaction-shap	interaction	APOBEC3C-CSTF2T	APOBEC3C	3	CSTF2T	6	26	0.00003564284270396456	false	0.00003564284270396456	APOBEC3C-CSTF2T
K562	DDX42_4-LIN28B_6-interaction-shap	interaction	DDX42-LIN28B	DDX42	4	LIN28B	6	2	0.00003494881093502045	false	0.00003494881093502045	DDX42-LIN28B
K562	CSTF2T_2-MTPAP_5-interaction-shap	interaction	CSTF2T-MTPAP	CSTF2T	2	MTPAP	5	3	0.0000319415885314811	false	0.0000319415885314811	CSTF2T-MTPAP
K562	MTPAP_1-IGF2BP1_5-interaction-shap	interaction	IGF2BP1-MTPAP	MTPAP	1	IGF2BP1	5	1	0.000031787436455488205	false	0.000031787436455488205	IGF2BP1-MTPAP
K562	QKI_1-SRSF1_6-interaction-shap	interaction	QKI-SRSF1	QKI	1	SRSF1	6	2	-0.000027962028980255127	false	0.000027962028980255127	QKI-SRSF1
K562	CSTF2T_2-SRSF7_4-interaction-shap	interaction	CSTF2T-SRSF7	CSTF2T	2	SRSF7	4	11	0.000027622161724139005	false	0.000027622161724139005	CSTF2T-SRSF7
K562	SUPV3L1_3-APOBEC3C_5-interaction-shap	interaction	APOBEC3C-SUPV3L1	SUPV3L1	3	APOBEC3C	5	2	0.000027045607566833496	false	0.000027045607566833496	APOBEC3C-SUPV3L1
K562	RPS6_5-GTF2F1_6-interaction-shap	interaction	GTF2F1-RPS6	RPS6	5	GTF2F1	6	29	-0.00002681509795365855	false	0.00002681509795365855	GTF2F1-RPS6
K562	EXOSC5_3-RBFOX2_4-interaction-shap	interaction	EXOSC5-RBFOX2	EXOSC5	3	RBFOX2	4	4	-0.00002672150731086731	false	0.00002672150731086731	EXOSC5-RBFOX2
K562	FMR1_3-XRCC6_5-interaction-shap	interaction	FMR1-XRCC6	FMR1	3	XRCC6	5	3	0.000025929262847057544	false	0.000025929262847057544	FMR1-XRCC6
K562	TBRG4_3-UCHL5_4-interaction-shap	interaction	TBRG4-UCHL5	TBRG4	3	UCHL5	4	36	0.000024510609364369884	false	0.000024510609364369884	TBRG4-UCHL5
K562	XRCC6_3-XRN2_5-interaction-shap	interaction	XRCC6-XRN2	XRCC6	3	XRN2	5	27	-0.000024411412596236914	false	0.000024411412596236914	XRCC6-XRN2
K562	PCBP1_3-CPSF6_6-interaction-shap	interaction	CPSF6-PCBP1	PCBP1	3	CPSF6	6	5	0.000023878365027485415	false	0.000023878365027485415	CPSF6-PCBP1
K562	NONO_1-APOBEC3C_3-interaction-shap	interaction	APOBEC3C-NONO	NONO	1	APOBEC3C	3	13	-0.00002381076592428144	false	0.00002381076592428144	APOBEC3C-NONO
K562	SUPV3L1_3-SF3B4_5-interaction-shap	interaction	SF3B4-SUPV3L1	SUPV3L1	3	SF3B4	5	16	-0.000022215652279555798	false	0.000022215652279555798	SF3B4-SUPV3L1
K562	DDX52_2-TARDBP_3-interaction-shap	interaction	DDX52-TARDBP	DDX52	2	TARDBP	3	8	0.000021746145648648962	false	0.000021746145648648962	DDX52-TARDBP
K562	EIF4E_1-CPSF6_5-interaction-shap	interaction	CPSF6-EIF4E	EIF4E	1	CPSF6	5	20	-0.0000182371586561203	false	0.0000182371586561203	CPSF6-EIF4E
K562	LIN28B_4-RPS6_5-interaction-shap	interaction	LIN28B-RPS6	LIN28B	4	RPS6	5	45	0.000018180948245571926	false	0.000018180948245571926	LIN28B-RPS6
K562	ELAC2_3-ZC3H11A_6-interaction-shap	interaction	ELAC2-ZC3H11A	ELAC2	3	ZC3H11A	6	1	0.00001738034188747406	false	0.00001738034188747406	ELAC2-ZC3H11A
K562	ZC3H8_3-SRSF1_5-interaction-shap	interaction	SRSF1-ZC3H8	ZC3H8	3	SRSF1	5	27	0.000016961261280812323	false	0.000016961261280812323	SRSF1-ZC3H8
K562	ILF3_2-RPS3_3-interaction-shap	interaction	ILF3-RPS3	ILF3	2	RPS3	3	14	0.00001676247666182462	false	0.00001676247666182462	ILF3-RPS3
K562	SRSF9_1-MBNL1_6-interaction-shap	interaction	MBNL1-SRSF9	SRSF9	1	MBNL1	6	1	0.000013414770364761353	false	0.000013414770364761353	MBNL1-SRSF9
K562	U2AF2_5-LARP4_6-interaction-shap	interaction	LARP4-U2AF2	U2AF2	5	LARP4	6	20	0.000013130719707987737	false	0.000013130719707987737	LARP4-U2AF2
K562	FUS_2-PUM2_6-interaction-shap	interaction	FUS-PUM2	FUS	2	PUM2	6	17	-0.000011858804100484122	false	0.000011858804100484122	FUS-PUM2
K562	EIF4E_1-ILF3_3-interaction-shap	interaction	EIF4E-ILF3	EIF4E	1	ILF3	3	1	-0.000010952353477478027	false	0.000010952353477478027	EIF4E-ILF3
K562	HNRNPK_2-DDX52_3-interaction-shap	interaction	DDX52-HNRNPK	HNRNPK	2	DDX52	3	8	-0.000010877462045755237	false	0.000010877462045755237	DDX52-HNRNPK
K562	U2AF1_5-GTF2F1_6-interaction-shap	interaction	GTF2F1-U2AF1	U2AF1	5	GTF2F1	6	13	9.684967153589241e-6	false	9.684967153589241e-6	GTF2F1-U2AF1
