Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	SF3B4_2-UPF1_2-interaction-shap	interaction	SF3B4	2	UPF1	2	1	0.0	false	0.0
HepG2	SF3B4_2-XRN2_2-interaction-shap	interaction	SF3B4	2	XRN2	2	27	0.0	false	0.0
HepG2	SF3B4_2-YBX3_2-interaction-shap	interaction	SF3B4	2	YBX3	2	26	0.0	false	0.0
HepG2	SF3B4_2-ZC3H11A_2-interaction-shap	interaction	SF3B4	2	ZC3H11A	2	9	0.0	false	0.0
HepG2	SFPQ_2-SRSF1_2-interaction-shap	interaction	SFPQ	2	SRSF1	2	3	0.0	false	0.0
HepG2	SFPQ_2-XPO5_2-interaction-shap	interaction	SFPQ	2	XPO5	2	12	0.0	false	0.0
HepG2	SLTM_2-SRSF1_2-interaction-shap	interaction	SLTM	2	SRSF1	2	4	0.0	false	0.0
HepG2	SLTM_2-TIA1_2-interaction-shap	interaction	SLTM	2	TIA1	2	3	0.0	false	0.0
HepG2	SLTM_2-XPO5_2-interaction-shap	interaction	SLTM	2	XPO5	2	13	0.0	false	0.0
HepG2	SMNDC1_2-XPO5_2-interaction-shap	interaction	SMNDC1	2	XPO5	2	3	0.0	false	0.0
HepG2	SND1_2-SRSF1_2-interaction-shap	interaction	SND1	2	SRSF1	2	36	0.0	false	0.0
HepG2	FXR2_1-IGF2BP1_1-interaction-shap	interaction	FXR2	1	IGF2BP1	1	4	0.0	false	0.0
HepG2	SND1_2-U2AF2_2-interaction-shap	interaction	SND1	2	U2AF2	2	40	0.0	false	0.0
HepG2	SND1_2-XPO5_2-interaction-shap	interaction	SND1	2	XPO5	2	10	0.0	false	0.0
HepG2	SRSF1_2-SRSF7_2-interaction-shap	interaction	SRSF1	2	SRSF7	2	43	0.0	false	0.0
HepG2	SRSF1_2-SRSF9_2-interaction-shap	interaction	SRSF1	2	SRSF9	2	168	0.0	false	0.0
HepG2	SRSF1_2-SUB1_2-interaction-shap	interaction	SRSF1	2	SUB1	2	22	0.0	false	0.0
HepG2	SRSF1_2-SUPV3L1_2-interaction-shap	interaction	SRSF1	2	SUPV3L1	2	16	0.0	false	0.0
HepG2	SRSF1_2-TARDBP_2-interaction-shap	interaction	SRSF1	2	TARDBP	2	24	0.0	false	0.0
HepG2	FUS_1-XRN2_1-interaction-shap	interaction	FUS	1	XRN2	1	52	0.0	false	0.0
HepG2	FUS_1-XPO5_1-interaction-shap	interaction	FUS	1	XPO5	1	8	0.0	false	0.0
HepG2	SRSF1_2-TRA2A_2-interaction-shap	interaction	SRSF1	2	TRA2A	2	205	0.0	false	0.0
HepG2	SRSF1_2-U2AF1_2-interaction-shap	interaction	SRSF1	2	U2AF1	2	85	0.0	false	0.0
HepG2	FUS_1-UCHL5_1-interaction-shap	interaction	FUS	1	UCHL5	1	7	0.0	false	0.0
HepG2	SRSF1_2-UCHL5_2-interaction-shap	interaction	SRSF1	2	UCHL5	2	244	0.0	false	0.0
HepG2	SRSF1_2-UPF1_2-interaction-shap	interaction	SRSF1	2	UPF1	2	8	0.0	false	0.0
HepG2	SRSF1_2-UTP18_2-interaction-shap	interaction	SRSF1	2	UTP18	2	22	0.0	false	0.0
HepG2	SRSF1_2-WDR43_2-interaction-shap	interaction	SRSF1	2	WDR43	2	17	0.0	false	0.0
HepG2	SRSF1_2-XPO5_2-interaction-shap	interaction	SRSF1	2	XPO5	2	17	0.0	false	0.0
HepG2	SRSF1_2-XRN2_2-interaction-shap	interaction	SRSF1	2	XRN2	2	192	0.0	false	0.0
HepG2	SRSF1_2-ZNF800_2-interaction-shap	interaction	SRSF1	2	ZNF800	2	170	0.0	false	0.0
HepG2	SRSF7_2-TIA1_2-interaction-shap	interaction	SRSF7	2	TIA1	2	27	0.0	false	0.0
HepG2	SRSF7_2-U2AF2_2-interaction-shap	interaction	SRSF7	2	U2AF2	2	21	0.0	false	0.0
HepG2	SRSF9_2-TIA1_2-interaction-shap	interaction	SRSF9	2	TIA1	2	15	0.0	false	0.0
HepG2	SRSF9_2-U2AF2_2-interaction-shap	interaction	SRSF9	2	U2AF2	2	4	0.0	false	0.0
HepG2	SUB1_2-TIA1_2-interaction-shap	interaction	SUB1	2	TIA1	2	151	0.0	false	0.0
HepG2	SUB1_2-U2AF2_2-interaction-shap	interaction	SUB1	2	U2AF2	2	4	0.0	false	0.0
HepG2	FUS_1-SFPQ_1-interaction-shap	interaction	FUS	1	SFPQ	1	1	0.0	false	0.0
HepG2	SUPV3L1_2-TIA1_2-interaction-shap	interaction	SUPV3L1	2	TIA1	2	30	0.0	false	0.0
HepG2	SUPV3L1_2-XPO5_2-interaction-shap	interaction	SUPV3L1	2	XPO5	2	34	0.0	false	0.0
HepG2	TAF15_2-TIA1_2-interaction-shap	interaction	TAF15	2	TIA1	2	3	0.0	false	0.0
HepG2	TAF15_2-TIAL1_2-interaction-shap	interaction	TAF15	2	TIAL1	2	3	0.0	false	0.0
HepG2	TAF15_2-XRN2_2-interaction-shap	interaction	TAF15	2	XRN2	2	6	0.0	false	0.0
HepG2	TAF15_2-ZNF800_2-interaction-shap	interaction	TAF15	2	ZNF800	2	1	0.0	false	0.0
HepG2	TARDBP_2-U2AF2_2-interaction-shap	interaction	TARDBP	2	U2AF2	2	1	0.0	false	0.0
HepG2	TARDBP_2-XPO5_2-interaction-shap	interaction	TARDBP	2	XPO5	2	11	0.0	false	0.0
HepG2	FUS_1-SF3A3_1-interaction-shap	interaction	FUS	1	SF3A3	1	3	0.0	false	0.0
HepG2	TIA1_2-TRA2A_2-interaction-shap	interaction	TIA1	2	TRA2A	2	112	0.0	false	0.0
HepG2	TIA1_2-U2AF1_2-interaction-shap	interaction	TIA1	2	U2AF1	2	11	0.0	false	0.0
HepG2	TIA1_2-U2AF2_2-interaction-shap	interaction	TIA1	2	U2AF2	2	98	0.0	false	0.0
HepG2	TIA1_2-UCHL5_2-interaction-shap	interaction	TIA1	2	UCHL5	2	235	0.0	false	0.0
HepG2	TIA1_2-XRN2_2-interaction-shap	interaction	TIA1	2	XRN2	2	73	0.0	false	0.0
HepG2	TIA1_2-YBX3_2-interaction-shap	interaction	TIA1	2	YBX3	2	7	0.0	false	0.0
HepG2	TIA1_2-ZNF800_2-interaction-shap	interaction	TIA1	2	ZNF800	2	106	0.0	false	0.0
HepG2	TIAL1_2-U2AF2_2-interaction-shap	interaction	TIAL1	2	U2AF2	2	191	0.0	false	0.0
HepG2	FUS_1-RPS3_1-interaction-shap	interaction	FUS	1	RPS3	1	1	0.0	false	0.0
HepG2	TRA2A_2-U2AF2_2-interaction-shap	interaction	TRA2A	2	U2AF2	2	14	0.0	false	0.0
HepG2	FUS_1-RBM5_1-interaction-shap	interaction	FUS	1	RBM5	1	1	0.0	false	0.0
HepG2	U2AF2_2-UCHL5_2-interaction-shap	interaction	U2AF2	2	UCHL5	2	55	0.0	false	0.0
HepG2	U2AF2_2-XRN2_2-interaction-shap	interaction	U2AF2	2	XRN2	2	21	0.0	false	0.0
HepG2	U2AF2_2-YBX3_2-interaction-shap	interaction	U2AF2	2	YBX3	2	23	0.0	false	0.0
HepG2	U2AF2_2-ZC3H11A_2-interaction-shap	interaction	U2AF2	2	ZC3H11A	2	5	0.0	false	0.0
HepG2	U2AF2_2-ZNF800_2-interaction-shap	interaction	U2AF2	2	ZNF800	2	58	0.0	false	0.0
HepG2	UCHL5_2-XPO5_2-interaction-shap	interaction	UCHL5	2	XPO5	2	11	0.0	false	0.0
HepG2	UPF1_2-XPO5_2-interaction-shap	interaction	UPF1	2	XPO5	2	26	0.0	false	0.0
HepG2	XPO5_2-XRN2_2-interaction-shap	interaction	XPO5	2	XRN2	2	19	0.0	false	0.0
HepG2	XPO5_2-YBX3_2-interaction-shap	interaction	XPO5	2	YBX3	2	1	0.0	false	0.0
HepG2	AGGF1_3-BUD13_3-interaction-shap	interaction	AGGF1	3	BUD13	3	66	0.0	false	0.0
HepG2	AGGF1_3-CSTF2_3-interaction-shap	interaction	AGGF1	3	CSTF2	3	1	0.0	false	0.0
HepG2	AGGF1_3-CSTF2T_3-interaction-shap	interaction	AGGF1	3	CSTF2T	3	3	0.0	false	0.0
