Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	PPIG_3-SRSF1_3-interaction-shap	interaction	PPIG-SRSF1	PPIG	3	SRSF1	3	541	-0.04403406381607056	false	0.04403406381607056
HepG2	DDX3X_5-EFTUD2_5-interaction-shap	interaction	DDX3X-EFTUD2	DDX3X	5	EFTUD2	5	145	0.04400474578142166	false	0.04400474578142166
HepG2	PRPF8_3-QKI_3-interaction-shap	interaction	PRPF8-QKI	PRPF8	3	QKI	3	24	-0.04395734891295433	false	0.04395734891295433
HepG2	EFTUD2_4-LIN28B_4-interaction-shap	interaction	EFTUD2-LIN28B	EFTUD2	4	LIN28B	4	153	-0.043134454637765884	false	0.043134454637765884
HepG2	BCLAF1_2-TIA1_2-interaction-shap	interaction	BCLAF1-TIA1	BCLAF1	2	TIA1	2	365	0.04251756891608238	false	0.04251756891608238
HepG2	BUD13_3-LARP4_3-interaction-shap	interaction	BUD13-LARP4	BUD13	3	LARP4	3	108	-0.04249131679534912	false	0.04249131679534912
HepG2	PCBP1_4-RPS3_4-interaction-shap	interaction	PCBP1-RPS3	PCBP1	4	RPS3	4	207	-0.04241442307829857	false	0.04241442307829857
HepG2	AQR_3-RPS3_3-interaction-shap	interaction	AQR-RPS3	AQR	3	RPS3	3	1878	-0.042357437312603	false	0.042357437312603
HepG2	DDX3X_4-LIN28B_4-interaction-shap	interaction	DDX3X-LIN28B	DDX3X	4	LIN28B	4	98	-0.042090509086847305	false	0.042090509086847305
HepG2	G3BP1_3-U2AF2_3-interaction-shap	interaction	G3BP1-U2AF2	G3BP1	3	U2AF2	3	346	-0.04175913333892822	false	0.04175913333892822
HepG2	PRPF8_6-QKI_6-interaction-shap	interaction	PRPF8-QKI	PRPF8	6	QKI	6	102	-0.04142999276518822	false	0.04142999276518822
HepG2	PRPF8_6-RBM22_6-interaction-shap	interaction	PRPF8-RBM22	PRPF8	6	RBM22	6	2267	0.04138556495308876	false	0.04138556495308876
HepG2	QKI_5-SRSF1_5-interaction-shap	interaction	QKI-SRSF1	QKI	5	SRSF1	5	8	-0.0413426049053669	false	0.0413426049053669
HepG2	PRPF4_3-PRPF8_3-interaction-shap	interaction	PRPF4-PRPF8	PRPF4	3	PRPF8	3	469	-0.040652744472026825	false	0.040652744472026825
HepG2	G3BP1_3-PRPF8_3-interaction-shap	interaction	G3BP1-PRPF8	G3BP1	3	PRPF8	3	214	-0.04051399976015091	false	0.04051399976015091
HepG2	BCLAF1_4-IGF2BP1_4-interaction-shap	interaction	BCLAF1-IGF2BP1	BCLAF1	4	IGF2BP1	4	124	-0.04016806185245514	false	0.04016806185245514
HepG2	G3BP1_6-PRPF8_6-interaction-shap	interaction	G3BP1-PRPF8	G3BP1	6	PRPF8	6	1423	-0.04003900662064552	false	0.04003900662064552
HepG2	PPIG_4-RPS3_4-interaction-shap	interaction	PPIG-RPS3	PPIG	4	RPS3	4	251	-0.03994535282254219	false	0.03994535282254219
HepG2	RBM5_3-SF3B4_3-interaction-shap	interaction	RBM5-SF3B4	RBM5	3	SF3B4	3	525	-0.039734818041324615	false	0.039734818041324615
HepG2	SRSF1_2-U2AF1_2-interaction-shap	interaction	SRSF1-U2AF1	SRSF1	2	U2AF1	2	85	0.039637546986341476	false	0.039637546986341476
HepG2	PTBP1_3-RBM22_3-interaction-shap	interaction	PTBP1-RBM22	PTBP1	3	RBM22	3	3	0.03893401101231575	false	0.03893401101231575
HepG2	DDX3X_4-GTF2F1_4-interaction-shap	interaction	DDX3X-GTF2F1	DDX3X	4	GTF2F1	4	90	-0.03853410854935646	false	0.03853410854935646
HepG2	SF3B4_5-SRSF1_5-interaction-shap	interaction	SF3B4-SRSF1	SF3B4	5	SRSF1	5	422	0.03848141059279442	false	0.03848141059279442
HepG2	BUD13_4-PRPF8_4-interaction-shap	interaction	BUD13-PRPF8	BUD13	4	PRPF8	4	2320	-0.038438476622104645	true	0.038438476622104645
HepG2	LARP4_3-PRPF8_3-interaction-shap	interaction	LARP4-PRPF8	LARP4	3	PRPF8	3	89	-0.03782642260193825	false	0.03782642260193825
HepG2	SRSF1_2-XRN2_2-interaction-shap	interaction	SRSF1-XRN2	SRSF1	2	XRN2	2	192	0.03759237751364708	false	0.03759237751364708
HepG2	CSTF2T_3-HNRNPK_3-interaction-shap	interaction	CSTF2T-HNRNPK	CSTF2T	3	HNRNPK	3	54	-0.03729792311787605	false	0.03729792311787605
HepG2	GTF2F1_1-RBFOX2_1-interaction-shap	interaction	GTF2F1-RBFOX2	GTF2F1	1	RBFOX2	1	285	-0.03725442290306091	false	0.03725442290306091
HepG2	KHSRP_5-U2AF2_5-interaction-shap	interaction	KHSRP-U2AF2	KHSRP	5	U2AF2	5	257	0.03722172975540161	false	0.03722172975540161
HepG2	DDX3X_3-HNRNPM_3-interaction-shap	interaction	DDX3X-HNRNPM	DDX3X	3	HNRNPM	3	27	0.0370817631483078	false	0.0370817631483078
HepG2	SF3B4_3-U2AF1_3-interaction-shap	interaction	SF3B4-U2AF1	SF3B4	3	U2AF1	3	396	-0.037038665264844894	false	0.037038665264844894
HepG2	BCLAF1_4-RPS3_4-interaction-shap	interaction	BCLAF1-RPS3	BCLAF1	4	RPS3	4	158	-0.03697793558239937	false	0.03697793558239937
HepG2	AQR_3-PRPF8_3-interaction-shap	interaction	AQR-PRPF8	AQR	3	PRPF8	3	1995	-0.03676097095012665	false	0.03676097095012665
HepG2	PRPF8_4-TIA1_4-interaction-shap	interaction	PRPF8-TIA1	PRPF8	4	TIA1	4	686	0.03631903603672981	false	0.03631903603672981
HepG2	CSTF2T_6-LIN28B_6-interaction-shap	interaction	CSTF2T-LIN28B	CSTF2T	6	LIN28B	6	13	0.036228012293577194	false	0.036228012293577194
HepG2	DGCR8_3-NCBP2_3-interaction-shap	interaction	DGCR8-NCBP2	DGCR8	3	NCBP2	3	18	-0.03550468385219574	true	0.03550468385219574
HepG2	AQR_3-IGF2BP1_3-interaction-shap	interaction	AQR-IGF2BP1	AQR	3	IGF2BP1	3	162	-0.03518977761268616	false	0.03518977761268616
