Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	LIN28B_1-U2AF2_5-interaction-shap	interaction	LIN28B-U2AF2	LIN28B	1	U2AF2	5	142	-0.5180404782295227	false	0.5180404782295227
HepG2	NCBP2_1-U2AF2_2-interaction-shap	interaction	NCBP2-U2AF2	NCBP2	1	U2AF2	2	34	-0.5091661810874939	false	0.5091661810874939
HepG2	BCLAF1_1-HNRNPL_6-interaction-shap	interaction	BCLAF1-HNRNPL	BCLAF1	1	HNRNPL	6	38	-0.5091449618339539	false	0.5091449618339539
HepG2	YBX3_3-PRPF8_4-interaction-shap	interaction	PRPF8-YBX3	YBX3	3	PRPF8	4	301	-0.5060933828353882	false	0.5060933828353882
HepG2	SF3B4_2-PTBP1_3-interaction-shap	interaction	PTBP1-SF3B4	SF3B4	2	PTBP1	3	9	-0.5053510665893555	false	0.5053510665893555
HepG2	SND1_1-RBFOX2_4-interaction-shap	interaction	RBFOX2-SND1	SND1	1	RBFOX2	4	118	0.5021746158599854	false	0.5021746158599854
HepG2	PPIG_3-SF3B4_4-interaction-shap	interaction	PPIG-SF3B4	PPIG	3	SF3B4	4	161	-0.5003467202186584	false	0.5003467202186584
HepG2	PPIG_3-PRPF8_4-interaction-shap	interaction	PPIG-PRPF8	PPIG	3	PRPF8	4	4724	-0.498823881149292	false	0.498823881149292
HepG2	RBFOX2_3-UCHL5_4-interaction-shap	interaction	RBFOX2-UCHL5	RBFOX2	3	UCHL5	4	89	-0.49578866362571716	false	0.49578866362571716
HepG2	LARP4_5-PRPF8_6-interaction-shap	interaction	LARP4-PRPF8	LARP4	5	PRPF8	6	405	-0.4857370853424072	false	0.4857370853424072
HepG2	DGCR8_3-AQR_4-interaction-shap	interaction	AQR-DGCR8	DGCR8	3	AQR	4	65	0.4838145673274994	false	0.4838145673274994
HepG2	DDX3X_3-SND1_4-interaction-shap	interaction	DDX3X-SND1	DDX3X	3	SND1	4	372	-0.4717543423175812	false	0.4717543423175812
HepG2	PRPF8_1-YBX3_2-interaction-shap	interaction	PRPF8-YBX3	PRPF8	1	YBX3	2	18	-0.4706074595451355	false	0.4706074595451355
HepG2	RBM22_2-QKI_3-interaction-shap	interaction	QKI-RBM22	RBM22	2	QKI	3	63	0.46641701459884644	false	0.46641701459884644
HepG2	NKRF_2-DDX3X_3-interaction-shap	interaction	DDX3X-NKRF	NKRF	2	DDX3X	3	74	-0.46346181631088257	false	0.46346181631088257
HepG2	IGF2BP1_3-TIAL1_4-interaction-shap	interaction	IGF2BP1-TIAL1	IGF2BP1	3	TIAL1	4	98	-0.4553413689136505	false	0.4553413689136505
HepG2	DDX3X_4-SND1_6-interaction-shap	interaction	DDX3X-SND1	DDX3X	4	SND1	6	243	-0.44744130969047546	false	0.44744130969047546
HepG2	SND1_3-PRPF8_4-interaction-shap	interaction	PRPF8-SND1	SND1	3	PRPF8	4	1203	-0.4381815195083618	false	0.4381815195083618
HepG2	SRSF1_3-QKI_4-interaction-shap	interaction	QKI-SRSF1	SRSF1	3	QKI	4	33	0.4360436201095581	false	0.4360436201095581
HepG2	U2AF2_4-GRWD1_6-interaction-shap	interaction	GRWD1-U2AF2	U2AF2	4	GRWD1	6	322	0.4334048628807068	false	0.4334048628807068
HepG2	DDX3X_3-TIA1_6-interaction-shap	interaction	DDX3X-TIA1	DDX3X	3	TIA1	6	32	-0.42889294028282166	false	0.42889294028282166
HepG2	BUD13_2-G3BP1_3-interaction-shap	interaction	BUD13-G3BP1	BUD13	2	G3BP1	3	228	-0.4285966157913208	false	0.4285966157913208
HepG2	NCBP2_3-U2AF2_5-interaction-shap	interaction	NCBP2-U2AF2	NCBP2	3	U2AF2	5	52	-0.4155561625957489	false	0.4155561625957489
HepG2	SF3B4_4-YBX3_5-interaction-shap	interaction	SF3B4-YBX3	SF3B4	4	YBX3	5	6	-0.4145354628562927	false	0.4145354628562927
HepG2	SUGP2_3-PRPF8_6-interaction-shap	interaction	PRPF8-SUGP2	SUGP2	3	PRPF8	6	22	0.41414156556129456	false	0.41414156556129456
HepG2	GRWD1_3-PRPF8_4-interaction-shap	interaction	GRWD1-PRPF8	GRWD1	3	PRPF8	4	3458	-0.40992018580436707	false	0.40992018580436707
HepG2	DDX3X_1-YBX3_5-interaction-shap	interaction	DDX3X-YBX3	DDX3X	1	YBX3	5	165	0.4051540195941925	false	0.4051540195941925
HepG2	PRPF4_3-IGF2BP1_4-interaction-shap	interaction	IGF2BP1-PRPF4	PRPF4	3	IGF2BP1	4	47	-0.40452003479003906	false	0.40452003479003906
HepG2	QKI_3-PTBP1_4-interaction-shap	interaction	PTBP1-QKI	QKI	3	PTBP1	4	5	0.40141719579696655	false	0.40141719579696655
HepG2	U2AF2_2-KHSRP_6-interaction-shap	interaction	KHSRP-U2AF2	U2AF2	2	KHSRP	6	23	-0.3988639712333679	false	0.3988639712333679
HepG2	PRPF8_3-RBFOX2_4-interaction-shap	interaction	PRPF8-RBFOX2	PRPF8	3	RBFOX2	4	114	-0.39703813195228577	false	0.39703813195228577
HepG2	RBM22_2-NCBP2_5-interaction-shap	interaction	NCBP2-RBM22	RBM22	2	NCBP2	5	2	0.391361802816391	false	0.391361802816391
HepG2	SRSF9_1-RBFOX2_4-interaction-shap	interaction	RBFOX2-SRSF9	SRSF9	1	RBFOX2	4	51	0.3846665024757385	false	0.3846665024757385
HepG2	SRSF1_1-AQR_3-interaction-shap	interaction	AQR-SRSF1	SRSF1	1	AQR	3	280	-0.3808879256248474	false	0.3808879256248474
HepG2	TARDBP_1-DGCR8_2-interaction-shap	interaction	DGCR8-TARDBP	TARDBP	1	DGCR8	2	14	-0.3758428692817688	false	0.3758428692817688
HepG2	LIN28B_3-BCLAF1_6-interaction-shap	interaction	BCLAF1-LIN28B	LIN28B	3	BCLAF1	6	247	-0.374101459980011	false	0.374101459980011
HepG2	AQR_3-DDX3X_4-interaction-shap	interaction	AQR-DDX3X	AQR	3	DDX3X	4	361	-0.3697071075439453	false	0.3697071075439453
HepG2	PRPF8_2-ILF3_4-interaction-shap	interaction	ILF3-PRPF8	PRPF8	2	ILF3	4	64	0.369501531124115	false	0.369501531124115
HepG2	HNRNPK_1-PRPF8_4-interaction-shap	interaction	HNRNPK-PRPF8	HNRNPK	1	PRPF8	4	337	-0.3693332076072693	false	0.3693332076072693
HepG2	HLTF_4-BUD13_5-interaction-shap	interaction	BUD13-HLTF	HLTF	4	BUD13	5	88	-0.3684532046318054	false	0.3684532046318054
HepG2	DDX3X_3-PRPF8_4-interaction-shap	interaction	DDX3X-PRPF8	DDX3X	3	PRPF8	4	1046	-0.3684321343898773	false	0.3684321343898773
HepG2	BUD13_3-EFTUD2_4-interaction-shap	interaction	BUD13-EFTUD2	BUD13	3	EFTUD2	4	881	-0.3670545816421509	false	0.3670545816421509
HepG2	PRPF8_3-HNRNPC_6-interaction-shap	interaction	HNRNPC-PRPF8	PRPF8	3	HNRNPC	6	5	-0.3647604286670685	false	0.3647604286670685
HepG2	TARDBP_3-XPO5_5-interaction-shap	interaction	TARDBP-XPO5	TARDBP	3	XPO5	5	13	-0.3641131520271301	false	0.3641131520271301
HepG2	BCLAF1_3-PRPF8_4-interaction-shap	interaction	BCLAF1-PRPF8	BCLAF1	3	PRPF8	4	2403	-0.36406075954437256	false	0.36406075954437256
HepG2	SF3B4_1-DDX3X_6-interaction-shap	interaction	DDX3X-SF3B4	SF3B4	1	DDX3X	6	31	0.36337894201278687	false	0.36337894201278687
HepG2	U2AF2_1-PTBP1_4-interaction-shap	interaction	PTBP1-U2AF2	U2AF2	1	PTBP1	4	13	-0.3613869547843933	false	0.3613869547843933
HepG2	SRSF1_3-BCLAF1_4-interaction-shap	interaction	BCLAF1-SRSF1	SRSF1	3	BCLAF1	4	382	-0.36095112562179565	false	0.36095112562179565
HepG2	DDX3X_2-EIF3H_4-interaction-shap	interaction	DDX3X-EIF3H	DDX3X	2	EIF3H	4	21	-0.3547847867012024	false	0.3547847867012024
HepG2	IGF2BP3_5-CSTF2T_6-interaction-shap	interaction	CSTF2T-IGF2BP3	IGF2BP3	5	CSTF2T	6	8	-0.3516484200954437	false	0.3516484200954437
HepG2	RPS3_3-SRSF9_4-interaction-shap	interaction	RPS3-SRSF9	RPS3	3	SRSF9	4	65	-0.35095205903053284	false	0.35095205903053284
HepG2	U2AF1_3-LIN28B_6-interaction-shap	interaction	LIN28B-U2AF1	U2AF1	3	LIN28B	6	35	-0.34761762619018555	false	0.34761762619018555
HepG2	EFTUD2_5-SF3B4_6-interaction-shap	interaction	EFTUD2-SF3B4	EFTUD2	5	SF3B4	6	87	-0.34483563899993896	false	0.34483563899993896
HepG2	SMNDC1_1-SF3B4_4-interaction-shap	interaction	SF3B4-SMNDC1	SMNDC1	1	SF3B4	4	16	-0.34429243206977844	false	0.34429243206977844
HepG2	SF3B4_1-RBM5_4-interaction-shap	interaction	RBM5-SF3B4	SF3B4	1	RBM5	4	106	-0.3435770273208618	false	0.3435770273208618
HepG2	HNRNPL_1-PPIG_2-interaction-shap	interaction	HNRNPL-PPIG	HNRNPL	1	PPIG	2	17	-0.3409607708454132	false	0.3409607708454132
HepG2	LIN28B_3-GRWD1_5-interaction-shap	interaction	GRWD1-LIN28B	LIN28B	3	GRWD1	5	133	-0.33841049671173096	false	0.33841049671173096
HepG2	DDX3X_3-BUD13_4-interaction-shap	interaction	BUD13-DDX3X	DDX3X	3	BUD13	4	229	-0.3371936082839966	false	0.3371936082839966
HepG2	U2AF2_3-UCHL5_6-interaction-shap	interaction	U2AF2-UCHL5	U2AF2	3	UCHL5	6	267	-0.3366154432296753	false	0.3366154432296753
HepG2	HNRNPC_2-BCLAF1_4-interaction-shap	interaction	BCLAF1-HNRNPC	HNRNPC	2	BCLAF1	4	15	-0.3322831094264984	false	0.3322831094264984
HepG2	KHSRP_2-U2AF2_4-interaction-shap	interaction	KHSRP-U2AF2	KHSRP	2	U2AF2	4	100	-0.331149697303772	false	0.331149697303772
HepG2	DGCR8_3-BCLAF1_6-interaction-shap	interaction	BCLAF1-DGCR8	DGCR8	3	BCLAF1	6	29	0.3287765383720398	false	0.3287765383720398
HepG2	LARP4_3-PRPF8_4-interaction-shap	interaction	LARP4-PRPF8	LARP4	3	PRPF8	4	741	-0.32678502798080444	false	0.32678502798080444
HepG2	TARDBP_1-SRSF1_4-interaction-shap	interaction	SRSF1-TARDBP	TARDBP	1	SRSF1	4	28	-0.32660695910453796	false	0.32660695910453796
HepG2	RBM22_3-PRPF8_4-interaction-shap	interaction	PRPF8-RBM22	RBM22	3	PRPF8	4	133	-0.3244497776031494	false	0.3244497776031494
HepG2	PABPN1_1-CSTF2T_4-interaction-shap	interaction	CSTF2T-PABPN1	PABPN1	1	CSTF2T	4	32	-0.32404202222824097	false	0.32404202222824097
HepG2	DDX3X_1-TIAL1_4-interaction-shap	interaction	DDX3X-TIAL1	DDX3X	1	TIAL1	4	168	0.3220595717430115	false	0.3220595717430115
HepG2	RBFOX2_2-SUB1_6-interaction-shap	interaction	RBFOX2-SUB1	RBFOX2	2	SUB1	6	56	-0.31869861483573914	false	0.31869861483573914
HepG2	HNRNPM_4-RBFOX2_6-interaction-shap	interaction	HNRNPM-RBFOX2	HNRNPM	4	RBFOX2	6	3	0.31242361664772034	false	0.31242361664772034
HepG2	HNRNPC_3-AQR_5-interaction-shap	interaction	AQR-HNRNPC	HNRNPC	3	AQR	5	45	0.30716320872306824	false	0.30716320872306824
HepG2	RBFOX2_2-KHSRP_5-interaction-shap	interaction	KHSRP-RBFOX2	RBFOX2	2	KHSRP	5	22	0.3051539659500122	false	0.3051539659500122
HepG2	SF3B4_4-PRPF4_5-interaction-shap	interaction	PRPF4-SF3B4	SF3B4	4	PRPF4	5	80	0.3029116988182068	false	0.3029116988182068
HepG2	PRPF8_4-PTBP1_6-interaction-shap	interaction	PRPF8-PTBP1	PRPF8	4	PTBP1	6	66	-0.3027813732624054	false	0.3027813732624054
HepG2	STAU2_1-SF3B4_3-interaction-shap	interaction	SF3B4-STAU2	STAU2	1	SF3B4	3	34	-0.30227744579315186	false	0.30227744579315186
HepG2	SUPV3L1_3-RBM22_5-interaction-shap	interaction	RBM22-SUPV3L1	SUPV3L1	3	RBM22	5	5	0.3003719747066498	false	0.3003719747066498
HepG2	RBM22_2-G3BP1_3-interaction-shap	interaction	G3BP1-RBM22	RBM22	2	G3BP1	3	291	-0.2939441502094269	false	0.2939441502094269
HepG2	HNRNPL_1-PRPF8_6-interaction-shap	interaction	HNRNPL-PRPF8	HNRNPL	1	PRPF8	6	28	0.29183855652809143	false	0.29183855652809143
HepG2	SF3B4_3-RBFOX2_5-interaction-shap	interaction	RBFOX2-SF3B4	SF3B4	3	RBFOX2	5	368	-0.29114511609077454	false	0.29114511609077454
HepG2	SF3B4_1-SND1_2-interaction-shap	interaction	SF3B4-SND1	SF3B4	1	SND1	2	608	0.2898242771625519	false	0.2898242771625519
HepG2	DDX52_2-HNRNPC_6-interaction-shap	interaction	DDX52-HNRNPC	DDX52	2	HNRNPC	6	2	-0.28633999824523926	false	0.28633999824523926
HepG2	AQR_3-BUD13_5-interaction-shap	interaction	AQR-BUD13	AQR	3	BUD13	5	1323	-0.2843020558357239	false	0.2843020558357239
HepG2	PRPF8_2-SUGP2_3-interaction-shap	interaction	PRPF8-SUGP2	PRPF8	2	SUGP2	3	38	0.2828456461429596	false	0.2828456461429596
HepG2	SRSF1_2-SRSF9_6-interaction-shap	interaction	SRSF1-SRSF9	SRSF1	2	SRSF9	6	42	0.28226906061172485	false	0.28226906061172485
HepG2	EFTUD2_3-RBM22_4-interaction-shap	interaction	EFTUD2-RBM22	EFTUD2	3	RBM22	4	440	-0.27562206983566284	false	0.27562206983566284
HepG2	IGF2BP3_1-TIA1_2-interaction-shap	interaction	IGF2BP3-TIA1	IGF2BP3	1	TIA1	2	44	0.2755544185638428	false	0.2755544185638428
HepG2	DDX3X_3-HNRNPM_4-interaction-shap	interaction	DDX3X-HNRNPM	DDX3X	3	HNRNPM	4	50	0.2743925452232361	false	0.2743925452232361
HepG2	CSTF2T_3-NCBP2_5-interaction-shap	interaction	CSTF2T-NCBP2	CSTF2T	3	NCBP2	5	1	-0.2696668207645416	false	0.2696668207645416
HepG2	PRPF8_1-BCLAF1_6-interaction-shap	interaction	BCLAF1-PRPF8	PRPF8	1	BCLAF1	6	370	-0.262013703584671	false	0.262013703584671
HepG2	RBFOX2_2-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-RBFOX2	RBFOX2	2	IGF2BP1	6	54	-0.261077880859375	false	0.261077880859375
HepG2	DDX3X_1-RBM22_3-interaction-shap	interaction	DDX3X-RBM22	DDX3X	1	RBM22	3	22	-0.2595093548297882	false	0.2595093548297882
HepG2	KHSRP_4-LIN28B_6-interaction-shap	interaction	KHSRP-LIN28B	KHSRP	4	LIN28B	6	14	-0.25640034675598145	false	0.25640034675598145
HepG2	PRPF8_1-FXR2_5-interaction-shap	interaction	FXR2-PRPF8	PRPF8	1	FXR2	5	21	-0.2550186514854431	false	0.2550186514854431
HepG2	XPO5_2-HNRNPM_3-interaction-shap	interaction	HNRNPM-XPO5	XPO5	2	HNRNPM	3	5	-0.2534303069114685	false	0.2534303069114685
HepG2	DDX59_2-U2AF2_5-interaction-shap	interaction	DDX59-U2AF2	DDX59	2	U2AF2	5	71	-0.25015610456466675	false	0.25015610456466675
HepG2	SLTM_4-DGCR8_6-interaction-shap	interaction	DGCR8-SLTM	SLTM	4	DGCR8	6	21	0.2469668835401535	false	0.2469668835401535
HepG2	RPS3_2-U2AF2_4-interaction-shap	interaction	RPS3-U2AF2	RPS3	2	U2AF2	4	66	0.24410349130630493	false	0.24410349130630493
HepG2	CSTF2T_2-RBFOX2_4-interaction-shap	interaction	CSTF2T-RBFOX2	CSTF2T	2	RBFOX2	4	76	0.2427794337272644	false	0.2427794337272644
HepG2	BUD13_5-FUBP3_6-interaction-shap	interaction	BUD13-FUBP3	BUD13	5	FUBP3	6	38	-0.24199306964874268	false	0.24199306964874268
HepG2	RBM22_2-SUGP2_4-interaction-shap	interaction	RBM22-SUGP2	RBM22	2	SUGP2	4	8	0.23707886040210724	false	0.23707886040210724
