Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
K562	FUS_3-NONO_4-interaction-shap	interaction	FUS	3	NONO	4	249	0.04894251003861427	false	0.04894251003861427	FUS-NONO
K562	XRN2_2-GTF2F1_4-interaction-shap	interaction	XRN2	2	GTF2F1	4	19	-0.04883399233222008	false	0.04883399233222008	GTF2F1-XRN2
K562	FMR1_3-PUM2_4-interaction-shap	interaction	FMR1	3	PUM2	4	7	-0.04868021607398987	false	0.04868021607398987	FMR1-PUM2
K562	PUM2_3-CPEB4_6-interaction-shap	interaction	PUM2	3	CPEB4	6	9	0.048635561019182205	false	0.048635561019182205	CPEB4-PUM2
K562	TARDBP_1-XRN2_2-interaction-shap	interaction	TARDBP	1	XRN2	2	19	-0.04860030859708786	false	0.04860030859708786	TARDBP-XRN2
K562	EFTUD2_3-ELAVL1_5-interaction-shap	interaction	EFTUD2	3	ELAVL1	5	51	-0.048552095890045166	false	0.048552095890045166	EFTUD2-ELAVL1
K562	PUM2_5-LARP4_6-interaction-shap	interaction	PUM2	5	LARP4	6	61	-0.04773995652794838	false	0.04773995652794838	LARP4-PUM2
K562	PTBP1_3-U2AF2_4-interaction-shap	interaction	PTBP1	3	U2AF2	4	43	0.047668538987636566	false	0.047668538987636566	PTBP1-U2AF2
K562	ELAVL1_5-KHDRBS1_6-interaction-shap	interaction	ELAVL1	5	KHDRBS1	6	9	-0.04747139289975166	false	0.04747139289975166	ELAVL1-KHDRBS1
K562	IGF2BP1_1-ZC3H11A_6-interaction-shap	interaction	IGF2BP1	1	ZC3H11A	6	19	-0.04746131971478462	false	0.04746131971478462	IGF2BP1-ZC3H11A
K562	ILF3_3-RBM22_4-interaction-shap	interaction	ILF3	3	RBM22	4	10	0.0474255234003067	false	0.0474255234003067	ILF3-RBM22
K562	SF3B4_1-FXR2_2-interaction-shap	interaction	SF3B4	1	FXR2	2	470	0.04732963442802429	false	0.04732963442802429	FXR2-SF3B4
K562	BUD13_3-IGF2BP2_5-interaction-shap	interaction	BUD13	3	IGF2BP2	5	190	-0.04728294909000397	false	0.04728294909000397	BUD13-IGF2BP2
K562	TIA1_2-FXR2_3-interaction-shap	interaction	TIA1	2	FXR2	3	100	-0.04724114015698433	false	0.04724114015698433	FXR2-TIA1
K562	BUD13_1-PTBP1_4-interaction-shap	interaction	BUD13	1	PTBP1	4	25	0.04721412435173988	false	0.04721412435173988	BUD13-PTBP1
K562	DHX30_3-FXR1_3-interaction-shap	interaction	DHX30	3	FXR1	3	7	0.047066979110240936	false	0.047066979110240936	DHX30-FXR1
K562	DHX30_3-TARDBP_3-interaction-shap	interaction	DHX30	3	TARDBP	3	33	0.04706648737192154	false	0.04706648737192154	DHX30-TARDBP
K562	PUM2_3-RBM22_4-interaction-shap	interaction	PUM2	3	RBM22	4	23	-0.046767283231019974	false	0.046767283231019974	PUM2-RBM22
K562	HNRNPK_1-ZC3H11A_3-interaction-shap	interaction	HNRNPK	1	ZC3H11A	3	20	-0.04648451879620552	false	0.04648451879620552	HNRNPK-ZC3H11A
K562	XRN2_2-QKI_3-interaction-shap	interaction	XRN2	2	QKI	3	13	0.046232759952545166	false	0.046232759952545166	QKI-XRN2
K562	SF3B4_3-SRSF7_6-interaction-shap	interaction	SF3B4	3	SRSF7	6	144	-0.046123258769512177	false	0.046123258769512177	SF3B4-SRSF7
K562	LIN28B_3-SRSF7_6-interaction-shap	interaction	LIN28B	3	SRSF7	6	58	-0.04585922881960869	false	0.04585922881960869	LIN28B-SRSF7
K562	EXOSC5_3-NONO_4-interaction-shap	interaction	EXOSC5	3	NONO	4	14	-0.045299068093299866	false	0.045299068093299866	EXOSC5-NONO
K562	FXR2_5-ZC3H11A_5-interaction-shap	interaction	FXR2	5	ZC3H11A	5	9	0.04525400698184967	false	0.04525400698184967	FXR2-ZC3H11A
K562	SMNDC1_1-NOLC1_5-interaction-shap	interaction	SMNDC1	1	NOLC1	5	18	0.04510915279388428	false	0.04510915279388428	NOLC1-SMNDC1
K562	EWSR1_4-FUS_4-interaction-shap	interaction	EWSR1	4	FUS	4	314	0.04480778053402901	false	0.04480778053402901	EWSR1-FUS
K562	EIF3G_1-EFTUD2_5-interaction-shap	interaction	EIF3G	1	EFTUD2	5	52	-0.04456636682152748	false	0.04456636682152748	EFTUD2-EIF3G
