Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	BUD13_3-RBM22_3-interaction-shap	interaction	BUD13-RBM22	BUD13	3	RBM22	3	44	0.3055383861064911	true	0.3055383861064911	BUD13-RBM22
HepG2	U2AF1_2-U2AF2_2-interaction-shap	interaction	U2AF1-U2AF2	U2AF1	2	U2AF2	2	164	-0.2977565824985504	true	0.2977565824985504	U2AF1-U2AF2
HepG2	DDX3X_4-RBFOX2_4-interaction-shap	interaction	DDX3X-RBFOX2	DDX3X	4	RBFOX2	4	116	0.29279160499572754	false	0.29279160499572754	DDX3X-RBFOX2
HepG2	QKI_4-RBFOX2_4-interaction-shap	interaction	QKI-RBFOX2	QKI	4	RBFOX2	4	51	0.2875877320766449	true	0.2875877320766449	QKI-RBFOX2
HepG2	BUD13_3-GTF2F1_3-interaction-shap	interaction	BUD13-GTF2F1	BUD13	3	GTF2F1	3	184	-0.2789795696735382	false	0.2789795696735382	BUD13-GTF2F1
HepG2	BUD13_5-RPS3_5-interaction-shap	interaction	BUD13-RPS3	BUD13	5	RPS3	5	377	-0.27747464179992676	false	0.27747464179992676	BUD13-RPS3
HepG2	DGCR8_1-XRN2_1-interaction-shap	interaction	DGCR8-XRN2	DGCR8	1	XRN2	1	121	0.27463215589523315	false	0.27463215589523315	DGCR8-XRN2
HepG2	QKI_4-U2AF1_4-interaction-shap	interaction	QKI-U2AF1	QKI	4	U2AF1	4	21	0.26616016030311584	false	0.26616016030311584	QKI-U2AF1
HepG2	GTF2F1_2-PCBP2_2-interaction-shap	interaction	GTF2F1-PCBP2	GTF2F1	2	PCBP2	2	810	0.2625763416290283	false	0.2625763416290283	GTF2F1-PCBP2
HepG2	DDX3X_2-NKRF_2-interaction-shap	interaction	DDX3X-NKRF	DDX3X	2	NKRF	2	258	0.2587779462337494	false	0.2587779462337494	DDX3X-NKRF
HepG2	HNRNPK_3-ILF3_3-interaction-shap	interaction	HNRNPK-ILF3	HNRNPK	3	ILF3	3	31	0.2570432126522064	false	0.2570432126522064	HNRNPK-ILF3
HepG2	DDX3X_6-PPIG_6-interaction-shap	interaction	DDX3X-PPIG	DDX3X	6	PPIG	6	114	0.25451070070266724	false	0.25451070070266724	DDX3X-PPIG
HepG2	FUBP3_6-TIAL1_6-interaction-shap	interaction	FUBP3-TIAL1	FUBP3	6	TIAL1	6	209	-0.2511662244796753	false	0.2511662244796753	FUBP3-TIAL1
HepG2	BCLAF1_3-SF3B4_3-interaction-shap	interaction	BCLAF1-SF3B4	BCLAF1	3	SF3B4	3	414	-0.2486678808927536	false	0.2486678808927536	BCLAF1-SF3B4
HepG2	EFTUD2_2-FKBP4_2-interaction-shap	interaction	EFTUD2-FKBP4	EFTUD2	2	FKBP4	2	376	-0.24383856356143951	false	0.24383856356143951	EFTUD2-FKBP4
HepG2	AGGF1_3-XPO5_3-interaction-shap	interaction	AGGF1-XPO5	AGGF1	3	XPO5	3	13	0.24084216356277466	false	0.24084216356277466	AGGF1-XPO5
HepG2	PPIG_4-RBFOX2_4-interaction-shap	interaction	PPIG-RBFOX2	PPIG	4	RBFOX2	4	467	-0.23773698508739471	false	0.23773698508739471	PPIG-RBFOX2
HepG2	DKC1_4-PRPF8_4-interaction-shap	interaction	DKC1-PRPF8	DKC1	4	PRPF8	4	170	-0.23718446493148804	false	0.23718446493148804	DKC1-PRPF8
HepG2	BUD13_3-PRPF4_3-interaction-shap	interaction	BUD13-PRPF4	BUD13	3	PRPF4	3	755	-0.23461109399795532	false	0.23461109399795532	BUD13-PRPF4
HepG2	FXR2_4-LARP4_4-interaction-shap	interaction	FXR2-LARP4	FXR2	4	LARP4	4	23	-0.2261579930782318	false	0.2261579930782318	FXR2-LARP4
HepG2	GRWD1_3-SF3B4_3-interaction-shap	interaction	GRWD1-SF3B4	GRWD1	3	SF3B4	3	1103	-0.2232426255941391	false	0.2232426255941391	GRWD1-SF3B4
HepG2	BUD13_3-PPIG_3-interaction-shap	interaction	BUD13-PPIG	BUD13	3	PPIG	3	1807	-0.22302617132663727	false	0.22302617132663727	BUD13-PPIG
HepG2	ILF3_4-RBM22_4-interaction-shap	interaction	ILF3-RBM22	ILF3	4	RBM22	4	21	0.22238227725028992	false	0.22238227725028992	ILF3-RBM22
HepG2	G3BP1_1-IGF2BP1_1-interaction-shap	interaction	G3BP1-IGF2BP1	G3BP1	1	IGF2BP1	1	52	0.2163778692483902	false	0.2163778692483902	G3BP1-IGF2BP1
HepG2	CSTF2T_3-RBFOX2_3-interaction-shap	interaction	CSTF2T-RBFOX2	CSTF2T	3	RBFOX2	3	169	0.20763638615608215	false	0.20763638615608215	CSTF2T-RBFOX2
HepG2	RPS3_4-SUB1_4-interaction-shap	interaction	RPS3-SUB1	RPS3	4	SUB1	4	132	-0.20718233287334442	false	0.20718233287334442	RPS3-SUB1
HepG2	PPIG_3-U2AF2_3-interaction-shap	interaction	PPIG-U2AF2	PPIG	3	U2AF2	3	980	-0.20658724009990692	true	0.20658724009990692	PPIG-U2AF2
HepG2	IGF2BP1_5-U2AF2_5-interaction-shap	interaction	IGF2BP1-U2AF2	IGF2BP1	5	U2AF2	5	124	-0.20578478276729584	false	0.20578478276729584	IGF2BP1-U2AF2
HepG2	DDX3X_2-DDX55_2-interaction-shap	interaction	DDX3X-DDX55	DDX3X	2	DDX55	2	139	0.20548351109027863	false	0.20548351109027863	DDX3X-DDX55
HepG2	LIN28B_4-SND1_4-interaction-shap	interaction	LIN28B-SND1	LIN28B	4	SND1	4	479	-0.20435594022274017	false	0.20435594022274017	LIN28B-SND1
HepG2	LARP4_4-PRPF8_4-interaction-shap	interaction	LARP4-PRPF8	LARP4	4	PRPF8	4	648	-0.20116887986660004	false	0.20116887986660004	LARP4-PRPF8
HepG2	RBM5_3-U2AF1_3-interaction-shap	interaction	RBM5-U2AF1	RBM5	3	U2AF1	3	145	-0.19262045621871948	false	0.19262045621871948	RBM5-U2AF1
HepG2	CDC40_4-IGF2BP1_4-interaction-shap	interaction	CDC40-IGF2BP1	CDC40	4	IGF2BP1	4	22	-0.1920003592967987	false	0.1920003592967987	CDC40-IGF2BP1
HepG2	IGF2BP1_4-LIN28B_4-interaction-shap	interaction	IGF2BP1-LIN28B	IGF2BP1	4	LIN28B	4	58	-0.19167757034301758	false	0.19167757034301758	IGF2BP1-LIN28B
HepG2	PPIG_4-RBM22_4-interaction-shap	interaction	PPIG-RBM22	PPIG	4	RBM22	4	1074	-0.19066090881824493	false	0.19066090881824493	PPIG-RBM22
HepG2	PRPF8_4-SUB1_4-interaction-shap	interaction	PRPF8-SUB1	PRPF8	4	SUB1	4	487	-0.1891489177942276	false	0.1891489177942276	PRPF8-SUB1
HepG2	DDX3X_5-GRWD1_5-interaction-shap	interaction	DDX3X-GRWD1	DDX3X	5	GRWD1	5	99	0.1883077621459961	false	0.1883077621459961	DDX3X-GRWD1
HepG2	DDX3X_3-EFTUD2_3-interaction-shap	interaction	DDX3X-EFTUD2	DDX3X	3	EFTUD2	3	370	-0.18305416405200958	false	0.18305416405200958	DDX3X-EFTUD2
HepG2	EFTUD2_4-SF3B4_4-interaction-shap	interaction	EFTUD2-SF3B4	EFTUD2	4	SF3B4	4	247	-0.18091048300266266	true	0.18091048300266266	EFTUD2-SF3B4
HepG2	KHSRP_4-PRPF8_4-interaction-shap	interaction	KHSRP-PRPF8	KHSRP	4	PRPF8	4	312	-0.17212733626365662	false	0.17212733626365662	KHSRP-PRPF8
HepG2	NCBP2_1-RBFOX2_1-interaction-shap	interaction	NCBP2-RBFOX2	NCBP2	1	RBFOX2	1	49	-0.16923993825912476	false	0.16923993825912476	NCBP2-RBFOX2
HepG2	DDX3X_6-LIN28B_6-interaction-shap	interaction	DDX3X-LIN28B	DDX3X	6	LIN28B	6	78	0.16582557559013367	false	0.16582557559013367	DDX3X-LIN28B
