Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	PRPF4_2-UTP18_2-interaction-shap	interaction	PRPF4-UTP18	PRPF4	2	UTP18	2	21	0.0	false	0.0
HepG2	PRPF4_2-XPO5_2-interaction-shap	interaction	PRPF4-XPO5	PRPF4	2	XPO5	2	46	0.0	false	0.0
HepG2	PRPF4_2-XRN2_2-interaction-shap	interaction	PRPF4-XRN2	PRPF4	2	XRN2	2	909	0.0	false	0.0
HepG2	PRPF4_2-ZC3H11A_2-interaction-shap	interaction	PRPF4-ZC3H11A	PRPF4	2	ZC3H11A	2	36	0.0	false	0.0
HepG2	PRPF8_2-PTBP1_2-interaction-shap	interaction	PRPF8-PTBP1	PRPF8	2	PTBP1	2	119	0.0	false	0.0
HepG2	PRPF8_2-QKI_2-interaction-shap	interaction	PRPF8-QKI	PRPF8	2	QKI	2	188	0.0	false	0.0
HepG2	PRPF8_2-RBFOX2_2-interaction-shap	interaction	PRPF8-RBFOX2	PRPF8	2	RBFOX2	2	1323	0.0	false	0.0
HepG2	PRPF8_2-RBM15_2-interaction-shap	interaction	PRPF8-RBM15	PRPF8	2	RBM15	2	290	0.0	false	0.0
HepG2	FUBP3_1-STAU2_1-interaction-shap	interaction	FUBP3-STAU2	FUBP3	1	STAU2	1	22	0.0	false	0.0
HepG2	PRPF8_2-RBM5_2-interaction-shap	interaction	PRPF8-RBM5	PRPF8	2	RBM5	2	239	0.0	false	0.0
HepG2	PRPF8_2-RPS3_2-interaction-shap	interaction	PRPF8-RPS3	PRPF8	2	RPS3	2	2126	0.0	false	0.0
HepG2	PRPF8_2-SAFB_2-interaction-shap	interaction	PRPF8-SAFB	PRPF8	2	SAFB	2	9	0.0	false	0.0
HepG2	PRPF8_2-SDAD1_2-interaction-shap	interaction	PRPF8-SDAD1	PRPF8	2	SDAD1	2	660	0.0	false	0.0
HepG2	PRPF8_2-SF3A3_2-interaction-shap	interaction	PRPF8-SF3A3	PRPF8	2	SF3A3	2	25	0.0	false	0.0
HepG2	FUBP3_1-SF3B4_1-interaction-shap	interaction	FUBP3-SF3B4	FUBP3	1	SF3B4	1	6	0.0	false	0.0
HepG2	PRPF8_2-SFPQ_2-interaction-shap	interaction	PRPF8-SFPQ	PRPF8	2	SFPQ	2	69	0.0	false	0.0
HepG2	PRPF8_2-SLTM_2-interaction-shap	interaction	PRPF8-SLTM	PRPF8	2	SLTM	2	195	0.0	false	0.0
HepG2	PRPF8_2-SMNDC1_2-interaction-shap	interaction	PRPF8-SMNDC1	PRPF8	2	SMNDC1	2	99	0.0	false	0.0
HepG2	PRPF8_2-SND1_2-interaction-shap	interaction	PRPF8-SND1	PRPF8	2	SND1	2	1099	0.0	false	0.0
HepG2	PRPF8_2-SRSF1_2-interaction-shap	interaction	PRPF8-SRSF1	PRPF8	2	SRSF1	2	1300	0.0	false	0.0
HepG2	PRPF8_2-SRSF7_2-interaction-shap	interaction	PRPF8-SRSF7	PRPF8	2	SRSF7	2	240	0.0	false	0.0
HepG2	PRPF8_2-SRSF9_2-interaction-shap	interaction	PRPF8-SRSF9	PRPF8	2	SRSF9	2	226	0.0	false	0.0
HepG2	PRPF8_2-SSB_2-interaction-shap	interaction	PRPF8-SSB	PRPF8	2	SSB	2	10	0.0	false	0.0
HepG2	PRPF8_2-STAU2_2-interaction-shap	interaction	PRPF8-STAU2	PRPF8	2	STAU2	2	8	0.0	false	0.0
HepG2	PRPF8_2-SUB1_2-interaction-shap	interaction	PRPF8-SUB1	PRPF8	2	SUB1	2	781	0.0	false	0.0
HepG2	PRPF8_2-SUGP2_2-interaction-shap	interaction	PRPF8-SUGP2	PRPF8	2	SUGP2	2	6	0.0	false	0.0
HepG2	PRPF8_2-SUPV3L1_2-interaction-shap	interaction	PRPF8-SUPV3L1	PRPF8	2	SUPV3L1	2	608	0.0	false	0.0
HepG2	PRPF8_2-TAF15_2-interaction-shap	interaction	PRPF8-TAF15	PRPF8	2	TAF15	2	14	0.0	false	0.0
HepG2	PRPF8_2-TARDBP_2-interaction-shap	interaction	PRPF8-TARDBP	PRPF8	2	TARDBP	2	261	0.0	false	0.0
HepG2	PRPF8_2-TIA1_2-interaction-shap	interaction	PRPF8-TIA1	PRPF8	2	TIA1	2	1117	0.0	false	0.0
HepG2	FTO_1-XPO5_1-interaction-shap	interaction	FTO-XPO5	FTO	1	XPO5	1	4	0.0	false	0.0
HepG2	PRPF8_2-TRA2A_2-interaction-shap	interaction	PRPF8-TRA2A	PRPF8	2	TRA2A	2	474	0.0	false	0.0
HepG2	FTO_1-TAF15_1-interaction-shap	interaction	FTO-TAF15	FTO	1	TAF15	1	18	0.0	false	0.0
HepG2	PRPF8_2-U2AF1_2-interaction-shap	interaction	PRPF8-U2AF1	PRPF8	2	U2AF1	2	373	0.0	false	0.0
HepG2	PRPF8_2-U2AF2_2-interaction-shap	interaction	PRPF8-U2AF2	PRPF8	2	U2AF2	2	661	0.0	false	0.0
HepG2	FTO_1-SRSF1_1-interaction-shap	interaction	FTO-SRSF1	FTO	1	SRSF1	1	184	0.0	false	0.0
HepG2	PRPF8_2-UPF1_2-interaction-shap	interaction	PRPF8-UPF1	PRPF8	2	UPF1	2	134	0.0	false	0.0
HepG2	PRPF8_2-UTP18_2-interaction-shap	interaction	PRPF8-UTP18	PRPF8	2	UTP18	2	2	0.0	false	0.0
HepG2	PRPF8_2-WDR43_2-interaction-shap	interaction	PRPF8-WDR43	PRPF8	2	WDR43	2	117	0.0	false	0.0
HepG2	PRPF8_2-XPO5_2-interaction-shap	interaction	PRPF8-XPO5	PRPF8	2	XPO5	2	338	0.0	false	0.0
HepG2	PRPF8_2-XRN2_2-interaction-shap	interaction	PRPF8-XRN2	PRPF8	2	XRN2	2	889	0.0	false	0.0
HepG2	PRPF8_2-YBX3_2-interaction-shap	interaction	PRPF8-YBX3	PRPF8	2	YBX3	2	450	0.0	false	0.0
HepG2	PRPF8_2-ZC3H11A_2-interaction-shap	interaction	PRPF8-ZC3H11A	PRPF8	2	ZC3H11A	2	85	0.0	false	0.0
HepG2	PRPF8_2-ZNF800_2-interaction-shap	interaction	PRPF8-ZNF800	PRPF8	2	ZNF800	2	1204	0.0	false	0.0
HepG2	PTBP1_2-RBFOX2_2-interaction-shap	interaction	PTBP1-RBFOX2	PTBP1	2	RBFOX2	2	37	0.0	false	0.0
HepG2	PTBP1_2-RBM22_2-interaction-shap	interaction	PTBP1-RBM22	PTBP1	2	RBM22	2	47	0.0	false	0.0
HepG2	PTBP1_2-RPS3_2-interaction-shap	interaction	PTBP1-RPS3	PTBP1	2	RPS3	2	80	0.0	false	0.0
HepG2	PTBP1_2-SDAD1_2-interaction-shap	interaction	PTBP1-SDAD1	PTBP1	2	SDAD1	2	30	0.0	false	0.0
HepG2	PTBP1_2-SF3A3_2-interaction-shap	interaction	PTBP1-SF3A3	PTBP1	2	SF3A3	2	2	0.0	false	0.0
HepG2	PTBP1_2-SFPQ_2-interaction-shap	interaction	PTBP1-SFPQ	PTBP1	2	SFPQ	2	3	0.0	false	0.0
HepG2	PTBP1_2-SMNDC1_2-interaction-shap	interaction	PTBP1-SMNDC1	PTBP1	2	SMNDC1	2	2	0.0	false	0.0
HepG2	PTBP1_2-SND1_2-interaction-shap	interaction	PTBP1-SND1	PTBP1	2	SND1	2	44	0.0	false	0.0
HepG2	PTBP1_2-SUGP2_2-interaction-shap	interaction	PTBP1-SUGP2	PTBP1	2	SUGP2	2	1	0.0	false	0.0
HepG2	PTBP1_2-TIAL1_2-interaction-shap	interaction	PTBP1-TIAL1	PTBP1	2	TIAL1	2	2	0.0	false	0.0
HepG2	PTBP1_2-U2AF2_2-interaction-shap	interaction	PTBP1-U2AF2	PTBP1	2	U2AF2	2	38	0.0	false	0.0
HepG2	FTO_1-SF3B4_1-interaction-shap	interaction	FTO-SF3B4	FTO	1	SF3B4	1	55	0.0	false	0.0
HepG2	PTBP1_2-XPO5_2-interaction-shap	interaction	PTBP1-XPO5	PTBP1	2	XPO5	2	2	0.0	false	0.0
HepG2	PTBP1_2-XRN2_2-interaction-shap	interaction	PTBP1-XRN2	PTBP1	2	XRN2	2	5	0.0	false	0.0
HepG2	PTBP1_2-ZNF800_2-interaction-shap	interaction	PTBP1-ZNF800	PTBP1	2	ZNF800	2	30	0.0	false	0.0
HepG2	FTO_1-RPS3_1-interaction-shap	interaction	FTO-RPS3	FTO	1	RPS3	1	72	0.0	false	0.0
HepG2	QKI_2-RPS3_2-interaction-shap	interaction	QKI-RPS3	QKI	2	RPS3	2	1	0.0	false	0.0
HepG2	QKI_2-SRSF1_2-interaction-shap	interaction	QKI-SRSF1	QKI	2	SRSF1	2	3	0.0	false	0.0
HepG2	QKI_2-SRSF9_2-interaction-shap	interaction	QKI-SRSF9	QKI	2	SRSF9	2	10	0.0	false	0.0
HepG2	QKI_2-TARDBP_2-interaction-shap	interaction	QKI-TARDBP	QKI	2	TARDBP	2	1	0.0	false	0.0
HepG2	QKI_2-TIA1_2-interaction-shap	interaction	QKI-TIA1	QKI	2	TIA1	2	47	0.0	false	0.0
HepG2	QKI_2-TIAL1_2-interaction-shap	interaction	QKI-TIAL1	QKI	2	TIAL1	2	72	0.0	false	0.0
HepG2	QKI_2-TRA2A_2-interaction-shap	interaction	QKI-TRA2A	QKI	2	TRA2A	2	6	0.0	false	0.0
HepG2	QKI_2-U2AF1_2-interaction-shap	interaction	QKI-U2AF1	QKI	2	U2AF1	2	13	0.0	false	0.0
HepG2	FTO_1-RBFOX2_1-interaction-shap	interaction	FTO-RBFOX2	FTO	1	RBFOX2	1	30	0.0	false	0.0
HepG2	QKI_2-UCHL5_2-interaction-shap	interaction	QKI-UCHL5	QKI	2	UCHL5	2	1	0.0	false	0.0
HepG2	RBFOX2_2-RBM15_2-interaction-shap	interaction	RBFOX2-RBM15	RBFOX2	2	RBM15	2	11	0.0	false	0.0
HepG2	RBFOX2_2-RBM22_2-interaction-shap	interaction	RBFOX2-RBM22	RBFOX2	2	RBM22	2	401	0.0	false	0.0
HepG2	RBFOX2_2-RBM5_2-interaction-shap	interaction	RBFOX2-RBM5	RBFOX2	2	RBM5	2	83	0.0	false	0.0
HepG2	RBFOX2_2-RPS3_2-interaction-shap	interaction	RBFOX2-RPS3	RBFOX2	2	RPS3	2	195	0.0	false	0.0
HepG2	RBFOX2_2-SDAD1_2-interaction-shap	interaction	RBFOX2-SDAD1	RBFOX2	2	SDAD1	2	94	0.0	false	0.0
HepG2	RBFOX2_2-SF3A3_2-interaction-shap	interaction	RBFOX2-SF3A3	RBFOX2	2	SF3A3	2	3	0.0	false	0.0
HepG2	FTO_1-PRPF8_1-interaction-shap	interaction	FTO-PRPF8	FTO	1	PRPF8	1	43	0.0	false	0.0
HepG2	RBFOX2_2-SFPQ_2-interaction-shap	interaction	RBFOX2-SFPQ	RBFOX2	2	SFPQ	2	18	0.0	false	0.0
HepG2	RBFOX2_2-SLTM_2-interaction-shap	interaction	RBFOX2-SLTM	RBFOX2	2	SLTM	2	12	0.0	false	0.0
HepG2	RBFOX2_2-SMNDC1_2-interaction-shap	interaction	RBFOX2-SMNDC1	RBFOX2	2	SMNDC1	2	84	0.0	false	0.0
HepG2	RBFOX2_2-SND1_2-interaction-shap	interaction	RBFOX2-SND1	RBFOX2	2	SND1	2	72	0.0	false	0.0
HepG2	RBFOX2_2-SRSF1_2-interaction-shap	interaction	RBFOX2-SRSF1	RBFOX2	2	SRSF1	2	111	0.0	false	0.0
