RBP	Position	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Percentage	# RBP Diff. Events	# RBP Diff. Events w/ RBP KD	# RBP Diff. Events w/ RBP KD at Position
CSTF2	1	HepG2	CSTF2_1	0.00076468586	-0.0	0.0004158608478681297	88.0	1.0	0.0
CSTF2	2	HepG2	CSTF2_2	0.0	-0.0	0.0001623130350097547	88.0	1.0	0.0
CSTF2	3	HepG2	CSTF2_3	0.0	0.0	0.0005121877993641148	88.0	1.0	0.0
CSTF2	4	HepG2	CSTF2_4	0.0	0.0	0.0002756138986636227	88.0	1.0	0.0
CSTF2	5	HepG2	CSTF2_5	0.0	0.0	0.00019965564175709695	88.0	1.0	0.0
CSTF2	6	HepG2	CSTF2_6	7.64978e-05	-0.0	0.005135457123367455	88.0	1.0	1.0
DDX3X	1	HepG2	DDX3X_1	0.024632903	-0.040195365135286036	0.050298581723552255	642.0	87.0	34.0
DDX3X	2	HepG2	DDX3X_2	0.0045026406	-0.035267328418599815	0.05302565288561811	642.0	87.0	44.0
DDX3X	3	HepG2	DDX3X_3	0.036969688	0.14853544935595459	0.019266875516510844	642.0	87.0	13.0
DDX3X	4	HepG2	DDX3X_4	0.013042148	0.17893368405532922	0.00856843085729926	642.0	87.0	6.0
DDX3X	5	HepG2	DDX3X_5	0.04682209	-0.3206020724877057	0.013397296692314955	642.0	87.0	24.0
DDX3X	6	HepG2	DDX3X_6	0.010369904	-0.12848085332990847	0.005598632751375682	642.0	87.0	11.0
DDX52	1	HepG2	DDX52_1	0.0	0.0	0.00010057042953545585	145.0	0.0	0.0
DDX52	2	HepG2	DDX52_2	0.0002776925	0.0	0.0003131686793129385	145.0	0.0	0.0
DDX52	3	HepG2	DDX52_3	0.0	-0.0	0.0001253947760663595	145.0	0.0	0.0
DDX52	4	HepG2	DDX52_4	0.0	0.0	3.9464345767077615e-05	145.0	0.0	0.0
DDX52	5	HepG2	DDX52_5	0.00029624713	0.0	0.00014491477504792477	145.0	0.0	0.0
DDX52	6	HepG2	DDX52_6	0.0	-0.0	3.3523476511818614e-05	145.0	0.0	0.0
DDX55	1	HepG2	DDX55_1	0.00016446337	-0.0	0.0010279825550617797	416.0	0.0	0.0
DDX55	2	HepG2	DDX55_2	0.0022508062	-0.03941689900011295	0.002030928589690682	416.0	0.0	0.0
DDX55	3	HepG2	DDX55_3	7.080076e-05	0.0	0.0015762399177613956	416.0	0.0	0.0
DDX55	4	HepG2	DDX55_4	0.00082017435	0.0	0.0016700207824336983	416.0	0.0	0.0
DDX55	5	HepG2	DDX55_5	0.00050458557	-0.0	0.0025028033476798255	416.0	0.0	0.0
DDX55	6	HepG2	DDX55_6	9.870518e-05	0.0	0.005148187557485867	416.0	0.0	0.0
DDX59	1	HepG2	DDX59_1	0.00028459082	0.0	0.0019227198996841792	476.0	13.0	2.0
DDX59	2	HepG2	DDX59_2	0.00031207054	-0.01845520629492438	0.0025639094314482036	476.0	13.0	6.0
DDX59	3	HepG2	DDX59_3	0.0010305698	-0.0	0.0028333702869545938	476.0	13.0	7.0
DDX59	4	HepG2	DDX59_4	0.0001377831	-0.0	0.0014608173150877923	476.0	13.0	1.0
DDX59	5	HepG2	DDX59_5	0.0005294249	-0.0	0.0018225738179526703	476.0	13.0	4.0
DDX59	6	HepG2	DDX59_6	0.0002797839	-0.0	0.0014497842721851685	476.0	13.0	0.0
DDX6	1	HepG2	DDX6_1	0.0	-0.0	0.0003288695480589801	553.0	2.0	1.0
DDX6	2	HepG2	DDX6_2	3.7607747e-06	-0.0	0.00019923129395314987	553.0	2.0	0.0
DDX6	3	HepG2	DDX6_3	0.0002815781	-0.0	0.00017928694716763755	553.0	2.0	1.0
DDX6	4	HepG2	DDX6_4	3.460182e-06	-0.0	0.00030425737543005	553.0	2.0	1.0
DDX6	5	HepG2	DDX6_5	0.0	0.0	0.00010905738561439728	553.0	2.0	0.0
DDX6	6	HepG2	DDX6_6	5.54995e-05	0.0	0.0014224138388305822	553.0	2.0	0.0
DGCR8	1	HepG2	DGCR8_1	0.0003509873	0.0	0.001100970377340676	0.0	0.0	0.0
DGCR8	2	HepG2	DGCR8_2	0.00016263462	0.0	0.0033094885229832077	0.0	0.0	0.0
DGCR8	3	HepG2	DGCR8_3	0.0022478777	-0.044880703883646754	0.0008709738676013634	0.0	0.0	0.0
DGCR8	4	HepG2	DGCR8_4	3.1448722e-05	-0.0	0.0008181425660099531	0.0	0.0	0.0
DGCR8	5	HepG2	DGCR8_5	0.0	-0.0	0.00037321389357144905	0.0	0.0	0.0
DGCR8	6	HepG2	DGCR8_6	0.00024039182	0.0	0.0004903338874608406	0.0	0.0	0.0
DHX30	1	HepG2	DHX30_1	0.0	0.0	1.5064347040121024e-05	199.0	0.0	0.0
DHX30	2	HepG2	DHX30_2	0.0	0.0	2.2490433609194767e-05	199.0	0.0	0.0
DHX30	3	HepG2	DHX30_3	0.0	0.0	0.0	199.0	0.0	0.0
DHX30	4	HepG2	DHX30_4	0.0	0.0	0.0	199.0	0.0	0.0
DHX30	5	HepG2	DHX30_5	0.0	0.0	0.0	199.0	0.0	0.0
DHX30	6	HepG2	DHX30_6	0.0	-0.0	4.667825843417782e-06	199.0	0.0	0.0
DKC1	1	HepG2	DKC1_1	0.000113797105	0.0	0.001100970377340676	390.0	6.0	0.0
DKC1	2	HepG2	DKC1_2	1.5184903e-06	-0.0	0.0016118851332929496	390.0	6.0	1.0
DKC1	3	HepG2	DKC1_3	0.0002787319	0.0	0.001862886859327642	390.0	6.0	3.0
DKC1	4	HepG2	DKC1_4	0.00027538365	0.0	0.001838274686698712	390.0	6.0	2.0
DKC1	5	HepG2	DKC1_5	0.00031731147	-0.0	0.0017663477339296834	390.0	6.0	1.0
DKC1	6	HepG2	DKC1_6	0.0	0.0	0.001142980809931436	390.0	6.0	0.0
DROSHA	1	HepG2	DROSHA_1	0.00023308126	0.0	0.0016267373064310971	0.0	0.0	0.0
DROSHA	2	HepG2	DROSHA_2	1.6997214e-05	-0.0	0.0014368416641647827	0.0	0.0	0.0
DROSHA	3	HepG2	DROSHA_3	7.901155e-05	-0.022641260491434667	0.0016831755643560574	0.0	0.0	0.0
DROSHA	4	HepG2	DROSHA_4	0.00014213052	-0.0	0.0008032903928718056	0.0	0.0	0.0
DROSHA	5	HepG2	DROSHA_5	3.3659904e-05	-0.0	0.0008020173494599644	0.0	0.0	0.0
DROSHA	6	HepG2	DROSHA_6	1.8291887e-06	-0.0	0.0005809321436035403	0.0	0.0	0.0
EFTUD2	1	HepG2	EFTUD2_1	0.001651586	0.0010585255224838898	0.02051509458182115	358.0	56.0	5.0
EFTUD2	2	HepG2	EFTUD2_2	0.02060457	-0.012613285287687041	0.07683241338265669	358.0	56.0	35.0
EFTUD2	3	HepG2	EFTUD2_3	0.0028820233	-0.011095294126807263	0.026026736033387687	358.0	56.0	7.0
