,Feature,Kruskal-Wallis Statistic,P-Val
118,TIA1_5_left_shap,6752.5896949403095,0.0
119,TRA2A_5_left_shap,47607.92192126986,0.0
120,TROVE2_5_left_shap,475.1190628429822,6.748486448502329e-104
121,U2AF1_5_left_shap,25428.655971973618,0.0
122,U2AF2_5_left_shap,5549.510234435492,0.0
123,UCHL5_5_left_shap,65458.040013964805,0.0
124,UPF1_5_left_shap,1247.9980276470496,1.0015475741202971e-271
125,UTP18_5_left_shap,4194304.0,0.0
126,UTP3_5_left_shap,4194304.0,0.0
127,WDR3_5_left_shap,4194304.0,0.0
128,WDR43_5_left_shap,4194304.0,0.0
129,WRN_5_left_shap,15954.34979643725,0.0
130,XRCC6_5_left_shap,4194304.0,0.0
131,XRN2_5_left_shap,24503.704204827536,0.0
132,YBX3_5_left_shap,8250.542660593946,0.0
133,YWHAG_5_left_shap,4194304.0,0.0
134,ZC3H11A_5_left_shap,4194304.0,0.0
135,ZC3H8_5_left_shap,4194304.0,0.0
136,ZNF622_5_left_shap,39264.67539176592,0.0
137,ZNF800_5_left_shap,13759.665419905004,0.0
138,ZRANB2_5_left_shap,4194304.0,0.0
139,AARS_5_right_shap,4194304.0,0.0
140,AATF_5_right_shap,21586.401219745112,0.0
141,ABCF1_5_right_shap,4194304.0,0.0
142,ADAT1_5_right_shap,4194304.0,0.0
143,AGGF1_5_right_shap,6056.70258698198,0.0
144,AKAP1_5_right_shap,4194304.0,0.0
145,AKAP8L_5_right_shap,1331.007439304361,9.449457345428931e-290
146,APEX1_5_right_shap,4194304.0,0.0
147,APOBEC3C_5_right_shap,16108.542799532193,0.0
148,AQR_5_right_shap,47510.02263609951,0.0
149,BUD13_5_right_shap,37385.25983828083,0.0
150,CPEB4_5_right_shap,4194304.0,0.0
151,CPSF6_5_right_shap,49.6606577167061,1.6456034643616486e-11
152,CSTF2T_5_right_shap,45387.02893032537,0.0
153,DDX1_5_right_shap,725.8181419520405,2.458063185902335e-158
154,DDX21_5_right_shap,4194304.0,0.0
155,DDX24_5_right_shap,8527.251034167808,0.0
156,DDX3X_5_right_shap,10738.105580459029,0.0
157,DDX42_5_right_shap,4194304.0,0.0
158,DDX43_5_right_shap,22795.370741310177,0.0
159,DDX47_5_right_shap,4194304.0,0.0
160,DDX51_5_right_shap,67.7322020019008,1.9594726755562284e-15
161,DDX52_5_right_shap,9153.197493356734,0.0
162,DDX55_5_right_shap,17842.740818933253,0.0
163,DDX6_5_right_shap,95207.13374450359,0.0
164,DGCR8_5_right_shap,4275.886642777244,0.0
165,DHX30_5_right_shap,4194304.0,0.0
166,DROSHA_5_right_shap,2274.847446917119,0.0
167,EEF2_5_right_shap,4194304.0,0.0
168,EFTUD2_5_right_shap,15248.48777095733,0.0
169,EIF3G_5_right_shap,2002.8703568841008,0.0
170,EIF4E_5_right_shap,2128.8297605305524,0.0
171,EIF4G2_5_right_shap,4386.660843747679,0.0
172,ELAC2_5_right_shap,2065.9105556694562,0.0
173,ELAVL1_5_right_shap,9494.004433947352,0.0
174,EWSR1_5_right_shap,22783.93616162712,0.0
175,EXOSC10_5_right_shap,916.081436790954,1.1897165795817383e-199
176,EXOSC5_5_right_shap,8448.739200222873,0.0
177,FAM120A_5_right_shap,13953.315623644348,0.0
178,FASTKD2_5_right_shap,9746.74872025089,0.0
179,FMR1_5_right_shap,2171.9601302104816,0.0
180,FTO_5_right_shap,3300.2109369237633,0.0
181,FUS_5_right_shap,394.6740226023806,1.984380344323386e-86
182,FXR1_5_right_shap,915.4444592665023,1.6359176039261374e-199
183,FXR2_5_right_shap,19369.36855422831,0.0
184,GARS_5_right_shap,1189.5029983428922,5.0431955255257586e-259
185,GEMIN5_5_right_shap,5990.423162219301,0.0
186,GNL3_5_right_shap,4194304.0,0.0
187,GPKOW_5_right_shap,14768.360292893194,0.0
188,GRWD1_5_right_shap,241.31778369319017,3.967428223301129e-53
189,GTF2F1_5_right_shap,2050.802912706195,0.0
190,HLTF_5_right_shap,519.4968449264023,1.558452037745829e-113
191,HNRNPA1_5_right_shap,4194304.0,0.0
192,HNRNPC_5_right_shap,40573.28370411261,0.0
193,HNRNPK_5_right_shap,17198.44781283713,0.0
194,HNRNPL_5_right_shap,4194304.0,0.0
195,HNRNPM_5_right_shap,5603.046488803082,0.0
196,HNRNPU_5_right_shap,4194304.0,0.0
197,HNRNPUL1_5_right_shap,37981.471217956525,0.0
198,IGF2BP1_5_right_shap,24567.17406272585,0.0
199,IGF2BP2_5_right_shap,215.74248976843793,1.4194287280843456e-47
200,ILF3_5_right_shap,19157.513967494222,0.0
201,KHDRBS1_5_right_shap,481.26354912052216,3.1257060826481496e-105
202,KHSRP_5_right_shap,72847.4510705824,0.0
203,LARP4_5_right_shap,4194304.0,0.0
204,LARP7_5_right_shap,4194304.0,0.0
205,LIN28B_5_right_shap,1453.9403939858628,0.0
206,LSM11_5_right_shap,29611.494464130516,0.0
207,MATR3_5_right_shap,4194304.0,0.0
208,MBNL1_5_right_shap,941.1692661702892,4.243171473339808e-205
209,METAP2_5_right_shap,44396.12051537457,0.0
210,METTL1_5_right_shap,4194304.0,0.0
211,MORC2_5_right_shap,1251.6814271584533,1.587930689010792e-272
212,MTPAP_5_right_shap,137.0844382402374,1.7080180610618712e-30
213,NCBP2_5_right_shap,10531.650886425481,0.0
214,NIPBL_5_right_shap,22046.82406764277,0.0
215,NOLC1_5_right_shap,17565.730364167335,0.0
216,NONO_5_right_shap,4202.708764332252,0.0
217,NPM1_5_right_shap,4194304.0,0.0
218,NSUN2_5_right_shap,4194304.0,0.0
219,PABPC4_5_right_shap,2835.566782233831,0.0
220,PCBP1_5_right_shap,4008.6962674729307,0.0
221,PHF6_5_right_shap,2066.4298397523753,0.0
222,PPIL4_5_right_shap,11615.45428899416,0.0
223,PRPF8_5_right_shap,54927.43455429411,0.0
224,PTBP1_5_right_shap,7077.290784224311,0.0
225,PUM1_5_right_shap,31368.08900031858,0.0
226,PUM2_5_right_shap,33482.75033523081,0.0
227,PUS1_5_right_shap,4194304.0,0.0
228,QKI_5_right_shap,2173.037773380561,0.0
229,RBFOX2_5_right_shap,10274.265552025943,0.0
230,RBM15_5_right_shap,6355.944827382533,0.0
231,RBM22_5_right_shap,6146.180848104559,0.0
232,RNF187_5_right_shap,4194304.0,0.0
233,RPS10_5_right_shap,4194304.0,0.0
234,RPS11_5_right_shap,4194304.0,0.0
235,RPS3_5_right_shap,14338.25673463784,0.0
236,RPS6_5_right_shap,4194304.0,0.0
237,RYBP_5_right_shap,4194304.0,0.0
238,SAFB_5_right_shap,4194304.0,0.0
239,SAFB2_5_right_shap,4194304.0,0.0
240,SBDS_5_right_shap,4194304.0,0.0
241,SDAD1_5_right_shap,4194304.0,0.0
242,SERBP1_5_right_shap,4194304.0,0.0
243,SF3B1_5_right_shap,4194304.0,0.0
244,SF3B4_5_right_shap,91511.80914183984,0.0
245,SLBP_5_right_shap,4194304.0,0.0
246,SLTM_5_right_shap,23291.40139320847,0.0
247,SMNDC1_5_right_shap,30565.96838244385,0.0
248,SND1_5_right_shap,33866.933552894465,0.0
249,SRSF1_5_right_shap,6230.9182353680735,0.0
250,SRSF7_5_right_shap,32061.787531815116,0.0
251,SRSF9_5_right_shap,157.40582713285883,6.603268068421167e-35
252,SSB_5_right_shap,4194304.0,0.0
253,SUPV3L1_5_right_shap,4194304.0,0.0
254,TAF15_5_right_shap,4194304.0,0.0
255,TARDBP_5_right_shap,129.01759788312089,9.642387609281791e-29
256,TBRG4_5_right_shap,4194304.0,0.0
257,TIA1_5_right_shap,31794.10416594941,0.0
258,TRA2A_5_right_shap,23583.92437906079,0.0
259,TROVE2_5_right_shap,20143.172228782376,0.0
260,U2AF1_5_right_shap,70.120645703229,5.936018582232778e-16
261,U2AF2_5_right_shap,67478.34440991755,0.0
262,UCHL5_5_right_shap,2175.356883324602,0.0
263,UPF1_5_right_shap,2442.8234895128153,0.0
264,UTP18_5_right_shap,4194304.0,0.0
265,UTP3_5_right_shap,4194304.0,0.0
266,WDR3_5_right_shap,4194304.0,0.0
267,WDR43_5_right_shap,9393.883990731802,0.0
268,WRN_5_right_shap,4194304.0,0.0
269,XRCC6_5_right_shap,2798.9229206066098,0.0
270,XRN2_5_right_shap,17123.187139583893,0.0
271,YBX3_5_right_shap,3518.0853193349803,0.0
272,YWHAG_5_right_shap,42776.61949211093,0.0
273,ZC3H11A_5_right_shap,4194304.0,0.0
274,ZC3H8_5_right_shap,4194304.0,0.0
275,ZNF622_5_right_shap,28210.096912385223,0.0
