,Feature,Kruskal-Wallis Statistic,P-Val
115,DDX52_5_right_shap,-4194304.0,1.0
116,DDX55_5_right_shap,1342.4082896281145,3.1604118146642998e-292
117,DDX59_5_right_shap,59509.494878178324,0.0
118,DDX6_5_right_shap,-4194304.0,1.0
119,DGCR8_5_right_shap,4864.61900475228,0.0
120,DHX30_5_right_shap,-4194304.0,1.0
121,DKC1_5_right_shap,-4194304.0,1.0
122,DROSHA_5_right_shap,-4194304.0,1.0
123,EFTUD2_5_right_shap,536.485161774636,3.1895345370035424e-117
124,EIF3D_5_right_shap,39761.39088759045,0.0
125,EIF3H_5_right_shap,6575.520840040193,0.0
126,EXOSC5_5_right_shap,-4194304.0,1.0
127,FAM120A_5_right_shap,16466.7142415223,0.0
128,FASTKD2_5_right_shap,76269.82389955588,0.0
129,FKBP4_5_right_shap,1163.6712659331436,2.0511396405899117e-253
130,FTO_5_right_shap,231.83272378971526,4.551595577385294e-51
131,FUBP3_5_right_shap,-4194304.0,1.0
132,FUS_5_right_shap,7309.7132413044255,0.0
133,FXR2_5_right_shap,851.1299627781159,1.5117392585545047e-185
134,G3BP1_5_right_shap,5851.340991194603,0.0
135,GRSF1_5_right_shap,3962.674438279554,0.0
136,GRWD1_5_right_shap,2853.878426124071,0.0
137,GTF2F1_5_right_shap,1683.993602804483,0.0
138,HLTF_5_right_shap,10913.39518797505,0.0
139,HNRNPA1_5_right_shap,-4194304.0,1.0
140,HNRNPC_5_right_shap,-4194304.0,1.0
141,HNRNPK_5_right_shap,2645.960354926262,0.0
142,HNRNPL_5_right_shap,2541.9916352141354,0.0
143,HNRNPM_5_right_shap,6606.390903600687,0.0
144,HNRNPU_5_right_shap,-4194304.0,1.0
145,HNRNPUL1_5_right_shap,-4194304.0,1.0
146,IGF2BP1_5_right_shap,12855.726248864448,0.0
147,IGF2BP3_5_right_shap,5490.075626650642,0.0
148,ILF3_5_right_shap,18753.089335642177,0.0
149,KHSRP_5_right_shap,29305.576027807256,0.0
150,LARP4_5_right_shap,15235.162128055157,0.0
151,LARP7_5_right_shap,-4194304.0,1.0
152,LIN28B_5_right_shap,32521.327174354432,0.0
153,LSM11_5_right_shap,1217.563546142589,4.0685089139832626e-265
154,MATR3_5_right_shap,-4194304.0,1.0
155,NCBP2_5_right_shap,8518.95265708715,0.0
156,NIP7_5_right_shap,-4194304.0,1.0
157,NKRF_5_right_shap,20663.80628079217,0.0
158,NOL12_5_right_shap,-4194304.0,1.0
159,NOLC1_5_right_shap,-4194304.0,1.0
160,NSUN2_5_right_shap,-4194304.0,1.0
161,PABPN1_5_right_shap,6197.501711936629,0.0
162,PCBP1_5_right_shap,14921.748769985008,0.0
163,PCBP2_5_right_shap,88069.26565061706,0.0
164,POLR2G_5_right_shap,-4194304.0,1.0
165,PPIG_5_right_shap,1460.2783600806695,0.0
166,PRPF4_5_right_shap,36071.65902497867,0.0
167,PRPF8_5_right_shap,29135.481358688212,0.0
168,PTBP1_5_right_shap,-4194304.0,1.0
169,QKI_5_right_shap,14720.926122820621,0.0
170,RBFOX2_5_right_shap,29106.046491507695,0.0
171,RBM15_5_right_shap,3129.9253310758086,0.0
172,RBM22_5_right_shap,12834.89464095029,0.0
173,RBM5_5_right_shap,581.4400179069894,5.5195583981247476e-127
174,RPS3_5_right_shap,10763.421635254554,0.0
175,SAFB_5_right_shap,-4194304.0,1.0
176,SDAD1_5_right_shap,9773.455779525162,0.0
177,SF3A3_5_right_shap,145508.14600368,0.0
178,SF3B4_5_right_shap,26147.5396781427,0.0
179,SFPQ_5_right_shap,1154.8742032312766,1.6682192261855443e-251
180,SLTM_5_right_shap,-4194304.0,1.0
181,SMNDC1_5_right_shap,-4194304.0,1.0
182,SND1_5_right_shap,23067.50931554096,0.0
183,SRSF1_5_right_shap,549.9815427620947,3.7413248184651635e-120
184,SRSF7_5_right_shap,2578.700013907709,0.0
185,SRSF9_5_right_shap,12088.062648723871,0.0
186,SSB_5_right_shap,-4194304.0,1.0
187,STAU2_5_right_shap,-4194304.0,1.0
188,SUB1_5_right_shap,68509.23770299493,0.0
189,SUGP2_5_right_shap,2526.9107327171823,0.0
190,SUPV3L1_5_right_shap,980.9138584533175,9.937154122254526e-214
191,TAF15_5_right_shap,-4194304.0,1.0
192,TARDBP_5_right_shap,12502.615530653919,0.0
193,TBRG4_5_right_shap,-4194304.0,1.0
194,TIA1_5_right_shap,154.7279501963717,2.519141234820869e-34
195,TIAL1_5_right_shap,8072.781599386569,0.0
196,TRA2A_5_right_shap,21114.48065664221,0.0
197,TROVE2_5_right_shap,-4194304.0,1.0
198,U2AF1_5_right_shap,13042.007922645444,0.0
199,U2AF2_5_right_shap,89684.40572276198,0.0
200,UCHL5_5_right_shap,53930.22996782343,0.0
201,UPF1_5_right_shap,16229.661493580303,0.0
202,UTP18_5_right_shap,-4194304.0,1.0
203,WDR43_5_right_shap,1453.0357793008877,0.0
204,XPO5_5_right_shap,21987.072570571378,0.0
205,XRCC6_5_right_shap,-4194304.0,1.0
206,XRN2_5_right_shap,4531.040295825434,0.0
207,YBX3_5_right_shap,1788.8522960251144,0.0
208,ZC3H11A_5_right_shap,79481.56472860568,0.0
209,ZNF800_5_right_shap,32230.53660755177,0.0
210,AGGF1_center_left_shap,31782.62309426525,0.0
211,AKAP1_center_left_shap,856.4554237634044,1.0545513493406083e-186
212,AQR_center_left_shap,188312.73507141424,0.0
213,BCCIP_center_left_shap,-4194304.0,1.0
214,BCLAF1_center_left_shap,334492.16376085556,0.0
215,BUD13_center_left_shap,16548.991213845457,0.0
216,CDC40_center_left_shap,20037.72564994353,0.0
217,CSTF2_center_left_shap,7442.834922068006,0.0
218,CSTF2T_center_left_shap,83552.37551975949,0.0
219,DDX3X_center_left_shap,56624.05543485685,0.0
220,DDX52_center_left_shap,-4194304.0,1.0
221,DDX55_center_left_shap,-4194304.0,1.0
222,DDX59_center_left_shap,88704.45040330115,0.0
223,DDX6_center_left_shap,-4194304.0,1.0
224,DGCR8_center_left_shap,129316.94701397176,0.0
225,DHX30_center_left_shap,-4194304.0,1.0
226,DKC1_center_left_shap,37555.80310336169,0.0
227,DROSHA_center_left_shap,1372.888984054447,7.602299581178893e-299
228,EFTUD2_center_left_shap,86103.21108898999,0.0
229,EIF3D_center_left_shap,-4194304.0,1.0
230,EIF3H_center_left_shap,-4194304.0,1.0
231,EXOSC5_center_left_shap,123.69796032484076,1.3782538176629566e-27
232,FAM120A_center_left_shap,17807.177517963686,0.0
233,FASTKD2_center_left_shap,91222.29210252281,0.0
234,FKBP4_center_left_shap,37308.21863895193,0.0
235,FTO_center_left_shap,-4194304.0,1.0
236,FUBP3_center_left_shap,-4194304.0,1.0
237,FUS_center_left_shap,47796.62117697395,0.0
238,FXR2_center_left_shap,188371.19852059122,0.0
239,G3BP1_center_left_shap,132563.7652934819,0.0
240,GRSF1_center_left_shap,10455.856940016198,0.0
241,GRWD1_center_left_shap,193292.6856568664,0.0
242,GTF2F1_center_left_shap,24630.67733694999,0.0
243,HLTF_center_left_shap,79261.22121170156,0.0
244,HNRNPA1_center_left_shap,-4194304.0,1.0
245,HNRNPC_center_left_shap,19134.560147535693,0.0
246,HNRNPK_center_left_shap,1772.9828189926689,0.0
247,HNRNPL_center_left_shap,73506.04695056104,0.0
248,HNRNPM_center_left_shap,1052.318206160722,3.1045948235969693e-229
249,HNRNPU_center_left_shap,625.0980492720347,1.8267674994055807e-136
250,HNRNPUL1_center_left_shap,857.3985469437574,6.580685491876853e-187
251,IGF2BP1_center_left_shap,126050.03652009575,0.0
252,IGF2BP3_center_left_shap,-4194304.0,1.0
253,ILF3_center_left_shap,28.364372707286226,6.930342933390632e-07
254,KHSRP_center_left_shap,9795.739915966584,0.0
255,LARP4_center_left_shap,6280.400080416445,0.0
256,LARP7_center_left_shap,-4194304.0,1.0
257,LIN28B_center_left_shap,192964.96942649665,0.0
258,LSM11_center_left_shap,-4194304.0,1.0
259,MATR3_center_left_shap,-4194304.0,1.0
260,NCBP2_center_left_shap,40107.3849540575,0.0
261,NIP7_center_left_shap,10092.163357759182,0.0
262,NKRF_center_left_shap,50522.01616967901,0.0
263,NOL12_center_left_shap,-4194304.0,1.0
264,NOLC1_center_left_shap,57963.09827741091,0.0
265,NSUN2_center_left_shap,1823.9575269085544,0.0
266,PABPN1_center_left_shap,100169.77410519846,0.0
267,PCBP1_center_left_shap,9047.241048060454,0.0
268,PCBP2_center_left_shap,31258.82108060778,0.0
269,POLR2G_center_left_shap,-4194304.0,1.0
270,PPIG_center_left_shap,142048.42935525888,0.0
271,PRPF4_center_left_shap,60117.37928963839,0.0
272,PRPF8_center_left_shap,182300.91435413464,0.0
273,PTBP1_center_left_shap,12981.814948832605,0.0
274,QKI_center_left_shap,10807.32730463927,0.0
275,RBFOX2_center_left_shap,10026.810126638138,0.0
276,RBM15_center_left_shap,-4194304.0,1.0
277,RBM22_center_left_shap,268003.9068651201,0.0
278,RBM5_center_left_shap,7409.147517509156,0.0
279,RPS3_center_left_shap,41560.44021001355,0.0
280,SAFB_center_left_shap,-4194304.0,1.0
281,SDAD1_center_left_shap,-4194304.0,1.0
282,SF3A3_center_left_shap,52674.45659503956,0.0
283,SF3B4_center_left_shap,58476.56624261601,0.0
284,SFPQ_center_left_shap,-4194304.0,1.0
285,SLTM_center_left_shap,485.518899487901,3.7231501089049006e-106
286,SMNDC1_center_left_shap,-4194304.0,1.0
287,SND1_center_left_shap,108053.90166421137,0.0
288,SRSF1_center_left_shap,116926.9567553032,0.0
