,Feature,Cell Line,Significant Events,dPSI Local SHAP Concordance,MCC,True Positives,True Negatives,False Negatives,False Positives
41,ELAC2 Position 2,K562,7,0.0,0.0,0,0,7,0
42,TRA2A Position 6,K562,6,50.0,0.0,0,3,3,0
43,ZC3H11A Position 6,K562,6,50.0,0.31622776601683794,2,1,0,3
44,IGF2BP1 Position 5,HepG2,6,100.0,0.0,0,6,0,0
45,IGF2BP1 Position 5,K562,6,33.33333333333333,0.0,0,2,4,0
46,ELAC2 Position 4,K562,5,40.0,0.0,0,2,3,0
47,SRSF7 Position 2,K562,5,80.0,0.0,0,4,1,0
48,XRCC6 Position 2,K562,5,40.0,0.0,0,2,0,3
49,ELAVL1 Position 1,K562,5,40.0,0.0,0,2,3,0
50,ELAVL1 Position 6,K562,5,60.0,0.4082482904638631,2,1,0,2
51,FXR2 Position 3,K562,5,20.0,0.0,1,0,0,4
52,ELAVL1 Position 5,K562,5,20.0,0.0,0,1,4,0
53,FXR2 Position 4,K562,5,0.0,0.0,0,0,0,5
54,DROSHA Position 1,HepG2,5,40.0,0.0,2,0,0,3
55,DDX6 Position 3,K562,5,20.0,0.0,1,0,0,4
56,ZC3H11A Position 5,K562,4,50.0,0.0,2,0,0,2
57,ELAC2 Position 1,K562,4,0.0,0.0,0,0,4,0
58,DDX6 Position 5,K562,4,75.0,0.5773502691896258,2,1,0,1
59,FXR2 Position 4,HepG2,4,75.0,0.0,3,0,0,1
60,EIF4E Position 3,K562,4,0.0,0.0,0,0,0,4
61,RBM5 Position 4,HepG2,4,75.0,0.0,0,3,1,0
62,ZNF800 Position 5,K562,3,66.66666666666666,0.0,0,2,1,0
63,SRSF7 Position 1,K562,3,0.0,0.0,0,0,3,0
64,TRA2A Position 5,K562,3,66.66666666666666,0.0,2,0,1,0
65,IGF2BP1 Position 4,K562,3,0.0,0.0,0,0,0,3
66,IGF2BP1 Position 2,HepG2,3,33.33333333333333,0.0,0,1,2,0
67,SRSF7 Position 4,HepG2,3,100.0,0.0,3,0,0,0
68,SRSF7 Position 4,K562,3,0.0,0.0,0,0,3,0
69,ELAC2 Position 5,K562,3,33.33333333333333,0.0,1,0,2,0
70,EXOSC10 Position 2,K562,3,0.0,0.0,0,0,0,3
71,EXOSC5 Position 2,K562,3,33.33333333333333,0.0,1,0,0,2
72,ELAC2 Position 6,K562,3,100.0,0.0,3,0,0,0
73,DDX6 Position 2,K562,3,0.0,-1.0,0,0,2,1
74,CDC40 Position 6,HepG2,3,66.66666666666666,0.0,0,2,1,0
75,DGCR8 Position 4,K562,3,100.0,0.0,0,3,0,0
76,XRCC6 Position 1,K562,2,0.0,0.0,0,0,0,2
77,EIF3H Position 4,HepG2,2,50.0,0.0,1,0,0,1
78,DGCR8 Position 5,K562,2,0.0,0.0,0,0,0,2
79,DROSHA Position 3,HepG2,2,50.0,0.0,1,0,0,1
80,DGCR8 Position 3,K562,2,100.0,0.0,0,2,0,0
81,AGGF1 Position 5,HepG2,2,0.0,0.0,0,0,0,2
82,EXOSC10 Position 4,K562,2,0.0,0.0,0,0,0,2
83,EXOSC10 Position 5,K562,2,50.0,0.0,0,1,1,0
84,EXOSC10 Position 3,K562,2,100.0,0.0,0,2,0,0
85,MORC2 Position 1,K562,2,50.0,0.0,0,1,1,0
86,IGF2BP1 Position 4,HepG2,2,50.0,0.0,1,0,0,1
87,IGF2BP1 Position 1,K562,2,50.0,0.0,0,1,1,0
88,IGF2BP1 Position 2,K562,2,100.0,0.0,0,2,0,0
89,SRSF7 Position 3,K562,2,0.0,0.0,0,0,2,0
90,IGF2BP1 Position 6,HepG2,2,0.0,0.0,0,0,2,0
91,RBM5 Position 1,HepG2,2,50.0,0.0,0,1,1,0
92,RNF187 Position 6,K562,2,50.0,0.0,0,1,1,0
93,ZNF800 Position 6,K562,2,100.0,0.0,0,2,0,0
94,SAFB Position 6,K562,2,100.0,0.0,0,2,0,0
95,XRCC6 Position 3,K562,2,100.0,0.0,0,2,0,0
96,XRCC6 Position 5,K562,2,50.0,0.0,0,1,1,0
97,ELAC2 Position 3,K562,1,0.0,0.0,0,0,1,0
98,ADAT1 Position 6,K562,1,100.0,0.0,1,0,0,0
99,CDC40 Position 1,HepG2,1,100.0,0.0,0,1,0,0
100,DDX42 Position 5,K562,1,100.0,0.0,0,1,0,0
101,DDX6 Position 1,K562,1,0.0,0.0,0,0,1,0
102,DGCR8 Position 1,K562,1,100.0,0.0,0,1,0,0
103,DGCR8 Position 2,K562,1,0.0,0.0,0,0,0,1
104,DGCR8 Position 6,K562,1,100.0,0.0,0,1,0,0
105,DROSHA Position 5,HepG2,1,0.0,0.0,0,0,1,0
106,EIF3H Position 2,HepG2,1,0.0,0.0,0,0,1,0
107,EIF3H Position 3,HepG2,1,0.0,0.0,0,0,0,1
108,EIF3H Position 5,HepG2,1,100.0,0.0,1,0,0,0
109,FXR2 Position 3,HepG2,1,0.0,0.0,0,0,0,1
110,EXOSC5 Position 4,K562,1,100.0,0.0,0,1,0,0
111,EIF4E Position 5,K562,1,100.0,0.0,0,1,0,0
112,EIF4E Position 6,K562,1,100.0,0.0,0,1,0,0
113,IGF2BP1 Position 3,K562,1,0.0,0.0,0,0,0,1
114,NOLC1 Position 3,K562,1,0.0,0.0,0,0,0,1
115,NIPBL Position 4,K562,1,0.0,0.0,0,0,1,0
116,MORC2 Position 2,K562,1,0.0,0.0,0,0,0,1
117,RBM5 Position 3,HepG2,1,0.0,0.0,0,0,0,1
118,RPS6 Position 6,K562,1,100.0,0.0,0,1,0,0
119,SDAD1 Position 1,HepG2,1,0.0,0.0,0,0,0,1
120,SDAD1 Position 5,HepG2,1,0.0,0.0,0,0,1,0
121,RPS6 Position 5,K562,1,0.0,0.0,0,0,1,0
122,ZC3H11A Position 6,HepG2,1,0.0,0.0,0,0,1,0
123,ZNF800 Position 2,K562,1,100.0,0.0,0,1,0,0
124,ZNF800 Position 1,K562,1,100.0,0.0,0,1,0,0
