,Cell Line,SHAP Cutoff,Significant Events,dPSI Local SHAP Concordance,MCC
0,HepG2,0.0,140,52.293577981651374,0.001794560566479151
1,HepG2,0.05,35,62.857142857142854,0.23570226039551584
2,HepG2,0.1,30,56.666666666666664,0.1336306209562122
3,HepG2,0.2,18,55.55555555555556,0.1
4,K562,0.0,1800,46.14525139664805,0.05137651868476194
5,K562,0.05,1248,45.11217948717949,0.04236351705058684
6,K562,0.1,1099,45.49590536851683,0.033496714470899566
7,K562,0.2,599,59.26544240400668,0.10182642485182969
