Cell Line	Interaction Column	Feature 1	Feature 2	Both - #	Both - Mean	Both - Median	Both - Median Abs. Dev.	XOR_1st_Feature - #	XOR_1st_Feature - Mean	XOR_1st_Feature - Median	XOR_1st_Feature - Median Abs. Dev.	XOR_2nd_Feature - #	XOR_2nd_Feature - Mean	XOR_2nd_Feature - Median	XOR_2nd_Feature - Median Abs. Dev.
HepG2	RBM22_2-BUD13_3-interaction-shap	RBM22_2	BUD13_3	11763	0.9194388336308765	0.997	0.0030000000000000027	174075	0.7028561999138302	0.974	0.026000000000000023	102444	0.9685905567920035	1.0	0.0
HepG2	RBM22_2-BUD13_4-interaction-shap	RBM22_2	BUD13_4	5999	0.9337276212702117	0.999	0.0010000000000000009	179839	0.709321226207886	0.976	0.02400000000000002	68484	0.9570794200105135	1.0	0.0
HepG2	RBM22_2-BUD13_5-interaction-shap	RBM22_2	BUD13_5	15846	0.7686474820143885	0.982	0.018000000000000016	169992	0.7117103393100852	0.977	0.02300000000000002	132556	0.8136759256465191	0.991	0.009000000000000008
HepG2	RBM22_2-BUD13_6-interaction-shap	RBM22_2	BUD13_6	5238	0.8846040473463153	0.998	0.0020000000000000018	180600	0.7116915614617939	0.976	0.02400000000000002	64886	0.8250105261535616	0.993	0.007000000000000006
HepG2	RBM22_2-TIA1_2-interaction-shap	RBM22_2	TIA1_2	6058	0.6892195444040937	0.985	0.015000000000000013	179780	0.7174867059739681	0.977	0.02300000000000002	33529	0.7274117629514749	0.987	0.013000000000000012
HepG2	RBM22_2-TIA1_3-interaction-shap	RBM22_2	TIA1_3	732	0.8618620218579234	1.0	0.0	185106	0.7159906702105822	0.977	0.02300000000000002	5392	0.8265328264094955	0.991	0.009000000000000008
HepG2	RBM22_2-TIA1_4-interaction-shap	RBM22_2	TIA1_4	3811	0.5492655471004986	0.748	0.252	182027	0.7200679075082268	0.978	0.02200000000000002	26644	0.8259992118300555	0.99	0.010000000000000009
HepG2	RBM22_2-TIA1_5-interaction-shap	RBM22_2	TIA1_5	458	0.5411550218340612	0.9844999999999999	0.01550000000000007	185380	0.7169986136584315	0.978	0.02200000000000002	8787	0.8850052350062593	0.998	0.0020000000000000018
HepG2	RBM22_2-TIA1_6-interaction-shap	RBM22_2	TIA1_6	2866	0.7501919050942079	1.0	0.0	182972	0.7160385304855388	0.977	0.02300000000000002	35076	0.8134229957805907	0.995	0.0050000000000000044
HepG2	RBM22_3-BUD13_4-interaction-shap	RBM22_3	BUD13_4	787	0.9933036848792884	1.0	0.0	4079	0.6479051238048542	0.925	0.07499999999999996	73696	0.9547916983282675	1.0	0.0
HepG2	RBM22_3-BUD13_5-interaction-shap	RBM22_3	BUD13_5	514	0.7539494163424124	0.992	0.008000000000000007	4352	0.6978412224264706	0.96	0.040000000000000036	147888	0.8090587742075083	0.991	0.009000000000000008
HepG2	RBM22_3-BUD13_6-interaction-shap	RBM22_3	BUD13_6	379	0.9520976253298152	0.971	0.029000000000000026	4487	0.6827925117004681	0.968	0.03200000000000003	69745	0.8287955265610438	0.994	0.006000000000000005
