	Counts
ENSE00003572262	182
ENSE00000469824	182
ENSE00003618487	181
ENSE00003469970	181
ENSE00003513746	181
ENSE00003663057	181
ENSE00002511387	181
ENSE00002530352	181
ENSE00003508263	180
ENSE00003497057	180
ENSE00000806712	180
ENSE00003539182	179
ENSE00000661496	179
ENSE00002357787	179
ENSE00003520435	179
ENSE00003615596	179
ENSE00003690217	179
ENSE00003690844	178
ENSE00003644735	178
ENSE00000977120	178
ENSE00003689850	178
ENSE00003566519	178
ENSE00003490916	178
ENSE00003691020	177
ENSE00003620489	177
ENSE00003467265	177
ENSE00003480994	177
ENSE00003789058	177
ENSE00001795056	177
ENSE00003659598	176
ENSE00003596983	176
ENSE00003682516	176
ENSE00003498289	176
ENSE00003785343	176
ENSE00003636915	176
ENSE00000726899	176
ENSE00001621494	176
ENSE00003808199	176
ENSE00001716871	176
ENSE00000916510	175
ENSE00001312059	175
ENSE00000824110	175
ENSE00003591158	175
ENSE00003663741	175
ENSE00003520636	174
ENSE00003604192	174
ENSE00000877303	174
ENSE00003626434	173
ENSE00001327146	173
ENSE00003560532	173
ENSE00003617429	172
ENSE00001750260	172
ENSE00003707733	172
ENSE00003483960	172
ENSE00003587139	171
ENSE00003675499	171
ENSE00001397913	171
ENSE00000966678	171
ENSE00003671431	170
ENSE00001225019	169
ENSE00003465018	169
ENSE00003732867	169
ENSE00002964859	169
ENSE00003464793	168
ENSE00003540710	168
ENSE00003685110	168
ENSE00003501803	168
ENSE00003674645	168
ENSE00003476062	168
ENSE00003803477	168
ENSE00003521988	168
ENSE00003600538	168
ENSE00002488255	168
ENSE00003574275	167
ENSE00001689880	167
ENSE00001329066	167
ENSE00003530035	167
ENSE00003608941	167
ENSE00003658747	167
ENSE00003813581	166
ENSE00003703546	166
ENSE00003634848	166
ENSE00003606346	166
ENSE00002310931	165
ENSE00001065030	165
ENSE00003510234	165
ENSE00003646978	165
ENSE00003645259	165
ENSE00003539976	165
ENSE00003501421	165
ENSE00003612538	165
ENSE00002506993	165
ENSE00003691939	165
ENSE00003521880	164
ENSE00003528449	164
ENSE00003731415	164
ENSE00003588703	164
ENSE00003502458	164
ENSE00003601208	164
ENSE00003591855	164
ENSE00003650549	164
ENSE00000937516	163
ENSE00003548317	163
ENSE00003652321	162
ENSE00003790091	162
ENSE00001200707	162
ENSE00003548310	162
ENSE00001241097	162
ENSE00003709233	162
ENSE00001096840	162
ENSE00000966680	162
ENSE00003744933	162
ENSE00000753906	162
ENSE00003562357	162
ENSE00003554113	161
ENSE00003636305	161
ENSE00001096825	161
ENSE00000797897	161
ENSE00003661691	161
ENSE00003479117	161
ENSE00001761753	161
ENSE00003491296	161
ENSE00003596339	161
ENSE00003470644	160
ENSE00000789775	160
ENSE00003646448	160
ENSE00002170563	160
ENSE00003490351	160
ENSE00000992117	160
ENSE00001243796	159
ENSE00001377801	159
ENSE00003665992	159
ENSE00003608400	159
ENSE00001278900	159
ENSE00003790776	159
ENSE00003530819	159
ENSE00003787538	158
ENSE00003488500	158
ENSE00000927450	158
ENSE00003555294	158
ENSE00003536057	158
ENSE00003538112	157
ENSE00003484744	157
ENSE00000914155	157
ENSE00003608716	157
ENSE00003603687	157
ENSE00000905040	157
ENSE00003489488	157
ENSE00001106634	157
ENSE00003627608	157
ENSE00003514719	156
ENSE00003515047	156
ENSE00001693302	156
ENSE00001225900	156
ENSE00000937518	156
ENSE00003596463	156
ENSE00001155301	156
ENSE00003618249	156
ENSE00001149282	156
ENSE00003813803	155
ENSE00003532094	155
ENSE00001098423	155
ENSE00003471630	155
ENSE00003671662	155
ENSE00003674711	155
ENSE00001169998	155
ENSE00003676610	155
ENSE00003647587	155
ENSE00003811878	154
ENSE00003511359	154
ENSE00003531215	154
ENSE00000914150	154
ENSE00003546707	154
ENSE00003624841	154
ENSE00002344967	154
ENSE00003672498	154
ENSE00003681882	154
ENSE00003499188	154
ENSE00003534669	154
ENSE00003635244	154
ENSE00003580067	154
ENSE00003791180	154
ENSE00003717788	154
ENSE00003524045	154
ENSE00003676901	154
ENSE00001857647	154
ENSE00003461951	154
ENSE00003663003	153
ENSE00001103056	153
ENSE00003684852	152
ENSE00003790808	152
ENSE00003537426	152
ENSE00000961112	152
ENSE00000961110	152
ENSE00001278908	151
ENSE00003627522	151
ENSE00001278113	151
ENSE00003743210	151
ENSE00003488475	151
ENSE00003557379	151
ENSE00003605334	151
ENSE00003472286	151
ENSE00003480546	150
ENSE00003499308	150
ENSE00003567977	150
ENSE00003638914	150
ENSE00003486115	150
ENSE00003694960	150
ENSE00003483158	150
ENSE00001281378	150
ENSE00000360900	150
ENSE00003604190	150
ENSE00003505512	150
ENSE00003607433	150
ENSE00000888732	150
ENSE00003639784	150
ENSE00001403460	150
ENSE00002342555	150
ENSE00003515324	150
ENSE00003635066	150
ENSE00003503943	150
ENSE00003565564	149
ENSE00002193875	149
ENSE00003519404	149
ENSE00001739773	149
ENSE00003573765	149
ENSE00001191187	148
ENSE00003632670	148
ENSE00001729072	148
ENSE00002320116	148
ENSE00003655474	147
ENSE00003635842	147
ENSE00000804315	147
ENSE00000987987	147
ENSE00003585379	147
ENSE00001209510	147
ENSE00003604838	146
ENSE00000660171	146
ENSE00003464047	146
ENSE00003657056	146
ENSE00003565049	146
ENSE00002230621	146
ENSE00001289538	146
ENSE00003785134	146
ENSE00003608398	146
ENSE00003654637	146
ENSE00003695898	145
ENSE00000910604	145
ENSE00000837128	145
ENSE00003629539	145
ENSE00003438742	145
ENSE00003638701	145
ENSE00003785663	144
ENSE00003490451	144
ENSE00001105702	144
ENSE00001716454	144
ENSE00003739880	144
ENSE00000364881	144
ENSE00003698992	144
ENSE00002180535	144
ENSE00001370988	144
ENSE00003573113	144
ENSE00003641976	143
ENSE00003483971	143
ENSE00003559410	143
ENSE00003610183	143
ENSE00003800278	143
ENSE00003652577	143
ENSE00003528515	143
ENSE00001158910	143
ENSE00001796190	142
ENSE00001006104	142
ENSE00003609617	142
ENSE00001375565	142
ENSE00002140508	142
ENSE00003474851	142
ENSE00001242451	142
ENSE00003537902	141
ENSE00003655254	140
ENSE00003531550	140
ENSE00003580253	140
ENSE00002730111	140
ENSE00000753908	140
ENSE00000466125	140
ENSE00003588196	140
ENSE00003496994	140
ENSE00001342944	140
ENSE00001200706	140
ENSE00003607941	140
ENSE00003572997	140
ENSE00002700431	140
ENSE00003810324	140
ENSE00003651658	140
ENSE00003552849	140
ENSE00003531830	140
ENSE00003460189	140
ENSE00003593572	140
ENSE00000811965	139
ENSE00003715642	139
ENSE00003786282	139
ENSE00003677844	139
ENSE00001128613	139
ENSE00002310214	139
ENSE00001286304	139
ENSE00000989277	139
ENSE00001725035	139
ENSE00003481560	139
ENSE00003487919	139
ENSE00003548097	138
ENSE00003604760	138
ENSE00003803850	138
ENSE00001098495	138
ENSE00003471478	138
ENSE00003585086	138
ENSE00003717628	138
ENSE00003640155	138
ENSE00003602894	138
ENSE00003568982	138
ENSE00003573444	138
ENSE00000993106	138
ENSE00003580654	138
ENSE00003693073	138
ENSE00003531613	138
ENSE00003478740	137
ENSE00001672243	137
ENSE00001248835	137
