Interaction Term	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value
APOBEC3C-4_PCBP1-1_interaction	39.0	0.7266025641025641	12860.0	0.7670849533437014	-0.04048238924113734	-0.14074845647390602	0.01227024531641462							
APOBEC3C-4_PCBP1-2_interaction	70.0	0.8474214285714285	21965.0	0.7305137491463692	0.11690767942505931	-0.013960010005056995	0.7400258239782591							
APOBEC3C-4_PCBP1-3_interaction	8.0	0.9986875	14248.0	0.7806756386861314	0.21801186131386852	0.10079834952292034	0.4142103320723748							
APOBEC3C-4_PCBP1-4_interaction	132.0	0.9777121212121211	16766.0	0.8356689132768697	0.1420432079352515	-0.009744733408807004	0.7527691796171743							
APOBEC3C-4_PCBP1-5_interaction	20.0	0.9988000000000001	13638.0	0.8086131764188298	0.19018682358117034	0.0616484894091843	0.43065964702706017							
APOBEC3C-4_PCBP1-6_interaction	33.0	0.9988181818181818	18737.0	0.7510971873832524	0.24772099443492945	0.12180174745319304	0.045807098127949857							
APOBEC3C-5_HNRNPK-1_interaction	0.0		15933.0	0.6973660327621917										
APOBEC3C-5_HNRNPK-2_interaction	0.0		17989.0	0.7061099004947468										
APOBEC3C-5_HNRNPK-3_interaction	0.0		28856.0	0.6628276614915443										
APOBEC3C-5_HNRNPK-4_interaction	0.0		23896.0	0.6434995815199196										
APOBEC3C-5_HNRNPK-5_interaction	3.0	0.9978333333333333	22529.0	0.7406560211283235	0.25717731220500983	0.2741523658920267	0.17357741829944856							
APOBEC3C-5_HNRNPK-6_interaction	0.0		16373.0	0.7420251633787333										
APOBEC3C-5_PCBP1-1_interaction	1.0	1.0	13112.0	0.689608259609518	0.310391740390482	0.3420614529476252	0.3268558040728802							
APOBEC3C-5_PCBP1-2_interaction	18.0	0.9993055555555556	22245.0	0.685599213306361	0.3137063422491946	0.347543922996302	2.471356625515323e-05							
APOBEC3C-5_PCBP1-3_interaction	2.0	0.99975	14436.0	0.7105709684123026	0.2891790315876974	0.30973573177801594	0.2093506446484693							
APOBEC3C-5_PCBP1-4_interaction	1.0	1.0	17204.0	0.7782897581957684	0.2217102418042316	0.21664401984270093	0.5345322249248041							
APOBEC3C-5_PCBP1-5_interaction	37.0	0.8936081081081081	13780.0	0.7347204281567488	0.15888767995135933	0.1656720907978604	0.004074718995130671							
APOBEC3C-5_PCBP1-6_interaction	29.0	0.868810344827586	18921.0	0.6982503567464722	0.17055998808111383	0.19988016715054754	0.00211488102594765							
APOBEC3C-6_HNRNPK-1_interaction	0.0		20124.0	0.6975912095010932										
APOBEC3C-6_HNRNPK-2_interaction	0.0		22180.0	0.7046620153291253										
APOBEC3C-6_HNRNPK-3_interaction	0.0		33047.0	0.6673449178442823										
APOBEC3C-6_HNRNPK-4_interaction	5.0	0.9994	28077.0	0.6515747586992913	0.3478252413007087	0.39659573847939616	0.011022487034830858							
APOBEC3C-6_HNRNPK-5_interaction	8.0	0.9988125	26710.0	0.7339362785473604	0.26487622145263956	0.27118631278191735	0.027982697681108767							
APOBEC3C-6_HNRNPK-6_interaction	11.0	0.9989545454545454	20542.0	0.7328591909259079	0.26609535452863753	0.26182901246360996	0.012886827682540404							
APOBEC3C-6_PCBP1-1_interaction	0.0		17305.0	0.6917848020803236										
APOBEC3C-6_PCBP1-2_interaction	23.0	0.999217391304348	26426.0	0.6875182774540224	0.31169911385032556	0.34309727187101846	2.49860759929998e-06							
APOBEC3C-6_PCBP1-3_interaction	579.0	0.24008031088082898	17473.0	0.7389103760086991	-0.49883006512787015	-0.5163047082268429	1.4848193841647169e-245							
APOBEC3C-6_PCBP1-4_interaction	395.0	0.14660379746835445	20607.0	0.7862897316445867	-0.6396859341762322	-0.6879418875611842	0.0							
APOBEC3C-6_PCBP1-5_interaction	49.0	0.9221224489795918	17947.0	0.7258817072491224	0.19624074173046946	0.1901309584003533	0.00014773877909704747							
APOBEC3C-6_PCBP1-6_interaction	181.0	0.9763342541436465	22808.0	0.6943066248684673	0.2820276292751792	0.3112154213039396	3.532750376339885e-32							
CPEB4-1_CSTF2T-1_interaction	9.0	0.990388888888889	10687.0	0.658533639000655	0.331855249888234	0.32363432050546637	0.005720145962118885							
CPEB4-1_CSTF2T-2_interaction	0.0		19416.0	0.6118257622579316										
CPEB4-1_CSTF2T-3_interaction	158.0	0.06350316455696202	23846.0	0.6681874108865218	-0.6046842463295597	-0.8255302038163594	5.530404630239697e-148							
CPEB4-1_CSTF2T-4_interaction	0.0		17841.0	0.5667990022980774										
CPEB4-1_CSTF2T-5_interaction	0.0		24810.0	0.6581464328899637										
CPEB4-1_CSTF2T-6_interaction	0.0		11048.0	0.7154302136133236										
CPEB4-2_CSTF2T-1_interaction	9.0	0.990388888888889	10301.0	0.6520560139792253	0.3383328749096637	0.46275594612549825	9.096578676021361e-05							
CPEB4-2_CSTF2T-2_interaction	0.0		19030.0	0.6073719915922229										
CPEB4-2_CSTF2T-3_interaction	0.0		23776.0	0.6575010094212652										
CPEB4-2_CSTF2T-4_interaction	0.0		17455.0	0.5609476367802921										
CPEB4-2_CSTF2T-5_interaction	0.0		24424.0	0.6554083278742221										
CPEB4-2_CSTF2T-6_interaction	0.0		10662.0	0.7112317576439693										
CPEB4-3_CSTF2T-1_interaction	0.0		10093.0	0.655625681165164										
CPEB4-3_CSTF2T-2_interaction	0.0		18804.0	0.6084270899808552										
CPEB4-3_CSTF2T-3_interaction	23.0	0.9941521739130436	23504.0	0.6581682692307692	0.33598390468227435	0.06586844314881984	0.49890323186125896							
CPEB4-3_CSTF2T-4_interaction	0.0		17229.0	0.5614902199779441										
CPEB4-3_CSTF2T-5_interaction	0.0		24198.0	0.6566768741218283										
CPEB4-3_CSTF2T-6_interaction	0.0		10436.0	0.715382042928325										
CPEB4-4_CSTF2T-1_interaction	0.0		10307.0	0.6619589599301445										
CPEB4-4_CSTF2T-2_interaction	0.0		19018.0	0.6123905773477758										
CPEB4-4_CSTF2T-3_interaction	8.0	0.997625	23748.0	0.661316195048004	0.336308804951996	0.09523457909706443	0.44694200486031765							
CPEB4-4_CSTF2T-4_interaction	117.0	0.9537948717948718	17209.0	0.561119646696496	0.3926752250983757	0.14116173188165965	0.0010657524568389348							
CPEB4-4_CSTF2T-5_interaction	0.0		24412.0	0.6593416352613469										
CPEB4-4_CSTF2T-6_interaction	0.0		10650.0	0.7203106103286384										
CPEB4-5_CSTF2T-1_interaction	0.0		10207.0	0.6460835211129617										
CPEB4-5_CSTF2T-2_interaction	0.0		18918.0	0.6035631409239878										
CPEB4-5_CSTF2T-3_interaction	0.0		23664.0	0.6546933105138607										
CPEB4-5_CSTF2T-4_interaction	0.0		17343.0	0.5564930807818717										
CPEB4-5_CSTF2T-5_interaction	0.0		24312.0	0.652665823461665										
CPEB4-5_CSTF2T-6_interaction	0.0		10550.0	0.7055044075829384										
CPEB4-6_CSTF2T-1_interaction	0.0		10219.0	0.6597712594187298										
CPEB4-6_CSTF2T-2_interaction	0.0		18930.0	0.6109791600633915										
CPEB4-6_CSTF2T-3_interaction	0.0		23676.0	0.6605968280114884										
CPEB4-6_CSTF2T-4_interaction	0.0		17355.0	0.5646146643618554										
