Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	All-Data	DDX3X_1_shap	1e-09	100.0
HepG2	All-Data	DDX3X_1_shap	1e-08	100.0
HepG2	All-Data	DDX3X_1_shap	1e-07	100.0
HepG2	All-Data	DDX3X_1_shap	1e-06	100.0
HepG2	All-Data	DDX3X_1_shap	1e-05	99.9999151304392
HepG2	All-Data	DDX3X_1_shap	0.0001	99.9952473045958
HepG2	All-Data	DDX3X_1_shap	0.001	99.94920556786754
HepG2	All-Data	DDX3X_1_shap	0.01	96.43501166426026
HepG2	All-Data	DDX3X_1_shap	0.05	4.984537826893678
HepG2	All-Data	DDX3X_1_shap	0.1	4.880763571438422
HepG2	All-Data	DDX52_1_shap	1e-10	0.0
HepG2	All-Data	DDX52_1_shap	1e-09	0.0
HepG2	All-Data	DDX52_1_shap	1e-08	0.0
HepG2	All-Data	DDX52_1_shap	1e-07	0.0
HepG2	All-Data	DDX52_1_shap	1e-06	0.0
HepG2	All-Data	DDX52_1_shap	1e-05	0.0
HepG2	All-Data	DDX52_1_shap	0.0001	0.0
HepG2	All-Data	DDX52_1_shap	0.001	0.0
HepG2	All-Data	DDX52_1_shap	0.01	0.0
HepG2	All-Data	DDX52_1_shap	0.05	0.0
HepG2	All-Data	DDX52_1_shap	0.1	0.0
HepG2	All-Data	DDX55_1_shap	1e-10	100.0
HepG2	All-Data	DDX55_1_shap	1e-09	100.0
HepG2	All-Data	DDX55_1_shap	1e-08	100.0
HepG2	All-Data	DDX55_1_shap	1e-07	100.0
HepG2	All-Data	DDX55_1_shap	1e-06	100.0
HepG2	All-Data	DDX55_1_shap	1e-05	100.0
HepG2	All-Data	DDX55_1_shap	0.0001	0.7493133522097382
HepG2	All-Data	DDX55_1_shap	0.001	0.7493133522097382
HepG2	All-Data	DDX55_1_shap	0.01	0.10279825550617797
HepG2	All-Data	DDX55_1_shap	0.05	0.06278225759396916
HepG2	All-Data	DDX55_1_shap	0.1	0.014385390553805711
HepG2	All-Data	DDX59_1_shap	1e-10	100.0
HepG2	All-Data	DDX59_1_shap	1e-09	100.0
HepG2	All-Data	DDX59_1_shap	1e-08	100.0
HepG2	All-Data	DDX59_1_shap	1e-07	100.0
HepG2	All-Data	DDX59_1_shap	1e-06	100.0
HepG2	All-Data	DDX59_1_shap	1e-05	100.0
HepG2	All-Data	DDX59_1_shap	0.0001	6.463029228015866
HepG2	All-Data	DDX59_1_shap	0.001	0.6261464021141008
HepG2	All-Data	DDX59_1_shap	0.01	0.4420855421520587
HepG2	All-Data	DDX59_1_shap	0.05	0.09602990803322219
HepG2	All-Data	DDX59_1_shap	0.1	0.07092973542975294
HepG2	All-Data	DDX6_1_shap	1e-10	0.0
HepG2	All-Data	DDX6_1_shap	1e-09	0.0
HepG2	All-Data	DDX6_1_shap	1e-08	0.0
HepG2	All-Data	DDX6_1_shap	1e-07	0.0
HepG2	All-Data	DDX6_1_shap	1e-06	0.0
HepG2	All-Data	DDX6_1_shap	1e-05	0.0
HepG2	All-Data	DDX6_1_shap	0.0001	0.0
HepG2	All-Data	DDX6_1_shap	0.001	0.0
HepG2	All-Data	DDX6_1_shap	0.01	0.0
HepG2	All-Data	DDX6_1_shap	0.05	0.0
HepG2	All-Data	DDX6_1_shap	0.1	0.0
