Cell Line,Column,Column Type,Sorted RBP Pair,RBP 1,Position 1,RBP 2,Position 2,# UBPs - Signed-Local-SHAP-Mean-Bound-Only,Value - Signed-Local-SHAP-Mean-Bound-Only,Rec-Y2H,Street et al | IP-MS,Street et al | IP/SEC-MS (Both),Rec-Y2H/Street et al. IP-MS (Union)
K562,IGF2BP1_2-PTBP1_2-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,2,16,0.0,Same-Position,False,False,Same-Position
K562,IGF2BP1_2-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,4,1,0.0,Different-Position,False,False,Different-Position
K562,PTBP1_2-IGF2BP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,3,16,0.0,Different-Position,False,False,Different-Position
K562,PTBP1_2-IGF2BP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,4,21,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_4-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,4,PTBP1,5,11,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_4-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,4,PTBP1,6,6,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_2-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,5,16,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_2-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,6,7,0.0,Different-Position,False,False,Different-Position
K562,PTBP1_2-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,5,24,0.0,Different-Position,False,False,Different-Position
K562,PTBP1_2-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,6,14,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_3-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,5,1,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_4-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,4,PTBP1,4,32,0.0,Same-Position,False,False,Same-Position
K562,PTBP1_3-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,3,IGF2BP1,6,33,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_5-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,5,PTBP1,5,30,0.0,Same-Position,False,False,Same-Position
K562,PTBP1_4-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,4,IGF2BP1,6,3,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_4-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,4,PTBP1,5,23,0.0,Different-Position,False,False,Different-Position
K562,PTBP1_4-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,4,IGF2BP1,5,24,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_6-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,6,PTBP1,6,4,0.0,Same-Position,False,False,Same-Position
K562,IGF2BP1_3-PTBP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,3,2,-0.0414995849132537,Same-Position,False,False,Same-Position
K562,PTBP1_3-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,3,IGF2BP1,5,18,-0.0757962241768837,Different-Position,False,False,Different-Position
K562,IGF2BP1_1-PTBP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,3,5,-0.0799628868699073,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_1-PTBP1_1-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,1,0,,Same-Position,False,False,Same-Position
HepG2,IGF2BP1_1-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,4,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_1-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,5,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_1-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,6,0,,Different-Position,False,False,Different-Position
HepG2,PTBP1_1-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,6,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_2-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,6,0,,Different-Position,False,False,Different-Position
HepG2,PTBP1_2-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,6,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_3-PTBP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,3,0,,Same-Position,False,False,Same-Position
HepG2,IGF2BP1_3-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,6,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_4-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,4,PTBP1,6,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_5-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,5,PTBP1,5,0,,Same-Position,False,False,Same-Position
HepG2,IGF2BP1_5-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,5,PTBP1,6,0,,Different-Position,False,False,Different-Position
HepG2,PTBP1_5-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,5,IGF2BP1,6,0,,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_6-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,6,PTBP1,6,0,,Same-Position,False,False,Same-Position
K562,IGF2BP1_1-PTBP1_1-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,1,0,,Same-Position,False,False,Same-Position
K562,IGF2BP1_1-PTBP1_2-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,2,0,,Different-Position,False,False,Different-Position
K562,PTBP1_1-IGF2BP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,3,0,,Different-Position,False,False,Different-Position
K562,IGF2BP1_1-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,4,0,,Different-Position,False,False,Different-Position
K562,IGF2BP1_3-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,4,0,,Different-Position,False,False,Different-Position
K562,IGF2BP1_3-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,6,0,,Different-Position,False,False,Different-Position
K562,IGF2BP1_5-PTBP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,5,PTBP1,6,0,,Different-Position,False,False,Different-Position
K562,PTBP1_5-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,5,IGF2BP1,6,0,,Different-Position,False,False,Different-Position
