Data Partition	Model	Cell Line	Feature Pair	# Rows - Both Bound	# Rows - Either Bound	R2 - Both	R2 - Either	Difference R2 - (Both vs. Either)
All	xgboost	HepG2	EIF3D_4-FXR2_4	569	28817	0.7053027192284274	-0.026494788674271907	0.7317975079026993
All	xgboost	HepG2	FAM120A_3-RBM15_5	65	19010	0.9950218607810242	0.2639852150577855	0.7310366457232387
All	xgboost	K562	PABPC4_4-YBX3_4	6425	138212	0.9064431992821123	0.17938449950524205	0.7270586997768702
All	xgboost	HepG2	DKC1_5-SRSF7_5	338	5714	0.9736255589897278	0.24879566163634226	0.7248298973533855
All	xgboost	K562	ADAT1_3-AKAP8L_3	114	7499	0.9039339290883883	0.17959053226173505	0.7243433968266533
All	xgboost	HepG2	NOLC1_6-QKI_5	365	15497	0.9444837019576611	0.2204563163625759	0.7240273855950852
All	xgboost	K562	AKAP8L_3-MORC2_3	71	8695	0.8916969194421993	0.1684345713529818	0.7232623480892175
All	xgboost	HepG2	NOLC1_5-QKI_5	364	17930	0.9442198011054667	0.22197221783349108	0.7222475832719756
All	xgboost	K562	SSB_5-ZC3H8_3	287	3516	0.6563706049392276	-0.06462407029001493	0.7209946752292425
All	xgboost	K562	DHX30_2-FAM120A_4	32	4237	0.9382998717648955	0.22105262086381094	0.7172472509010845
All	xgboost	K562	DHX30_2-GEMIN5_3	96	9261	0.9346244893893867	0.22296331244549294	0.7116611769438937
All	xgboost	HepG2	GTF2F1_3-SRSF7_3	283	17214	0.9766646141999511	0.26715199873161244	0.7095126154683387
All	xgboost	HepG2	IGF2BP1_3-IGF2BP1_4	4421	12834	0.7983540790806675	0.09186205775365563	0.7064920213270118
All	xgboost	HepG2	CDC40_5-U2AF1_5	179	18928	0.9648105868143577	0.2598016780628608	0.7050089087514969
All	xgboost	K562	PUM2_4-RPS3_4	499	31208	0.7815073769725756	0.07799757774506666	0.7035097992275089
All	xgboost	K562	FAM120A_2-FAM120A_3	546	6018	0.8432399666865882	0.13990909302949806	0.7033308736570901
All	xgboost	HepG2	DKC1_5-RBM5_3	60	14241	0.9887698457809754	0.28742050669552166	0.7013493390854537
All	xgboost	K562	EEF2_4-GARS_4	503	1087	0.9621813189917675	0.26098897975721014	0.7011923392345574
All	xgboost	HepG2	NIP7_3-NIP7_5	1276	4393	0.7896994831670185	0.0888080001463376	0.7008914830206809
All	xgboost	HepG2	FAM120A_3-SRSF7_3	346	16923	0.8958727178318571	0.19716125942007412	0.698711458411783
All	xgboost	K562	FXR1_4-TROVE2_4	40	27754	0.5256490559007458	-0.17057440586961925	0.6962234617703651
All	xgboost	K562	TBRG4_5-UTP18_5	284	2037	0.7681858056623552	0.07497927951117589	0.6932065261511793
All	xgboost	HepG2	DROSHA_2-GTF2F1_4	111	11948	0.9261520964395012	0.23312395678219144	0.6930281396573098
All	xgboost	K562	DHX30_2-RBFOX2_3	69	26063	0.9851477631465198	0.2922714946855075	0.6928762684610122
All	xgboost	HepG2	DKC1_4-TARDBP_5	85	17522	0.9968229333031262	0.3039481123820833	0.6928748209210429
All	xgboost	HepG2	CDC40_3-SRSF7_3	197	7100	0.9780668691446422	0.28609036393567233	0.6919765052089699
All	xgboost	K562	METAP2_3-PABPC4_3	1071	20728	0.9271224662003743	0.23549565418775786	0.6916268120126164
All	xgboost	HepG2	STAU2_4-TARDBP_5	91	16818	0.9955143441787846	0.30528719445089925	0.6902271497278853
All	xgboost	HepG2	SUB1_5-U2AF1_2	807	26149	0.95091797657289	0.26144377417624143	0.6894742023966486
All	xgboost	HepG2	DROSHA_2-TARDBP_2	125	11634	0.9732141957829495	0.28384313093664093	0.6893710648463086
All	xgboost	HepG2	FKBP4_3-NKRF_3	252	9165	0.8853946788520423	0.19713314229551038	0.6882615365565319
All	xgboost	HepG2	RBM15_5-TARDBP_5	149	20438	0.9939231303409187	0.3069148579766241	0.6870082723642946
