Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	% Rows - RBP 1 Bound	% Rows - RBP 2 Bound	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 2 Beta Coefficient	RBP 2 Param P-value	Interaction Beta Coefficient	Interaction Param P-value
All	HepG2	PCBP1-RBFOX2	2	28606	16.646857302663776	84.283017548766	0.9298748514297699	-512130761114.54956	0.31970715887097756	512130761115.2644	0.3197071588703038	512130761115.2555	0.31970715887030854	-512130761115.04034	0.3197071588705117
All	HepG2	PCBP1-RBFOX2	3	48140	7.931034482758621	93.62068965517241	1.5517241379310345	-62946235404.5693	0.36209995049919963	62946235405.253815	0.36209995049397037	62946235405.22833	0.36209995049416255	-62946235405.10573	0.3620999504950976
All	HepG2	PCBP1-RBFOX2	6	18963	24.241944839951486	77.5562938353636	1.7982386753150872	-242550582405.46384	0.7914956373140728	242550582406.17456	0.7914956373134752	242550582406.15717	0.7914956373134909	-242550582405.8909	0.7914956373137164
All	HepG2	PCBP2-QKI	3	46117	50.879285296094714	50.38055380879069	1.2598391048854	640514966048.1416	0.1720433041430007	-640514966047.507	0.17204330414342514	-640514966047.5986	0.17204330414336613	640514966047.344	0.17204330414354008
All	HepG2	PCBP2-QKI	5	31811	56.75080946842287	43.714438401810696	0.46524787023356706	-409677955416.29596	0.1285024790529298	409677955416.9569	0.12850247905231363	409677955416.9039	0.1285024790523586	-409677955416.62695	0.12850247905261533
All	HepG2	PCBP2-RBFOX2	1	27508	38.16707866802385	64.62483641122583	2.791915079249673	-307614863825.86176	0.37022275696121965	307614863826.5878	0.37022275696008555	307614863826.639	0.3702227569600104	-307614863826.5957	0.37022275696008045
All	HepG2	PCBP2-RBFOX2	3	66246	35.41949702623555	68.0327868852459	3.4522839114814476	-102923507425.51303	0.2746501593195857	102923507426.15543	0.27465015931658643	102923507426.17151	0.27465015931650727	-102923507426.09503	0.2746501593168642
All	HepG2	PCBP2-RBFOX2	5	57626	31.327872835178567	72.11154687120397	3.4394197063825356	-257913167622.93915	0.22606305930291978	257913167623.59332	0.22606305930174392	257913167623.61417	0.22606305930170104	-257913167623.59482	0.22606305930173642
All	HepG2	PTBP1-QKI	4	26046	29.198341395991704	72.36043922291331	1.5587806189050142	-186264234641.35303	0.7299034004621754	186264234641.86407	0.729903400461464	186264234641.82407	0.7299034004615179	-186264234641.68915	0.7299034004617053
All	HepG2	QKI-RBFOX2	1	25702	32.009182164812074	69.16582367130962	1.1750058361217026	1018028505567.1426	0.046159043027248534	-1018028505566.478	0.04615904302738988	-1018028505566.3738	0.046159043027412305	1018028505566.4419	0.0461590430273981
All	HepG2	QKI-RBFOX2	3	66355	35.01469369301484	67.92103081907919	2.9357245120940396	281442322478.9466	0.13099001748459166	-281442322478.40045	0.13099001748534267	-281442322478.2782	0.13099001748550862	281442322478.1901	0.13099001748562827
All	HepG2	QKI-RBFOX2	4	46553	40.48503855820248	62.28384851674436	2.768887074946835	167959422385.3439	0.2684054863346922	-167959422384.85873	0.2684054863360717	-167959422384.67194	0.2684054863366009	167959422384.5291	0.2684054863370061
All	HepG2	QKI-RBFOX2	5	54697	25.423697826206194	75.9730881035523	1.3967859297584877	649496647609.9698	0.1007539141307263	-649496647609.356	0.10075391413105081	-649496647609.3004	0.10075391413107791	649496647609.2373	0.10075391413111257
All	HepG2	RBFOX2-SF3B4	1	84784	20.967399509341387	82.59459331949425	3.561992828835629	35495209132.2306	0.9137614205943663	-35495209131.4683	0.9137614205962106	-35495209131.47471	0.9137614205961956	35495209131.4843	0.9137614205961724
All	HepG2	RBFOX2-SF3B4	2	136155	17.70775953876097	85.45995372920568	3.1677132679666555	0.5360420666079395	0.0	0.17781672512817445	0.0	0.17094011465851738	0.0	-0.1872852268212466	0.0
All	HepG2	RBFOX2-SF3B4	3	118734	37.95795644044671	67.18126231744908	5.139218757895801	71330213498.85239	0.2821514986488194	-71330213498.21254	0.2821514986531423	-71330213498.01091	0.28215149865450284	71330213498.17854	0.2821514986533726
All	HepG2	RBFOX2-SF3B4	4	104279	27.805214856298967	75.88680367092128	3.6920185272202457	-112814578697.89891	0.5472929439818974	112814578698.51283	0.5472929439797167	112814578698.77	0.5472929439788019	-112814578698.47496	0.5472929439798506
All	HepG2	RBFOX2-SF3B4	5	148815	27.923932399287704	78.9732217854383	6.897154184726002	-56528801890.80496	0.7519348804054824	56528801891.48311	0.7519348804026025	56528801891.504585	0.7519348804025124	-56528801891.51049	0.7519348804024875
All	HepG2	RBFOX2-SF3B4	6	105439	13.948349282523544	88.59624996443442	2.5445992469579566	-148229194152.7769	0.30574592389600136	148229194153.49405	0.3057459238936654	148229194153.53503	0.3057459238935241	-148229194153.4942	0.30574592389365696
All	HepG2	RBM15-SRSF9	6	12958	41.14832535885167	61.5990121932397	2.747337552091372	-553717116592.1876	0.11781425042455516	553717116592.738	0.1178142504241848	553717116592.7699	0.11781425042416749	-553717116592.7084	0.11781425042420829
All	HepG2	RBM22-TIA1	2	53230	84.63836182603795	18.559083223746008	3.197445049783956	110811252550.16472	0.4034288847567402	-110811252549.56068	0.4034288847593087	-110811252549.49269	0.4034288847595997	110811252549.35414	0.4034288847601879
All	HepG2	RBM22-TIA1	4	25246	68.8069397132219	32.539808286461216	1.3467479996831182	-459805438418.5756	0.47228631976123725	459805438419.4047	0.4722863197604371	459805438419.2881	0.47228631976055124	-459805438419.1569	0.4722863197606778
All	HepG2	RBM22-TIA1	5	56880	84.10337552742617	17.96237693389592	2.0657524613220812	324807274414.3	0.23254518471385008	-324807274413.6961	0.23254518471472166	-324807274413.6795	0.23254518471474375	324807274413.6688	0.23254518471475966
All	HepG2	RBM22-TIA1	6	32018	78.59329127365856	23.140108688862515	1.733399962521082	-583737830624.8494	0.28379017910853155	583737830625.5155	0.2837901791079799	583737830625.4976	0.28379017910799864	-583737830625.6122	0.2837901791079062
All	HepG2	SF3B4-TAF15	3	80603	98.96281776112552	1.249333151371537	0.21215091249705345	-79103359111.31004	0.06522598125379697	79103359112.15591	0.06522598125091658	79103359111.8612	0.06522598125190904	-79103359111.75536	0.06522598125227362
All	HepG2	SF3B4-TAF15	5	117698	99.85216401298239	0.3058675593468029	0.15803157232918147	12461756667.402416	0.8964353671409295	-12461756666.70572	0.896435367146688	-12461756666.432571	0.8964353671489452	12461756666.66628	0.8964353671470148
All	HepG2	U2AF1-U2AF2	1	66145	8.744425126615768	97.60072567843375	6.345150805049513	53603539872.955414	0.4090197251922534	-53603539872.2832	0.40901972519813934	-53603539872.265175	0.4090197251982962	53603539872.30008	0.40901972519799024
All	HepG2	U2AF1-U2AF2	2	147832	13.196060392878403	96.66783916878619	9.863899561664592	63283833285.066505	0.3475574194444462	-63283833284.35304	0.3475574194498908	-63283833284.39333	0.3475574194495813	63283833284.367035	0.347557419449782
All	HepG2	U2AF1-U2AF2	3	108304	15.611611759491801	94.85891564485152	10.47052740434333	83468974982.476	0.3507987479392203	-83468974981.78377	0.3507987479432193	-83468974981.7776	0.35079874794325705	83468974981.69244	0.3507987479437482
All	HepG2	U2AF1-U2AF2	4	172489	14.838047643617855	96.69660094266881	11.534648586286663	75155201584.30736	0.35107081067103807	-75155201583.58235	0.3510708106756889	-75155201583.62474	0.351070810675419	75155201583.51234	0.3510708106761399
All	HepG2	U2AF1-U2AF2	5	127675	10.691991384374388	95.63892696299197	6.33091834736636	-87027252821.4169	0.3051148716282466	87027252822.09464	0.3051148716244756	87027252822.05524	0.30511487162469325	-87027252822.08897	0.30511487162450657
All	HepG2	U2AF1-U2AF2	6	139073	10.810869111905259	98.2929828219712	9.103851933876452	-63411257999.9106	0.38963351487260856	63411258000.72964	0.38963351486647824	63411258000.58791	0.38963351486753817	-63411258000.737144	0.3896335148664217
