Data Partition	Cell Line	# Unique Graphs	# Features	R2 Score	Adj. R2 Score
All	K562	2252043	217	0.05834954050137575	0.05825921536113321
All	HepG2	2083000	120	0.03895819527571143	0.038903288620137366
