Bait,Prey,IP,Bait_lifecycle_step,IP_experiment,IP_reps,IP_bait_gene,IP_prey_gene,IP_volc_pval_cutoff,IP_volc_log2FC,IP_volc_pvalue,IP_bait_gene_uniprotID,IP_prey_gene_uniprotID,SEC_gene_A,SEC_gene_B,SEC_gene_A_uniprotID,SEC_gene_B_uniprotID,IP_interaction_type,Interaction_support,IP_prey_over_bait_intensity_stoichimoetry,stoich_bait_uniprotID,stoich_prey_uniprotID,totalProteome_prey_over_bait_intensity_stoichimoetry,in_CORUM_2020,CORUM_complex_2020,in_CORUM_2022,CORUM_complex_2022,in_Mentha,Mentha_score,in_HI,in_HIPPIE,HIPPIE_score,in_recY2H,recY2H_score,in_BioID,in_OpenCell,OpenCell_enrichment,in_BioPlex3,BioPlex3_score,PPI_support,bait_eclipped,prey_eclipped,Bait_targets_cnt,Prey_targets_cnt,shared_targets,Bait_main_location_HPA,Prey_main_location_HPA,Bait_main_location.nucl.cyto.,Prey_main_location.nucl.cyto.,Prey_is_RBP_HydRa,Prey_HydRa_score,Prey_PSP_PScore,Bait_Disgenet_disease_.1,Bait_Disgenet_disease_.2,Prey_Disgenet_disease_.1,Prey_Disgenet_disease_.2,Prey_SAFE_localization_BioID,Prey_NMF_localization_BioID,Bait_SAFE_localization_BioID,Bait_NMF_localization_BioID,Prey_NMF_localization_2018_BioID,prey_lifecycle_stage_main_by_most_common_bait_stage,bait_prey_pctLocalizationOverlap_HPA,PvalWilcoxon_R,PvalWilcoxon_noR,log2FC_R,log2FC_noR
CEP170,UTP14A,,,,,,,NA,NA,NA,,,CEP170,UTP14A,Q5SW79,Q9BVJ6,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome,Nucleoli,cytoplasm,nucleus,1,0.997188507,1.24,Carcinoma of lung,Microcephaly,Colorectal Carcinoma,Scleroderma,"splicing speckles, nucleolus",nucleolus,microtubule cytoskeleton,microtubule cytoskeleton, nucleus,undetermined,0,NA,NA,NA,NA
CEP170,WDR18,,,,,,,NA,NA,NA,,,CEP170,WDR18,Q5SW79,Q9BV38,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome,Nucleoplasm,cytoplasm,nucleus,1,0.992700886,0.46,Carcinoma of lung,Microcephaly,Liver carcinoma,Metastatic urothelial carcinoma,,,microtubule cytoskeleton,microtubule cytoskeleton,,translation,0,NA,NA,NA,NA
CEP170,ZNF768,,,,,,,NA,NA,NA,,,CEP170,ZNF768,Q5SW79,Q9H5H4,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome,Nucleoplasm,cytoplasm,nucleus,1,0.891555053,2.34,Carcinoma of lung,Microcephaly,No Disgenet record,No Disgenet record,,,microtubule cytoskeleton,microtubule cytoskeleton,,translation,0,NA,NA,NA,NA
CEP170B,EMD,,,,,,,NA,NA,NA,,,CEP170B,EMD,Q9Y4F5,P50402,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Endoplasmic reticulum;Nuclear membrane,cytoplasm,nucleus,1,0.918023132,0.54,secondary acute myeloid leukemia,,X-Linked Emery-Dreifuss Muscular Dystrophy,"Muscular Dystrophy, Emery-Dreifuss",nuclear outer membrane-ER membrane network,nuclear outer membrane-ER membrane network,microtubule cytoskeleton,microtubule cytoskeleton, endoplasmic reticulum,translation,0,NA,NA,NA,NA
CEP170B,FLOT1,,,,,,,NA,NA,NA,,,CEP170B,FLOT1,Q9Y4F5,O75955;P41440,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Golgi apparatus,cytoplasm,secretory,0,0.90401609,-0.44,secondary acute myeloid leukemia,,Q Fever,Acute Q fever,-,miscellaneous,microtubule cytoskeleton,microtubule cytoskeleton,,undetermined,0,NA,NA,NA,NA
CEP170B,FLOT2,,,,,,,NA,NA,NA,,,CEP170B,FLOT2,Q9Y4F5,Q14254,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Plasma membrane,cytoplasm,secretory,0,0.850373398,2.13,secondary acute myeloid leukemia,,Malignant neoplasm of breast,Breast Carcinoma,"cell junction, plasma membrane",cell junction,microtubule cytoskeleton,microtubule cytoskeleton,,splicing,0,NA,NA,NA,NA
CEP170B,HIST1H1E,,,,,,,NA,NA,NA,,,CEP170B,HIST1H1E,Q9Y4F5,P10412,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Nuclear speckles,cytoplasm,nucleus,1,0.998356731,0.74,secondary acute myeloid leukemia,,No Disgenet record,No Disgenet record,-,nucleolus,microtubule cytoskeleton,microtubule cytoskeleton, cytoplasmic stress granule,splicing,0,NA,NA,NA,NA
CEP170B,HIST1H4A,,,,,,,NA,NA,NA,,,CEP170B,HIST1H4A,Q9Y4F5,P62805,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,,cytoplasm,,1,0.961812287,NA,secondary acute myeloid leukemia,,No Disgenet record,No Disgenet record,,,microtubule cytoskeleton,microtubule cytoskeleton,,splicing,0,NA,NA,NA,NA
CEP170B,NUPL2,,,,,,,NA,NA,NA,,,CEP170B,NUPL2,Q9Y4F5,O15504,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Nucleoplasm,cytoplasm,nucleus,1,0.994711248,5.52,secondary acute myeloid leukemia,,No Disgenet record,No Disgenet record,nuclear pore,nuclear outer membrane-ER membrane network,microtubule cytoskeleton,microtubule cytoskeleton, microtubule organizing center,splicing,0,NA,NA,NA,NA
CEP170B,PARP1,,,,,,,NA,NA,NA,,,CEP170B,PARP1,Q9Y4F5,P09874,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Nucleoplasm,cytoplasm,nucleus,1,0.981415701,1.3,secondary acute myeloid leukemia,,Malignant neoplasm of breast,melanoma,"chromatin, nucleoplasm",chromatin,microtubule cytoskeleton,microtubule cytoskeleton,,splicing,0,NA,NA,NA,NA
CEP170B,UACA,,,,,,,NA,NA,NA,,,CEP170B,UACA,Q9Y4F5,Q9BZF9,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Nucleoplasm,cytoplasm,nucleus,1,0.947436938,0.04,secondary acute myeloid leukemia,,Hepatoblastoma,Malignant neoplasm of liver,no prediction,cell junction,microtubule cytoskeleton,microtubule cytoskeleton,,undetermined,0,NA,NA,NA,NA
CEP170B,VCP,,,,,,,NA,NA,NA,,,CEP170B,VCP,Q9Y4F5,P55072,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,Centrosome;Cytosol,Cytosol;Nucleoplasm,cytoplasm,nucleus&cytoplasm,1,0.997278142,1.95,secondary acute myeloid leukemia,,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA,AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,-,nuclear outer membrane-ER membrane network,microtubule cytoskeleton,microtubule cytoskeleton, endoplasmic reticulum,splicing,0.333333333,NA,NA,NA,NA
CEP170B,XRCC6,,,,,,,NA,NA,NA,,,CEP170B,XRCC6,Q9Y4F5,P12956,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,NA,732,NA,Centrosome;Cytosol,Nucleoplasm,cytoplasm,nucleus,1,0.967492028,0.88,secondary acute myeloid leukemia,,Adenocarcinoma of lung (disorder),Breast Carcinoma,"chromatin, nucleoplasm",chromatin,microtubule cytoskeleton,microtubule cytoskeleton,,undetermined,0,NA,NA,NA,NA
CEP44,DARS,,,,,,,NA,NA,NA,,,CEP44,DARS,Q9C0F1,P14868,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Cytosol,,cytoplasm,1,0.998820363,0.91,No Disgenet record,No Disgenet record,No Disgenet record,No Disgenet record,,,microtubule cytoskeleton,microtubule cytoskeleton,,translation,0,NA,NA,NA,NA
CEP44,DBN1,,,,,,,NA,NA,NA,,,CEP44,DBN1,Q9C0F1,Q16643,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Actin filaments;Plasma membrane,,cytoplasm,1,0.906413226,2.06,No Disgenet record,No Disgenet record,Schizophrenia,Bipolar Disorder,"cell junction, plasma membrane","actin cytoskeleton, cytosol",microtubule cytoskeleton,microtubule cytoskeleton,,translation,0,NA,NA,NA,NA
CEP44,DDX27,,,,,,,NA,NA,NA,,,CEP44,DDX27,Q9C0F1,Q96GQ7,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Nucleoli,,nucleus,1,0.999373727,1.26,No Disgenet record,No Disgenet record,Colorectal Carcinoma,Malignant neoplasm of colon and/or rectum,"splicing speckles, nucleolus",nucleolus,microtubule cytoskeleton,microtubule cytoskeleton, nucleolus,translation,0,NA,NA,NA,NA
CEP44,DDX54,,,,,,,NA,NA,NA,,,CEP44,DDX54,Q9C0F1,Q8TDD1,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Golgi apparatus;Nucleoli;Nucleoplasm,,nucleus,1,0.99967312,0.77,No Disgenet record,No Disgenet record,Polycystic Ovary Syndrome,"Condition, Preneoplastic","splicing speckles, nucleolus",nucleolus,microtubule cytoskeleton,microtubule cytoskeleton, endoplasmic reticulum,translation,0,NA,NA,NA,NA
CEP44,DDX56,,,,,,,NA,NA,NA,,,CEP44,DDX56,Q9C0F1,Q9NY93,,SEC,NA,,,NA,FALSE,,FALSE,,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,,Nucleoli,,nucleus,1,0.999614196,0.45,No Disgenet record,No Disgenet record,Adolescent idiopathic scoliosis,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3","chromatin, nucleoplasm",nucleolus,microtubule cytoskeleton,microtubule cytoskeleton, nucleolus,translation,0,NA,NA,NA,NA
