Feature-Feature Interaction	HepG2 - Interaction SHAP	K562 - Interaction SHAP	HepG2 - F1 (1st Individual Feature in Interaction) SHAP	K562 - F1 (1st Individual Feature in Interaction) SHAP	HepG2 - F2 (2nd Individual Feature in Interaction) SHAP	K562 - F2 (2nd Individual Feature in Interaction) SHAP	HepG2 - Both Bound: # Points	K562 - Both Bound: # Points	HepG2 - Both Bound: Average	K562 - Both Bound: Average	HepG2 - Both Bound: Median	K562 - Both Bound: Median	HepG2 - F1 Bound Only: # Points	K562 - F1 Bound Only: # Points	HepG2 - F1 Bound Only: Average	K562 - F1 Bound Only: Average	HepG2 - F1 Bound Only: Median	K562 - F1 Bound Only: Median	HepG2 - F2 Bound Only: # Points	K562 - F2 Bound Only: # Points	HepG2 - F2 Bound Only: Average	K562 - F2 Bound Only: Average	HepG2 - F2 Bound Only: Median	K562 - F2 Bound Only: Median	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F1 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F1 Bound Only: Abs(Diff Median)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Average)	HepG2 - Both Bound vs F2 Bound Only: Abs(Diff Median)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Average)	K562 - Both Bound vs F2 Bound Only: Abs(Diff Median)	Statistical Testing Directionality	HepG2 - Both Bound vs F1 Bound Only: Mann-Whitney U	K562 - Both Bound vs F1 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F2 Bound Only: Mann-Whitney U	K562 - Both Bound vs F2 Bound Only: Mann-Whitney U	HepG2 - Both Bound vs F1 Bound Only: Welch's t-test	K562 - Both Bound vs F1 Bound Only: Welch's t-test	HepG2 - Both Bound vs F2 Bound Only: Welch's t-test	K562 - Both Bound vs F2 Bound Only: Welch's t-test	All MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
DDX3X_4-RBFOX2_4-interaction-shap	0.29279160499572754	0.00028296493110246956	0.321524053812027	0.7766348123550415	-0.4484655559062958	-0.04954059422016144	2387	224	0.9686673648931713	0.9726160714285713	0.999	1.0	36257	71768	0.9491510604848717	0.9362930135993759	0.998	0.994	47241	22291	0.7304235727440148	0.7601844690682339	0.963	0.98	0.019516304408299545	0.0010000000000000009	0.036323057829195426	0.006000000000000005	0.23824379214915647	0.03600000000000003	0.21243160236033742	0.020000000000000018	greater	0.48847478385270954	0.012947995538412846	8.063758448390564e-207	3.010090471267586e-12	5.4636121980366255e-28	5.0343169240766675e-31	0.0	3.1565515272387044e-282	false	False	False	False	False
UPF1_4-YBX3_5-interaction-shap	0.0003315787762403488	0.011197908781468868	0.23893620073795319	0.4782243072986603	-0.09021826833486557	-0.012210392393171787	8	3486	0.998875	0.8954779116465863	1.0	0.989	5142	12218	0.9794611046285494	0.9290666230152234	0.999	0.998	27008	450687	0.8094092861374407	0.8341426622023711	0.999	0.995	0.01941389537145055	0.0010000000000000009	0.03358871136863706	0.009000000000000008	0.18946571386255928	0.0010000000000000009	0.0613352494442152	0.006000000000000005	greater	0.04180401415026046	1.0	0.02928007085397194	0.999999999997966	3.3314474983352733e-20	0.9999999999998823	0.0	2.9885783496188664e-45	false	None	None	None	None
SF3B4_1-SF3B4_5-interaction-shap	-0.0015363093698397279	-0.002676284871995449	0.0023197485134005547	0.04066191986203194	-0.23675884306430817	-0.22762475907802582	62182	162356	0.848123395838024	0.835301688881224	0.992	0.993	158114	358518	0.8675037631076311	0.8919267819188994	0.995	0.997	315108	866287	0.8030734827424247	0.8284067866653892	0.987	0.99	0.019380367269607124	0.0030000000000000027	0.05662509303767538	0.0040000000000000036	0.04504991309559925	0.0050000000000000044	0.006894902215834775	0.0030000000000000027	less	8.650884871693283e-112	0.0	1.0	1.0	9.921818819331859e-42	0.0	1.0	0.9999999999999968	false				
GRWD1_4-RPS3_4-interaction-shap	-0.005922083277255297	-0.011316569522023201	1.2845640182495117	0.8225722312927246	0.7361400723457336	0.970572292804718	5927	5451	0.9917081154040829	0.9989939460649422	1.0	1.0	365387	114545	0.9724252696456087	0.9745748133921166	1.0	1.0	104472	65145	0.9845727084769125	0.9888433034001075	1.0	0.999	0.019282845758474165	0.0	0.024419132672825583	0.0	0.007135406927170407	0.0	0.010150642664834675	0.0010000000000000009	less	1.0	1.0	0.8637988560883474	1.0	1.0	1.0	1.0	1.0	false	None	False	False	False
AQR_3-GRWD1_3-interaction-shap	-0.1950516402721405	-0.010203775018453598	1.1179728507995605	0.6514191031455994	1.3557939529418945	0.8886932730674744	31139	8568	0.9803399595362727	0.9943771008403361	1.0	1.0	264969	344184	0.9615501775679419	0.9368973775654882	0.999	0.997	266047	100216	0.9739803004732247	0.976449718607807	1.0	1.0	0.01878978196833081	0.0010000000000000009	0.05747972327484796	0.0030000000000000027	0.006359659063048029	0.0	0.0179273822325291	0.0	less	1.0	1.0	0.9999999386447872	1.0	1.0	1.0	1.0	1.0	false	None	None	None	None
AQR_3-FXR2_3-interaction-shap	-0.018234940245747566	-0.0005165579495951533	1.1179728507995605	0.6514191031455994	0.6237109899520874	0.24987705051898956	4089	6504	0.9820423086329175	0.974505996309963	1.0	1.0	292019	346248	0.9632668559237584	0.937613280076708	1.0	0.997	33436	47728	0.9854014535231488	0.9771953779751927	1.0	1.0	0.018775452709159146	0.0	0.036892716233255074	0.0030000000000000027	0.003359144890231258	0.0	0.0026893816652296954	0.0	less	0.9829021231015367	1.0	3.133516696797599e-13	0.999998388379332	1.0	1.0	7.074039490942857e-8	0.01677820170733117	false	None	None	None	None
BUD13_3-SF3B4_3-interaction-shap	-0.013073183596134186	-0.3122318387031555	0.7667649984359741	1.022349238395691	1.04224693775177	1.2349843978881836	21700	96883	0.9783732718894009	0.9650069878100389	1.0	1.0	91120	199207	0.9597336698858648	0.961445747388395	1.0	1.0	227906	460347	0.9494052504102569	0.9617599593350233	0.999	1.0	0.018639602003536093	0.0	0.003561240421643963	0.0	0.028968021479144013	0.0010000000000000009	0.0032470284750155676	0.0	less	0.9999999999979066	0.9999999993094142	1.0	0.9975309772507123	1.0	0.9999999999981064	1.0	0.9999999999988172	false	False	Same-Position	False	Same-Position
ZNF800_3-YBX3_4-interaction-shap	-0.052437517791986465	-0.00195318297483027	0.37568965554237366	0.7358933091163635	1.497674584388733	1.520198941230774	318	9775	0.9993742138364777	0.9981743222506394	1.0	1.0	54775	63876	0.9808904062072112	0.9804611121547999	1.0	0.999	18505	350505	0.9928962442583085	0.9744414658849375	1.0	0.999	0.01848380762926649	0.0	0.017713210095839482	0.0010000000000000009	0.0064779695781692626	0.0	0.023732856365701882	0.0010000000000000009	less	0.9999999999999999	1.0	0.9999999999999631	1.0	1.0	1.0	1.0	1.0	false	None	None	None	None
GRWD1_3-GTF2F1_3-interaction-shap	0.00016011641127988696	0.00006275540363276377	1.3557939529418945	0.8886932730674744	-0.0054444014094769955	-0.006672434508800507	402	199	0.9930597014925374	0.9199698492462309	1.0	0.939	296784	108585	0.9746217215213759	0.9779678040244969	1.0	1.0	14249	21429	0.7817197698084075	0.8174245648420365	0.98	0.984	0.018437979971161478	0.0	0.05799795477826597	0.061000000000000054	0.2113399316841299	0.020000000000000018	0.10254528440419441	0.04500000000000004	greater	3.4788198140358673e-6	1.0	2.4321992194271015e-51	0.9999999863725626	2.311415977511673e-86	1.0	0.0	9.31799705157568e-41	false	None	None	None	None
BUD13_3-BUD13_4-interaction-shap	-0.035385940223932266	-0.1749151349067688	0.7667649984359741	1.022349238395691	0.21850769221782684	0.5062833428382874	13134	23522	0.9470869499010203	0.9694287900688716	0.999	1.0	99686	272568	0.9654574564131372	0.9620226548971267	1.0	1.0	59773	153193	0.9559990463921838	0.956603487104502	1.0	1.0	0.018370506512116913	0.0010000000000000009	0.007406135171744932	0.0	0.008912096491163535	0.0010000000000000009	0.012825302964369567	0.0	less	7.692766570189899e-16	0.9999989282140246	7.302577287065713e-12	0.9999999966635117	3.9171665086682133e-41	1.0	2.9889393394515513e-10	1.0	false				
ZNF800_4-UCHL5_6-interaction-shap	0.031367283314466476	0.005407463759183884	0.25949907302856445	0.9018372297286987	-0.2533913552761078	-0.09547325223684311	3524	15894	0.9562341089670828	0.9792465081162703	1.0	1.0	53672	59853	0.9745784953048143	0.9858350625699631	1.0	1.0	61602	525819	0.8011485828382194	0.8252505443888486	0.992	0.994	0.0183443863377315	0.0	0.006588554453692774	0.0	0.1550855261288634	0.008000000000000007	0.15399596372742175	0.006000000000000005	greater	0.9952857849148322	0.9999999886134311	1.8900623267068904e-183	0.0	0.9999999999997273	0.9999999999999509	0.0	0.0	false	None	None	None	None
ZNF800_3-RBM22_4-interaction-shap	-0.05108305811882019	-0.00380597822368145	0.37568965554237366	0.7358933091163635	0.6834766268730164	0.4519733190536499	2503	7553	0.9635825009988015	0.9929853038527737	1.0	1.0	52590	66098	0.9818259364898269	0.9816495204090895	1.0	1.0	72816	98416	0.9728235552625796	0.9582033104373272	1.0	0.999	0.01824343549102536	0.0	0.011335783443684244	0.0	0.009241054263778081	0.0	0.03478199341544652	0.0010000000000000009	less	0.8782580249598704	1.0	1.0	1.0	2.0842481581272876e-13	1.0	0.0001133624174166598	1.0	false	None	False	False	False
