Feature-Feature Interaction	Cell Line	Interaction SHAP Value	Feature 1 SHAP Value	Feature 2 SHAP Value	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant
KHSRP_3-IGF2BP1_6-interaction-shap	HepG2	-0.5099205374717712	-0.18590795993804932	-0.015726618468761444	1.6171219446977648e-196	7.63783225795891e-234	true
TIA1_2-RBFOX2_5-interaction-shap	K562	-0.35910066962242126	-0.19866278767585754	-0.025373460724949837	2.177180984708652e-196	2.158731836788822e-233	true
DDX24_1-GTF2F1_3-interaction-shap	K562	-0.007719740737229586	-0.00755001837387681	-0.006672434508800507	4.4200025978821345e-192	1.0972132493025175e-59	true
KHSRP_3-U2AF2_3-interaction-shap	K562	-0.042530614882707596	0.012336434796452522	0.018797004595398903	9.929144073106e-192	4.665229020777038e-263	true
LIN28B_2-U2AF2_3-interaction-shap	HepG2	-0.24349044263362885	-0.206442728638649	0.09508994966745377	5.642175813587379e-189	1.3906576878726461e-37	true
GRSF1_1-PCBP2_5-interaction-shap	HepG2	-0.06169252470135689	0.05548010766506195	0.022515788674354553	8.757349379586818e-180	2.5819215902473565e-181	true
PRPF8_2-U2AF1_6-interaction-shap	HepG2	0.1825193613767624	-0.17347882688045502	0.06658507883548737	1.4893183180763024e-174	7.155666046031517e-106	true
AKAP8L_2-DDX24_2-interaction-shap	K562	0.007565855979919434	-0.00040666828863322735	-0.0043973298743367195	3.2808759370108695e-171	3.7527862029653984e-11	true
AGGF1_1-NONO_1-interaction-shap	K562	-0.0006889960495755076	-0.000025860359528451227	0.0004031087155453861	1.683147091288873e-163	9.687712587585904e-92	true
KHSRP_3-DDX24_5-interaction-shap	K562	0.03658285364508629	0.012336434796452522	-0.03191124647855759	1.0704528521750445e-162	1.365910475108418e-67	true
KHSRP_2-PRPF8_5-interaction-shap	HepG2	0.29169419407844543	-0.23931440711021423	-0.0016077853506430984	6.654031424376031e-162	2.128070963365709e-74	true
LIN28B_2-DDX43_6-interaction-shap	K562	0.14141206443309784	0.00115653604734689	-0.14127664268016815	4.6361277560589235e-157	0.0	true
YBX3_2-YBX3_5-interaction-shap	HepG2	-0.11747533082962036	-0.006006523501127958	-0.09021826833486557	3.2343980387697107e-156	7.8767740687963695e-81	true
FXR2_5-SF3B4_6-interaction-shap	K562	-0.013201246038079262	0.0034385300241410732	0.0042488775216042995	3.43632267291505e-151	4.589571433312697e-69	true
NCBP2_1-U2AF2_2-interaction-shap	HepG2	-0.8651083111763	-0.08615437895059586	-0.2393088936805725	9.033705254124606e-151	1.7518228717018865e-170	true
SF3B4_1-MTPAP_5-interaction-shap	K562	-0.058651622384786606	0.04066191986203194	-0.039968669414520264	4.188928931239157e-144	3.6321804612185346e-106	true
DDX3X_1-SRSF9_1-interaction-shap	HepG2	-0.33479344844818115	-0.11173701286315918	-0.16324535012245178	1.2354598443211231e-143	1.187812995314864e-213	true
U2AF2_3-SUB1_6-interaction-shap	HepG2	-0.24110642075538635	0.09508994966745377	-0.023231124505400658	3.3154155091402777e-143	2.7190630468011404e-185	true
U2AF2_3-TARDBP_5-interaction-shap	HepG2	-0.10178496688604355	0.09508994966745377	-0.05914580449461937	1.7158903865967438e-139	2.055269630373184e-82	true
DDX43_2-HNRNPK_4-interaction-shap	K562	-0.41145431995391846	-0.08699648082256317	-0.23724599182605743	2.911226096293282e-137	1.1546643199418553e-50	true
PRPF8_1-BCLAF1_6-interaction-shap	HepG2	-0.25877609848976135	-0.13666246831417084	-0.09208220988512039	2.2372197032159006e-135	3.054029404572379e-209	true
EIF3H_3-PCBP2_5-interaction-shap	HepG2	-0.06266744434833527	0.054999783635139465	0.022515788674354553	2.4317665653916014e-135	1.5707930765586034e-77	true
SF3B4_1-RBFOX2_5-interaction-shap	K562	-0.13319239020347595	0.04066191986203194	-0.025373460724949837	4.285294185951416e-135	1.868153269426819e-33	true
PRPF8_1-HNRNPK_4-interaction-shap	K562	-0.3107929527759552	0.19428347051143646	-0.23724599182605743	1.5483599623154743e-132	3.885315125715364e-62	true
BUD13_1-DDX43_5-interaction-shap	K562	-0.1689860224723816	0.15409229695796967	-0.051684629172086716	1.865116318071481e-129	1.7710069498022672e-38	true
NONO_1-GRWD1_5-interaction-shap	K562	-0.04979869723320007	0.0004031087155453861	-0.0436827652156353	1.0520253181149142e-124	2.2988487262425653e-133	true
PUM1_1-CPSF6_6-interaction-shap	K562	-0.013329599052667618	-0.0032722551841288805	0.00013007227971684188	1.8771506385824987e-116	6.502815629009784e-76	true
SF3B4_1-DROSHA_3-interaction-shap	HepG2	-0.01099993847310543	0.0023197485134005547	0.004686260595917702	5.192373370679491e-115	0.0007442157129005953	true
DDX3X_1-HNRNPK_2-interaction-shap	HepG2	-0.11977128684520721	-0.11173701286315918	-0.06588339060544968	3.035291176879684e-112	3.979866312379931e-89	true
CSTF2T_6-EFTUD2_6-interaction-shap	HepG2	-0.14798830449581146	-0.10856673866510391	-0.013448944315314293	5.017197671433661e-112	2.8046670783647375e-143	true
PPIG_6-TIAL1_6-interaction-shap	HepG2	-0.0643821582198143	0.02143123187124729	-0.03276895731687546	8.756717687684362e-111	6.03651313005786e-132	true
DHX30_2-EWSR1_4-interaction-shap	K562	-0.010367526672780514	-0.005324391648173332	-0.0034054333809763193	3.153928777475239e-110	1.9997646833439146e-16	true
EWSR1_4-LIN28B_5-interaction-shap	K562	-0.003722031135112047	-0.0034054333809763193	0.0014909730525687337	1.2608136265109495e-105	7.560136780902532e-131	true
U2AF2_4-GRWD1_6-interaction-shap	HepG2	0.38278114795684814	-0.2962295114994049	-0.2737436294555664	2.7774714391764378e-105	1.6645702459079774e-30	true
XRCC6_5-PRPF8_6-interaction-shap	K562	-0.0025338120758533478	-0.00026162868016399443	0.0006011514342390001	7.261628495813739e-104	7.705506441811847e-80	true
GRWD1_1-CSTF2T_4-interaction-shap	HepG2	-0.13438111543655396	-0.1194198951125145	-0.014876495115458965	9.997467429174155e-104	6.07415081315989e-31	true
TRA2A_5-PRPF8_6-interaction-shap	HepG2	0.11962169408798218	-0.05796019732952118	-0.04275946691632271	3.7489106708231927e-103	5.265178527534914e-107	true
AQR_1-DDX59_1-interaction-shap	HepG2	-0.4442702829837799	-0.0681835189461708	-0.018807798624038696	3.1040688925228585e-100	4.6642690543949486e-102	true
YBX3_2-ILF3_6-interaction-shap	K562	-0.1651485413312912	-0.12133116275072098	-0.016847705468535423	1.020321601102171e-99	3.241156144865789e-90	true
EFTUD2_6-KHSRP_6-interaction-shap	HepG2	-0.058918386697769165	-0.013448944315314293	-0.012297364883124828	1.294130821851054e-99	3.483577967673953e-84	true
DDX3X_1-TRA2A_5-interaction-shap	HepG2	-0.2914459705352783	-0.11173701286315918	-0.05796019732952118	1.5759993835772258e-97	8.059209384694503e-154	true
BCLAF1_1-EIF3H_5-interaction-shap	HepG2	0.029396336525678635	-0.013582208193838596	0.003268861910328269	9.216015771168397e-96	2.186799318300914e-71	true
GTF2F1_1-PRPF8_2-interaction-shap	HepG2	0.1817699521780014	0.10285104066133499	-0.17347882688045502	8.428803685477505e-95	4.7800044288475867e-70	true
FTO_1-PUM2_6-interaction-shap	K562	0.14671894907951355	-0.1383020132780075	0.04532400146126747	7.460990310766572e-93	5.604721590680379e-11	true
GARS_1-YBX3_2-interaction-shap	K562	-0.20047615468502045	-0.016777144744992256	-0.12133116275072098	9.637696141458424e-91	2.213112078157273e-135	true
PUM2_1-IGF2BP1_6-interaction-shap	K562	-0.38751155138015747	-0.22497674822807312	-0.22630161046981812	2.404531005114791e-83	2.2020885461065186e-72	true
SND1_2-UCHL5_6-interaction-shap	K562	0.2513207495212555	-0.24509850144386292	-0.09547325223684311	2.2231857359979915e-80	5.59810837784964e-151	true
NOLC1_3-FXR2_6-interaction-shap	K562	-0.04235224798321724	-0.013312330469489098	-0.02452963776886463	4.594602884627994e-79	4.229756431671916e-53	true
NKRF_2-U2AF2_5-interaction-shap	HepG2	-0.24837064743041992	-0.16771523654460907	-0.14822599291801453	2.477124597347038e-75	3.7361673123517387e-180	true
KHSRP_1-U2AF1_3-interaction-shap	K562	-0.01774618960916996	0.003378988243639469	0.016814537346363068	4.231515464823759e-73	2.3439701469803452e-88	true
TIA1_3-KHSRP_6-interaction-shap	K562	-0.10639523714780807	-0.02320350520312786	-0.0919075608253479	6.367453078832824e-69	4.7270915521729425e-85	true
NCBP2_1-RBFOX2_1-interaction-shap	HepG2	-0.16923993825912476	-0.08615437895059586	-0.004281145986169577	1.0560454469775945e-66	7.46306191368526e-128	true
PPIG_1-BUD13_2-interaction-shap	HepG2	-0.056942712515592575	0.006828615441918373	-0.0029569657053798437	1.131564200447903e-65	2.220744476304884e-80	true
BUD13_1-RBFOX2_3-interaction-shap	K562	-0.3193386197090149	0.15409229695796967	-0.23430433869361877	2.6194867284790357e-65	7.902322423261982e-14	true
KHSRP_3-IGF2BP2_6-interaction-shap	K562	-0.13532617688179016	0.012336434796452522	-0.07284695655107498	1.1400561013239677e-64	1.389169453783428e-48	true
LARP4_5-PRPF8_6-interaction-shap	K562	-0.0021503260359168053	0.0017533177742734551	0.0006011514342390001	6.760649710685901e-64	2.1836831552731416e-46	true
EXOSC10_5-FXR2_5-interaction-shap	K562	-0.010764599777758121	-0.0057030632160604	0.0034385300241410732	3.954228186850293e-62	8.00255885624216e-62	true
RBM22_2-FAM120A_5-interaction-shap	HepG2	0.5268276333808899	-0.4360983967781067	0.02340189553797245	5.551528347275951e-61	2.3049328602219386e-80	true
KHDRBS1_2-KHSRP_3-interaction-shap	K562	0.014654874801635742	-0.014510801993310452	0.012336434796452522	6.2053953873861484e-61	9.76520471291421e-32	true
CSTF2T_3-PRPF4_6-interaction-shap	HepG2	-0.45566636323928833	-0.23207199573516846	0.08815328031778336	6.982033104941162e-57	4.3236574032821467e-191	true
IGF2BP1_5-TIA1_6-interaction-shap	K562	0.09574982523918152	-0.05651776120066643	-0.09421670436859131	4.074604824027589e-56	7.042229409645495e-115	true
DDX3X_1-TIA1_6-interaction-shap	HepG2	-0.17022423446178436	-0.11173701286315918	-0.009425410069525242	3.0448068603563553e-53	7.239068924579205e-136	true
PUM2_1-KHSRP_4-interaction-shap	K562	-0.23280374705791473	-0.22497674822807312	0.1760461926460266	3.745381608702109e-51	3.908468582467511e-82	true
FAM120A_3-SF3B4_5-interaction-shap	K562	-0.2902626097202301	-0.19784791767597198	-0.22762475907802582	3.377112339987369e-50	7.62764857622639e-67	true
PPIG_5-KHSRP_6-interaction-shap	HepG2	0.027601273730397224	-0.023685477674007416	-0.012297364883124828	1.0567693937108533e-47	1.3536781086665985e-91	true
KHSRP_5-ELAVL1_6-interaction-shap	K562	-0.08406265825033188	-0.023024987429380417	0.0711812973022461	6.877057821220408e-47	1.0607283587697705e-96	true
QKI_5-BCLAF1_6-interaction-shap	HepG2	-0.27349376678466797	-0.22395512461662292	-0.09208220988512039	5.610105959865459e-46	2.901271355032455e-234	true
KHSRP_1-NOLC1_2-interaction-shap	K562	0.011045015417039394	0.003378988243639469	-0.00044993835035711527	3.444586653299323e-45	5.638510030269551e-45	true
PABPN1_5-CSTF2_6-interaction-shap	HepG2	0.017388351261615753	-0.017283044755458832	-0.0003082932671532035	1.1550832163643008e-43	6.863174165642967e-62	true
U2AF2_3-FXR2_6-interaction-shap	HepG2	-0.17990727722644806	0.09508994966745377	-0.013822701759636402	1.6699586877407658e-43	2.1553024631440595e-205	true
AQR_1-SRSF1_1-interaction-shap	HepG2	0.08650344610214233	-0.0681835189461708	-0.025781650096178055	9.005527396159308e-43	2.322498468543983e-181	true
GTF2F1_2-PCBP2_2-interaction-shap	HepG2	0.2625763416290283	-0.007730825804173946	-0.2353159487247467	1.1592663499633625e-42	4.412810100452656e-60	true
KHSRP_1-PRPF8_6-interaction-shap	K562	0.009521217085421085	0.003378988243639469	0.0006011514342390001	3.651375425774003e-42	6.473421927705596e-78	true
FXR1_1-DDX24_5-interaction-shap	K562	-0.04093893617391586	-0.01977352425456047	-0.03191124647855759	4.791200116191463e-42	4.983202642395385e-16	true
AQR_2-RBM15_2-interaction-shap	HepG2	0.38004812598228455	-0.24430587887763977	-0.2698010206222534	1.5801722126734965e-40	6.676392445638868e-162	true
ELAVL1_6-LIN28B_6-interaction-shap	K562	-0.10142558813095093	0.0711812973022461	-0.07628697901964188	4.575961445677577e-40	1.1620939019638909e-23	true
DDX59_3-HNRNPK_3-interaction-shap	HepG2	0.44088438153266907	-0.19163724780082703	-0.35798153281211853	1.3773374376879962e-39	9.752397958147276e-43	true
GPKOW_5-EWSR1_6-interaction-shap	K562	-0.03487282246351242	0.027285423129796982	-0.0012916872510686517	4.9857255327416606e-39	3.2988335464270947e-38	true
