Feature-Feature Interaction	Cell Line	Interaction SHAP Value	Feature 1 SHAP Value	Feature 2 SHAP Value	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant
YBX3_1-LIN28B_2-interaction-shap	K562	0.004983692429959774	0.0041923220269382	0.00115653604734689	0.0002485797250950681	0.95249393374562	false
PTBP1_6-UPF1_6-interaction-shap	K562	0.01922786794602871	-0.010393250733613968	-0.014318179339170456	0.05754170957288468	0.06461709162185934	false
CSTF2T_5-EFTUD2_6-interaction-shap	HepG2	0.01439682673662901	-0.012346219271421432	-0.013448944315314293	0.08787119979028907	0.9999999999510252	false
IGF2BP2_1-DDX43_2-interaction-shap	K562	-0.09681781381368637	-0.08650519698858261	-0.08699648082256317	0.22458073585663307	0.7478012818401701	false
PPIG_1-U2AF2_6-interaction-shap	HepG2	-0.0886552557349205	0.006828615441918373	-0.07305508106946945	0.38841658498072196	0.9927448228016261	false
LARP4_6-LIN28B_6-interaction-shap	HepG2	-0.1648302972316742	-0.0026405691169202328	0.04329080134630203	0.4240805615573657	2.0143095999772878e-53	false
UCHL5_1-SF3B4_6-interaction-shap	K562	0.0088624507188797	0.00174663623329252	0.0042488775216042995	0.4836796498069587	2.2301017993081593e-15	false
EIF4E_4-ELAC2_6-interaction-shap	K562	-0.03768862038850784	0.019233202561736107	0.021106518805027008	0.949956563984913	0.9452073301139525	false
AQR_1-PCBP1_4-interaction-shap	K562	-0.0071515426971018314	-0.0025427292566746473	-0.0011694846907630563	0.994224872701942	1.513217799683962e-13	false
KHSRP_2-RPS3_5-interaction-shap	K562	-0.20945030450820923	-0.14459437131881714	-0.04682749882340431	0.9969818735137076	9.576539352336074e-6	false
NONO_1-MBNL1_2-interaction-shap	K562	0.0008842315874062479	0.0004031087155453861	-0.00006944595224922523	0.9976674405978101	0.9999972632348879	false
DKC1_3-SMNDC1_5-interaction-shap	HepG2	-0.006039773114025593	0.0024267195258289576	0.0039649102836847305	0.9989836699326277	0.9999999617145509	false
NOLC1_2-NOLC1_5-interaction-shap	K562	-0.18753032386302948	-0.00044993835035711527	0.18726712465286255	0.9995896141138195	0.9995335232242275	false
GEMIN5_4-RBM22_6-interaction-shap	K562	-0.020875651389360428	0.0023975158110260963	-0.01289984118193388	0.99976516199565	1.0	false
ZNF800_2-G3BP1_5-interaction-shap	HepG2	-0.3409610986709595	-0.02040981315076351	-0.11220896244049072	0.999888520535993	0.8734177323325092	false
PCBP1_4-FMR1_6-interaction-shap	K562	0.0013234986690804362	-0.0011694846907630563	-0.0002939293044619262	0.9999962534018753	1.0	false
U2AF1_2-U2AF2_2-interaction-shap	HepG2	-0.2977565824985504	-0.2576357126235962	-0.2393088936805725	0.9999975009299388	0.00040237622671153276	false
GRWD1_1-HLTF_1-interaction-shap	HepG2	-0.17799112200737	-0.1194198951125145	-0.12053579092025757	0.9999990461871322	0.9171228457140475	false
SF3B4_1-ZNF800_1-interaction-shap	K562	-0.1026642844080925	0.04066191986203194	-0.02342391014099121	0.9999999246435265	0.00048521973129595473	false
SERBP1_1-AQR_6-interaction-shap	K562	-0.0011139967245981097	0.00008918244566302747	0.00043447353527881205	0.9999999250872201	1.0	false
DHX30_1-AQR_6-interaction-shap	K562	-0.0034316920209676027	0.000379434903152287	0.00043447353527881205	0.9999999984057162	0.9999998586478016	false
FUBP3_6-TIAL1_6-interaction-shap	HepG2	-0.2511662244796753	0.16682122647762299	-0.03276895731687546	0.9999999989737315	1.0	false
XRN2_1-HNRNPK_2-interaction-shap	K562	-0.0061225006356835365	-0.0025704610161483288	0.0018089088844135404	0.9999999999728251	1.0	false
IGF2BP2_1-U2AF2_1-interaction-shap	K562	0.09531673789024353	-0.08650519698858261	-0.005069131962954998	0.9999999999999873	0.9999983389637832	false
DDX3X_2-NKRF_2-interaction-shap	HepG2	0.2587779462337494	-0.1320383995771408	-0.16771523654460907	0.9999999999999967	1.3684054105549072e-27	false
SUB1_5-YBX3_5-interaction-shap	HepG2	-0.20409752428531647	-0.15214145183563232	-0.09021826833486557	0.9999999999999997	4.8647846654722025e-27	false
PPIG_1-EIF3H_6-interaction-shap	HepG2	-0.0649666041135788	0.006828615441918373	0.05447776988148689	1.0	1.584574462512839e-104	false
GTF2F1_2-EFTUD2_4-interaction-shap	HepG2	-0.6369216442108154	-0.007730825804173946	0.35644668340682983	1.0	3.454138794722714e-71	false
SND1_2-SND1_5-interaction-shap	HepG2	-0.19579580426216125	-0.18224208056926727	0.07166808098554611	1.0	1.0309549607730832e-21	false
BCLAF1_1-G3BP1_2-interaction-shap	HepG2	-0.018451739102602005	-0.013582208193838596	-0.017455529421567917	1.0	1.7803040252042503e-19	false
DDX43_2-KHSRP_4-interaction-shap	K562	-0.1968231350183487	-0.08699648082256317	0.1760461926460266	1.0	1.0289197204979777e-16	false
CSTF2T_5-PRPF4_5-interaction-shap	HepG2	-0.055805813521146774	-0.012346219271421432	0.034602005034685135	1.0	7.427419042212964e-8	false
BCLAF1_2-BCLAF1_5-interaction-shap	HepG2	-0.16582761704921722	-0.11293894797563553	-0.09470641613006592	1.0	0.06863503899602358	false
EFTUD2_5-SND1_6-interaction-shap	HepG2	-0.07544256001710892	0.06256677955389023	0.00028563340310938656	1.0	0.9822742275673243	false
KHSRP_6-PPIG_6-interaction-shap	HepG2	-0.02405795268714428	-0.012297364883124828	0.02143123187124729	1.0	0.9999999426824473	false
AQR_1-G3BP1_5-interaction-shap	HepG2	-0.14132164418697357	-0.0681835189461708	-0.11220896244049072	1.0	0.9999999972167989	false
HNRNPK_2-DROSHA_6-interaction-shap	K562	0.0048704808577895164	0.0018089088844135404	-0.001632547122426331	1.0	0.9999999999998898	false
AATF_5-ZRANB2_5-interaction-shap	K562	-0.007156656589359045	0.002987730083987117	0.0028945717494934797	1.0	1.0	false
SUB1_2-PPIG_6-interaction-shap	HepG2	0.290140837430954	-0.18349111080169678	0.02143123187124729	1.0	1.0	false
FMR1_2-DDX24_6-interaction-shap	K562	-0.0028234245255589485	0.0023157300893217325	-0.00009217706247000024	1.0	1.0	false
NONO_1-MTPAP_6-interaction-shap	K562	-0.0034154194872826338	0.0004031087155453861	-0.0007214657380245626	1.0	1.0	false
UCHL5_1-PRPF8_5-interaction-shap	HepG2	-0.009382382035255432	-0.009112688712775707	-0.0016077853506430984	1.0	1.0	false
KHSRP_3-IGF2BP2_5-interaction-shap	K562	-0.01597662828862667	0.012336434796452522	-0.006785288453102112	1.0	1.0	false
UCHL5_1-TIAL1_4-interaction-shap	HepG2	0.01392348576337099	-0.009112688712775707	0.0031737121753394604	1.0	1.0	false
LIN28B_5-SND1_6-interaction-shap	HepG2	-0.017141368240118027	-0.010469846427440643	0.00028563340310938656	1.0	1.0	false
BUD13_5-LIN28B_6-interaction-shap	K562	-0.08678378164768219	-0.07166457921266556	-0.07628697901964188	1.0	1.0	false
PCBP2_3-HNRNPK_4-interaction-shap	HepG2	0.13544875383377075	0.0015382104320451617	-0.11156120896339417	1.0	1.0	false
PPIG_5-SRSF1_6-interaction-shap	HepG2	-0.030296489596366882	-0.023685477674007416	-0.0006028373609296978	1.0	1.0	false
SF3B4_1-XPO5_3-interaction-shap	HepG2	0.24932445585727692	0.0023197485134005547	-0.17550241947174072	1.0	1.0	false
YBX3_1-SRSF1_5-interaction-shap	K562	-0.008058549836277962	0.0041923220269382	-0.005289855413138866	1.0	1.0	false
DGCR8_1-CSTF2T_6-interaction-shap	K562	0.00863244105130434	-0.005338639952242374	-0.0018443348817527294	1.0	1.0	false
HLTF_4-LSM11_6-interaction-shap	HepG2	0.06476731598377228	-0.025771446526050568	0.0516427643597126	1.0	1.0	false
DROSHA_3-FTO_4-interaction-shap	K562	-0.015553216449916363	0.009452288039028645	0.01155167631804943	1.0	1.0	false
PTBP1_2-AATF_3-interaction-shap	K562	-0.0014178331475704908	-0.0009320065146312118	-0.00120821432210505	1.0	1.0	false
