,Cell Line,cutoff,Significant Events,dpsi_shap_concordance,FET OR,FET P-Value,MCC
0,HepG2,0.0,140,52.293577981651374,1.0076804915514592,1.0,0.001794560566479151
1,HepG2,0.05,35,62.857142857142854,2.6666666666666665,0.1870991923393142,0.23570226039551584
2,HepG2,0.1,30,56.666666666666664,1.7142857142857142,0.7152491865522346,0.1336306209562122
3,HepG2,0.2,18,55.55555555555556,1.5,1.0,0.1
4,K562,0.0,1800,46.14525139664805,1.2687953555878084,0.031198830995559985,0.05137651868476194
5,K562,0.05,1248,45.11217948717949,1.2212041884816753,0.1478216970326155,0.04236351705058684
6,K562,0.1,1099,45.49590536851683,1.1683569979716024,0.2981670517860221,0.033496714470899566
7,K562,0.2,599,59.26544240400668,1.5699558173784978,0.013371192389796284,0.10182642485182969
