,Feature,Cell Line,Significant Events,dpsi_shap_concordance,FET OR,FET P-Value,MCC,True Positives,True Negatives,False Negatives,False Positives
65,ELAC2 Position 5,K562,3,33.33333333333333,,,0.0,1,0,2,0
66,ELAC2 Position 6,K562,3,100.0,,,0.0,3,0,0,0
67,EXOSC10 Position 2,K562,3,0.0,,,0.0,0,0,0,3
68,IGF2BP1 Position 2,HepG2,3,33.33333333333333,,,0.0,0,1,2,0
69,EXOSC5 Position 2,K562,3,33.33333333333333,,,0.0,1,0,0,2
70,CDC40 Position 6,HepG2,3,66.66666666666666,,,0.0,0,2,1,0
71,IGF2BP1 Position 4,K562,3,0.0,,,0.0,0,0,0,3
72,TRA2A Position 5,K562,3,66.66666666666666,,,0.0,2,0,1,0
73,SRSF7 Position 4,HepG2,3,100.0,,,0.0,3,0,0,0
74,SRSF7 Position 1,K562,3,0.0,,,0.0,0,0,3,0
75,DGCR8 Position 4,K562,3,100.0,,,0.0,0,3,0,0
76,DGCR8 Position 3,K562,2,100.0,,,0.0,0,2,0,0
77,DGCR8 Position 5,K562,2,0.0,,,0.0,0,0,0,2
78,ZNF800 Position 6,K562,2,100.0,,,0.0,0,2,0,0
79,MORC2 Position 1,K562,2,50.0,,,0.0,0,1,1,0
80,XRCC6 Position 1,K562,2,0.0,,,0.0,0,0,0,2
81,DROSHA Position 3,HepG2,2,50.0,,,0.0,1,0,0,1
82,SAFB Position 6,K562,2,100.0,,,0.0,0,2,0,0
83,RNF187 Position 6,K562,2,50.0,,,0.0,0,1,1,0
84,SRSF7 Position 3,K562,2,0.0,,,0.0,0,0,2,0
85,EIF3H Position 4,HepG2,2,50.0,,,0.0,1,0,0,1
86,XRCC6 Position 5,K562,2,50.0,,,0.0,0,1,1,0
87,XRCC6 Position 3,K562,2,100.0,,,0.0,0,2,0,0
88,RBM5 Position 1,HepG2,2,50.0,,,0.0,0,1,1,0
89,IGF2BP1 Position 2,K562,2,100.0,,,0.0,0,2,0,0
90,IGF2BP1 Position 1,K562,2,50.0,,,0.0,0,1,1,0
91,IGF2BP1 Position 6,HepG2,2,0.0,,,0.0,0,0,2,0
92,IGF2BP1 Position 4,HepG2,2,50.0,,,0.0,1,0,0,1
93,EXOSC10 Position 4,K562,2,0.0,,,0.0,0,0,0,2
94,EXOSC10 Position 3,K562,2,100.0,,,0.0,0,2,0,0
95,AGGF1 Position 5,HepG2,2,0.0,,,0.0,0,0,0,2
96,EXOSC10 Position 5,K562,2,50.0,,,0.0,0,1,1,0
97,RPS6 Position 5,K562,1,0.0,,,0.0,0,0,1,0
98,RPS6 Position 6,K562,1,100.0,,,0.0,0,1,0,0
99,ELAC2 Position 3,K562,1,0.0,,,0.0,0,0,1,0
100,ZNF800 Position 1,K562,1,100.0,,,0.0,0,1,0,0
101,ZNF800 Position 2,K562,1,100.0,,,0.0,0,1,0,0
102,IGF2BP1 Position 3,K562,1,0.0,,,0.0,0,0,0,1
103,ZC3H11A Position 6,HepG2,1,0.0,,,0.0,0,0,1,0
104,RBM5 Position 3,HepG2,1,0.0,,,0.0,0,0,0,1
