RBP	Cell Line	Position	Positional Preference (%)	Avg. SHAP
GPKOW	K562	1	16.710442644253366	0.02905409160703542
GPKOW	K562	2	15.531102448075545	-0.3467357138862143
GPKOW	K562	3	18.026486770438773	0.051151383724964125
GPKOW	K562	4	11.829344343375697	0.4446525009184299
GPKOW	K562	5	24.614694597276365	-0.005297017303475741
GPKOW	K562	6	13.28792919658025	-0.12701226567693796
GRSF1	HepG2	1	15.060863224839489	0.07260137840681914
GRSF1	HepG2	2	25.686103740911026	0.0
GRSF1	HepG2	3	13.450671419601806	0.0
GRSF1	HepG2	4	11.342231584064164	0.0
GRSF1	HepG2	5	18.02807202317056	0.0
GRSF1	HepG2	6	16.43205800741296	-0.017430607894517853
GRWD1	HepG2	1	15.943666397272501	-0.1062642277238226
GRWD1	K562	1	14.309887316364176	-0.024775836009346037
GRWD1	HepG2	2	22.064867197013633	-0.08721312593868383
GRWD1	K562	2	20.11553196831033	-0.011241628238359936
GRWD1	HepG2	3	11.614145225861215	1.1111948765265554
GRWD1	K562	3	12.247154200614926	0.7067207735157118
GRWD1	HepG2	4	14.511096486360161	1.0158684864157408
GRWD1	K562	4	13.509427079873774	0.6420099828625888
GRWD1	HepG2	5	16.18377632259769	-0.2744189100205242
GRWD1	K562	5	20.59141740004661	-0.0209008574549572
GRWD1	HepG2	6	19.6824483708948	-0.22068004141978667
GRWD1	K562	6	19.226582034790184	-0.2618911728033281
GTF2F1	HepG2	1	18.270111341398756	0.09226205413285483
GTF2F1	K562	1	15.653733723093277	-0.007964598119887572
GTF2F1	HepG2	2	46.189810575022896	-0.006984811408281988
GTF2F1	K562	2	41.8549030029232	-0.016372037905453572
GTF2F1	HepG2	3	11.769573110971868	-0.02071434028872422
GTF2F1	K562	3	14.368854637257508	-0.025238270132889602
GTF2F1	HepG2	4	10.465770151507849	-0.09451395151808575
GTF2F1	K562	4	12.897953760297634	-0.09016833681491547
GTF2F1	HepG2	5	6.4828649925290405	0.016857666007872103
GTF2F1	K562	5	8.096598458676588	0.003733675506503568
GTF2F1	HepG2	6	6.821869828569592	0.0
GTF2F1	K562	6	7.127956417751793	0.01453745495090363
HLTF	HepG2	1	16.44781577237492	-0.07487615213740147
HLTF	K562	1	18.330837733469934	0.30630759235288274
HLTF	HepG2	2	17.162544009428974	0.6256391272961515
HLTF	K562	2	10.32390259279691	-0.11945884598090369
HLTF	HepG2	3	14.169147312591607	0.0
HLTF	K562	3	22.200330995350303	0.0
