Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
K562	xgboost	APOBEC3C-PCBP1	2	-0.4694060863637657	0.03564742804410248	361	4752	-0.5050535144078682
K562	xgboost	RBM22-TIA1	6	-0.32977455339989703	0.23307821645454319	91	6705	-0.5628527698544402
K562	xgboost	EWSR1-NONO	5	-0.16087018527328079	0.4399137848804422	610	2962	-0.600783970153723
K562	xgboost	EWSR1-NONO	1	-0.22923113699083686	0.3725180482632289	295	1831	-0.6017491852540657
K562	xgboost	GTF2F1-PCBP1	3	-0.5699275022598855	0.06771910844255702	112	5565	-0.6376466107024426
K562	xgboost	RBFOX2-SF3B4	3	-0.3951743994211099	0.2755840146064469	879	24604	-0.6707584140275568
HepG2	xgboost	RBFOX2-SF3B4	3	-0.531393389639016	0.1607639426141304	1524	18342	-0.6921573322531464
HepG2	xgboost	HNRNPK-U2AF2	1	-0.46007303333008553	0.2566672480997044	93	15007	-0.71674028142979
K562	xgboost	HNRNPK-PCBP1	6	-0.5584288643368254	0.205841102231885	618	3829	-0.7642699665687104
K562	xgboost	HNRNPK-U2AF2	5	-0.6604270809612651	0.10869761445617898	23	14618	-0.7691246954174441
K562	xgboost	APOBEC3C-PCBP1	1	-0.4694060863637657	0.30114294472408754	361	1512	-0.7705490310878532
K562	xgboost	RBFOX2-SF3B4	4	-0.5346104725373153	0.3049755947175803	543	23020	-0.8395860672548956
HepG2	xgboost	HNRNPK-LARP4	3	-0.6575225701603193	0.20216657601061294	61	5255	-0.8596891461709323
K562	xgboost	HNRNPK-PCBP1	2	-0.6108958177838502	0.2824084342107648	638	4052	-0.8933042519946149
HepG2	xgboost	PTBP1-QKI	4	-1.0133744419757909	-0.09608655939457367	36	6302	-0.9172878825812172
K562	xgboost	RBM22-TIA1	5	-0.7595181663689823	0.15806320661398954	738	8956	-0.9175813729829718
HepG2	xgboost	RBFOX2-SF3B4	4	-0.7681313018124127	0.1649425089075809	609	14227	-0.9330738107199936
K562	xgboost	HNRNPK-PCBP1	5	-0.7107307467868214	0.2438862674361295	414	3336	-0.9546170142229509
HepG2	xgboost	PCBP2-QKI	5	-1.001589989705436	-0.009770436534823235	85	6741	-0.9918195531706127
K562	xgboost	MBNL1-RBFOX2	4	-0.7577797582743195	0.23916163767442022	218	3315	-0.9969413959487398
K562	xgboost	EWSR1-RBM15	3	-0.9489946232464994	0.058206942250588756	91	5359	-1.007201565497088
HepG2	xgboost	QKI-RBFOX2	1	-0.7400761531285545	0.3083920521582555	24	3500	-1.04846820528681
