Cell Line	Combination	Mismatched Graphs
K562	('ENSE00002315519', 'ENSE00002225652', 'ENSE00003563668')	1
K562	('ENSE00003532640', 'ENSE00003575973', 'ENSE00003489843')	1
K562	('ENSE00003488688', 'ENSE00003579176', 'ENSE00002737373')	1
K562	('ENSE00003629248', 'ENSE00003551360', 'ENSE00001643347')	1
K562	('ENSE00003641872', 'ENSE00002366155', 'ENSE00003619004')	1
K562	('ENSE00003660432', 'ENSE00003505196', 'ENSE00003616525')	1
K562	('ENSE00001360956', 'ENSE00001552809', 'ENSE00001360970')	1
K562	('ENSE00003649462', 'ENSE00001948436', 'ENSE00003587309')	1
K562	('ENSE00003651189', 'ENSE00001508563', 'ENSE00003534976')	1
K562	('ENSE00003530760', 'ENSE00003575101', 'ENSE00003496107')	1
K562	('ENSE00001249670', 'ENSE00001249678', 'ENSE00002305773')	1
K562	('ENSE00003616796', 'ENSE00002116220', 'ENSE00002118438')	1
K562	('ENSE00003504879', 'ENSE00003529307', 'ENSE00003603439')	1
K562	('ENSE00001192704', 'ENSE00001218890', 'ENSE00001218896')	1
K562	('ENSE00003478066', 'ENSE00003653044', 'ENSE00003516814')	1
K562	('ENSE00003706737', 'ENSE00003517673', 'ENSE00003706940')	1
K562	('ENSE00000540397', 'ENSE00000768397', 'ENSE00003790922')	1
K562	('ENSE00002946308', 'ENSE00003529251', 'ENSE00003631963')	1
K562	('ENSE00001418337', 'ENSE00003630475', 'ENSE00003685576')	1
K562	('ENSE00003542554', 'ENSE00003480562', 'ENSE00003668319')	1
K562	('ENSE00002621605', 'ENSE00003640745', 'ENSE00002592246')	1
K562	('ENSE00003522851', 'ENSE00003689793', 'ENSE00003633755')	1
K562	('ENSE00000845470', 'ENSE00001673069', 'ENSE00000845471')	1
K562	('ENSE00002110149', 'ENSE00002128859', 'ENSE00002091161')	1
K562	('ENSE00003265562', 'ENSE00003446946', 'ENSE00003390402')	1
K562	('ENSE00003491156', 'ENSE00003521831', 'ENSE00003628114')	1
K562	('ENSE00001131027', 'ENSE00002794630', 'ENSE00003536196')	1
K562	('ENSE00003629261', 'ENSE00003498734', 'ENSE00001725522')	1
K562	('ENSE00001339045', 'ENSE00003591158', 'ENSE00003691020')	1
K562	('ENSE00001791302', 'ENSE00003512685', 'ENSE00002299405')	1
K562	('ENSE00001062421', 'ENSE00001062417', 'ENSE00002594816')	1
K562	('ENSE00002250977', 'ENSE00003467197', 'ENSE00000903719')	1
K562	('ENSE00003671911', 'ENSE00003658034', 'ENSE00003614614')	1
K562	('ENSE00002363097', 'ENSE00002405932', 'ENSE00002336181')	1
K562	('ENSE00001840975', 'ENSE00003675665', 'ENSE00003651593')	1
K562	('ENSE00003672923', 'ENSE00003493202', 'ENSE00003594094')	1
K562	('ENSE00003601502', 'ENSE00003508948', 'ENSE00003518583')	1
K562	('ENSE00003582251', 'ENSE00002235635', 'ENSE00002451634')	1
K562	('ENSE00003646917', 'ENSE00002045700', 'ENSE00003463729')	1
K562	('ENSE00003508668', 'ENSE00003516318', 'ENSE00003694470')	1
K562	('ENSE00003495204', 'ENSE00001927625', 'ENSE00003691513')	1
K562	('ENSE00001460614', 'ENSE00000661912', 'ENSE00001460615')	1
K562	('ENSE00003704568', 'ENSE00003708315', 'ENSE00001781076')	1
K562	('ENSE00003559463', 'ENSE00003656431', 'ENSE00003459455')	1
K562	('ENSE00003511409', 'ENSE00003501668', 'ENSE00003628677')	1
K562	('ENSE00003722395', 'ENSE00003731391', 'ENSE00003736497')	1
K562	('ENSE00001804624', 'ENSE00003640471', 'ENSE00003608509')	1
K562	('ENSE00001194859', 'ENSE00001194865', 'ENSE00003796200')	1
K562	('ENSE00000966684', 'ENSE00003837634', 'ENSE00000966683')	1
K562	('ENSE00000742805', 'ENSE00000742804', 'ENSE00000742806')	1
K562	('ENSE00000741202', 'ENSE00000741201', 'ENSE00000886403')	1
K562	('ENSE00000778144', 'ENSE00000778145', 'ENSE00003518152')	1
K562	('ENSE00003671014', 'ENSE00003522087', 'ENSE00003522768')	1
K562	('ENSE00001122759', 'ENSE00003461548', 'ENSE00001042832')	1
K562	('ENSE00003549581', 'ENSE00003575946', 'ENSE00003651644')	1
K562	('ENSE00001681606', 'ENSE00001771913', 'ENSE00001729648')	1
K562	('ENSE00003667124', 'ENSE00003505597', 'ENSE00003689239')	1
K562	('ENSE00001429123', 'ENSE00003478009', 'ENSE00001125401')	1
K562	('ENSE00000906882', 'ENSE00000906881', 'ENSE00000906883')	1
K562	('ENSE00001783379', 'ENSE00001799851', 'ENSE00001803163')	1
K562	('ENSE00002178714', 'ENSE00003647796', 'ENSE00000863911')	1
K562	('ENSE00000619140', 'ENSE00000751955', 'ENSE00000751956')	1
K562	('ENSE00001040626', 'ENSE00001129897', 'ENSE00001040515')	1
K562	('ENSE00003515851', 'ENSE00003555381', 'ENSE00003666045')	1
K562	('ENSE00003525842', 'ENSE00003572049', 'ENSE00001833904')	1
K562	('ENSE00003459987', 'ENSE00003525926', 'ENSE00001424216')	1
K562	('ENSE00003664813', 'ENSE00003512802', 'ENSE00003543151')	1
K562	('ENSE00003613947', 'ENSE00003681059', 'ENSE00002365696')	1
K562	('ENSE00002678278', 'ENSE00003568980', 'ENSE00003612885')	1
K562	('ENSE00001068110', 'ENSE00001068120', 'ENSE00001068111')	1
K562	('ENSE00000651606', 'ENSE00000651605', 'ENSE00000651607')	1
K562	('ENSE00003219644', 'ENSE00003641533', 'ENSE00003011062')	1
K562	('ENSE00003594896', 'ENSE00003515284', 'ENSE00003714922')	1
K562	('ENSE00003512074', 'ENSE00003527750', 'ENSE00002093997')	1
K562	('ENSE00003705917', 'ENSE00003637424', 'ENSE00003710359')	1
K562	('ENSE00003783963', 'ENSE00003493481', 'ENSE00002887739')	1
K562	('ENSE00000804208', 'ENSE00000771551', 'ENSE00000771554')	1
K562	('ENSE00002262543', 'ENSE00003633372', 'ENSE00003656303')	1
K562	('ENSE00003788222', 'ENSE00003651735', 'ENSE00001534714')	1
K562	('ENSE00003474036', 'ENSE00003466747', 'ENSE00003633204')	1
K562	('ENSE00003806460', 'ENSE00003806294', 'ENSE00003803646')	1
K562	('ENSE00001101063', 'ENSE00002467590', 'ENSE00001185909')	1
K562	('ENSE00002590246', 'ENSE00003482606', 'ENSE00003648979')	1
K562	('ENSE00003702941', 'ENSE00003705936', 'ENSE00003702863')	1
K562	('ENSE00003634914', 'ENSE00003028134', 'ENSE00003522027')	1
K562	('ENSE00003640652', 'ENSE00003594404', 'ENSE00003516881')	1
K562	('ENSE00003639479', 'ENSE00003578795', 'ENSE00003657286')	1
K562	('ENSE00003693793', 'ENSE00003502505', 'ENSE00003476733')	1
K562	('ENSE00001669362', 'ENSE00001689231', 'ENSE00000380269')	1
K562	('ENSE00003625577', 'ENSE00003506967', 'ENSE00002760630')	1
K562	('ENSE00003501267', 'ENSE00003466489', 'ENSE00003522030')	1
K562	('ENSE00003548383', 'ENSE00003658351', 'ENSE00003466194')	1
K562	('ENSE00003688063', 'ENSE00002626879', 'ENSE00003473392')	1
K562	('ENSE00001132651', 'ENSE00000877375', 'ENSE00001723825')	1
K562	('ENSE00003821589', 'ENSE00003825168', 'ENSE00003828022')	1
K562	('ENSE00001064560', 'ENSE00003693987', 'ENSE00001191836')	1
K562	('ENSE00003647029', 'ENSE00003564883', 'ENSE00002032842')	1
K562	('ENSE00001945430', 'ENSE00001868020', 'ENSE00001939250')	1
K562	('ENSE00003705309', 'ENSE00001870733', 'ENSE00003703955')	1
K562	('ENSE00000868206', 'ENSE00000868205', 'ENSE00000868207')	1
K562	('ENSE00003777010', 'ENSE00003775651', 'ENSE00003782682')	1
K562	('ENSE00000799918', 'ENSE00000768125', 'ENSE00001250652')	1
K562	('ENSE00003565938', 'ENSE00003552193', 'ENSE00001064640')	1
K562	('ENSE00001603471', 'ENSE00001786542', 'ENSE00001735686')	1
K562	('ENSE00002154717', 'ENSE00003575528', 'ENSE00003684915')	1
K562	('ENSE00003676444', 'ENSE00001450533', 'ENSE00003600039')	1
K562	('ENSE00000957637', 'ENSE00001455517', 'ENSE00000957636')	1
K562	('ENSE00003691613', 'ENSE00003553407', 'ENSE00003497277')	1
K562	('ENSE00002354839', 'ENSE00001854526', 'ENSE00003572049')	1
K562	('ENSE00003518767', 'ENSE00003461772', 'ENSE00003671533')	1
K562	('ENSE00001305527', 'ENSE00001189454', 'ENSE00001329934')	1
K562	('ENSE00003649291', 'ENSE00003683025', 'ENSE00003719634')	1
K562	('ENSE00003717788', 'ENSE00003575367', 'ENSE00003548080')	1
K562	('ENSE00001647342', 'ENSE00001674720', 'ENSE00001925122')	1
K562	('ENSE00002316005', 'ENSE00001550148', 'ENSE00003788871')	1
K562	('ENSE00000924982', 'ENSE00003669808', 'ENSE00000924983')	1
K562	('ENSE00003577445', 'ENSE00003493487', 'ENSE00003470309')	1
K562	('ENSE00003759234', 'ENSE00003758017', 'ENSE00001884532')	1
K562	('ENSE00003545630', 'ENSE00001841987', 'ENSE00003557059')	1
K562	('ENSE00002167115', 'ENSE00002201431', 'ENSE00002179833')	1
K562	('ENSE00003740984', 'ENSE00003745873', 'ENSE00003753046')	1
K562	('ENSE00003799787', 'ENSE00003557320', 'ENSE00003795265')	1
K562	('ENSE00003551725', 'ENSE00003471014', 'ENSE00003684671')	1
K562	('ENSE00001829533', 'ENSE00001854005', 'ENSE00003536685')	1
K562	('ENSE00003610759', 'ENSE00003461737', 'ENSE00003658957')	1
K562	('ENSE00003554064', 'ENSE00000761619', 'ENSE00001736976')	1
K562	('ENSE00002725522', 'ENSE00002709814', 'ENSE00003609306')	1
K562	('ENSE00001116851', 'ENSE00003523703', 'ENSE00002999945')	1
K562	('ENSE00003498351', 'ENSE00003480394', 'ENSE00003502638')	1
K562	('ENSE00002342990', 'ENSE00002404780', 'ENSE00000865290')	1
K562	('ENSE00003483076', 'ENSE00003592065', 'ENSE00003530984')	1
K562	('ENSE00000970332', 'ENSE00000970333', 'ENSE00001176937')	1
K562	('ENSE00001580370', 'ENSE00003759567', 'ENSE00003632907')	1
K562	('ENSE00003474998', 'ENSE00003585529', 'ENSE00003566516')	1
K562	('ENSE00003699569', 'ENSE00003695943', 'ENSE00003699342')	1
K562	('ENSE00003661502', 'ENSE00003647551', 'ENSE00003515258')	1
K562	('ENSE00001755811', 'ENSE00001712032', 'ENSE00001688568')	1
K562	('ENSE00003489868', 'ENSE00003619018', 'ENSE00001942855')	1
K562	('ENSE00001091590', 'ENSE00001466452', 'ENSE00001091585')	1
K562	('ENSE00003483850', 'ENSE00003558526', 'ENSE00002072217')	1
K562	('ENSE00003762075', 'ENSE00003571775', 'ENSE00003771270')	1
K562	('ENSE00003688588', 'ENSE00003637526', 'ENSE00003665560')	1
K562	('ENSE00000710603', 'ENSE00000710602', 'ENSE00000710605')	1
K562	('ENSE00003521802', 'ENSE00003644737', 'ENSE00003505864')	1
K562	('ENSE00001175015', 'ENSE00003653867', 'ENSE00003789643')	1
K562	('ENSE00001278662', 'ENSE00001053698', 'ENSE00001278670')	1
K562	('ENSE00002231986', 'ENSE00001860981', 'ENSE00002272405')	1
K562	('ENSE00001277986', 'ENSE00001277977', 'ENSE00001277993')	1
K562	('ENSE00001642694', 'ENSE00001647147', 'ENSE00001692272')	1
K562	('ENSE00001430354', 'ENSE00003509774', 'ENSE00001554141')	1
K562	('ENSE00002604560', 'ENSE00002624917', 'ENSE00002603255')	1
K562	('ENSE00003622791', 'ENSE00001711641', 'ENSE00003651970')	1
K562	('ENSE00003648487', 'ENSE00003724754', 'ENSE00003553160')	1
K562	('ENSE00001920894', 'ENSE00003584913', 'ENSE00003688102')	1
K562	('ENSE00003584080', 'ENSE00003492933', 'ENSE00001885780')	1
K562	('ENSE00003554001', 'ENSE00001454078', 'ENSE00003538495')	1
K562	('ENSE00001199152', 'ENSE00001252843', 'ENSE00001199149')	1
K562	('ENSE00003652625', 'ENSE00003672812', 'ENSE00002131512')	1
K562	('ENSE00001140215', 'ENSE00001140207', 'ENSE00001140221')	1
K562	('ENSE00003604895', 'ENSE00003676930', 'ENSE00003569991')	1
K562	('ENSE00001734505', 'ENSE00003529451', 'ENSE00001641353')	1
K562	('ENSE00003552827', 'ENSE00003500014', 'ENSE00001843573')	1
K562	('ENSE00003819850', 'ENSE00003821294', 'ENSE00000966337')	1
K562	('ENSE00001242743', 'ENSE00003612107', 'ENSE00001242827')	1
K562	('ENSE00003531986', 'ENSE00001907203', 'ENSE00003509898')	1
K562	('ENSE00001479322', 'ENSE00003493132', 'ENSE00003623523')	1
K562	('ENSE00000824356', 'ENSE00001752735', 'ENSE00000709696')	1
K562	('ENSE00001193983', 'ENSE00000808459', 'ENSE00001193980')	1
K562	('ENSE00001469250', 'ENSE00000917086', 'ENSE00003607523')	1
K562	('ENSE00003812207', 'ENSE00003811785', 'ENSE00003812332')	1
K562	('ENSE00003468566', 'ENSE00003677851', 'ENSE00003609755')	1
K562	('ENSE00003477504', 'ENSE00003791320', 'ENSE00003465865')	1
K562	('ENSE00003495463', 'ENSE00003508124', 'ENSE00001353428')	1
K562	('ENSE00003632037', 'ENSE00003604124', 'ENSE00003459496')	1
K562	('ENSE00001260662', 'ENSE00002121133', 'ENSE00001260653')	1
K562	('ENSE00000916515', 'ENSE00000916513', 'ENSE00003614192')	1
K562	('ENSE00003586484', 'ENSE00003631404', 'ENSE00003471689')	1
K562	('ENSE00003618390', 'ENSE00003632285', 'ENSE00003647308')	1
K562	('ENSE00002514209', 'ENSE00003784412', 'ENSE00002504506')	1
K562	('ENSE00001322634', 'ENSE00001299035', 'ENSE00001506215')	1
K562	('ENSE00001847376', 'ENSE00003582014', 'ENSE00003564104')	1
K562	('ENSE00003646644', 'ENSE00002558806', 'ENSE00003509778')	1
K562	('ENSE00003564820', 'ENSE00003485503', 'ENSE00003685679')	1
K562	('ENSE00001831348', 'ENSE00001376996', 'ENSE00001881145')	1
K562	('ENSE00003589079', 'ENSE00003665956', 'ENSE00001348045')	1
K562	('ENSE00003608070', 'ENSE00003682768', 'ENSE00003654711')	1
K562	('ENSE00000956026', 'ENSE00000956027', 'ENSE00001460236')	1
K562	('ENSE00001506036', 'ENSE00001548058', 'ENSE00003583580')	1
K562	('ENSE00003816673', 'ENSE00001664803', 'ENSE00002242686')	1
K562	('ENSE00003502590', 'ENSE00003666749', 'ENSE00003670828')	1
K562	('ENSE00003466243', 'ENSE00003666046', 'ENSE00003667193')	1
K562	('ENSE00002591062', 'ENSE00003618270', 'ENSE00002606979')	1
K562	('ENSE00001157711', 'ENSE00003627691', 'ENSE00001157710')	1
K562	('ENSE00003547123', 'ENSE00002076707', 'ENSE00002065551')	1
K562	('ENSE00003467127', 'ENSE00003662792', 'ENSE00002314707')	1
K562	('ENSE00000921378', 'ENSE00000921377', 'ENSE00000921379')	1
K562	('ENSE00003682627', 'ENSE00002079498', 'ENSE00003520305')	1
K562	('ENSE00001298588', 'ENSE00001303665', 'ENSE00001302126')	1
K562	('ENSE00003608211', 'ENSE00003530234', 'ENSE00003549245')	1
K562	('ENSE00003479356', 'ENSE00003641335', 'ENSE00003690585')	1
K562	('ENSE00003640089', 'ENSE00003549683', 'ENSE00000881220')	1
K562	('ENSE00001252046', 'ENSE00000755453', 'ENSE00003673664')	1
K562	('ENSE00003559186', 'ENSE00003495195', 'ENSE00000906661')	1
K562	('ENSE00003572782', 'ENSE00002326707', 'ENSE00003610831')	1
K562	('ENSE00001810065', 'ENSE00001043021', 'ENSE00001943659')	1
K562	('ENSE00000764894', 'ENSE00000455901', 'ENSE00000764895')	1
K562	('ENSE00000842326', 'ENSE00000707574', 'ENSE00003483226')	1
K562	('ENSE00003521248', 'ENSE00003606366', 'ENSE00003568243')	1
K562	('ENSE00003673693', 'ENSE00003579412', 'ENSE00003785912')	1
K562	('ENSE00001491660', 'ENSE00003727353', 'ENSE00003728584')	1
K562	('ENSE00001135603', 'ENSE00001135613', 'ENSE00001880464')	1
K562	('ENSE00001266537', 'ENSE00001080016', 'ENSE00002044783')	1
K562	('ENSE00003632105', 'ENSE00002147083', 'ENSE00003481431')	1
K562	('ENSE00003483496', 'ENSE00003669838', 'ENSE00003532909')	1
K562	('ENSE00003619690', 'ENSE00003460373', 'ENSE00003487911')	1
K562	('ENSE00003540161', 'ENSE00003784459', 'ENSE00003508172')	1
K562	('ENSE00000740967', 'ENSE00000740964', 'ENSE00000740969')	1
K562	('ENSE00001129808', 'ENSE00003510429', 'ENSE00000882688')	1
K562	('ENSE00001425011', 'ENSE00001019961', 'ENSE00001097766')	1
K562	('ENSE00003513318', 'ENSE00003662345', 'ENSE00001485761')	1
K562	('ENSE00000931013', 'ENSE00000931012', 'ENSE00000931014')	1
K562	('ENSE00000895010', 'ENSE00003479386', 'ENSE00003558326')	1
K562	('ENSE00003640064', 'ENSE00003640739', 'ENSE00003489402')	1
K562	('ENSE00003682407', 'ENSE00003616060', 'ENSE00002630276')	1
K562	('ENSE00003680847', 'ENSE00003625358', 'ENSE00003527107')	1
K562	('ENSE00003541891', 'ENSE00001188169', 'ENSE00003601957')	1
K562	('ENSE00003615773', 'ENSE00003647076', 'ENSE00003639661')	1
K562	('ENSE00001086784', 'ENSE00001086849', 'ENSE00001086790')	1
K562	('ENSE00001771684', 'ENSE00003534265', 'ENSE00003689993')	1
K562	('ENSE00001589875', 'ENSE00001380537', 'ENSE00002227183')	1
K562	('ENSE00001255270', 'ENSE00001255265', 'ENSE00001255275')	1
K562	('ENSE00000850652', 'ENSE00003483043', 'ENSE00000850653')	1
K562	('ENSE00003490611', 'ENSE00003830926', 'ENSE00003597423')	1
K562	('ENSE00001374433', 'ENSE00001070501', 'ENSE00001146757')	1
K562	('ENSE00003556100', 'ENSE00003543911', 'ENSE00001875555')	1
K562	('ENSE00003576525', 'ENSE00001420895', 'ENSE00001804284')	1
K562	('ENSE00003572811', 'ENSE00001072179', 'ENSE00003681994')	1
K562	('ENSE00002182054', 'ENSE00003507057', 'ENSE00001424800')	1
K562	('ENSE00003660882', 'ENSE00003587789', 'ENSE00002431470')	1
K562	('ENSE00003593245', 'ENSE00001926778', 'ENSE00003511990')	1
K562	('ENSE00003205619', 'ENSE00003099848', 'ENSE00003580700')	1
K562	('ENSE00000676191', 'ENSE00000676190', 'ENSE00000676192')	1
K562	('ENSE00002245255', 'ENSE00003627984', 'ENSE00001665094')	1
K562	('ENSE00001432611', 'ENSE00003475123', 'ENSE00001855230')	1
K562	('ENSE00003526418', 'ENSE00001209504', 'ENSE00001719245')	1
K562	('ENSE00003654515', 'ENSE00003521630', 'ENSE00003614770')	1
K562	('ENSE00003513212', 'ENSE00003550561', 'ENSE00003489136')	1
K562	('ENSE00003606561', 'ENSE00002538171', 'ENSE00003641242')	1
K562	('ENSE00000660549', 'ENSE00000870533', 'ENSE00000660550')	1
K562	('ENSE00003653916', 'ENSE00003536791', 'ENSE00003600216')	1
K562	('ENSE00003567889', 'ENSE00003528233', 'ENSE00003523312')	1
K562	('ENSE00001491216', 'ENSE00001715822', 'ENSE00003693407')	1
