Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
ELAC2,FMR1,6,0.05636627103324143,0.8357446864553342,-0.272459499263623,0.30729462096477433,16
AATF,LARP4,1,0.8589900311377643,1.0067761701488486e-05,0.46503067484662586,0.05998603012249051,17
AATF,LARP4,2,0.46197026120756846,0.053597223775538834,0.7679324894514767,0.00019809582686016743,18
AATF,LARP4,3,,,,,19
AATF,LARP4,5,0.22857392473177235,0.15600171342940622,0.07091798470094796,0.6636711217348215,40
AATF,LARP4,6,-0.05915702667286434,0.9113679715895897,0.823529411764706,0.04396499084062688,6
DDX1,DDX24,1,0.8281949263381327,1.232182409878543e-12,0.6704924102184376,3.436106504437033e-07,46
DDX1,DDX24,2,1.0,1.0,0.9999999999999999,,2
DDX1,DDX24,3,-0.8915755754704041,4.351831850258765e-25,-0.8472805576322783,2.3344269189466113e-20,70
DDX1,DDX24,4,-0.9683130854705024,2.5303743717187653e-26,-0.7439849933216668,1.0829066014940558e-08,43
DDX1,DDX24,5,,,,,22
FXR1,GRWD1,1,0.7324955492349486,5.925377979824272e-23,0.4957750651998225,2.3161448877409903e-09,129
FXR1,GRWD1,2,0.3975625266765692,1.4965932647412177e-10,0.20663516047797,0.0012551145313882913,241
FXR1,GRWD1,3,0.8886066731507846,8.130651935933356e-45,0.7645062737794674,5.555230924181155e-26,129
FXR1,GRWD1,4,0.7830929403881467,2.5625382337753634e-37,0.7569878168444616,1.3083976538184688e-33,174
FXR1,GRWD1,5,0.34881678922214776,5.03609821554627e-06,0.19184685171502486,0.014154456061965777,163
FXR1,GRWD1,6,0.1585591151636171,0.01833785847011634,0.34858342625956273,1.0348278878594922e-07,221
GARS,RBFOX2,2,0.8026681704826334,6.094660565231523e-05,0.6334935927398361,0.004764276559541044,18
METAP2,MTPAP,1,0.5708594944714724,0.6132201923654845,0.5,0.6666666666666667,3
METAP2,MTPAP,2,0.9884143632446932,0.00020056291602799843,0.753702346348183,0.0835232813732598,6
METAP2,MTPAP,3,0.9834112741419051,8.413027695505422e-24,0.9817213562764557,3.565023567146149e-23,32
METAP2,MTPAP,4,-0.8756692704931021,0.0004110144395110935,-0.9999999999999999,9.370452282996513e-72,11
METAP2,MTPAP,5,1.0,1.0,0.9999999999999999,,2
METAP2,MTPAP,6,-0.40244491362759194,0.5975550863724082,-0.39999999999999997,0.6,4
FUS,NIPBL,2,,,,,17
FUS,NIPBL,4,1.0,1.0,0.9999999999999999,,2
FUS,NIPBL,6,1.0,1.0,0.9999999999999999,,2
SRSF7,ZNF622,1,0.48325261015967425,7.859597318283787e-21,0.12350067511124227,0.024422044868841655,332
SRSF7,ZNF622,2,0.6816454006170902,2.6959177592089576e-92,0.37056692565688065,3.868668060688833e-23,667
SRSF7,ZNF622,3,0.015294677007191445,0.7908954980807947,-0.4825857415645971,4.418575764640017e-19,303
SRSF7,ZNF622,4,-0.05633498378312389,0.18390815173373712,-0.04591559200316205,0.27891580619489137,558
SRSF7,ZNF622,5,0.4736922298619115,7.198830988782388e-22,0.5235878251926311,3.747806262991668e-27,366
SRSF7,ZNF622,6,0.7836380324339243,1.413112808301263e-126,0.16017032044943422,7.69159779442696e-05,604
DROSHA,METAP2,1,-0.024127766765803395,0.8234306460619703,-0.4780004931834994,2.4802010352700168e-06,88
DROSHA,METAP2,2,0.6246340379071748,1.2951564350618635e-42,0.7103180408734695,9.161184587842737e-60,381
DROSHA,METAP2,3,0.017776917639006885,0.8360502126455965,-0.07316048356526623,0.3937884169151863,138
DROSHA,METAP2,4,0.8769531284176524,1.036622333467721e-11,-0.20427807486631014,0.24651633570605946,34
DROSHA,METAP2,5,-0.49163597738591136,0.01718981949898725,-0.6123054301085497,0.0018992921220675777,23
DROSHA,METAP2,6,-0.7246175592236155,0.00020302966218759303,-0.8317025440313112,2.9711860110166618e-06,21
DDX52,FASTKD2,1,-0.047499433992852974,0.6698029428182313,-0.14703011119813106,0.1847022786776632,83
DDX52,FASTKD2,2,0.3657771147168314,3.1067025574123408e-12,0.46208141564742405,1.9335874522336147e-19,341
DDX52,FASTKD2,3,-0.03675967940465273,0.7165317147087372,0.029345764775205504,0.7719458502799843,100
DDX52,FASTKD2,4,-0.18410475054308093,0.46459475112215154,0.6597510373443984,0.002891072408853971,18
DDX52,FASTKD2,6,,,,,45
DDX51,PTBP1,1,-0.9763982234871738,6.3340261954517e-31,-0.696264312281992,7.748264515033756e-08,46
DDX51,PTBP1,6,,,,,44
TIA1,YWHAG,1,-0.24466211874678534,0.08682338447861059,0.2885542482906675,0.042130141758418546,50
LARP4,NIPBL,1,-0.9998541666078081,2.114023563994418e-06,-1.0,0.0,5
LARP4,NIPBL,2,,,,,10
LARP4,NIPBL,4,0.6805346313545165,0.00018142027002905178,0.9836381317943447,1.267176495222208e-18,25
LARP4,NIPBL,5,-0.5251041951845702,0.4748958048154299,-1.0,0.0,4
LARP4,NIPBL,6,0.6736012900534152,0.00030837874963378316,0.28552689112374285,0.17622422788410455,24
FUS,RPS3,1,0.16342355868639344,0.0697408434734894,0.3222907744904833,0.00026179662851572537,124
