Plot Type	Cell Line	PPI Source	PPI Type	Curve	AUC	ROC Input Table: # INTER-RBP Interaction Features (Rows)	# Rows as % of All INTER-RBP Interaction Effects	ROC Input Table: # True PPIs	% Rows w/ True PPI	# Rows w/ 0 Abs. SHAP Value	% Rows w/ 0 Abs. SHAP Value	Abs. SHAP - Min Val	Abs. SHAP - 50th Percentile	Abs. SHAP - 75th Percentile	Abs. SHAP - 90th Percentile	Abs. SHAP - 95th Percentile	Abs. SHAP - 99th Percentile	Abs. SHAP - Max Val	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.6111918924873319	1528	0.7773707773707773	15	0.981675392670157	1175	76.8979057591623	0.0	0.0	0.0	0.05077999904751766	0.14126886501908292	0.5038249102234843	1.1921803951263428	0.5357045195131861	0.5495801506493652	0.5496805463758537	0.5789241775953433	0.6110988715086534	0.6116448838667964	0.6114571004505643	0.61134905276184
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.6106154198123999	4481	1.297802337839873	141	3.1466190582459275	2204	49.185449676411515	0.0	8.315184459206648e-6	0.04925531521439552	0.1765429824590683	0.3211708068847656	0.684283328056335	1.8087801933288574	0.49748743718592964	0.49863538371222793	0.5025488505241422	0.515638788116482	0.5404914425161509	0.5605137502266979	0.5762682003137563	0.5901689708141321
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.6065597381342062	3080	0.8920399911954493	25	0.8116883116883116	1299	42.175324675324674	0.0	0.0014945868751965463	0.0687183253467083	0.218953429162502	0.3762787997722617	0.7702866971492768	1.8087801933288574	0.49748743718592964	0.4936708860759494	0.48717948717948717	0.5121715910069774	0.5422804146208402	0.5633002791951478	0.5771890343698854	0.5832144026186579
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.6023094532722866	2335	1.1879324379324379	79	3.3832976445396143	1861	79.70021413276231	0.0	0.0	0.0	0.04233966171741483	0.13310368806123732	0.5213593482971178	1.5624902248382568	0.5083934801036334	0.5213760297097324	0.5358764884754651	0.5556094991046159	0.5817357951409512	0.591190601267484	0.5957998192541687	0.5984518923726612
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.6004351773582542	3675	1.0643658985854794	126	3.428571428571429	2367	64.40816326530611	0.0	0.0	0.005641971714794636	0.070821775496006	0.16239040195941887	0.47778533875941936	1.8087801933288574	0.5033815150884011	0.5094232568151055	0.5187440946809783	0.5313987043310352	0.5537556099216661	0.5695034533646901	0.5817105237900226	0.5893390863548578
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H	All-Positions	roc	0.5983292458614348	2845	0.8239784983607317	49	1.7223198594024607	1506	52.934973637961335	0.0	0.0	0.03865719959139824	0.14738340377807616	0.27107390165328893	0.6170031142234795	1.759062647819519	0.49967348640666176	0.5058963445214018	0.5108508903726562	0.515319568080225	0.5358935181130153	0.5566037573827814	0.5755826472219789	0.5859547157670645
RBP-SPECIFIC_MAX_VALUE	HepG2	Street et al | IP-MS	Same-Position	roc	0.5978865479841226	1528	0.7773707773707773	51	3.337696335078534	1175	76.8979057591623	0.0	0.0	0.0	0.05077999904751766	0.14126886501908292	0.5038249102234843	1.1921803951263428	0.5085214061332457	0.5274275046871589	0.5438894964961316	0.5656202116666073	0.5810414739882261	0.5885427254843365	0.5924161212910081	0.5946448136474621
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H	Same-Position	roc	0.596441947565543	1632	0.8302808302808303	30	1.8382352941176472	1311	80.33088235294117	0.0	0.0	0.0	0.04152871482074263	0.13618873581290122	0.5083114555478109	1.5624902248382568	0.5069186966877668	0.5139409071993342	0.5271935721373924	0.5405523797008126	0.5770446255905608	0.5859588360570048	0.5903045136593963	0.5928049496952339
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.5953934422833944	2560	0.7414358368377761	19	0.7421875	1487	58.08593749999999	0.0	0.0	0.01301232841797173	0.08602857142686844	0.18698074296116823	0.5255280077457417	1.8087801933288574	0.49748743718592964	0.4936708860759494	0.5109940564486019	0.5240820624854873	0.5683078218963387	0.5920769351672813	0.596628451293523	0.5962521019966422
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP-MS	Same-Position	roc	0.5917768773924929	2560	0.7414358368377761	83	3.2421875000000004	1487	58.08593749999999	0.0	0.0	0.01301232841797173	0.08602857142686844	0.18698074296116823	0.5255280077457417	1.8087801933288574	0.4991421837702895	0.5041894965480499	0.511357438698616	0.5294797104829235	0.5523663757438582	0.5623158525002191	0.5706873720153119	0.5791072178446117
