run_id	run_name	state	sweep_name	sweep_id	model.name	model.gamma	dataset.name	model.n_jobs	training.seed	dataset.window	model.max_depth	model.objective	model.reg_alpha	model.subsample	model.reg_lambda	dataset.cell_line	model.eval_metric	platiglib_project	model.n_estimators	training.criterion	model.learning_rate	training.batch_size	training.wandb.track	dataset.target_fields	training.wandb.entity	dataset.min_read_count	model.colsample_bytree	model.min_child_weight	training.profile.plots	training.wandb.project	dataset.fold_filter.seed	dataset.fold_filter.side	training.profile.metrics	training.wandb.save_code	dataset.three_exon_combos	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	dataset.fold_filter.num_folds	training.data_split.num_folds	training.wandb.save_artifacts	dataset.fold_filter.fold_index	dataset.fold_filter.group_column	training.data_split.group_column	training.data_split.validate_frac_of_train	dataset.features.binding_matrix.in_silico_kd	dataset.features.binding_matrix.binding_format	holdout_fold_mean_mean_absolute_error	holdout_fold_mean_r2_score	holdout_fold_mean_rmse	holdout_loss	holdout_mean_absolute_error	holdout_r2_score	holdout_rmse	outer_loop_holdout_loss	outer_loop_holdout_mean_absolute_error	outer_loop_holdout_r2_score	outer_loop_holdout_rmse
n1rg27qs	rich-sweep-7	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	700	100	3	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.195	0.2609	0.287	0.08238	0.1949	0.2616	0.287				
qrgt2ejh	avid-sweep-12	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	300	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1906	0.2732	0.2847	0.08107	0.1906	0.2733	0.2847				
0tkput0y	vague-sweep-23	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	500	100	7	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1883	0.272	0.2849	0.08115	0.1882	0.2726	0.2849				
4dzzxpd7	fragrant-sweep-13	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	400	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1909	0.2704	0.2852	0.08138	0.1909	0.2706	0.2853				
4ksnf2eo	silver-sweep-20	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	200	100	7	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1874	0.2752	0.2842	0.08086	0.1875	0.2753	0.2844				
6i9maqsk	deft-sweep-15	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	600	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1905	0.2712	0.285	0.08127	0.1905	0.2716	0.2851				
8l7zyg0e	valiant-sweep-21	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	300	100	7	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1885	0.2752	0.2843	0.08084	0.1885	0.2754	0.2843				
b1703ah6	robust-sweep-14	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	500	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.191	0.2696	0.2853	0.08142	0.1909	0.2702	0.2854				
celvb61k	gentle-sweep-18	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	900	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1915	0.2661	0.286	0.08179	0.1914	0.2669	0.286				
lo6zbyd8	pleasant-sweep-17	finished	1:early_stopping_rounds-learning_rate-max_depth	ft20ki6n	XGBRegressor	0.0	RBPSEDataset	-1	800	100	5	reg:logistic	0.0	1.0	1.0	K562	['rmse', 'logloss']	rbpse	100000	mean_squared_error	0.01	1024	True	['target_psi']	platiglab	40	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-xgbregressor-hyperparameter-sweep-april-2025	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	cross_validation	10	5	5	False	1	ensembl_gene_id	ensembl_gene_id	0.1	True	binary	0.1899	0.2729	0.2847	0.08104	0.1898	0.2736	0.2847				
