Data Mode	Binding Type	Cell Line	Feature	Zero Cutoff	# Non-Zeros	% Non-Zeros	Num Positive	Sum Positive	Num Negative	Sum Negative	ARBS	NARBS
Unique Binding	Bound Only	HepG2	AGGF1_1	0.0	37	14.859437751004014	0	0.0	37	-0.0025089557476248234	-0.0025089557476248234	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_1	1e-05	17	6.827309236947792	0	0.0	17	-0.0023622838759855946	-0.0023622838759855946	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_1	0.0001	9	3.614457831325301	0	0.0	9	-0.00225528051758686	-0.00225528051758686	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_1	0.001	0	0.0	0	0.0	0	0.0		
Unique Binding	Bound Only	HepG2	AGGF1_1	0.01	0	0.0	0	0.0	0	0.0		
Unique Binding	Bound Only	HepG2	AGGF1_1	0.1	0	0.0	0	0.0	0	0.0		
Unique Binding	Bound Only	HepG2	AGGF1_2	0.0	66	12.132352941176471	0	0.0	66	-0.5956955495835805	-0.5956955495835805	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_2	1e-05	66	12.132352941176471	0	0.0	66	-0.5956955495835805	-0.5956955495835805	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_2	0.0001	65	11.948529411764707	0	0.0	65	-0.595661675070471	-0.595661675070471	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_2	0.001	48	8.823529411764707	0	0.0	48	-0.5856102217536063	-0.5856102217536063	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_2	0.01	41	7.536764705882352	0	0.0	41	-0.5397218159275295	-0.5397218159275295	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_2	0.1	0	0.0	0	0.0	0	0.0		
Unique Binding	Bound Only	HepG2	AGGF1_3	0.0	302	100.0	0	0.0	302	-4.661199620720672	-4.661199620720672	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_3	1e-05	302	100.0	0	0.0	302	-4.661199620720672	-4.661199620720672	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_3	0.0001	302	100.0	0	0.0	302	-4.661199620720672	-4.661199620720672	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_3	0.001	302	100.0	0	0.0	302	-4.661199620720672	-4.661199620720672	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_3	0.01	149	49.337748344370866	0	0.0	149	-4.0886279084490385	-4.0886279084490385	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_3	0.1	6	1.9867549668874174	0	0.0	6	-0.7956790573092404	-0.7956790573092404	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_4	0.0	336	100.0	0	0.0	336	-1.28763376560608	-1.28763376560608	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_4	1e-05	336	100.0	0	0.0	336	-1.28763376560608	-1.28763376560608	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_4	0.0001	191	56.845238095238095	0	0.0	191	-1.2791580146476846	-1.2791580146476846	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_4	0.001	115	34.226190476190474	0	0.0	115	-1.257483132708056	-1.257483132708056	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_4	0.01	35	10.416666666666668	0	0.0	35	-0.8747797840596649	-0.8747797840596649	-1.0
Unique Binding	Bound Only	HepG2	AGGF1_4	0.1	0	0.0	0	0.0	0	0.0		
Unique Binding	Bound Only	HepG2	AGGF1_5	0.0	36	9.30232558139535	23	0.12049894612063614	13	-0.034739010119945436	0.0857599360006907	0.5524418001727838
Unique Binding	Bound Only	HepG2	AGGF1_5	1e-05	36	9.30232558139535	23	0.12049894612063614	13	-0.034739010119945436	0.0857599360006907	0.5524418001727838
Unique Binding	Bound Only	HepG2	AGGF1_5	0.0001	36	9.30232558139535	23	0.12049894612063614	13	-0.034739010119945436	0.0857599360006907	0.5524418001727838
Unique Binding	Bound Only	HepG2	AGGF1_5	0.001	31	8.010335917312661	23	0.12049894612063614	8	-0.02987198237708476	0.09062696374355138	0.6026893938140773
Unique Binding	Bound Only	HepG2	AGGF1_5	0.01	5	1.2919896640826873	5	0.053484223962996666	0	0.0	0.053484223962996666	1.0
Unique Binding	Bound Only	HepG2	AGGF1_5	0.1	0	0.0	0	0.0	0	0.0		
Unique Binding	Bound Only	HepG2	AGGF1_6	0.0	386	100.0	386	0.8114385456067659	0	0.0	0.8114385456067659	1.0
