feature,AUROC,AUPRC,total_events,num_significant
FTO_3,0.1753900936667146,0.006651722596468122,2948,31
FTO_4,0.5,0.004840661557079467,2479,12
FTO_5,0.2593012751832945,0.012773438635033827,2363,41
FTO_6,0.37631070640176595,0.004414389595900041,2428,12
WDR43_1,0.5,0.0125,960,12
WDR43_3,0.8932156553124295,0.22264266487732726,1175,31
WDR43_4,0.5,0.0017241379310344827,580,1
WDR43_5,0.492361989043405,0.014780005627665828,803,12
WDR43_6,0.300164582835603,0.025284720576074695,1328,29
DDX3X_1,0.6221784134958994,0.02486088128415982,50312,866
DDX3X_2,0.4111173106610935,0.014496606420654475,51550,947
DDX3X_3,0.6847502490917298,0.033995109049479756,25933,444
DDX3X_4,0.7137635707909576,0.04123661857105714,13307,239
DDX3X_5,0.5082704777027921,0.025955671460463917,20451,528
DDX3X_6,0.5667839177177666,0.03553122482035253,9636,277
CDC40_1,0.37075470664899735,0.014699218379221071,2268,41
CDC40_2,0.5056765879104019,0.026880096647538508,6696,178
CDC40_3,0.7912097953216375,0.08826641921201925,1910,38
CDC40_4,0.6973004003768253,0.0857038253776845,3143,55
CDC40_5,0.2125177729551747,0.01973190489401134,1965,56
CDC40_6,0.5,0.018691588785046728,2675,50
EIF3D_1,0.5,0.013790664780763792,2828,39
EIF3D_2,0.5,0.009083830781209447,3853,35
EIF3D_3,0.48035839731045216,0.01621458584077565,3118,52
EIF3D_4,0.5705419315773539,0.03378413498228852,1871,36
EIF3D_5,0.5329803154138367,0.03334450098064015,2545,63
EIF3D_6,0.5821794373136263,0.014498329645722716,2601,30
PABPN1_1,0.6372501544728472,0.022552821153607967,11995,185
PABPN1_2,0.5532402524496463,0.025366971986476635,14414,334
PABPN1_3,0.6541543442983454,0.03867201581573507,14366,186
PABPN1_4,0.665792110809997,0.03363339222785731,15645,270
PABPN1_5,0.33335433403311315,0.016233064516791424,22490,498
PABPN1_6,0.4038093220438726,0.015999011368164104,22834,475
DDX6_1,0.5,0.0165016501650165,606,10
DDX6_3,0.5176120176120176,0.1262197479263666,336,39
DDX6_4,0.4559005251776336,0.06576701386334594,524,26
DDX6_5,0.5,0.1282051282051282,195,25
DDX6_6,0.8135597773527325,0.18060307769913858,2487,38
HNRNPL_1,0.6163682864450127,0.014166743150461838,789,7
HNRNPL_2,0.5,0.006299212598425197,1270,8
HNRNPL_3,0.5,0.022789425706472195,1097,25
HNRNPL_4,0.5051307641128,0.0192842178977826,2043,39
HNRNPL_5,0.5,0.021961932650073207,683,15
HNRNPL_6,0.7128997678163502,0.07391651945799124,3039,72
NOL12_1,0.5602845430431638,0.051019069612588376,2295,33
NOL12_2,0.5,0.008015087223008015,2121,17
NOL12_3,0.5,0.010092854259184497,2477,25
NOL12_4,0.5,0.004610951008645533,1735,8
NOL12_5,0.46779303062302,0.007872494084059918,1910,16
NOL12_6,0.5,0.011801730920535013,1271,15
SUGP2_1,0.5,0.0226628895184136,353,8
SUGP2_2,0.5953571428571429,0.021091358338827956,354,4
SUGP2_3,0.4748324177818648,0.045084619798996965,1395,62
SUGP2_4,0.6187150837988826,0.08716683954246482,747,31
SUGP2_5,0.4224941724941725,0.04016460905349794,295,9
SUGP2_6,0.6705246913580246,0.07912457912457913,114,6
HLTF_1,0.5,0.014017521902377972,3995,56
HLTF_2,0.397797819193395,0.01369946024222489,4367,73
HLTF_3,0.2804941341839217,0.010301568737066896,3543,53
HLTF_4,0.7934622694242593,0.17227944015865587,3703,125
HLTF_5,0.5,0.015394912985274432,4482,69
HLTF_6,0.5970634827121217,0.022032547965750913,4796,81
IGF2BP1_1,0.7310058791603005,0.08224281939282319,12033,369
IGF2BP1_2,0.3704747201852566,0.01711864584731992,13257,302
IGF2BP1_3,0.7258194336094703,0.13250925691094093,11129,162
IGF2BP1_4,0.7769075832150081,0.042280828304406895,12237,156
IGF2BP1_5,0.3752936758494499,0.02422375283977048,17224,488
IGF2BP1_6,0.3719852191262674,0.01867975937182256,17216,384
IGF2BP3_1,0.816257225433526,0.1069091869289872,5813,173
IGF2BP3_2,0.3179105683031668,0.014406179023768766,7254,141
IGF2BP3_3,0.4432190735871717,0.011843731781367196,5931,63
IGF2BP3_4,0.4031040107464978,0.0038550382051099823,6978,30
IGF2BP3_5,0.23900410317032011,0.00906051303264295,9391,126
IGF2BP3_6,0.3100454612797519,0.014885341535360594,12612,278
TAF15_1,0.5579831932773109,0.040145985401459854,617,22
TAF15_2,0.46153846153846156,0.022046690555463343,252,5
TAF15_3,0.5,0.015665796344647518,383,6
TAF15_4,0.5,0.011029411764705883,272,3
TAF15_5,0.5,0.059322033898305086,236,14
PCBP1_1,0.8423801205972434,0.14882939728963712,3393,128
PCBP1_2,0.8231408130680422,0.14062398972642773,2947,115
PCBP1_3,0.520125457396759,0.02314445331205108,3913,87
PCBP1_4,0.4967222725576934,0.01927508413207698,3293,58
PCBP1_5,0.517334194659776,0.009062776304155614,4685,41
PCBP1_6,0.6035305371596762,0.02212736433075134,4605,75
RBM22_1,0.7130628517823638,0.021337714567550008,1325,13
RBM22_2,0.6136571538739632,0.042113457655169606,43905,1408
RBM22_3,0.7433406903961136,0.11862391822046696,1880,96
RBM22_4,0.5589110354617659,0.018627336476572616,22614,276
RBM22_5,0.5558035714285714,0.027525252525252526,450,2
RBM22_6,0.647550824781592,0.035588068909909384,24261,596
FASTKD2_1,0.5,0.018960244648318043,3270,62
FASTKD2_2,0.34506465756465754,0.012330687151328703,4757,77
FASTKD2_3,0.5,0.01836636056065732,2069,38
FASTKD2_4,0.5,0.024775962045334738,1897,47
FASTKD2_5,0.5558617468472675,0.02069730366673598,2181,40
FASTKD2_6,0.8172174622603019,0.2072451856607143,2486,35
ILF3_1,0.6950877192982456,0.021267843185651406,478,3
ILF3_2,0.4573556797020484,0.011161962220785748,542,5
ILF3_3,0.6849374585534289,0.06604402827816579,1060,43
ILF3_4,0.6211707871554419,0.023996133031716455,1052,17
ILF3_5,0.5,0.002564102564102564,390,1
ILF3_6,0.5,0.018796992481203006,798,15
EIF3H_1,0.323670823864095,0.011058737596303839,8455,134
EIF3H_2,0.3654190658314657,0.012381903169240031,9220,157
EIF3H_3,0.5616868992027757,0.03764064008257785,7452,101
EIF3H_4,0.6389422401685394,0.03756944961464233,6489,89
EIF3H_5,0.5398214038811346,0.019007461869837372,8209,138
EIF3H_6,0.5102421116291086,0.019479674738303913,8390,82
LSM11_1,0.2888998525990084,0.01445034284330987,3993,84
LSM11_2,0.6997249900358709,0.03649016648106014,5093,75
LSM11_3,0.5307264680483592,0.02354601235178213,5918,128
LSM11_4,0.27038250682828996,0.014657486012983677,6600,126
LSM11_5,0.3853610641650923,0.022763182936717138,11427,348
LSM11_6,0.646228451252185,0.05344960859246034,11364,345
U2AF2_1,0.399523696731917,0.01692176934869709,47115,1040
U2AF2_2,0.6888770826782239,0.047988691757261,16686,432
U2AF2_3,0.4478412607891962,0.0302873645479643,57268,1803
U2AF2_4,0.4641737833802183,0.06141429957781,19387,781
U2AF2_5,0.39868453828880157,0.02298304281133661,61327,1825
U2AF2_6,0.3733230468149602,0.01403553227308946,16159,307
LARP7_1,0.5713209564541214,0.13444246765523174,1334,48
LARP7_2,0.5,0.002702702702702703,740,2
LARP7_3,0.7908121339277908,0.11315006137709685,1316,45
LARP7_4,0.5,0.029826014913007456,1207,36
LARP7_5,0.3897704560595966,0.010947370445491118,1757,19
LARP7_6,0.5,0.013605442176870748,882,12
DDX59_1,0.7370928169247497,0.054719979048011125,3290,77
DDX59_2,0.6686662828183043,0.07304037222233528,4489,158
DDX59_3,0.6181483146144223,0.062462734921223534,5097,241
DDX59_4,0.4477889100017274,0.04260951224424388,2607,126
DDX59_5,0.3394793547259915,0.012893021327234055,3177,55
DDX59_6,0.7022021234762093,0.08818955718597274,2603,60
LARP4_1,0.7463584085928892,0.039301892191899536,12250,104
LARP4_2,0.4034248459855902,0.0052820840551955125,16450,111
LARP4_3,0.747005621938307,0.040579654272163805,15176,102
LARP4_4,0.37706994203331834,0.0027415108882090735,17827,61
LARP4_5,0.7305143908309788,0.02147622139202636,28057,308
LARP4_6,0.3417673316813754,0.009422296558763405,31023,406
UTP18_2,0.5,0.010101010101010102,99,1
UTP18_3,0.5,0.009287925696594427,323,3
UTP18_5,0.5,0.046242774566473986,173,8
UTP18_6,0.5,0.003289473684210526,304,1
DGCR8_1,0.5551958183804026,0.022013410293132647,2011,39
DGCR8_2,0.42921653996357473,0.023859818361721852,5746,158
DGCR8_3,0.5286538330261451,0.0369790075808874,1599,57
DGCR8_4,0.5415081042988019,0.029584618643320695,1454,35
DGCR8_5,0.5,0.0377906976744186,688,26
DGCR8_6,0.5494909978125526,0.035065467384237645,877,28
TARDBP_1,0.5639772556624464,0.029568573774486104,5148,107
TARDBP_2,0.6434275224624293,0.04818105031527145,8335,206
TARDBP_3,0.7096588568430273,0.060866170933323485,6108,195
TARDBP_4,0.40390849380227845,0.021084934742461186,8348,219
TARDBP_5,0.5300393359797907,0.045836748807028864,5792,250
TARDBP_6,0.2742213013594592,0.012235389195586373,4876,88
AGGF1_1,0.5471975723021749,0.016921771468749465,1699,26
AGGF1_2,0.716543946339735,0.19660615909391438,4116,89
AGGF1_3,0.7967421001082529,0.06740859645358109,2061,19
AGGF1_4,0.9276494724501758,0.3412047452621639,2659,100
AGGF1_5,0.554945054945055,0.04060913705583756,2644,96
AGGF1_6,0.2169937794937795,0.01568297636086815,3180,72
SF3A3_1,0.382868917512427,0.017006294624129677,27877,643
SF3A3_2,0.5,0.00792393026941363,631,5
SF3A3_3,0.7437646849193282,0.06744820870852342,31203,621
SF3A3_4,0.5,0.03985507246376811,1656,66
SF3A3_5,0.6711346153268248,0.07633277026766898,46668,1973
SF3A3_6,0.7042807388164093,0.06272059872332149,1569,46
KHSRP_1,0.27403194232238354,0.018142957506765443,5594,154
KHSRP_2,0.6923143328135364,0.07097604852746052,19078,742
KHSRP_3,0.6476632932519952,0.08626868082893352,13020,690
KHSRP_4,0.3722209116076187,0.024343995480461362,13581,448
KHSRP_5,0.6821027023784341,0.07853409775597087,10723,367
KHSRP_6,0.33587038226571364,0.024749447901289932,11933,380
GRWD1_1,0.35001905560777496,0.015784858521603565,62551,1398
GRWD1_2,0.6542740996761913,0.037735138435535165,67283,1641
GRWD1_3,0.6733804753405184,0.017684429244506007,55620,517
GRWD1_4,0.6403429803058652,0.02226988261778646,59887,697
GRWD1_5,0.6535245995411794,0.03372816459310421,62924,1245
GRWD1_6,0.6152989018074537,0.03335557611145909,66114,1633
POLR2G_5,0.5,0.029411764705882353,34,1
SLTM_1,0.5,0.009240246406570842,974,9
SLTM_2,0.4885012704241547,0.01599296489951225,2024,27
SLTM_3,0.5903400199174847,0.023593542385302937,650,11
SLTM_4,0.4813564298297123,0.039216184262479636,812,26
SLTM_5,0.5,0.018633540372670808,322,6
SLTM_6,0.5,0.04838709677419355,310,15
